Id,Label
china,china
covid,covid
case,case
vaccine,vaccine
novel,novel
coronavirus,coronavirus
new,new
say,say
report,report
outbreak,outbreak
hospital,hospital
health,health
people,people
country,country
patient,patient
fight,fight
confirm,confirm
first,first
death,death
president,president
million,million
day,day
world,world
test,test
pandemic,pandemic
city,city
year,year
infection,infection
live,live
amid,amid
one,one
medical,medical
epidemic,epidemic
number,number
receive,receive
control,control
hubei,hubei
province,province
official,official
national,national
take,take
virus,virus
late,late
accord,accord
battle,battle
watch,watch
support,support
total,total
see,see
expert,expert
state,state
show,show
help,help
two,two
positive,positive
use,use
second,second
global,global
trump,trump
spread,spread
dos,dos
work,work
effort,effort
minister,minister
time,time
discharge,discharge
batch,batch
measure,measure
bring,bring
infect,infect
week,week
government,government
old,old
high,high
make,make
emergency,emergency
get,get
start,start
include,include
disease,disease
beijing,beijing
daily,daily
across,across
update,update
due,due
pneumonia,pneumonia
prevention,prevention
center,center
since,since
find,find
worker,worker
call,call
confirmed,confirmed
public,public
announce,announce
commission,commission
organization,organization
local,local
supply,supply
international,international
central,central
treatment,treatment
hour,hour
brazil,brazil
arrive,arrive
contain,contain
authority,authority
record,record
may,may
press,press
ministry,ministry
medium,medium
hit,hit
economy,economy
month,month
company,company
trial,trial
doctor,doctor
africa,africa
dose,dose
foreign,foreign
recover,recover
donate,donate
develop,develop
face,face
recovery,recovery
community,community
chief,chief
development,development
vaccination,vaccination
give,give
send,send
home,home
travel,travel
risk,risk
hold,hold
register,register
johnson,johnson
quarantine,quarantine
conference,conference
life,life
director,director
house,house
mask,mask
top,top
follow,follow
rise,rise
around,around
makeshift,makeshift
many,many
cause,cause
data,data
epicenter,epicenter
three,three
close,close
could,could
last,last
need,need
response,response
continue,continue
combat,combat
administer,administer
south,south
study,study
build,build
xinhua,xinhua
clinical,clinical
treat,treat
general,general
team,team
resident,resident
staff,staff
express,express
news,news
white,white
also,also
back,back
impact,impact
blood,blood
toll,toll
end,end
restriction,restriction
university,university
return,return
region,region
prime,prime
begin,begin
expect,expect
ship,ship
economic,economic
look,look
overseas,overseas
construction,construction
stay,stay
curb,curb
surge,surge
effective,effective
another,another
like,like
good,good
offer,offer
large,large
taiwan,taiwan
win,win
far,far
remain,remain
set,set
approve,approve
long,long
aid,aid
united,united
russia,russia
check,check
student,student
vaccinate,vaccinate
cruise,cruise
group,group
outside,outside
past,past
die,die
business,business
video,video
child,child
hong,hong
share,share
leishenshan,leishenshan
symptom,symptom
jinping,jinping
nation,nation
join,join
still,still
production,production
talk,talk
woman,woman
transmission,transmission
release,release
become,become
concern,concern
leave,leave
increase,increase
solidarity,solidarity
despite,despite
school,school
medicine,medicine
hard,hard
japan,japan
age,age
prevent,prevent
third,third
reach,reach
military,military
jab,jab
capital,capital
visit,visit
leader,leader
lead,lead
meet,meet
head,head
strong,strong
negative,negative
anti,anti
nurse,nurse
level,level
part,part
east,east
model,model
miss,miss
possible,possible
cure,cure
provide,provide
wave,wave
care,care
come,come
hand,hand
order,order
four,four
macao,macao
african,african
clot,clot
pass,pass
headline,headline
area,area
put,put
condition,condition
bed,bed
stand,stand
york,york
urge,urge
six,six
five,five
least,least
way,way
issue,issue
family,family
surpass,surpass
post,post
warn,warn
opinion,opinion
march,march
member,member
flight,flight
special,special
tell,tell
drug,drug
base,base
social,social
together,together
asian,asian
festival,festival
confidence,confidence
shot,shot
line,line
wish,wish
nearly,nearly
effect,effect
agency,agency
research,research
drop,drop
keep,keep
full,full
severe,severe
inside,inside
france,france
holiday,holiday
open,open
fear,fear
brief,brief
system,system
service,service
spring,spring
hope,hope
early,early
percent,percent
rate,rate
market,market
seven,seven
link,link
import,import
well,well
plan,plan
medic,medic
suspend,suspend
side,side
launch,launch
produce,produce
facility,facility
next,next
low,low
reopen,reopen
italy,italy
germany,germany
researcher,researcher
volunteer,volunteer
critical,critical
protect,protect
vice,vice
baby,baby
force,force
billion,billion
secretary,secretary
variant,variant
challenge,challenge
detect,detect
among,among
experience,experience
information,information
human,human
wang,wang
resume,resume
campaign,campaign
food,food
figure,figure
suspected,suspected
mark,mark
today,today
joint,joint
night,night
extend,extend
trade,trade
transmit,transmit
india,india
origin,origin
chile,chile
stop,stop
add,add
contact,contact
passenger,passenger
move,move
self,self
donation,donation
grow,grow
suspect,suspect
reporter,reporter
office,office
ambassador,ambassador
know,know
free,free
ensure,ensure
allow,allow
within,within
shanghai,shanghai
place,place
big,big
step,step
read,read
affect,affect
police,police
front,front
story,story
ban,ban
senior,senior
train,train
safety,safety
qingdao,qingdao
deal,deal
great,great
meeting,meeting
key,key
phone,phone
fund,fund
situation,situation
deliver,deliver
tourist,tourist
population,population
would,would
contract,contract
complete,complete
border,border
man,man
currently,currently
period,period
try,try
plasma,plasma
consecutive,consecutive
protective,protective
industry,industry
result,result
claim,claim
institute,institute
drive,drive
potential,potential
traditional,traditional
turn,turn
much,much
diagnosis,diagnosis
behind,behind
dollar,dollar
sign,sign
twitter,twitter
french,french
safe,safe
statement,statement
young,young
acid,acid
party,party
capacity,capacity
race,race
governor,governor
spike,spike
korea,korea
kill,kill
strain,strain
love,love
wife,wife
tourism,tourism
carry,carry
mild,mild
eight,eight
source,source
ongoing,ongoing
yunnan,yunnan
committee,committee
non,non
cite,cite
executive,executive
single,single
confident,confident
boost,boost
via,via
relate,relate
essential,essential
recent,recent
less,less
fully,fully
