Id,Label
china,china
novel,novel
coronavirus,coronavirus
case,case
outbreak,outbreak
hospital,hospital
patient,patient
new,new
fight,fight
say,say
confirm,confirm
people,people
hubei,hubei
epidemic,epidemic
live,live
medical,medical
report,report
health,health
province,province
battle,battle
death,death
control,control
support,support
amid,amid
day,day
virus,virus
discharge,discharge
infection,infection
take,take
official,official
city,city
covid,covid
first,first
country,country
effort,effort
one,one
infect,infect
late,late
pneumonia,pneumonia
expert,expert
total,total
work,work
help,help
number,number
year,year
spread,spread
old,old
world,world
two,two
bring,bring
see,see
show,show
measure,measure
confirmed,confirmed
time,time
central,central
contain,contain
beijing,beijing
test,test
prevention,prevention
treatment,treatment
emergency,emergency
national,national
president,president
supply,supply
makeshift,makeshift
send,send
include,include
disease,disease
recover,recover
epicenter,epicenter
press,press
conference,conference
community,community
worker,worker
update,update
doctor,doctor
build,build
treat,treat
combat,combat
use,use
mask,mask
call,call
express,express
staff,staff
make,make
quarantine,quarantine
public,public
home,home
construction,construction
international,international
across,across
leishenshan,leishenshan
win,win
hold,hold
ship,ship
get,get
chief,chief
taiwan,taiwan
commission,commission
global,global
cruise,cruise
foreign,foreign
check,check
cause,cause
team,team
medium,medium
need,need
state,state
start,start
stay,stay
response,response
curb,curb
xinhua,xinhua
japan,japan
macao,macao
authority,authority
travel,travel
solidarity,solidarity
resident,resident
donate,donate
development,development
like,like
outside,outside
government,government
find,find
second,second
nurse,nurse
million,million
face,face
vaccine,vaccine
center,center
offer,offer
life,life
give,give
hit,hit
month,month
many,many
video,video
cure,cure
aid,aid
minister,minister
local,local
three,three
daily,daily
bed,bed
around,around
week,week
due,due
strong,strong
leave,leave
confidence,confidence
miss,miss
back,back
impact,impact
hong,hong
share,share
brief,brief
director,director
receive,receive
opinion,opinion
flight,flight
also,also
recovery,recovery
visit,visit
prevent,prevent
baby,baby
inside,inside
talk,talk
ministry,ministry
special,special
symptom,symptom
together,together
economy,economy
model,model
woman,woman
another,another
medic,medic
region,region
look,look
follow,follow
production,production
expect,expect
good,good
child,child
medicine,medicine
organization,organization
die,die
transmission,transmission
line,line
student,student
close,close
put,put
meet,meet
condition,condition
suspected,suspected
stand,stand
return,return
family,family
drop,drop
premier,premier
high,high
company,company
may,may
fear,fear
suspect,suspect
jinping,jinping
reporter,reporter
accord,accord
wish,wish
clinical,clinical
critical,critical
phone,phone
could,could
far,far
remain,remain
leader,leader
mother,mother
military,military
university,university
arrive,arrive
positive,positive
care,care
hand,hand
tell,tell
stress,stress
join,join
research,research
long,long
story,story
wang,wang
concern,concern
level,level
read,read
way,way
come,come
social,social
resume,resume
general,general
head,head
business,business
passenger,passenger
temporary,temporary
step,step
east,east
explain,explain
economic,economic
protect,protect
area,area
ensure,ensure
plasma,plasma
suspend,suspend
large,large
end,end
full,full
severe,severe
infected,infected
isolation,isolation
man,man
couple,couple
group,group
hard,hard
effective,effective
become,become
protective,protective
service,service
still,still
spring,spring
love,love
rate,rate
watch,watch
lead,lead
information,information
key,key
drug,drug
situation,situation
develop,develop
facility,facility
festival,festival
turn,turn
member,member
panic,panic
meeting,meeting
south,south
police,police
front,front
researcher,researcher
risk,risk
citizen,citizen
best,best
anti,anti
dead,dead
exclusive,exclusive
provide,provide
girl,girl
five,five
robot,robot
traditional,traditional
stop,stop
korea,korea
since,since
volunteer,volunteer
order,order
system,system
continue,continue
begin,begin
negative,negative
keep,keep
yuan,yuan
message,message
market,market
data,data
confident,confident
announce,announce
headline,headline
create,create
know,know
batch,batch
mild,mild
train,train
acid,acid
urge,urge
newly,newly
click,click
encourage,encourage
operation,operation
issue,issue
friendship,friendship
shanghai,shanghai
female,female
flu,flu
alone,alone
food,food
increase,increase
lam,lam
via,via
holiday,holiday
scientist,scientist
launch,launch
despite,despite
station,station
rush,rush
extend,extend
six,six
race,race
carry,carry
dispatch,dispatch
top,top
fast,fast
respiratory,respiratory
speak,speak
release,release
four,four
within,within
deliver,deliver
viral,viral
hour,hour
reach,reach
set,set
term,term
ready,ready
joint,joint
tibet,tibet
provincial,provincial
capacity,capacity
boy,boy
trade,trade
demand,demand
great,great
among,among
admit,admit
contact,contact
human,human
avoid,avoid
behind,behind
dollar,dollar
part,part
interview,interview
name,name
stable,stable
zhejiang,zhejiang
today,today
young,young
night,night
party,party
strand,strand
tackle,tackle
voice,voice
deal,deal
currently,currently
overseas,overseas
well,well
age,age
prime,prime
free,free
trump,trump
fund,fund
vice,vice
action,action
possible,possible
ask,ask
japanese,japanese
force,force
result,result
executive,executive
figure,figure
strain,strain
person,person
board,board
short,short
air,air
speed,speed
rise,rise
border,border
war,war
committee,committee
body,body
capital,capital
officer,officer
nation,nation
plan,plan
screen,screen
base,base
try,try
break,break
save,save
kill,kill
asian,asian
recently,recently
fever,fever
source,source
discrimination,discrimination
ongoing,ongoing
early,early
birth,birth
dedicate,dedicate
victory,victory
light,light
complete,complete
thank,thank
fully,fully
political,political
department,department
door,door
last,last
suit,suit
place,place
billion,billion
village,village
letter,letter
observation,observation
necessity,necessity
current,current
singapore,singapore
various,various
add,add
district,district
third,third
temperature,temperature
manage,manage
male,male
non,non
ill,ill
cancel,cancel
nit,nit
