Id,Label
covid,covid
vaccine,vaccine
china,china
say,say
case,case
country,country
receive,receive
health,health
report,report
first,first
new,new
million,million
dos,dos
people,people
pandemic,pandemic
batch,batch
world,world
president,president
dose,dose
use,use
accord,accord
national,national
day,day
vaccination,vaccination
brazil,brazil
year,year
one,one
death,death
state,state
second,second
administer,administer
arrive,arrive
minister,minister
city,city
government,government
blood,blood
johnson,johnson
week,week
number,number
start,start
show,show
jab,jab
vaccinate,vaccinate
official,official
infection,infection
coronavirus,coronavirus
watch,watch
develop,develop
get,get
company,company
clot,clot
organization,organization
africa,africa
trial,trial
data,data
virus,virus
high,high
make,make
record,record
emergency,emergency
amid,amid
approve,approve
donate,donate
see,see
shot,shot
test,test
study,study
confirm,confirm
expert,expert
control,control
two,two
global,global
since,since
daily,daily
register,register
variant,variant
local,local
chile,chile
announce,announce
take,take
third,third
across,across
age,age
march,march
risk,risk
center,center
south,south
last,last
due,due
agency,agency
origin,origin
give,give
help,help
commission,commission
link,link
find,find
prime,prime
news,news
late,late
total,total
hour,hour
province,province
effective,effective
surge,surge
ministry,ministry
bring,bring
measure,measure
restriction,restriction
toll,toll
capital,capital
overseas,overseas
continue,continue
fight,fight
shipment,shipment
clinical,clinical
international,international
possible,possible
beijing,beijing
authority,authority
group,group
month,month
yunnan,yunnan
effect,effect
include,include
call,call
rise,rise
hit,hit
director,director
disease,disease
prevention,prevention
foreign,foreign
purchase,purchase
produce,produce
may,may
release,release
asian,asian
positive,positive
end,end
inoculate,inoculate
low,low
nearly,nearly
phase,phase
life,life
top,top
worker,worker
population,population
live,live
supply,supply
percent,percent
effort,effort
school,school
increase,increase
base,base
economy,economy
part,part
reopen,reopen
russia,russia
immunization,immunization
launch,launch
african,african
safety,safety
campaign,campaign
pharmaceutical,pharmaceutical
least,least
set,set
begin,begin
adult,adult
side,side
rare,rare
around,around
open,open
follow,follow
wave,wave
warn,warn
spread,spread
three,three
medical,medical
original,original
move,move
safe,safe
single,single
back,back
close,close
would,would
drug,drug
public,public
many,many
france,france
concern,concern
could,could
become,become
india,india
general,general
work,work
hard,hard
drive,drive
lead,lead
eligible,eligible
region,region
medium,medium
joint,joint
efficacy,efficacy
export,export
head,head
travel,travel
four,four
border,border
early,early
mass,mass
pass,pass
hand,hand
firm,firm
economic,economic
face,face
program,program
institute,institute
anti,anti
united,united
also,also
home,home
regulator,regulator
resident,resident
time,time
production,production
shanghai,shanghai
another,another
goal,goal
khan,khan
far,far
surpass,surpass
mark,mark
reach,reach
talk,talk
office,office
large,large
community,community
thousand,thousand
despite,despite
distribute,distribute
hospital,hospital
old,old
experience,experience
child,child
airport,airport
medicine,medicine
still,still
aid,aid
senior,senior
cambodia,cambodia
provide,provide
issue,issue
like,like
care,care
hate,hate
nation,nation
inoculation,inoculation
impact,impact
place,place
long,long
ambassador,ambassador
grow,grow
today,today
spike,spike
area,area
recommend,recommend
order,order
allow,allow
share,share
prevent,prevent
recover,recover
behind,behind
student,student
certificate,certificate
animal,animal
military,military
donation,donation
pause,pause
plan,plan
response,response
chief,chief
patient,patient
urge,urge
sign,sign
night,night
administration,administration
need,need
limit,limit
five,five
currently,currently
appointment,appointment
university,university
recovery,recovery
keep,keep
crisis,crisis
require,require
easter,easter
resurgence,resurgence
french,french
southwest,southwest
well,well
nationwide,nationwide
likely,likely
within,within
expand,expand
change,change
locally,locally
transmit,transmit
america,america
claim,claim
team,team
system,system
globally,globally
die,die
russian,russian
return,return
trust,trust
import,import
canada,canada
food,food
press,press
previous,previous
deliver,deliver
governor,governor
figure,figure
event,event
hold,hold
central,central
antibody,antibody
donated,donated
billion,billion
woman,woman
benefit,benefit
expect,expect
detect,detect
look,look
secretary,secretary
york,york
seven,seven
deadline,deadline
struggle,struggle
plant,plant
trade,trade
trace,trace
spring,spring
assistance,assistance
forward,forward
fifth,fifth
foreigner,foreigner
period,period
passport,passport
lift,lift
business,business
support,support
crime,crime
sao,sao
join,join
ongoing,ongoing
festival,festival
deal,deal
british,british
roll,roll
michigan,michigan
half,half
ahead,ahead
bad,bad
facebook,facebook
turkey,turkey
welcome,welcome
boost,boost
visit,visit
ease,ease
delay,delay
thailand,thailand
federal,federal
push,push
agree,agree
strong,strong
market,market
advisory,advisory
joe,joe
industry,industry
hope,hope
curb,curb
ingredient,ingredient
similar,similar
politicize,politicize
army,army
six,six
tracing,tracing
cite,cite
former,former
good,good
political,political
consecutive,consecutive
injection,injection
nationalism,nationalism
headline,headline
among,among
ban,ban
challenge,challenge
host,host
site,site
introduction,introduction
house,house
recent,recent
park,park
california,california
ten,ten
hubei,hubei
transmission,transmission
tourism,tourism
crowd,crowd
much,much
major,major
big,big
know,know
authorization,authorization
believe,believe
strain,strain
level,level
affect,affect
publish,publish
italy,italy
ruin,ruin
facility,facility
town,town
come,come
violence,violence
ever,ever
volunteer,volunteer
service,service
carry,carry
vice,vice
past,past
trump,trump
twitter,twitter
union,union
science,science
executive,executive
morning,morning
healthy,healthy
protein,protein
pick,pick
toward,toward
leader,leader
middle,middle
scale,scale
stage,stage
shut,shut
every,every
theme,theme
less,less
normal,normal
double,double
essential,essential
committee,committee
largely,largely
encourage,encourage
process,process
unit,unit
think,think
remain,remain
line,line
beach,beach
information,information
free,free
overall,overall
tourist,tourist
meet,meet
western,western
restaurant,restaurant
brain,brain
outside,outside
intensive,intensive
incident,incident
promote,promote
globe,globe
propose,propose
price,price
fuel,fuel
fully,fully
statement,statement
holy,holy
cure,cure
lung,lung
tap,tap
