Id,Label
coronavirus,coronavirus
china,china
outbreak,outbreak
case,case
novel,novel
new,new
say,say
hospital,hospital
people,people
spread,spread
death,death
health,health
confirm,confirm
patient,patient
report,report
fight,fight
late,late
first,first
virus,virus
hubei,hubei
world,world
day,day
cruise,cruise
ship,ship
country,country
epidemic,epidemic
amid,amid
city,city
official,official
province,province
medical,medical
live,live
test,test
infect,infect
two,two
control,control
quarantine,quarantine
number,number
japan,japan
infection,infection
take,take
global,global
state,state
battle,battle
year,year
fear,fear
travel,travel
total,total
help,help
one,one
due,due
support,support
hong,hong
toll,toll
update,update
work,work
flight,flight
hit,hit
covid,covid
contain,contain
effort,effort
rise,rise
emergency,emergency
expert,expert
national,national
see,see
public,public
passenger,passenger
government,government
show,show
disease,disease
bring,bring
confirmed,confirmed
beyond,beyond
discharge,discharge
measure,measure
impact,impact
authority,authority
mask,mask
doctor,doctor
beijing,beijing
old,old
could,could
time,time
include,include
epicenter,epicenter
week,week
central,central
outside,outside
close,close
pneumonia,pneumonia
positive,positive
treatment,treatment
million,million
around,around
accord,accord
supply,supply
evacuate,evacuate
center,center
economy,economy
prevention,prevention
follow,follow
organization,organization
face,face
medium,medium
worker,worker
home,home
use,use
deadly,deadly
across,across
president,president
three,three
continue,continue
treat,treat
know,know
make,make
risk,risk
least,least
die,die
find,find
international,international
citizen,citizen
vaccine,vaccine
may,may
commission,commission
concern,concern
suspend,suspend
second,second
like,like
conference,conference
kill,kill
market,market
symptom,symptom
get,get
leave,leave
resident,resident
business,business
need,need
build,build
back,back
chief,chief
month,month
start,start
staff,staff
recover,recover
send,send
hold,hold
company,company
call,call
spreading,spreading
share,share
foreign,foreign
combat,combat
cause,cause
become,become
high,high
response,response
announce,announce
minister,minister
ministry,ministry
man,man
makeshift,makeshift
keep,keep
press,press
community,community
taiwan,taiwan
united,united
singapore,singapore
south,south
drug,drug
drop,drop
development,development
big,big
warn,warn
demand,demand
stock,stock
return,return
another,another
korea,korea
stay,stay
curb,curb
princess,princess
team,team
many,many
declare,declare
check,check
prevent,prevent
express,express
local,local
diamond,diamond
economic,economic
give,give
family,family
rate,rate
line,line
win,win
video,video
far,far
remain,remain
student,student
end,end
still,still
long,long
daily,daily
large,large
step,step
despite,despite
five,five
protect,protect
life,life
construction,construction
begin,begin
billion,billion
offer,offer
human,human
expect,expect
stop,stop
also,also
arrive,arrive
ban,ban
production,production
transmission,transmission
leishenshan,leishenshan
director,director
stand,stand
early,early
major,major
grow,grow
woman,woman
come,come
try,try
put,put
bed,bed
look,look
france,france
person,person
lead,lead
carry,carry
affect,affect
visit,visit
street,street
japanese,japanese
set,set
tell,tell
donate,donate
meet,meet
study,study
cure,cure
aid,aid
cancel,cancel
hand,hand
cut,cut
australia,australia
service,service
level,level
full,full
way,way
receive,receive
raise,raise
flu,flu
food,food
increase,increase
macao,macao
part,part
dead,dead
good,good
illness,illness
investor,investor
police,police
since,since
fast,fast
department,department
area,area
holiday,holiday
solidarity,solidarity
air,air
xinhua,xinhua
confidence,confidence
apple,apple
hundred,hundred
dock,dock
panic,panic
brief,brief
plan,plan
social,social
region,region
force,force
growth,growth
inside,inside
nurse,nurse
read,read
university,university
jinping,jinping
fall,fall
contact,contact
head,head
baby,baby
avoid,avoid
diagnose,diagnose
asian,asian
scientist,scientist
board,board
airport,airport
miss,miss
respiratory,respiratory
order,order
record,record
story,story
strong,strong
sale,sale
watch,watch
special,special
shortage,shortage
infected,infected
military,military
trade,trade
group,group
turn,turn
recovery,recovery
firm,firm
six,six
contract,contract
data,data
medicine,medicine
shanghai,shanghai
develop,develop
child,child
threat,threat
statement,statement
urge,urge
california,california
lunar,lunar
talk,talk
hard,hard
among,among
asia,asia
suspect,suspect
top,top
base,base
question,question
trump,trump
bank,bank
last,last
place,place
wall,wall
suspected,suspected
source,source
isolation,isolation
meeting,meeting
care,care
issue,issue
phone,phone
result,result
today,today
thailand,thailand
globally,globally
evacuee,evacuee
reporter,reporter
trial,trial
medic,medic
research,research
condition,condition
together,together
news,news
best,best
anti,anti
provide,provide
race,race
slow,slow
leader,leader
mother,mother
several,several
plane,plane
low,low
potential,potential
robot,robot
great,great
information,information
nearly,nearly
already,already
reach,reach
strand,strand
restriction,restriction
newly,newly
model,model
fly,fly
researcher,researcher
away,away
join,join
release,release
protective,protective
general,general
possible,possible
negative,negative
tokyo,tokyo
move,move
pandemic,pandemic
thousand,thousand
limit,limit
couple,couple
screen,screen
system,system
aboard,aboard
quarter,quarter
yuan,yuan
extend,extend
infectious,infectious
critical,critical
ensure,ensure
allow,allow
temporarily,temporarily
industry,industry
near,near
severe,severe
recently,recently
east,east
would,would
related,related
border,border
must,must
officer,officer
wish,wish
pass,pass
headline,headline
run,run
four,four
wang,wang
dollar,dollar
charter,charter
member,member
currently,currently
office,office
clinical,clinical
much,much
fund,fund
situation,situation
whether,whether
surgical,surgical
key,key
nine,nine
animal,animal
wear,wear
via,via
sell,sell
facility,facility
party,party
appear,appear
australian,australian
dozen,dozen
well,well
almost,almost
ask,ask
deal,deal
front,front
add,add
finally,finally
even,even
wash,wash
cough,cough
