Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1231000383151116289, 'CGTN talked to W. Ian Lipkin of Columbia University on the challenges China is facing as it deals with misconceptions people and the media have about #COVID19. Watch:\n#coronavirus \n,31,97.44,74.07,1.0,83.22,10.33,19.35,54.84,38.71,3.23,0.0,0.0,0.0,0.0,0.0,0.0,3.23,6.45,19.35,6.45,3.23,6.45,0.0,9.68,3.23,3.23,0.0,0.0,0.0,3.23,3.23,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,3.23,0.0,0.0,0.0,3.23,9.68,0.0,3.23,0.0,3.23,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,6.45,0.0,3.23,0.0,0.0,0.0,0.0,0.0,3.23,0.0,12.9
1230995615900934144," 'Spring always brings along a lively vibe saturated by seas of colorful blooming flowers. \n\nTake a look at this collection of flower blossoms from across China, and enjoy the upcoming new season. ",33,99.0,50.0,51.41,99.0,16.5,21.21,66.67,36.36,3.03,0.0,0.0,0.0,0.0,0.0,0.0,3.03,9.09,21.21,0.0,0.0,3.03,0.0,6.06,3.03,0.0,0.0,0.0,0.0,6.06,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,3.03,0.0,6.06,6.06,0.0,0.0,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,3.03,21.21,3.03,6.06,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,6.06,3.03,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,6.06
1230971490407010305," 'February means carnival in Brazil. This year, one Samba school in SÃ£o Paulo, is taking inspiration from China.\n#carnival #Brazil #RiodeJaneiro \n",24,96.33,50.0,74.76,92.4,12.0,20.83,54.17,20.83,4.17,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,12.5,4.17,0.0,0.0,0.0,12.5,0.0,0.0,0.0,4.17,0.0,4.17,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,4.17,0.0,0.0,8.33,0.0,16.67,0.0,8.33,8.33,4.17,0.0,0.0,0.0,0.0,0.0,4.17,0.0,4.17,0.0,0.0,0.0,41.67,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,20.83
1230949059462037504," 'China and the world has made great strides in tracking infectious diseases but the #coronavirus is taking unexpected turns, making it hard to track.\n",25,88.69,34.44,20.24,91.14,25.0,24.0,76.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,8.0,0.0,8.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,8.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,4.0,12.0,0.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0
1230942170200276992,"RT @CGTNEurope: A fake news story about cases of COVID-19 in Ukraine led to protests against the evacuation of 72 people from Wuhan, China.â€¦",26,99.0,77.92,5.76,1.0,26.0,19.23,57.69,34.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,26.92,0.0,3.85,0.0,0.0,0.0,3.85,0.0,0.0,7.69,0.0,7.69,0.0,7.69,0.0,3.85,0.0,11.54,0.0,0.0,0.0,0.0,7.69,0.0,3.85,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,7.69,3.85,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,3.85,3.85,0.0,0.0,23.08,3.85,3.85,3.85,0.0,0.0,0.0,3.85,0.0,0.0,0.0,7.69
1230942156816338945,RT @CGTNEurope: #COVID19: Transmission outside of China in graphics https://t.co/i4zuTfL7kz,14,99.0,76.25,13.15,25.77,14.0,42.86,42.86,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,7.14,0.0,0.0,50.0,7.14,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57
1230942063266537472,RT @cgtnafrica: The World Health Organization (WHO) has announced that the WHO-led team of international experts currently in China to inveâ€¦,22,96.54,96.52,61.34,25.77,22.0,27.27,81.82,40.91,13.64,0.0,0.0,0.0,0.0,0.0,0.0,13.64,9.09,13.64,4.55,0.0,0.0,0.0,4.55,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0.0,0.0,9.09,4.55,4.55,4.55,0.0,0.0,4.55,9.09,0.0,22.73,4.55,13.64,4.55,9.09,4.55,0.0,0.0,0.0,0.0,4.55,0.0,4.55,4.55,0.0,0.0,27.27,0.0,0.0,4.55,0.0,0.0,0.0,4.55,0.0,0.0,9.09,9.09
1230930184984875009," 'Outside of China, there are more than 1,000 confirmed cases of the novel #coronavirus (COVID-19).\n\nMore than half have been on the #DiamondPrincess, a cruise ship docked in Japan; the rest are scattered among 27 countries, mostly in Asia. ",42,99.0,31.71,52.86,25.77,42.0,14.29,57.14,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,21.43,9.52,4.76,0.0,0.0,9.52,7.14,7.14,0.0,11.9,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,2.38,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,7.14,0.0,16.67,2.38,14.29,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71,4.76,9.52,0.0,2.38,0.0,0.0,2.38,0.0,2.38,4.76,9.52
1230880182237450240," ""Five cargo aircraft of #Qatar Airways head to #Chinese cities of Beijing, Shanghai and Guangzhou, carrying 600 tons of medical supplies gratis, including 2.5 million masks and 500,000 hand sanitizers sent by Qatar and epidemic prevention supplies purchased by China's government ",42,98.45,59.4,1.0,70.57,42.0,40.48,54.76,23.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,7.14,0.0,2.38,0.0,0.0,0.0,14.29,2.38,2.38,2.38,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,2.38,9.52,4.76,4.76,0.0,0.0,4.76,0.0,0.0,2.38,0.0,2.38,2.38,0.0,0.0,4.76,4.76,0.0,0.0,2.38,0.0,0.0,2.38,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,19.05,0.0,9.52,0.0,0.0,0.0,0.0,0.0,2.38,2.38,0.0,4.76
1230873561344045057," ""#ChinaToday in case you missed it:\n- Xi Jinping chairs leading body meeting on COVID-19 control ",17,93.26,96.11,28.81,1.0,17.0,29.41,52.94,23.53,11.76,5.88,0.0,0.0,5.88,0.0,0.0,5.88,0.0,11.76,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,0.0,5.88,11.76,0.0,0.0,0.0,0.0,11.76,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,0.0,11.76,0.0,5.88,11.76,0.0,0.0,5.88,0.0,0.0,17.65,5.88,11.76,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29,0.0,0.0,5.88,0.0,0.0,0.0,11.76,5.88,0.0,0.0,11.76
