Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1382728423735504906," 'The World Health Organization (WHO) has expressed concern over the rising rates of new COVID-19 infections and deaths, as a third wave of the virus sweeps across the world.\n",31,99.0,74.07,60.4,25.77,31.0,12.9,83.87,41.94,3.23,0.0,0.0,0.0,0.0,0.0,0.0,3.23,16.13,16.13,3.23,0.0,6.45,0.0,3.23,6.45,3.23,3.23,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,0.0,6.45,0.0,3.23,6.45,0.0,0.0,3.23,0.0,3.23,0.0,3.23,0.0,22.58,6.45,12.9,3.23,3.23,3.23,3.23,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,22.58,3.23,3.23,0.0,0.0,0.0,0.0,3.23,0.0,3.23,6.45,3.23
1381735751969308676," 'Director-general of the World Health Organization, Tedros Adhanom Ghebreyesus, warned of a rise in global COVID-19 cases and deaths during a press conference on Monday. The WHO is emphasizing the public follow COVID-19 health guidelines to contain the virus. ",42,99.0,68.29,52.86,3.31,21.0,21.43,73.81,35.71,2.38,0.0,0.0,0.0,0.0,0.0,0.0,2.38,14.29,14.29,2.38,0.0,2.38,0.0,4.76,2.38,0.0,2.38,4.76,0.0,2.38,0.0,2.38,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,2.38,4.76,0.0,4.76,0.0,0.0,4.76,0.0,0.0,2.38,0.0,2.38,0.0,4.76,0.0,21.43,4.76,14.29,4.76,7.14,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,19.05,4.76,4.76,0.0,0.0,0.0,0.0,7.14,0.0,2.38,0.0,0.0
1380935205532368896," 'The vast majority of COVID-19 vaccines administered have so far gone to wealthy nations, the World Health Organization (WHO) reported.\n",22,93.26,67.52,61.34,94.75,22.0,31.82,77.27,31.82,4.55,0.0,0.0,0.0,0.0,0.0,0.0,4.55,9.09,9.09,4.55,4.55,4.55,0.0,9.09,13.64,0.0,4.55,4.55,4.55,4.55,4.55,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0.0,0.0,4.55,0.0,0.0,4.55,0.0,0.0,4.55,4.55,0.0,22.73,4.55,18.18,0.0,9.09,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.82,4.55,4.55,0.0,0.0,0.0,0.0,4.55,0.0,4.55,9.09,4.55
1380600074493911041," 'The vast majority of COVID-19 vaccines administered have so far gone to wealthy nations, the World Health Organization (WHO) reported.\n",22,93.26,67.52,61.34,94.75,22.0,31.82,77.27,31.82,4.55,0.0,0.0,0.0,0.0,0.0,0.0,4.55,9.09,9.09,4.55,4.55,4.55,0.0,9.09,13.64,0.0,4.55,4.55,4.55,4.55,4.55,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0.0,0.0,4.55,0.0,0.0,4.55,0.0,0.0,4.55,4.55,0.0,22.73,4.55,18.18,0.0,9.09,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.82,4.55,4.55,0.0,0.0,0.0,0.0,4.55,0.0,4.55,9.09,4.55
1380186172375363584," 'Africa has only administered 2 percent of the more than 690 million COVID-19 vaccine doses given globally, the World Health Organization (WHO) said on Thursday.\n",27,97.84,64.46,33.94,25.77,27.0,25.93,70.37,29.63,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.7,7.41,11.11,3.7,3.7,0.0,0.0,11.11,7.41,7.41,3.7,14.81,7.41,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,3.7,3.7,0.0,3.7,0.0,7.41,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,3.7,0.0,14.81,0.0,11.11,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93,3.7,3.7,0.0,0.0,0.0,0.0,3.7,0.0,3.7,7.41,3.7
1379956074531282950," 'A causal link between the #AstraZeneca COVID-19 vaccine and the rare occurrence of blood clots with low platelets is ""considered plausible but not confirmed,"" the World Health Organization (WHO) said on Wednesday ",33,98.34,38.08,85.21,1.59,33.0,30.3,72.73,39.39,3.03,0.0,0.0,0.0,0.0,0.0,0.0,3.03,12.12,12.12,3.03,0.0,6.06,3.03,9.09,3.03,0.0,3.03,3.03,0.0,3.03,0.0,3.03,0.0,0.0,3.03,6.06,0.0,0.0,0.0,0.0,15.15,6.06,3.03,0.0,0.0,0.0,6.06,3.03,0.0,3.03,0.0,6.06,3.03,3.03,0.0,0.0,3.03,0.0,0.0,3.03,0.0,0.0,3.03,3.03,0.0,15.15,0.0,12.12,3.03,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.24,0.0,3.03,0.0,0.0,0.0,0.0,3.03,6.06,3.03,6.06,3.03
1379760867709968384," 'April 7 marks the annual World Health Day. This year the WHO is calling for ""a fairer, healthier world for everyone,"" to eliminate health inequities, as the #COVID19 pandemic pushed more people into poverty and food insecurity and more social problems. #WorldHealthDay ",42,96.66,88.3,23.51,3.31,14.0,26.19,83.33,35.71,7.14,0.0,0.0,0.0,0.0,0.0,0.0,7.14,9.52,11.9,2.38,0.0,7.14,0.0,4.76,11.9,11.9,2.38,2.38,4.76,7.14,2.38,4.76,2.38,0.0,0.0,11.9,0.0,0.0,0.0,0.0,4.76,0.0,0.0,2.38,0.0,2.38,0.0,0.0,0.0,0.0,0.0,9.52,0.0,7.14,0.0,2.38,9.52,2.38,0.0,4.76,0.0,2.38,0.0,2.38,0.0,19.05,2.38,7.14,9.52,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,4.76,7.14,0.0,0.0,0.0,0.0,0.0,4.76,2.38,0.0,4.76
1379496307119771652," ""Chinese COVID19 vaccines produced by Sinovac and Sinopharm are expected to be reviewed by the WHO\n for emergency use by the end of April, WHO spokesperson said, according to People's Daily. ",32,99.0,94.08,1.0,25.77,32.0,37.5,75.0,43.75,6.25,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,21.88,6.25,0.0,3.12,0.0,15.62,3.12,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0,0.0,0.0,9.38,0.0,6.25,3.12,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,9.38,3.12,9.38,0.0,0.0,9.38,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,3.12,6.25,0.0,0.0,0.0,0.0,0.0,3.12,3.12,0.0,3.12
1377675634990780416," 'As the European region currently fights a resurgence of COVID-19 transmissions, the World Health Organization (WHO) Regional Office for Europe on Thursday called upon the governments in the region to â€œscale-up of both vaccine production and vaccination.â€_x009d_\n",43,99.0,75.74,77.74,3.52,43.0,25.58,69.77,37.21,2.33,0.0,0.0,0.0,0.0,0.0,0.0,2.33,11.63,20.93,0.0,0.0,4.65,0.0,2.33,2.33,2.33,2.33,2.33,2.33,2.33,0.0,2.33,0.0,2.33,0.0,6.98,0.0,0.0,0.0,0.0,2.33,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,2.33,0.0,0.0,4.65,0.0,0.0,4.65,0.0,0.0,2.33,2.33,0.0,25.58,0.0,20.93,4.65,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26,2.33,2.33,0.0,0.0,0.0,0.0,4.65,0.0,2.33,4.65,6.98
1377490910431244290," ""Exclusive: Professor Yang Yungui, the Chinese head of the joint #WHO-#China team's molecular tracing group, explained the origins tracing study. ",21,99.0,97.14,1.0,25.77,21.0,38.1,57.14,23.81,4.76,0.0,0.0,0.0,0.0,0.0,0.0,4.76,14.29,4.76,0.0,0.0,0.0,0.0,4.76,0.0,0.0,4.76,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0,9.52,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,14.29,9.52,4.76,4.76,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,14.29,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,4.76,9.52,4.76,0.0,0.0,0.0,4.76,4.76,4.76,0.0,9.52
