Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1319048837252763650," 'People were out and about in Beijing, China Wednesday, touring popular destinations like the Forbidden City, posing for wedding pictures, shopping for cars, and enjoying a visit in the fall weather. ",31,99.0,90.14,60.4,83.22,31.0,35.48,80.65,41.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,22.58,3.23,3.23,6.45,0.0,6.45,6.45,3.23,0.0,0.0,0.0,9.68,6.45,3.23,0.0,0.0,0.0,12.9,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,3.23,0.0,3.23,0.0,0.0,3.23,0.0,3.23,22.58,6.45,12.9,3.23,0.0,3.23,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58,3.23,16.13,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0
1319025726230855680,"RT @cgtnamerica: Erected in 1951, the Chinese People's Volunteer (CPV) martyr's cemetery in northeastern China's Shenyang began to commemorâ€¦",19,99.0,85.38,50.35,25.77,19.0,52.63,47.37,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,15.79,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,21.05,0.0,15.79,5.26,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,5.26,5.26,0.0,0.0,47.37,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,15.79,10.53,10.53
1319016364175200256,RT @cgtnamerica: The China International Medical Equipment Fair (CMEF) has become a showcase of the state-of-the-art medical equipment andâ€¦,22,99.0,67.52,2.4,94.75,22.0,31.82,63.64,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,9.09,9.09,0.0,0.0,0.0,9.09,4.55,0.0,0.0,0.0,0.0,4.55,4.55,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,4.55,0.0,4.55,0.0,0.0,4.55,0.0,0.0,0.0,0.0,4.55,0.0,4.55,4.55,0.0,0.0,36.36,0.0,0.0,4.55,0.0,0.0,0.0,13.64,0.0,0.0,9.09,9.09
1318993929363128320,"RT @cgtnamerica: A new United Nations report shows China is experiencing positive growth in 2020â€™s third quarter, despite shrinking globalâ€¦",21,98.45,50.0,89.63,95.81,21.0,38.1,71.43,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,9.52,4.76,0.0,0.0,0.0,4.76,9.52,0.0,0.0,9.52,0.0,4.76,4.76,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,4.76,4.76,9.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,4.76,0.0,0.0,4.76,0.0,23.81,4.76,14.29,4.76,4.76,0.0,0.0,0.0,0.0,0.0,4.76,0.0,4.76,4.76,0.0,0.0,19.05,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52
1318926263172632576,#Coronavirus detected on cold chain food packaging in east #China's Shandong https://t.co/seSP1vtKW5 https://t.co/9V6WbQv9Dv,23,98.23,50.0,9.25,25.77,23.0,21.74,30.43,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,4.35,4.35,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,8.7,0.0,0.0,0.0,39.13,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,26.09
1318919971980734465,2016-2020 Five Years in Review: China committed to green development #plenarysession https://t.co/xiRrpCB3yT,17,99.0,50.0,6.2,25.77,17.0,23.53,52.94,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,5.88,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,5.88,5.88,11.76,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,35.29,5.88,0.0,5.88,0.0,0.0,0.0,5.88,0.0,0.0,0.0,17.65
1318909905311387650,"UN report: China, the only country sees positive trade growth in Q3
https://t.co/ygC0m8uNMM",17,97.21,50.0,28.81,98.87,17.0,17.65,58.82,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,5.88,0.0,0.0,5.88,5.88,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,5.88,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,17.65,5.88,11.76,0.0,11.76,0.0,0.0,5.88,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,29.41,5.88,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76
1318899843805245440,#China's revenue down 6.4% in first three quarters of 2020 https://t.co/Q440nfVron,15,99.0,50.0,43.37,25.77,15.0,20.0,53.33,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.33,6.67,0.0,0.0,0.0,6.67,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,40.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,26.67
1318889773117956096," ""#ChinaBuzz A potential Guinness record breaker for the tallest male teenager has reached 2.21 meters (seven feet and three inches) at age 14.\n\nXiaoyu, a junior high student in SW China's Sichuan, has to have customized furniture and clothes for his distinguished trait. ",44,96.54,67.52,19.82,25.77,44.0,31.82,68.18,31.82,2.27,2.27,0.0,0.0,0.0,2.27,0.0,0.0,6.82,11.36,6.82,0.0,4.55,0.0,6.82,4.55,2.27,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,0.0,0.0,0.0,4.55,4.55,0.0,0.0,0.0,2.27,0.0,2.27,0.0,0.0,0.0,0.0,4.55,4.55,0.0,0.0,0.0,13.64,0.0,2.27,11.36,0.0,0.0,0.0,6.82,2.27,15.91,0.0,13.64,2.27,4.55,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0,2.27,2.27,4.55,6.82
1318884743220350976," ""Why can China build a hospital within days? #plenarysession\n\nChina's infrastructure development was one of the key points addressed in the country's #13thFiveYearPlan (2016-20). High-speed rails, 5G, new airports have been greatly developed in the past five years. ",41,97.8,50.0,71.4,25.77,13.67,26.83,60.98,31.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,9.76,9.76,2.44,0.0,0.0,7.32,4.88,0.0,2.44,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,2.44,0.0,0.0,2.44,0.0,0.0,2.44,0.0,0.0,7.32,4.88,0.0,24.39,0.0,12.2,12.2,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.02,4.88,4.88,0.0,0.0,2.44,0.0,4.88,2.44,4.88,4.88,9.76
1318879706431836160," ""Emergency #COVID19 vaccination kicked off in Shaoxing, E. #China's Zhejiang Province, on Tuesday:\n\n- Two doses: price set at 200 yuan with additional 28 yuan service fee per dose\n- Online registration opens to public aged 18-59; Will provide to medical and health personnel first ",47,98.74,66.48,37.87,25.77,23.5,27.66,61.7,19.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89,2.13,0.0,2.13,0.0,6.38,2.13,0.0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51,0.0,8.51,0.0,0.0,2.13,0.0,2.13,0.0,0.0,0.0,2.13,4.26,2.13,19.15,0.0,12.77,6.38,4.26,0.0,0.0,8.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04,2.13,4.26,4.26,2.13,0.0,0.0,6.38,2.13,2.13,0.0,10.64
1318874673023778816,"#China denies rejecting delivery of merchandise related to K-pop group #BTS
https://t.co/EYU6d3dn0z",17,99.0,88.03,6.2,1.0,17.0,29.41,52.94,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,5.88,5.88,0.0,5.88,0.0,0.0,5.88,11.76,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,5.88,0.0,11.76,0.0,0.0,0.0,5.88,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,11.76,5.88,0.0,0.0,35.29,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,23.53
1318872527922290688,"#China keeps inbound, outbound group tours suspended amid #COVID19 concerns 
https://t.co/G2k8Kq6Qai",15,97.53,74.76,1.0,25.77,15.0,40.0,26.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,40.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67
1318854541840769024," '#GoYunnan The ancient town of Jianchuan has a history of over 650 years, with well-preserved architectures. Join CGTN to explore the ancient town and get to know the traditional culture of the Bai people. #GoChina \n\nmore: ",38,99.0,70.08,81.22,74.74,12.67,28.95,76.32,39.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16,18.42,2.63,2.63,2.63,0.0,10.53,5.26,0.0,0.0,2.63,0.0,2.63,2.63,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,5.26,0.0,2.63,2.63,0.0,0.0,10.53,0.0,21.05,2.63,7.89,10.53,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,2.63,0.0,2.63,0.0,26.32,5.26,2.63,2.63,0.0,0.0,0.0,2.63,0.0,2.63,0.0,10.53
1318849507233320964," 'Digital revolution. What new opportunities does e-commerce offer Chinaâ€™s rural entrepreneurs? Itâ€™s a revolution, says Prof. John Gong from the University of Intl. Business &amp; Economics. â€œE-commerce has enabled these farmers and villagers to reach the market directly.â€_x009d_ ",45,95.1,67.16,1.0,67.75,9.0,31.11,60.0,24.44,4.44,0.0,0.0,0.0,0.0,0.0,0.0,4.44,6.67,6.67,4.44,0.0,2.22,0.0,6.67,4.44,0.0,2.22,0.0,0.0,2.22,2.22,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,4.44,0.0,2.22,0.0,0.0,2.22,0.0,2.22,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,8.89,0.0,4.44,4.44,2.22,0.0,0.0,6.67,0.0,4.44,0.0,2.22,2.22,15.56,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.11,11.11,2.22,0.0,2.22,2.22,0.0,4.44,0.0,2.22,0.0,6.67
1318839443462246401,#GoYunnan: Jungle trekking in SW China's Xishuangbanna #GoChina https://t.co/kNptR1GdNZ,13,97.95,50.0,1.4,25.77,13.0,38.46,15.38,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,53.85,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,30.77
1318830790273245184," ""#China expresses strong dissatisfaction over #Sweden's ban on Chinese companies, like Huawei and ZTE, from its 5G networks, said China's foreign ministry on Wednesday, urging fair business conduct to avoid negative influences on Swedish companies in China ",37,99.0,60.66,21.26,25.77,37.0,40.54,62.16,29.73,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,21.62,0.0,0.0,2.7,2.7,2.7,5.41,2.7,0.0,0.0,0.0,10.81,5.41,5.41,2.7,0.0,0.0,5.41,0.0,0.0,0.0,0.0,2.7,0.0,2.7,0.0,0.0,0.0,0.0,2.7,0.0,2.7,0.0,2.7,0.0,0.0,0.0,2.7,10.81,0.0,0.0,8.11,0.0,2.7,2.7,0.0,0.0,16.22,0.0,13.51,2.7,8.11,2.7,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,10.81,0.0,0.0,0.0,0.0,0.0,2.7,5.41,0.0,5.41
1318829374674587649,#China-#Laos railway project reaches key milestone https://t.co/FQJS9t2ouN,12,93.26,50.0,1.79,25.77,12.0,41.67,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0.0,8.33,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,50.0,8.33,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,33.33
1318827312310145025,Live: Visit a primary school on China-Myanmar border #China #ethnic #minority #GoYunnan #GoChina https://t.co/W53633adUx,19,98.71,70.08,19.27,25.77,19.0,31.58,36.84,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,15.79,5.26,10.53,0.0,5.26,0.0,0.0,0.0,0.0,0.0,5.26,0.0,5.26,0.0,0.0,0.0,52.63,5.26,0.0,5.26,0.0,0.0,0.0,5.26,0.0,0.0,0.0,36.84
1318824341623037954," ""Some large-sized buses in Changsha, capital of central China's Hunan Province, have LED panels installed on their rear screens to show traffic light status in real-time to the drivers behind, which could be helpful in reducing accidents. ",39,98.64,69.6,63.54,73.64,39.0,28.21,61.54,35.9,5.13,2.56,0.0,0.0,0.0,0.0,2.56,2.56,2.56,20.51,7.69,0.0,0.0,0.0,7.69,5.13,0.0,2.56,0.0,2.56,2.56,2.56,0.0,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0,7.69,0.0,2.56,2.56,2.56,0.0,0.0,5.13,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,2.56,0.0,5.13,0.0,0.0,2.56,5.13,0.0,25.64,2.56,20.51,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51,2.56,7.69,0.0,0.0,0.0,0.0,5.13,2.56,2.56,0.0,0.0
1318819308391124993,"The unforgotten war: A tribute to fallen heroes in China's northeast #unforgottenwar

more: https://t.co/XkrwvMxEh0 https://t.co/gxT0oVMSKV",23,99.0,50.0,9.25,25.77,23.0,26.09,47.83,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.7,0.0,0.0,0.0,0.0,0.0,4.35,4.35,0.0,0.0,4.35,8.7,4.35,4.35,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,4.35,0.0,0.0,4.35,0.0,0.0,13.04,4.35,8.7,0.0,0.0,0.0,0.0,0.0,0.0,4.35,8.7,0.0,8.7,0.0,0.0,0.0,43.48,8.7,0.0,8.7,0.0,0.0,0.0,0.0,0.0,4.35,0.0,21.74
1318814275108941825,China embraces greatest achievement in environmental protection #plenarysession #13thFiveYearPlan https://t.co/1xn3JTc3g3,17,97.21,50.0,6.2,98.87,17.0,41.18,35.29,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,5.88,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,5.88,5.88,5.88,5.88,0.0,0.0,0.0,11.76,0.0,11.76,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,29.41,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53
1318809245962424320," ""The Dagu Glacier scenic area in Aba Tibetan and Qiang Autonomous Prefecture, southwest #China's Sichuan Province, witnessed a big snowfall on October 10. With white fluff blanketing the ground and trees, the area was transformed into a winter wonderland. ",39,99.0,50.0,88.5,25.77,19.5,33.33,53.85,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82,10.26,2.56,0.0,5.13,0.0,2.56,5.13,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,2.56,0.0,0.0,2.56,0.0,0.0,28.21,0.0,23.08,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51,5.13,7.69,0.0,0.0,0.0,0.0,0.0,2.56,2.56,0.0,2.56
