Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1230806996087169024," ""'Shameful'\n\nUkrainians attack a bus carrying 70 evacuees from China over the coronavirus outbreak ",15,99.0,50.0,10.08,1.0,15.0,40.0,46.67,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,13.33,0.0,13.33,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,13.33,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,13.33,0.0,13.33
1230735700745539590,RT @AJENews: China's Hubei says 220 people from the province's prison system are also infected with coronavirus https://t.co/hPHVE96Bmc httâ€¦,23,93.26,90.38,1.0,25.77,23.0,21.74,52.17,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,8.7,4.35,4.35,4.35,0.0,8.7,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,4.35,0.0,4.35,0.0,0.0,4.35,0.0,0.0,4.35,0.0,0.0,0.0,8.7,0.0,4.35,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,8.7,4.35,0.0,0.0,34.78,4.35,0.0,4.35,0.0,0.0,0.0,0.0,0.0,8.7,0.0,17.39
1230647176990253061,China coronavirus outbreak: All the latest updates https://t.co/MBfhIxP4a8,12,98.14,50.0,23.51,25.77,12.0,33.33,41.67,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,33.33,8.33,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67
1230375401874169866,China expels foreign journalists as coronavirus deaths climb https://t.co/HXvN75BwhQ,13,93.26,50.0,1.4,25.77,13.0,30.77,38.46,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,0.0,7.69,0.0,0.0,0.0,23.08,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38
1230292370027163649,China coronavirus outbreak: All the latest updates https://t.co/CDeMn5xL4M,12,98.14,50.0,23.51,25.77,12.0,33.33,50.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,8.33,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,33.33,8.33,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67
1230164648009310215," 'At least 2,004 people in mainland China have died from the #coronavirus, which has now spread to 27 countries ",20,96.79,69.14,43.37,25.77,20.0,15.0,65.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,20.0,10.0,5.0,0.0,0.0,15.0,5.0,5.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,20.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
1230136882861953024,"RT @AJENews: UN AIDS agency warns that HIV patients in China are running out of drugs amid coronavirus lockdowns.

Keep up to date with theâ€¦",25,99.0,78.82,43.37,1.0,12.5,20.0,72.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,8.0,0.0,8.0,0.0,0.0,4.0,0.0,4.0,0.0,8.0,0.0,20.0,4.0,12.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1230056202807185408, 'China revokes press credentials of three at Wall Street Journal over coronavirus opinion piece the govâ€™t deemed to be â€˜racistâ€™.\n\nFollow the latest on #COVID19: ,28,99.0,50.0,52.86,25.77,28.0,28.57,57.14,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,17.86,3.57,0.0,0.0,0.0,3.57,3.57,3.57,0.0,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,3.57,0.0,0.0,3.57,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,3.57,0.0,0.0,0.0,3.57,0.0,21.43,0.0,17.86,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,3.57,0.0,3.57,0.0,0.0,0.0,0.0,0.0,3.57,0.0,10.71
1230054445251166208," 'As of February 19, there were at least 14,000 people from mainland China who were reported to have recovered from the coronavirus.\n\nSome survivors recall the ordeal ",29,97.62,75.49,3.81,25.77,29.0,20.69,68.97,44.83,3.45,0.0,0.0,0.0,0.0,0.0,0.0,3.45,6.9,20.69,10.34,3.45,3.45,0.0,10.34,6.9,6.9,3.45,10.34,3.45,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,6.9,0.0,0.0,0.0,6.9,3.45,0.0,6.9,0.0,3.45,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,3.45,6.9,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,6.9
1230046864700952576," ""There's concern over China's mass surveillance system being used to combat the spread of the coronavirus. Here's why. ",18,93.26,50.0,4.97,25.77,9.0,16.67,66.67,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,16.67,11.11,16.67,0.0,0.0,22.22,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,5.56,0.0,5.56,5.56,11.11,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,11.11,0.0,0.0,0.0,0.0,0.0,0.0,5.56,16.67,0.0,0.0
