Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1382217724215054336," 'The COVID-19 pandemic is a long way from over, due to â€œconfusion and complacencyâ€_x009d_ in addressing the disease, says the World Health Organization.\n\nRead more: ",29,99.0,63.49,47.93,25.77,29.0,20.69,65.52,34.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.79,13.79,3.45,0.0,3.45,0.0,6.9,3.45,3.45,0.0,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,3.45,0.0,6.9,0.0,6.9,0.0,0.0,3.45,0.0,0.0,3.45,0.0,0.0,0.0,6.9,0.0,20.69,0.0,17.24,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48,3.45,6.9,3.45,0.0,0.0,0.0,3.45,0.0,3.45,0.0,13.79
1382030830881570817," 'WHO says the COVID-19 pandemic is a long way from over, due to â€œconfusion and complacencyâ€_x009d_ in addressing the disease, but that it can be brought under control with proven public health measures and equitable vaccination. \n\nRead more: ",42,93.26,68.29,52.86,25.77,21.0,23.81,69.05,42.86,7.14,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,14.29,7.14,0.0,7.14,0.0,9.52,2.38,2.38,2.38,2.38,2.38,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,7.14,2.38,2.38,0.0,0.0,2.38,2.38,2.38,0.0,2.38,0.0,4.76,0.0,4.76,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,2.38,9.52,0.0,16.67,2.38,11.9,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,2.38,4.76,2.38,0.0,0.0,0.0,2.38,0.0,2.38,0.0,9.52
1380666884148842496," 'â€œThe virus will not be defeated in a divided world.â€_x009d_ \n\nWorld Bank, WHO urge unity in global vaccine efforts ",23,88.21,33.19,54.89,1.0,23.0,17.39,52.17,30.43,4.35,0.0,0.0,0.0,0.0,0.0,0.0,4.35,4.35,8.7,8.7,0.0,0.0,4.35,8.7,0.0,0.0,4.35,0.0,0.0,4.35,0.0,4.35,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,8.7,4.35,0.0,0.0,0.0,4.35,4.35,17.39,0.0,17.39,0.0,8.7,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,17.39
1379517017196216321," 'â€œItâ€™s a travesty that in some countries health workers and those at-risk groups remain completely unvaccinated.â€_x009d_ - Tedros Adhanom, WHO chief. ",25,82.26,78.82,6.7,1.0,25.0,24.0,60.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,16.0,4.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,8.0
1377142567792349197," 'â€œThe report lacks crucial data, information and access.â€_x009d_ \n\nThe White House criticises WHOâ€™s long-awaited report into the origins of COVID-19, saying it presents an incomplete picture ðŸ‘‡ ",34,97.21,61.58,1.0,1.76,34.0,23.53,55.88,17.65,2.94,0.0,0.0,0.0,0.0,0.0,0.0,2.94,5.88,5.88,0.0,0.0,2.94,0.0,5.88,2.94,0.0,0.0,2.94,0.0,2.94,0.0,2.94,0.0,2.94,0.0,2.94,0.0,0.0,0.0,0.0,11.76,2.94,2.94,2.94,2.94,0.0,0.0,8.82,5.88,2.94,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,2.94,2.94,0.0,2.94,0.0,5.88,0.0,5.88,0.0,5.88,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29,2.94,5.88,0.0,0.0,0.0,0.0,5.88,2.94,2.94,0.0,14.71
1376993967254962177," '@DrAmirKhanGP 14 countries including the US, Japan and UK raise concern over WHO report on COVID origin ",17,97.21,96.11,66.34,25.77,17.0,23.53,64.71,41.18,11.76,5.88,0.0,5.88,0.0,0.0,0.0,5.88,5.88,17.65,0.0,0.0,5.88,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,5.88,0.0,5.88,0.0,5.88,0.0,0.0,0.0,23.53,0.0,17.65,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88
1376515734906494990, 'A joint WHO-China study on the origins of COVID-19 says that transmission of the virus from bats to humans through another animal is the most likely scenario â¤µï¸_x008f_ ,32,99.0,82.58,1.0,25.77,32.0,15.62,62.5,43.75,9.38,0.0,0.0,0.0,0.0,0.0,0.0,9.38,12.5,18.75,3.12,0.0,0.0,0.0,6.25,3.12,3.12,3.12,3.12,6.25,0.0,0.0,0.0,0.0,0.0,0.0,9.38,0.0,0.0,0.0,0.0,9.38,0.0,3.12,0.0,6.25,0.0,0.0,3.12,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,3.12,0.0,3.12,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,3.12,0.0,6.25
1375907620377202701, 'South Africa and India have turned to WHO to ask vaccine makers to give up their intellectual property rights so more COVID-19 vaccines can be produced locally.\n\nShould vaccine makers give away patents to speed up rollout? #AJCTCðŸ‘‡ ,40,90.61,89.42,27.99,72.57,20.0,27.5,65.0,35.0,5.0,2.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0,17.5,7.5,2.5,5.0,0.0,15.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,7.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,2.5,15.0,0.0,17.5,2.5,12.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,2.5,0.0,0.0,0.0,2.5,0.0,2.5,2.5,2.5,0.0,10.0
1374139227877822465, 'WHO urges vaccine makers to overcome vaccine inequity to end the COVID-19 pandemic â€“ by following AstraZenecaâ€™s lead and license technology ://aje.io/ephku ,27,97.84,64.46,4.97,25.77,27.0,33.33,44.44,22.22,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,11.11,0.0,0.0,3.7,0.0,7.41,0.0,0.0,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,7.41,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,7.41,3.7,0.0,0.0,0.0,3.7,0.0,11.11,7.41,0.0,3.7,3.7,0.0,0.0,0.0,0.0,0.0,3.7,0.0,3.7,0.0,0.0,0.0,22.22,3.7,0.0,0.0,0.0,0.0,0.0,3.7,3.7,3.7,0.0,7.41
1372908724667478019," 'Almost a dozen countries from Indonesia to France have started using AstraZeneca vaccine again, as EMA, WHO and UK bodies quell fears over blood clot reports ",26,88.9,64.99,17.46,1.0,26.0,23.08,69.23,38.46,3.85,0.0,0.0,0.0,0.0,0.0,0.0,3.85,3.85,15.38,3.85,7.69,7.69,0.0,11.54,3.85,3.85,3.85,3.85,0.0,3.85,0.0,3.85,3.85,0.0,0.0,3.85,0.0,0.0,0.0,0.0,7.69,0.0,3.85,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,0.0,3.85,0.0,0.0,3.85,0.0,0.0,3.85,3.85,0.0,15.38,0.0,7.69,7.69,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.54,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0
1383155282478571522,RT @AJEnglish: #Ramadan decorations fill the streets of Jerusalemâ€™s Old City as Palestinians welcome a holy month freer of COVID-19 restricâ€¦,23,99.0,80.77,54.89,93.61,23.0,34.78,65.22,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,13.04,0.0,0.0,4.35,0.0,0.0,8.7,4.35,0.0,4.35,0.0,4.35,4.35,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,0.0,13.04,8.7,0.0,4.35,0.0,0.0,8.7,0.0,4.35,0.0,4.35,4.35,0.0,0.0,21.74,0.0,0.0,4.35,0.0,0.0,0.0,4.35,0.0,0.0,0.0,13.04
