Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1318554308934324231,"RT @AJListeningPost: Kashmir sits between India, China and Pakistan - and each country claims a part of the region.

Geography, history andâ€¦",21,98.45,68.29,37.24,25.77,10.5,33.33,61.9,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,9.52,0.0,0.0,9.52,0.0,4.76,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,19.05,0.0,14.29,4.76,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,4.76,4.76,0.0,0.0,33.33,4.76,9.52,4.76,0.0,0.0,0.0,4.76,0.0,0.0,0.0,9.52
1318499724081725441,"China asks India to honour pledge, return apprehended soldier https://t.co/rxREXjj6R6 https://t.co/zBofRmeX9N",19,96.93,70.08,1.0,97.58,19.0,21.05,42.11,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,0.0,5.26,15.79,0.0,0.0,0.0,5.26,0.0,5.26,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,10.53,0.0,0.0,0.0,36.84,10.53,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05
1318394032645689344," 'Australia will join India, Japan, the United States in large-scale military exercises off the coast of India next month due to concerns of rising Chinese influence ",27,99.0,50.0,79.42,25.77,27.0,22.22,62.96,29.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,18.52,3.7,0.0,0.0,0.0,7.41,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,3.7,0.0,0.0,14.81,3.7,0.0,11.11,0.0,0.0,0.0,3.7,3.7,25.93,3.7,11.11,11.11,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81,0.0,7.41,0.0,0.0,0.0,0.0,3.7,0.0,3.7,0.0,0.0
1317423885550235648,"Sanctions, tariffs and outright bans, #AJCTC looks at the price of doing business with China https://t.co/XRJpJUfotO https://t.co/aD3SLjoDwY",25,98.05,50.0,1.0,25.77,25.0,24.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,36.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1317337072504573952," '""I would fight everybody, anybody ... [But] this time it\'s a different fight. It\'s a fight I feel is worthy. This time, it\'s a fight for people."" - China Mac, rapper. ",32,38.6,82.58,35.37,1.0,6.4,9.38,78.12,50.0,28.12,6.25,6.25,0.0,0.0,0.0,0.0,21.88,9.38,3.12,6.25,0.0,3.12,0.0,9.38,3.12,3.12,0.0,0.0,0.0,12.5,0.0,12.5,0.0,12.5,0.0,21.88,0.0,0.0,0.0,0.0,18.75,3.12,0.0,3.12,3.12,3.12,6.25,3.12,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,21.88,9.38,0.0,0.0,0.0,0.0,3.12,6.25,12.5,0.0,15.62
1317295523179712515,Trudeau says Canada will not be cowed by China on human rights https://t.co/kjjO8gxWtG,17,85.92,50.0,6.2,25.77,17.0,11.76,47.06,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,11.76,0.0,0.0,5.88,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,5.88,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,17.65,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76
1317111146030268417," '@AJ101East â€œIt hurts to know that the same country that youâ€™re born and raised, hates you or doesnâ€™t see you as equal. This is my country. Iâ€™m just fighting because itâ€™s the right thing to do.â€_x009d_ â€“ @chinamacmusic, rapper ",46,53.96,74.3,16.76,1.0,15.33,13.04,63.04,39.13,15.22,6.52,2.17,0.0,4.35,0.0,0.0,8.7,4.35,6.52,4.35,2.17,8.7,0.0,13.04,6.52,6.52,0.0,0.0,2.17,6.52,0.0,6.52,0.0,4.35,2.17,6.52,0.0,0.0,0.0,0.0,6.52,2.17,2.17,0.0,2.17,0.0,2.17,4.35,2.17,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,10.87,0.0,8.7,0.0,6.52,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.91,6.52,4.35,0.0,0.0,0.0,0.0,0.0,2.17,2.17,0.0,8.7
1317065278199615488,China rejects news report saying Uighur children being separated from parents https://t.co/X3g5A7AG5k https://t.co/imcfGAl2hO,21,93.26,82.96,2.82,1.0,21.0,28.57,47.62,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,4.76,0.0,4.76,0.0,0.0,4.76,14.29,4.76,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,4.76,4.76,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,14.29,4.76,0.0,9.52,0.0,0.0,0.0,0.0,0.0,4.76,0.0,4.76,0.0,4.76,0.0,0.0,0.0,0.0,0.0,9.52,0.0,9.52,0.0,0.0,0.0,28.57,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05
1316963352774574080," 'In response to the US, China is set to pass a new tech law that would restrict sensitive exports vital to national security ",23,98.23,80.77,9.25,99.0,23.0,26.09,78.26,43.48,8.7,4.35,0.0,4.35,0.0,0.0,0.0,4.35,8.7,17.39,8.7,0.0,0.0,0.0,13.04,13.04,0.0,0.0,0.0,0.0,8.7,8.7,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,8.7,0.0,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,0.0,13.04,4.35,0.0,4.35,0.0,4.35,0.0,8.7,0.0,17.39,4.35,8.7,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0
1316589642054070273,China says US undermines peace after ship sails through strait https://t.co/rlpsheftxz,15,97.53,97.69,1.0,99.0,15.0,20.0,40.0,20.0,6.67,6.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,6.67,6.67,6.67,0.0,0.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,20.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33
