"id_str","extended"
"1230806996087169024"," ""'Shameful'\n\nUkrainians attack a bus carrying 70 evacuees from China over the coronavirus outbreak "
"1230735700745539590","RT @AJENews: China's Hubei says 220 people from the province's prison system are also infected with coronavirus https://t.co/hPHVE96Bmc htt…"
"1230647176990253061","China coronavirus outbreak: All the latest updates https://t.co/MBfhIxP4a8"
"1230375401874169866","China expels foreign journalists as coronavirus deaths climb https://t.co/HXvN75BwhQ"
"1230292370027163649","China coronavirus outbreak: All the latest updates https://t.co/CDeMn5xL4M"
"1230164648009310215"," 'At least 2,004 people in mainland China have died from the #coronavirus, which has now spread to 27 countries "
"1230136882861953024","RT @AJENews: UN AIDS agency warns that HIV patients in China are running out of drugs amid coronavirus lockdowns.

Keep up to date with the…"
"1230056202807185408"," 'China revokes press credentials of three at Wall Street Journal over coronavirus opinion piece the gov’t deemed to be ‘racist’.\n\nFollow the latest on #COVID19: "
"1230054445251166208"," 'As of February 19, there were at least 14,000 people from mainland China who were reported to have recovered from the coronavirus.\n\nSome survivors recall the ordeal "
"1230046864700952576"," ""There's concern over China's mass surveillance system being used to combat the spread of the coronavirus. Here's why. "
"1230001751765463040","Cheating death: China's Wuhan coronavirus survivors recall ordeal https://t.co/GjVKrFagzs"
"1229994016810291200"," ""A newly revealed database exposes methods the Chinese gov't employed to crack down on Uighur Muslims in Xinjiang.\n\nRead more: "
"1229926244399099906","China coronavirus outbreak: All the latest updates https://t.co/nMVwubSNF8"
"1229841975270092800","RT @AJEnglish: China's leaked database exposes the methods the gov't employed to crack down on Uighur Muslims.

Reasons for detention liste…"
"1229707127377121282"," ""China's leaked database exposes the methods the gov't employed to crack down on Uighur Muslims.\n\nReasons for detention listed include growing a beard, praying regularly or having ‘too many’ children.\n\nRead more: "
"1229679095279210497"," ""Coronavirus infections slow in China for the first time since January.\n\nHere's the latest on #COVID19: "
"1229664923715866624"," 'Hospital director in China’s Wuhan dies of #COVID19, as WHO warns against overreaction to the new coronavirus.\n\nThe death toll has hit 1,868. Follow the latest: "
"1229661470897602560","RT @AJENews: Coronavirus infections slow in China for first time since January. Follow all the latest updates: https://t.co/nWCB0OT9iw http…"
"1229560030527180801","China coronavirus outbreak: All the latest updates https://t.co/xAvNsURWdm"
"1229493573382496257","Millions under lockdown in China's Wuhan — in pictures https://t.co/MmlSCu9ss0 | #coronavirus https://t.co/3sewBBmhSL"
"1229488243114172416"," 'Is China putting party before people amid the deadly #coronavirus outbreak? Join the @AJStream conversation LIVE on Youtube: "
"1229437851470880769","#Coronavirus latest figures from China's National Health Commission https://t.co/LjHaRANKrX https://t.co/wdAQWH2Der"
"1229314811281932289"," ""Before, her eccentric designs made her the subject of cyber-bullying. \n\nPut in an upscale gallery, it became fashionable art.\n\n▶️ Watch @AJWitness' The Fashion Misfit of China: "
"1229205211618697216","China coronavirus outbreak: All the latest updates https://t.co/zKf5s5gtRM"
"1229110959509266433"," ""As the death toll from the coronavirus keeps rising, it's not only crippling China's economy, but having a knock-on effect globally #AJCTC "
"1229028286531088385"," ""China announces a drop in new #coronavirus cases for the third straight day. Meanwhile, France confirms Europe's first fatality.\n\nRead more: "
"1228997368550436865"," ""Global alarm mounts over China's rapidly spreading #coronavirus in, but just how worried should you be? "
"1228986179992854532","China's Hubei province bans vehicle traffic to curb spread of #coronavirus | https://t.co/meDhOBBTxI https://t.co/RseeMWf31i"
"1228920140550545408"," '#Coronavirus death toll rises above 1,600 in China, as World Health Organization praises containment efforts "
"1228827699008937985","China coronavirus outbreak: All the latest updates https://t.co/q0drVTui5t"
"1228698997784817664"," 'When China’s human rights record was questioned, the foreign minister said the country had “stood with the Palestinians and other oppressed people”. "
"1228676381938274304","RT @AJE_Sport: #COVID19 forces cancellation of Olympic qualifiers and major international competitions in China https://t.co/fAFRJ0wQr3 htt…"
"1228555010331549696","New #coronavirus fatalities push China's death toll above 1,500 people https://t.co/VFIFQ7ENcr | #COVID19 https://t.co/OKM64dRd0m"
"1228514352690536448"," 'Are Australian universities the victims of foreign infiltration and data theft? \n\n@AJ101East investigates a cyber heist that stole decades of private information: "
"1228480463985086464","China coronavirus outbreak: All the latest updates https://t.co/xx0LUrLc9c"
