Source,Target,Weight
world,health,53
world,organization,45
world,express,4
world,concern,4
world,rise,6
world,rate,5
world,new,6
world,covid,74
world,infection,6
world,death,9
world,third,4
world,wave,4
world,virus,10
world,across,6
world,director,5
world,general,4
world,warn,2
world,global,11
world,case,3
world,press,2
world,public,2
world,follow,2
world,contain,2
world,vaccine,61
world,administer,7
world,far,2
world,wealthy,4
world,nation,4
world,report,17
world,africa,5
world,percent,3
world,million,10
world,dos,9
world,give,6
world,globally,5
world,say,28
world,link,5
world,rare,3
world,occurrence,3
world,blood,7
world,clot,5
world,low,4
world,platelet,3
world,consider,3
world,confirm,4
world,mark,3
world,day,5
world,year,6
world,call,7
world,healthy,8
world,pandemic,10
world,push,3
world,people,7
world,food,2
world,social,2
world,region,6
world,currently,3
world,fight,4
world,resurgence,3
world,transmission,3
world,regional,4
world,office,4
world,government,3
world,scale,3
world,production,3
world,vaccination,3
world,data,6
world,provide,4
world,maker,5
world,show,4
world,level,5
world,efficacy,5
world,compatible,5
world,advisory,3
world,china,21
world,believe,4
world,joint,9
world,research,6
world,carry,5
world,play,4
world,positive,6
world,role,4
world,promote,4
world,origin,14
world,tracing,5
world,foreign,6
world,ministry,5
world,study,5
world,coronavirus,1
world,open,1
world,jab,3
world,brazil,2
world,second,5
world,many,1
world,control,1
world,india,1
world,hit,1
world,high,5
world,daily,1
world,total,1
world,city,1
world,row,1
world,around,2
world,official,6
world,receive,4
world,figure,2
world,number,1
world,bank,3
world,billion,1
world,end,1
world,develop,1
world,country,9
world,share,2
world,major,2
world,economy,4
world,like,2
world,fund,2
world,work,5
world,recover,1
world,business,2
world,look,2
world,international,4
world,market,2
world,crisis,2
world,affect,2
world,child,1
world,expect,3
world,strong,2
world,economic,4
world,recovery,5
world,risk,5
world,benefit,2
world,still,2
world,claim,2
world,roll,1
world,slow,1
world,part,5
world,spike,1
world,become,2
world,today,1
world,take,1
world,challenge,1
world,university,1
world,trade,3
world,expert,11
world,release,4
world,base,5
world,head,1
