Source,Target,Weight
talk,university,6
talk,challenge,4
talk,china,37
talk,face,3
talk,deal,4
talk,people,9
talk,medium,5
talk,watch,5
talk,live,4
talk,ambassador,5
talk,coronavirus,12
talk,interview,4
talk,post,2
talk,response,4
talk,country,4
talk,impact,1
talk,business,1
talk,expert,4
talk,manage,1
talk,director,3
talk,group,1
talk,win,3
talk,join,3
talk,heat,2
talk,market,2
talk,need,2
talk,big,2
talk,rise,2
talk,doctor,6
talk,like,7
talk,year,4
talk,old,8
talk,respiratory,4
talk,scientist,2
talk,death,2
talk,novel,20
talk,three,1
talk,great,5
talk,effort,1
talk,contain,1
talk,epidemic,2
talk,prevention,3
talk,control,3
talk,international,7
talk,patient,15
talk,another,3
talk,city,10
talk,leave,5
talk,east,3
talk,zhejiang,3
talk,province,3
talk,spring,3
talk,festival,3
talk,opinion,3
talk,around,3
talk,take,2
talk,hit,1
talk,fear,1
talk,spread,1
talk,outbreak,13
talk,news,1
talk,fight,10
talk,offer,1
talk,support,1
talk,government,1
talk,phone,13
talk,president,6
talk,reporter,2
talk,nurse,4
talk,work,4
talk,risk,2
talk,daily,2
talk,one,4
talk,emergency,8
talk,hospital,12
talk,build,2
talk,complete,2
talk,put,2
talk,use,2
talk,construction,2
talk,site,2
talk,worker,2
talk,progress,2
talk,exclusive,1
talk,turn,1
talk,virus,3
talk,global,3
talk,health,8
talk,late,1
talk,make,2
talk,current,2
talk,family,2
talk,inside,2
talk,local,3
talk,stay,3
talk,isolation,1
talk,ward,1
talk,volunteer,1
talk,begin,1
talk,second,1
talk,day,1
talk,life,5
talk,student,3
talk,amid,1
talk,visit,1
talk,still,1
talk,many,2
talk,world,4
talk,extend,5
talk,help,2
talk,hand,2
talk,call,2
talk,study,2
talk,jinping,3
talk,dedicate,2
talk,also,2
talk,confidence,3
talk,ability,2
talk,ready,2
talk,maintain,2
talk,say,8
talk,keep,1
talk,close,1
talk,provide,1
talk,order,3
talk,include,2
talk,issue,2
talk,community,2
talk,battle,2
talk,open,2
talk,south,2
talk,update,2
talk,public,2
talk,concern,2
talk,night,1
talk,express,1
talk,full,1
talk,victory,1
talk,pneumonia,1
talk,new,1
talk,share,1
talk,action,1
talk,first,2
talk,batch,2
talk,recover,2
talk,covid,2
talk,discharge,2
talk,convert,2
talk,makeshift,2
talk,recently,2
talk,xinhua,2
talk,receive,2
university,challenge,3
university,china,28
university,face,3
university,deal,3
university,people,7
university,medium,3
university,watch,3
university,life,7
university,student,21
university,return,6
university,send,5
university,message,4
university,fight,9
university,year,5
university,old,6
university,novel,10
university,patient,4
university,discharge,2
university,first,2
university,hospital,9
university,medicine,2
university,zhejiang,4
university,also,2
university,infect,3
university,virus,2
university,east,2
university,province,3
university,back,2
university,home,2
university,donate,2
university,mask,4
university,city,4
university,near,2
university,friend,2
university,thank,2
university,mother,2
university,child,2
university,say,2
university,director,3
university,department,2
university,third,2
university,press,2
university,conference,2
university,hold,3
university,national,2
university,health,2
university,commission,2
university,state,1
university,council,1
university,extend,1
university,new,1
university,holiday,1
university,three,4
university,day,3
university,effort,1
university,curb,1
university,school,2
university,across,1
university,country,1
university,postpone,2
university,start,2
university,spring,2
university,military,8
university,doctor,3
university,medical,12
university,personnel,5
university,experience,5
university,combat,3
university,rush,3
university,hour,3
university,help,3
university,live,5
university,update,3
university,world,2
university,staff,2
university,treatment,3
university,tell,2
university,infection,3
university,coronavirus,5
university,center,1
university,beijing,3
university,base,1
university,capital,1
university,study,4
university,makeshift,1
university,case,1
university,speak,1
university,nurse,4
university,work,2
university,recover,4
university,share,2
university,travel,1
university,high,1
university,term,1
university,amid,2
university,international,3
university,meet,1
university,make,1
university,impact,1
university,supply,1
university,like,3
university,visit,1
university,local,1
university,still,1
university,see,1
university,medic,1
university,south,1
university,check,1
university,test,4
university,positive,2
university,within,2
university,develop,6
university,outbreak,3
university,carry,2
university,read,1
university,story,1
university,epidemic,1
university,clinical,2
university,top,2
university,vaccine,2
university,former,1
university,site,1
university,young,2
university,female,2
challenge,china,21
challenge,face,5
challenge,deal,6
challenge,people,4
challenge,medium,5
challenge,watch,3
challenge,opinion,7
challenge,outbreak,8
challenge,social,2
challenge,battle,4
challenge,month,1
challenge,disease,1
challenge,find,1
challenge,many,1
challenge,continue,1
challenge,work,1
challenge,hard,1
challenge,keep,2
challenge,city,4
challenge,daily,1
challenge,economy,3
challenge,remain,5
challenge,show,1
challenge,strong,1
challenge,epidemic,10
