Source,Target,Weight
talk,university,6
talk,challenge,4
talk,china,75
talk,face,7
talk,deal,24
talk,people,12
talk,medium,7
talk,watch,7
talk,live,4
talk,coronavirus,49
talk,post,4
talk,response,4
talk,country,10
talk,impact,2
talk,business,4
talk,expert,4
talk,director,4
talk,group,3
talk,win,3
talk,join,6
talk,russia,4
talk,market,6
talk,need,2
talk,next,5
talk,big,3
talk,rise,3
talk,doctor,8
talk,like,8
talk,year,9
talk,old,9
talk,scientist,2
talk,death,3
talk,early,2
talk,novel,20
talk,three,1
talk,great,5
talk,effort,2
talk,contain,3
talk,epidemic,2
talk,prevention,3
talk,control,5
talk,international,10
talk,patient,15
talk,move,6
talk,another,4
talk,city,13
talk,leave,5
talk,east,3
talk,province,3
talk,festival,3
talk,around,3
talk,take,3
talk,hit,3
talk,fear,2
talk,spread,1
talk,right,3
talk,outbreak,15
talk,news,1
talk,fight,10
talk,offer,1
talk,firm,3
talk,support,3
talk,government,7
talk,president,21
talk,reporter,3
talk,nurse,6
talk,work,5
talk,risk,2
talk,daily,2
talk,job,2
talk,one,9
talk,emergency,8
talk,hospital,13
talk,build,2
talk,put,4
talk,use,12
talk,construction,2
talk,worker,6
talk,exclusive,8
talk,turn,3
talk,virus,6
talk,declare,1
talk,global,15
talk,health,13
talk,late,1
talk,make,4
talk,family,2
talk,inside,2
talk,local,4
talk,stay,4
talk,volunteer,1
talk,begin,1
talk,second,4
talk,day,5
talk,life,5
talk,student,3
talk,amid,7
talk,visit,2
talk,still,6
talk,threat,4
talk,many,2
talk,world,12
talk,extend,7
talk,help,2
talk,hand,2
talk,call,8
talk,study,2
talk,jinping,3
talk,trump,29
talk,also,2
talk,confidence,3
talk,australia,7
talk,say,48
talk,keep,2
talk,close,4
talk,provide,2
talk,order,4
talk,include,2
talk,issue,5
talk,british,3
talk,community,2
talk,battle,3
talk,open,2
talk,south,10
talk,update,4
talk,whether,2
talk,public,2
talk,concern,3
talk,night,1
talk,express,1
talk,full,2
talk,pneumonia,1
talk,new,11
talk,share,2
talk,first,5
talk,batch,2
talk,recover,2
talk,covid,75
talk,discharge,2
talk,makeshift,2
talk,recently,2
talk,xinhua,2
talk,receive,3
talk,hold,7
talk,level,4
talk,part,6
talk,mark,3
talk,poverty,2
talk,experience,1
talk,show,5
talk,india,3
talk,ease,5
talk,border,2
talk,end,10
talk,relief,29
talk,election,7
talk,urge,2
talk,japanese,1
talk,company,3
talk,general,2
talk,pandemic,7
talk,future,2
talk,grow,2
talk,leader,6
talk,shut,2
talk,economy,6
talk,recent,3
talk,report,4
talk,presidential,2
talk,party,1
talk,week,2
talk,mike,2
talk,treat,4
talk,treatment,5
talk,joe,1
talk,vaccination,2
talk,set,2
talk,million,3
talk,dos,3
talk,vaccine,29
talk,produce,1
talk,march,4
talk,seven,1
talk,official,4
talk,foreign,5
talk,ministry,8
talk,since,2
talk,import,2
talk,united,3
talk,state,4
talk,change,3
talk,economic,6
talk,recovery,2
talk,top,8
talk,accord,2
talk,statement,1
talk,travel,7
talk,two,2
talk,base,1
talk,look,3
talk,check,1
talk,number,1
talk,plan,5
talk,free,1
talk,source,13
talk,minister,3
talk,evacuate,2
talk,citizen,2
talk,secretary,12
talk,expect,4
talk,trade,4
talk,near,1
talk,federal,5
talk,quarter,1
talk,military,1
talk,month,3
talk,long,3
talk,behind,1
talk,white,9
talk,house,28
talk,try,3
talk,lose,1
talk,raise,1
talk,aid,32
talk,problem,1
talk,delay,1
talk,test,1
talk,pass,1
talk,bill,10
talk,come,3
talk,small,1
talk,measure,2
talk,wear,1
talk,mask,2
talk,wave,1
talk,stop,1
talk,approve,1
talk,even,1
talk,continue,11
talk,reach,13
talk,vice,1
talk,key,1
talk,know,3
talk,see,2
talk,administration,4
talk,die,1
talk,toll,1
talk,age,1
talk,hong,1
talk,start,3
talk,bank,1
talk,sell,4
talk,could,7
talk,billion,5
talk,taiwan,4
talk,rare,1
talk,person,1
talk,good,1
talk,time,1
talk,japan,9
talk,high,2
talk,contact,2
talk,export,1
talk,africa,4
talk,seek,4
talk,resume,5
talk,potential,2
talk,chief,2
talk,staff,2
talk,financial,2
talk,back,3
talk,remain,2
talk,hour,7
talk,stand,2
talk,democratic,3
talk,office,4
talk,supply,3
talk,asian,3
talk,trial,3
talk,push,2
talk,region,1
talk,korea,8
talk,case,4
talk,air,1
talk,shot,3
talk,thousand,3
talk,fund,4
talk,announce,1
talk,would,2
