Source,Target,Weight
talk,university,6
talk,china,46
talk,face,4
talk,deal,4
talk,people,9
talk,medium,5
talk,watch,5
talk,live,4
talk,coronavirus,17
talk,post,2
talk,response,4
talk,country,4
talk,impact,2
talk,business,1
talk,expert,4
talk,director,3
talk,advisory,1
talk,group,1
talk,win,3
talk,join,5
talk,market,3
talk,need,2
talk,big,2
talk,rise,2
talk,doctor,6
talk,like,8
talk,year,4
talk,old,8
talk,respiratory,4
talk,scientist,2
talk,death,2
talk,early,2
talk,warning,2
talk,novel,20
talk,three,1
talk,great,5
talk,effort,1
talk,contain,3
talk,epidemic,2
talk,prevention,3
talk,control,3
talk,international,9
talk,patient,15
talk,move,3
talk,another,3
talk,city,10
talk,leave,5
talk,east,3
talk,province,3
talk,around,3
talk,take,2
talk,hit,2
talk,fear,2
talk,spread,1
talk,outbreak,15
talk,news,1
talk,fight,10
talk,offer,1
talk,firm,1
talk,support,1
talk,government,3
talk,phone,13
talk,president,6
talk,reporter,2
talk,nurse,4
talk,work,4
talk,risk,2
talk,daily,2
talk,one,7
talk,emergency,8
talk,hospital,12
talk,build,2
talk,put,2
talk,use,5
talk,construction,2
talk,worker,2
talk,exclusive,4
talk,turn,1
talk,virus,3
talk,declare,1
talk,global,3
talk,health,8
talk,late,1
talk,make,4
talk,family,2
talk,inside,2
talk,local,3
talk,stay,3
talk,isolation,1
talk,begin,1
talk,second,2
talk,day,2
talk,life,5
talk,student,3
talk,amid,1
talk,visit,1
talk,still,1
talk,threat,4
talk,many,2
talk,world,5
talk,extend,5
talk,help,2
talk,hand,2
talk,call,2
talk,study,2
talk,jinping,3
talk,trump,4
talk,also,2
talk,confidence,3
talk,australia,2
talk,say,8
talk,australian,2
talk,keep,1
talk,close,1
talk,provide,1
talk,order,3
talk,include,2
talk,issue,2
talk,community,2
talk,battle,2
talk,open,2
talk,south,2
talk,update,2
talk,public,2
talk,concern,2
talk,express,1
talk,full,1
talk,pneumonia,1
talk,new,1
talk,share,1
talk,first,2
talk,recover,2
talk,covid,2
talk,discharge,2
talk,makeshift,2
talk,recently,2
talk,xinhua,2
talk,receive,2
talk,newly,1
talk,top,1
talk,general,1
talk,change,1
talk,travel,1
talk,plan,1
talk,source,3
talk,minister,2
talk,malaysia,2
talk,evacuate,2
talk,citizen,2
talk,secretary,1
talk,expect,1
talk,trade,1
talk,near,1
talk,economy,2
talk,two,1
talk,advise,1
university,china,35
university,face,3
university,deal,3
university,people,7
university,medium,3
university,watch,3
university,life,7
university,student,30
university,return,8
university,send,5
university,fight,9
university,year,5
university,old,6
university,novel,10
university,patient,8
university,discharge,2
university,first,2
university,hospital,12
university,medicine,4
university,also,2
university,infect,9
university,virus,6
university,east,2
university,province,3
university,back,2
university,home,2
university,donate,2
university,mask,4
university,store,2
university,city,4
university,near,2
university,mother,2
university,child,2
university,say,10
university,director,3
university,department,2
university,third,4
university,press,2
university,conference,2
university,hold,5
university,national,4
university,health,2
university,commission,2
university,state,7
university,extend,1
university,new,1
university,holiday,1
university,three,6
university,day,3
university,effort,1
university,curb,1
university,school,3
university,across,2
university,country,5
university,start,9
university,military,8
university,doctor,5
university,medical,19
university,experience,5
university,combat,3
university,hour,3
university,help,3
university,live,5
university,update,3
university,fall,2
university,world,2
university,staff,2
university,treatment,3
university,tell,2
university,infection,3
university,coronavirus,24
university,center,8
university,beijing,3
university,base,1
university,capital,1
university,question,1
university,study,5
university,makeshift,1
university,case,3
university,nurse,4
university,work,2
university,recover,4
university,share,2
university,travel,2
university,ban,1
university,affect,2
university,high,1
university,amid,2
university,international,3
university,meet,1
university,make,1
university,impact,1
university,supply,1
university,like,5
university,visit,1
university,local,1
university,still,1
university,see,1
university,medic,1
university,south,3
university,check,1
university,test,9
university,positive,7
university,within,2
university,outbreak,4
university,carry,2
university,read,1
university,story,1
university,epidemic,1
university,top,2
university,vaccine,2
university,former,1
university,australian,3
university,foreign,3
university,data,1
university,information,1
university,issue,1
university,could,1
university,come,1
university,time,1
university,line,5
university,concern,1
university,spread,1
university,cancel,7
university,hundred,1
university,thousand,1
university,provide,1
university,open,2
university,find,2
university,billion,2
university,fund,2
university,show,2
university,two,2
university,government,2
university,announce,2
university,evacuate,3
university,cruise,3
university,ship,3
university,japan,3
university,give,2
university,anti,2
university,person,2
university,arrive,2
university,last,2
university,week,2
university,flight,2
university,california,3
university,confirm,6
university,offer,2
university,set,4
university,front,4
university,keep,4
china,face,89
china,deal,51
china,people,707
china,medium,117
china,watch,35
china,bring,110
china,look,41
china,across,253
china,new,988
china,year,259
china,one,194
china,school,24
china,take,198
china,world,343
china,make,137
china,great,48
china,infectious,26
china,disease,130
china,turn,29
china,hard,37
china,transmission,35
china,outside,206
china,health,555
china,organization,124
china,announce,101
china,lead,66
china,team,112
china,international,137
china,expert,167
china,confirm,511
china,case,1154
china,novel,1109
china,covid,91
china,cruise,52
china,ship,58
china,dock,8
china,japan,100
china,among,52
china,country,436
china,asia,44
china,five,57
china,head,49
china,city,391
china,beijing,79
china,shanghai,43
china,carry,51
china,medical,255
china,supply,150
china,include,148
china,million,188
