Id,Label
covid,covid
china,china
coronavirus,coronavirus
say,say
new,new
trump,trump
case,case
vaccine,vaccine
president,president
test,test
report,report
pandemic,pandemic
day,day
positive,positive
people,people
country,country
health,health
first,first
world,world
million,million
house,house
year,year
state,state
death,death
one,one
city,city
white,white
infection,infection
global,global
week,week
take,take
month,month
trial,trial
rise,rise
make,make
high,high
virus,virus
see,see
accord,accord
record,record
time,time
national,national
get,get
two,two
may,may
could,could
second,second
help,help
official,official
amid,amid
show,show
government,government
study,study
hospital,hospital
restriction,restriction
work,work
surge,surge
plan,plan
hit,hit
minister,minister
johnson,johnson
late,late
spread,spread
since,since
back,back
daily,daily
watch,watch
use,use
follow,follow
top,top
live,live
outbreak,outbreak
face,face
mask,mask
south,south
election,election
economy,economy
public,public
last,last
province,province
number,number
risk,risk
return,return
economic,economic
india,india
recovery,recovery
expert,expert
home,home
due,due
set,set
find,find
fight,fight
campaign,campaign
close,close
end,end
hold,hold
need,need
large,large
call,call
still,still
know,know
long,long
three,three
york,york
data,data
look,look
die,die
debate,debate
start,start
presidential,presidential
medical,medical
chief,chief
big,big
announce,announce
australia,australia
would,would
billion,billion
travel,travel
wave,wave
tell,tell
deal,deal
come,come
hour,hour
expect,expect
around,around
united,united
result,result
development,development
increase,increase
continue,continue
relief,relief
worker,worker
holiday,holiday
rule,rule
curb,curb
join,join
patient,patient
news,news
next,next
confirm,confirm
xinjiang,xinjiang
joe,joe
nation,nation
poverty,poverty
region,region
center,center
aid,aid
force,force
include,include
measure,measure
open,open
business,business
market,market
treatment,treatment
become,become
life,life
negative,negative
many,many
leader,leader
change,change
emergency,emergency
control,control
russia,russia
talk,talk
local,local
disease,disease
doctor,doctor
early,early
international,international
group,group
company,company
begin,begin
school,school
exclusive,exclusive
source,source
candidate,candidate
brazil,brazil
concern,concern
lady,lady
response,response
food,food
also,also
across,across
head,head
good,good
move,move
update,update
quarantine,quarantine
sign,sign
warn,warn
africa,africa
administration,administration
university,university
clinical,clinical
authority,authority
part,part
east,east
hope,hope
prime,prime
remain,remain
student,student
develop,develop
foreign,foreign
ministry,ministry
give,give
support,support
drug,drug
symptom,symptom
urge,urge
effort,effort
seek,seek
bank,bank
third,third
far,far
analysis,analysis
despite,despite
five,five
nearly,nearly
level,level
industry,industry
right,right
lead,lead
mark,mark
job,job
keep,keep
taiwan,taiwan
old,old
leave,leave
general,general
issue,issue
military,military
supply,supply
democratic,democratic
reach,reach
past,past
put,put
staff,staff
low,low
well,well
offer,offer
total,total
toll,toll
cause,cause
ahead,ahead
