Id,Label
covid,covid
vaccine,vaccine
china,china
say,say
report,report
health,health
case,case
country,country
receive,receive
first,first
million,million
new,new
dos,dos
people,people
pandemic,pandemic
batch,batch
world,world
president,president
accord,accord
dose,dose
use,use
national,national
death,death
day,day
vaccination,vaccination
one,one
year,year
brazil,brazil
administer,administer
second,second
arrive,arrive
state,state
minister,minister
city,city
government,government
origin,origin
johnson,johnson
organization,organization
show,show
start,start
number,number
coronavirus,coronavirus
jab,jab
watch,watch
virus,virus
week,week
official,official
infection,infection
global,global
blood,blood
develop,develop
africa,africa
data,data
get,get
vaccinate,vaccinate
company,company
study,study
trial,trial
high,high
emergency,emergency
make,make
record,record
approve,approve
donate,donate
see,see
clot,clot
confirm,confirm
expert,expert
amid,amid
two,two
test,test
daily,daily
control,control
since,since
shot,shot
third,third
across,across
march,march
local,local
register,register
chile,chile
variant,variant
announce,announce
center,center
age,age
south,south
take,take
risk,risk
commission,commission
give,give
find,find
ministry,ministry
prime,prime
late,late
due,due
agency,agency
last,last
include,include
help,help
province,province
measure,measure
effective,effective
link,link
release,release
total,total
bring,bring
joint,joint
toll,toll
capital,capital
news,news
overseas,overseas
international,international
fight,fight
positive,positive
foreign,foreign
possible,possible
hour,hour
month,month
surge,surge
clinical,clinical
rise,rise
call,call
produce,produce
group,group
authority,authority
shipment,shipment
yunnan,yunnan
director,director
low,low
continue,continue
restriction,restriction
disease,disease
prevention,prevention
purchase,purchase
nearly,nearly
may,may
beijing,beijing
percent,percent
end,end
hit,hit
base,base
inoculate,inoculate
part,part
phase,phase
tracing,tracing
life,life
worker,worker
supply,supply
effort,effort
set,set
asian,asian
economy,economy
reopen,reopen
russia,russia
launch,launch
african,african
safety,safety
campaign,campaign
pharmaceutical,pharmaceutical
wave,wave
follow,follow
region,region
team,team
efficacy,efficacy
least,least
top,top
school,school
increase,increase
adult,adult
work,work
immunization,immunization
population,population
original,original
live,live
concern,concern
public,public
open,open
likely,likely
begin,begin
three,three
medical,medical
effect,effect
move,move
medium,medium
general,general
far,far
mark,mark
office,office
production,production
head,head
trace,trace
provide,provide
lead,lead
drug,drug
become,become
spread,spread
drive,drive
institute,institute
eligible,eligible
safe,safe
single,single
export,export
warn,warn
food,food
could,could
early,early
close,close
would,would
around,around
many,many
france,france
surpass,surpass
reach,reach
travel,travel
four,four
border,border
mass,mass
pass,pass
hand,hand
firm,firm
hard,hard
anti,anti
also,also
home,home
time,time
shanghai,shanghai
another,another
back,back
issue,issue
khan,khan
nation,nation
introduction,introduction
long,long
like,like
talk,talk
large,large
community,community
india,india
thousand,thousand
today,today
economic,economic
despite,despite
face,face
distribute,distribute
share,share
old,old
child,child
united,united
resident,resident
aid,aid
senior,senior
cambodia,cambodia
goal,goal
globally,globally
rare,rare
resurgence,resurgence
host,host
research,research
event,event
chief,chief
care,care
inoculation,inoculation
impact,impact
place,place
ambassador,ambassador
need,need
area,area
recommend,recommend
program,program
order,order
hospital,hospital
recover,recover
detect,detect
behind,behind
airport,airport
medicine,medicine
still,still
certificate,certificate
animal,animal
military,military
donation,donation
regulator,regulator
social,social
expect,expect
currently,currently
carry,carry
trust,trust
germany,germany
plan,plan
response,response
patient,patient
sign,sign
night,night
side,side
spike,spike
limit,limit
five,five
appointment,appointment
allow,allow
experience,experience
recovery,recovery
keep,keep
crisis,crisis
require,require
easter,easter
southwest,southwest
well,well
nationwide,nationwide
good,good
within,within
expand,expand
science,science
change,change
locally,locally
transmit,transmit
pause,pause
press,press
push,push
review,review
level,level
rule,rule
laboratory,laboratory
support,support
america,america
claim,claim
system,system
die,die
russian,russian
return,return
hate,hate
import,import
administration,administration
figure,figure
hold,hold
central,central
antibody,antibody
donated,donated
visit,visit
billion,billion
strong,strong
look,look
york,york
seven,seven
deadline,deadline
struggle,struggle
plant,plant
trade,trade
politicize,politicize
urge,urge
spring,spring
assistance,assistance
forward,forward
fifth,fifth
prevent,prevent
foreigner,foreigner
headline,headline
wealthy,wealthy
consider,consider
healthy,healthy
transmission,transmission
maker,maker
incident,incident
add,add
different,different
member,member
period,period
passport,passport
lift,lift
sao,sao
join,join
ongoing,ongoing
festival,festival
deal,deal
roll,roll
half,half
governor,governor
facebook,facebook
turkey,turkey
welcome,welcome
boost,boost
delay,delay
thailand,thailand
agree,agree
market,market
suggest,suggest
joe,joe
industry,industry
hope,hope
curb,curb
canada,canada
slow,slow
french,french
ingredient,ingredient
similar,similar
army,army
deliver,deliver
cite,cite
grow,grow
political,political
injection,injection
nationalism,nationalism
rate,rate
regional,regional
scale,scale
advisory,advisory
believe,believe
play,play
role,role
promote,promote
convene,convene
investigate,investigate
among,among
ban,ban
business,business
challenge,challenge
leader,leader
middle,middle
site,site
house,house
pressure,pressure
related,related
ahead,ahead
bad,bad
park,park
california,california
ten,ten
hubei,hubei
ease,ease
crowd,crowd
much,much
major,major
fund,fund
big,big
know,know
authorization,authorization
double,double
secretary,secretary
right,right
strain,strain
sar,sar
severe,severe
university,university
student,student
benefit,benefit
publish,publish
italy,italy
manila,manila
ruin,ruin
facility,facility
fear,fear
town,town
xinhua,xinhua
violence,violence
think,think
zimbabwe,zimbabwe
ever,ever
volunteer,volunteer
important,important
service,service
vice,vice
mission,mission
update,update
twitter,twitter
extend,extend
union,union
executive,executive
morning,morning
next,next
consecutive,consecutive
protein,protein
malaysia,malaysia
express,express
contain,contain
occurrence,occurrence
platelet,platelet
compatible,compatible
check,check
highly,highly
scientist,scientist
potential,potential
intermediate,intermediate
pathway,pathway
cold,cold
chain,chain
product,product
highlight,highlight
come,come
even,even
pick,pick
result,result
toward,toward
loss,loss
tally,tally
full,full
row,row
treatment,treatment
crime,crime
british,british
every,every
count,count
growth,growth
curfew,curfew
impose,impose
recent,recent
wang,wang
theme,theme
tourism,tourism
bank,bank
normal,normal
essential,essential
jean,jean
east,east
affect,affect
instead,instead
probe,probe
model,model
fourth,fourth
way,way
eight,eight
symptom,symptom
unit,unit
strengthen,strengthen
along,along
file,file
liberation,liberation
six,six
future,future
candidate,candidate
previous,previous
past,past
former,former
hong,hong
line,line
immunize,immunize
society,society
beach,beach
lam,lam
statement,statement
suspend,suspend
development,development
free,free
great,great
federal,federal
overall,overall
capacity,capacity
tourist,tourist
meet,meet
unlikely,unlikely
extremely,extremely
citizen,citizen
western,western
fall,fall
vccine,vccine
globl,globl
sfe,sfe
sy,sy
