Id,Label
china,china
covid,covid
say,say
case,case
new,new
coronavirus,coronavirus
country,country
year,year
day,day
president,president
report,report
city,city
national,national
people,people
world,world
test,test
province,province
pandemic,pandemic
health,health
first,first
million,million
watch,watch
global,global
vaccine,vaccine
live,live
trump,trump
take,take
see,see
positive,positive
high,high
accord,accord
development,development
poverty,poverty
xinjiang,xinjiang
one,one
make,make
holiday,holiday
east,east
help,help
economic,economic
death,death
find,find
economy,economy
state,state
region,region
number,number
official,official
local,local
south,south
fight,fight
time,time
amid,amid
infection,infection
show,show
total,total
week,week
jinping,jinping
international,international
foreign,foreign
ministry,ministry
two,two
large,large
work,work
recovery,recovery
autumn,autumn
life,life
expert,expert
good,good
since,since
center,center
house,house
autonomous,autonomous
record,record
festival,festival
open,open
hit,hit
qingdao,qingdao
county,county
africa,africa
united,united
late,late
last,last
white,white
industry,industry
hold,hold
look,look
tourism,tourism
confirm,confirm
support,support
nation,nation
join,join
import,import
month,month
minister,minister
epidemic,epidemic
central,central
across,across
second,second
mid,mid
return,return
announce,announce
hour,hour
beijing,beijing
get,get
general,general
top,top
become,become
village,village
also,also
long,long
due,due
follow,follow
past,past
public,public
market,market
government,government
tourist,tourist
rise,rise
update,update
great,great
woman,woman
end,end
authority,authority
medical,medical
growth,growth
xinhua,xinhua
expect,expect
effort,effort
use,use
medium,medium
set,set
daily,daily
train,train
three,three
control,control
call,call
may,may
southwest,southwest
celebrate,celebrate
develop,develop
group,group
river,river
travel,travel
bring,bring
continue,continue
visit,visit
business,business
area,area
virus,virus
mark,mark
sept,sept
experience,experience
railway,railway
anniversary,anniversary
tibet,tibet
school,school
could,could
measure,measure
include,include
trial,trial
many,many
change,change
eight,eight
click,click
face,face
percent,percent
food,food
shandong,shandong
urge,urge
register,register
role,role
promote,promote
golden,golden
tour,tour
enjoy,enjoy
reach,reach
student,student
university,university
company,company
war,war
lake,lake
far,far
shenzhen,shenzhen
special,special
mountain,mountain
resident,resident
close,close
headline,headline
despite,despite
hospital,hospital
well,well
check,check
start,start
back,back
increase,increase
anti,anti
restriction,restriction
build,build
know,know
offer,offer
old,old
northwest,northwest
uygur,uygur
major,major
overseas,overseas
part,part
organization,organization
begin,begin
provide,provide
need,need
launch,launch
chief,chief
trade,trade
four,four
plan,plan
next,next
post,post
home,home
come,come
trip,trip
quarter,quarter
big,big
hong,hong
grow,grow
release,release
right,right
around,around
surge,surge
challenge,challenge
scenery,scenery
product,product
north,north
night,night
stop,stop
achieve,achieve
receive,receive
leader,leader
harvest,harvest
risk,risk
culture,culture
capital,capital
video,video
human,human
share,share
wave,wave
future,future
issue,issue
worker,worker
accusation,accusation
third,third
send,send
complete,complete
add,add
billion,billion
way,way
spread,spread
road,road
still,still
outbreak,outbreak
six,six
desert,desert
toll,toll
sichuan,sichuan
traditional,traditional
negative,negative
lead,lead
news,news
yunnan,yunnan
among,among
commission,commission
guangdong,guangdong
quarantine,quarantine
story,story
hard,hard
brazil,brazil
remain,remain
african,african
five,five
seven,seven
conduct,conduct
protection,protection
boost,boost
view,view
security,security
cause,cause
secretary,secretary
level,level
russia,russia
study,study
free,free
base,base
self,self
space,space
recent,recent
patient,patient
boom,boom
disease,disease
domestic,domestic
community,community
surpass,surpass
strengthen,strengthen
speed,speed
ancient,ancient
opportunity,opportunity
senior,senior
kill,kill
create,create
statement,statement
model,model
bilateral,bilateral
data,data
asymptomatic,asymptomatic
reform,reform
system,system
administration,administration
side,side
car,car
director,director
nearly,nearly
passenger,passenger
exchange,exchange
press,press
place,place
aim,aim
hope,hope
another,another
put,put
battle,battle
ceremony,ceremony
season,season
pass,pass
representative,representative
service,service
light,light
soldier,soldier
export,export
shanghai,shanghai
india,india
agree,agree
tie,tie
construction,construction
raise,raise
port,port
early,early
election,election
green,green
history,history
villager,villager
force,force
technology,technology
commitment,commitment
result,result
sector,sector
lady,lady
doctor,doctor
york,york
johnson,johnson
response,response
farmer,farmer
border,border
clinical,clinical
conference,conference
welcome,welcome
play,play
water,water
plant,plant
half,half
alleviation,alleviation
improve,improve
stand,stand
highlight,highlight
recover,recover
impact,impact
member,member
probe,probe
reopen,reopen
carbon,carbon
presidential,presidential
italy,italy
like,like
reject,reject
project,project
prefecture,prefecture
give,give
korea,korea
contact,contact
photo,photo
meeting,meeting
expand,expand
park,park
relief,relief
aerial,aerial
lift,lift
