Id,Label
china,china
covid,covid
coronavirus,coronavirus
say,say
vaccine,vaccine
case,case
new,new
outbreak,outbreak
people,people
report,report
virus,virus
health,health
death,death
test,test
president,president
novel,novel
country,country
trump,trump
first,first
hospital,hospital
day,day
world,world
spread,spread
year,year
city,city
state,state
million,million
pandemic,pandemic
patient,patient
confirm,confirm
fight,fight
infection,infection
one,one
take,take
positive,positive
amid,amid
late,late
official,official
global,global
two,two
rise,rise
week,week
national,national
get,get
help,help
province,province
use,use
hit,hit
number,number
see,see
make,make
accord,accord
medical,medical
show,show
work,work
month,month
government,government
live,live
time,time
travel,travel
epidemic,epidemic
high,high
house,house
control,control
second,second
due,due
hubei,hubei
johnson,johnson
trial,trial
may,may
could,could
quarantine,quarantine
record,record
japan,japan
infect,infect
toll,toll
expert,expert
minister,minister
risk,risk
ship,ship
emergency,emergency
public,public
white,white
fear,fear
back,back
close,close
cruise,cruise
mask,mask
plan,plan
study,study
support,support
effort,effort
battle,battle
flight,flight
home,home
find,find
supply,supply
india,india
total,total
face,face
disease,disease
economy,economy
hong,hong
surge,surge
measure,measure
receive,receive
daily,daily
south,south
doctor,doctor
include,include
update,update
across,across
follow,follow
three,three
restriction,restriction
need,need
start,start
continue,continue
since,since
contain,contain
call,call
worker,worker
around,around
know,know
center,center
top,top
authority,authority
die,die
dos,dos
old,old
return,return
central,central
bring,bring
brazil,brazil
announce,announce
international,international
concern,concern
treatment,treatment
set,set
united,united
watch,watch
company,company
data,data
market,market
response,response
shot,shot
end,end
economic,economic
last,last
big,big
organization,organization
hold,hold
still,still
chief,chief
large,large
many,many
medium,medium
curb,curb
least,least
beijing,beijing
foreign,foreign
australia,australia
business,business
begin,begin
become,become
long,long
impact,impact
warn,warn
expect,expect
local,local
evacuate,evacuate
give,give
billion,billion
look,look
staff,staff
vaccination,vaccination
commission,commission
keep,keep
outside,outside
leave,leave
come,come
ministry,ministry
tell,tell
blood,blood
resident,resident
would,would
beyond,beyond
france,france
passenger,passenger
symptom,symptom
far,far
epicenter,epicenter
drug,drug
citizen,citizen
increase,increase
life,life
share,share
like,like
leader,leader
offer,offer
suspend,suspend
student,student
source,source
despite,despite
build,build
treat,treat
send,send
rate,rate
third,third
kill,kill
urge,urge
team,team
development,development
put,put
early,early
confirmed,confirmed
group,group
cause,cause
recovery,recovery
wave,wave
part,part
child,child
prevention,prevention
region,region
another,another
develop,develop
stop,stop
korea,korea
also,also
taiwan,taiwan
five,five
food,food
lead,lead
force,force
university,university
nation,nation
open,open
aid,aid
demand,demand
clot,clot
deal,deal
family,family
russia,russia
holiday,holiday
deadly,deadly
remain,remain
order,order
head,head
good,good
low,low
school,school
way,way
hour,hour
join,join
nearly,nearly
news,news
stay,stay
level,level
grow,grow
major,major
campaign,campaign
raise,raise
talk,talk
discharge,discharge
exclusive,exclusive
issue,issue
result,result
election,election
move,move
woman,woman
change,change
six,six
among,among
military,military
bank,bank
next,next
york,york
win,win
administration,administration
community,community
stock,stock
seek,seek
general,general
rule,rule
ban,ban
thousand,thousand
arrive,arrive
production,production
social,social
director,director
recover,recover
prevent,prevent
visit,visit
africa,africa
try,try
effective,effective
canada,canada
growth,growth
french,french
fall,fall
prime,prime
reach,reach
air,air
video,video
analysis,analysis
place,place
trade,trade
even,even
pneumonia,pneumonia
dose,dose
hope,hope
area,area
east,east
step,step
meet,meet
strong,strong
turn,turn
germany,germany
base,base
sign,sign
care,care
human,human
service,service
scientist,scientist
contract,contract
cut,cut
pause,pause
pass,pass
clinical,clinical
safe,safe
relief,relief
release,release
singapore,singapore
negative,negative
drop,drop
well,well
person,person
illness,illness
industry,industry
vaccinate,vaccinate
firm,firm
mark,mark
batch,batch
british,british
secretary,secretary
resume,resume
man,man
combat,combat
race,race
crisis,crisis
effect,effect
war,war
makeshift,makeshift
full,full
safety,safety
export,export
event,event
story,story
jinping,jinping
capital,capital
check,check
donate,donate
four,four
possible,possible
xinjiang,xinjiang
post,post
past,past
fauci,fauci
likely,likely
sale,sale
rare,rare
former,former
protect,protect
special,special
provide,provide
press,press
delay,delay
slow,slow
debate,debate
office,office
system,system
ask,ask
potential,potential
hard,hard
spike,spike
great,great
research,research
conference,conference
anti,anti
right,right
presidential,presidential
link,link
joe,joe
launch,launch
declare,declare
street,street
allow,allow
bad,bad
tourist,tourist
poverty,poverty
volunteer,volunteer
