Id,Label
china,china
covid,covid
coronavirus,coronavirus
say,say
vaccine,vaccine
case,case
new,new
outbreak,outbreak
people,people
report,report
virus,virus
health,health
death,death
test,test
president,president
novel,novel
country,country
trump,trump
first,first
hospital,hospital
day,day
world,world
spread,spread
year,year
city,city
state,state
million,million
pandemic,pandemic
patient,patient
confirm,confirm
fight,fight
infection,infection
one,one
take,take
positive,positive
amid,amid
late,late
official,official
global,global
two,two
rise,rise
week,week
national,national
get,get
help,help
province,province
use,use
hit,hit
number,number
see,see
make,make
accord,accord
show,show
work,work
medical,medical
month,month
government,government
live,live
time,time
travel,travel
epidemic,epidemic
high,high
house,house
control,control
second,second
due,due
hubei,hubei
johnson,johnson
trial,trial
may,may
could,could
quarantine,quarantine
record,record
japan,japan
infect,infect
toll,toll
minister,minister
expert,expert
risk,risk
ship,ship
emergency,emergency
public,public
white,white
fear,fear
back,back
close,close
cruise,cruise
mask,mask
plan,plan
study,study
support,support
effort,effort
battle,battle
flight,flight
home,home
find,find
supply,supply
india,india
face,face
disease,disease
total,total
economy,economy
hong,hong
surge,surge
measure,measure
receive,receive
daily,daily
south,south
doctor,doctor
include,include
update,update
follow,follow
across,across
three,three
need,need
start,start
restriction,restriction
continue,continue
since,since
contain,contain
call,call
worker,worker
around,around
know,know
center,center
top,top
authority,authority
die,die
dos,dos
old,old
return,return
central,central
bring,bring
brazil,brazil
announce,announce
international,international
concern,concern
treatment,treatment
set,set
watch,watch
company,company
data,data
united,united
market,market
response,response
shot,shot
end,end
economic,economic
last,last
big,big
organization,organization
hold,hold
still,still
chief,chief
large,large
many,many
medium,medium
curb,curb
least,least
foreign,foreign
australia,australia
beijing,beijing
business,business
begin,begin
become,become
long,long
impact,impact
warn,warn
expect,expect
local,local
evacuate,evacuate
give,give
billion,billion
look,look
staff,staff
vaccination,vaccination
commission,commission
keep,keep
outside,outside
leave,leave
come,come
ministry,ministry
tell,tell
blood,blood
resident,resident
would,would
beyond,beyond
france,france
passenger,passenger
symptom,symptom
far,far
drug,drug
citizen,citizen
increase,increase
life,life
epicenter,epicenter
share,share
like,like
leader,leader
offer,offer
suspend,suspend
student,student
source,source
despite,despite
build,build
treat,treat
send,send
rate,rate
third,third
kill,kill
urge,urge
team,team
development,development
put,put
early,early
confirmed,confirmed
group,group
cause,cause
recovery,recovery
wave,wave
part,part
child,child
prevention,prevention
region,region
another,another
develop,develop
stop,stop
korea,korea
also,also
taiwan,taiwan
five,five
food,food
lead,lead
force,force
nation,nation
university,university
open,open
aid,aid
demand,demand
clot,clot
deal,deal
family,family
russia,russia
holiday,holiday
deadly,deadly
order,order
head,head
good,good
remain,remain
low,low
school,school
way,way
hour,hour
join,join
news,news
stay,stay
level,level
grow,grow
major,major
campaign,campaign
nearly,nearly
raise,raise
talk,talk
discharge,discharge
exclusive,exclusive
issue,issue
result,result
move,move
election,election
woman,woman
six,six
among,among
change,change
military,military
bank,bank
next,next
york,york
win,win
administration,administration
stock,stock
seek,seek
rule,rule
ban,ban
thousand,thousand
arrive,arrive
production,production
social,social
director,director
recover,recover
prevent,prevent
visit,visit
africa,africa
try,try
general,general
effective,effective
community,community
canada,canada
growth,growth
french,french
fall,fall
prime,prime
reach,reach
air,air
video,video
place,place
trade,trade
even,even
pneumonia,pneumonia
dose,dose
hope,hope
area,area
east,east
analysis,analysis
step,step
meet,meet
strong,strong
turn,turn
base,base
sign,sign
care,care
service,service
scientist,scientist
human,human
contract,contract
cut,cut
pause,pause
pass,pass
clinical,clinical
germany,germany
relief,relief
safe,safe
release,release
singapore,singapore
negative,negative
drop,drop
well,well
industry,industry
vaccinate,vaccinate
firm,firm
illness,illness
batch,batch
man,man
british,british
secretary,secretary
resume,resume
mark,mark
combat,combat
race,race
crisis,crisis
effect,effect
war,war
makeshift,makeshift
full,full
safety,safety
export,export
person,person
story,story
jinping,jinping
check,check
donate,donate
four,four
possible,possible
event,event
capital,capital
post,post
xinjiang,xinjiang
past,past
fauci,fauci
likely,likely
sale,sale
rare,rare
former,former
special,special
provide,provide
press,press
slow,slow
debate,debate
office,office
system,system
delay,delay
ask,ask
protect,protect
potential,potential
hard,hard
anti,anti
spike,spike
great,great
conference,conference
research,research
right,right
presidential,presidential
link,link
joe,joe
launch,launch
declare,declare
street,street
allow,allow
bad,bad
poverty,poverty
volunteer,volunteer
ease,ease
