Id,Label
china,china
coronavirus,coronavirus
outbreak,outbreak
case,case
new,new
novel,novel
say,say
virus,virus
hospital,hospital
people,people
death,death
spread,spread
health,health
patient,patient
confirm,confirm
report,report
fight,fight
city,city
late,late
first,first
hubei,hubei
day,day
epidemic,epidemic
world,world
country,country
amid,amid
province,province
medical,medical
official,official
infect,infect
cruise,cruise
ship,ship
quarantine,quarantine
two,two
year,year
state,state
japan,japan
travel,travel
control,control
take,take
test,test
flight,flight
number,number
hit,hit
help,help
toll,toll
live,live
battle,battle
fear,fear
global,global
national,national
support,support
infection,infection
work,work
one,one
hong,hong
contain,contain
rise,rise
effort,effort
due,due
total,total
evacuate,evacuate
show,show
central,central
emergency,emergency
epicenter,epicenter
update,update
government,government
public,public
citizen,citizen
measure,measure
see,see
close,close
beyond,beyond
across,across
supply,supply
doctor,doctor
million,million
authority,authority
expert,expert
mask,mask
passenger,passenger
disease,disease
bring,bring
time,time
confirmed,confirmed
include,include
week,week
home,home
impact,impact
three,three
outside,outside
economy,economy
center,center
beijing,beijing
treatment,treatment
medium,medium
build,build
old,old
discharge,discharge
worker,worker
suspend,suspend
market,market
use,use
continue,continue
around,around
commission,commission
could,could
covid,covid
accord,accord
president,president
pneumonia,pneumonia
least,least
deadly,deadly
make,make
second,second
positive,positive
die,die
treat,treat
resident,resident
prevention,prevention
face,face
international,international
staff,staff
organization,organization
kill,kill
follow,follow
send,send
foreign,foreign
risk,risk
get,get
back,back
find,find
know,know
like,like
makeshift,makeshift
call,call
symptom,symptom
start,start
business,business
may,may
leave,leave
keep,keep
concern,concern
united,united
south,south
company,company
return,return
minister,minister
team,team
need,need
student,student
share,share
singapore,singapore
spreading,spreading
combat,combat
high,high
stay,stay
taiwan,taiwan
chief,chief
response,response
curb,curb
stock,stock
announce,announce
month,month
man,man
become,become
put,put
vaccine,vaccine
local,local
ministry,ministry
demand,demand
big,big
hold,hold
begin,begin
conference,conference
cause,cause
production,production
many,many
arrive,arrive
family,family
construction,construction
korea,korea
far,far
rate,rate
bed,bed
stop,stop
community,community
major,major
plan,plan
video,video
warn,warn
billion,billion
grow,grow
recover,recover
declare,declare
visit,visit
step,step
despite,despite
large,large
trade,trade
source,source
japanese,japanese
win,win
area,area
prevent,prevent
offer,offer
express,express
still,still
tell,tell
cut,cut
life,life
another,another
france,france
development,development
check,check
ban,ban
five,five
resume,resume
economic,economic
expect,expect
come,come
look,look
try,try
daily,daily
give,give
end,end
donate,donate
remain,remain
service,service
drug,drug
food,food
leishenshan,leishenshan
set,set
stand,stand
evacuee,evacuee
meet,meet
strong,strong
drop,drop
press,press
force,force
lead,lead
level,level
part,part
military,military
carry,carry
line,line
raise,raise
bank,bank
street,street
long,long
growth,growth
oil,oil
firm,firm
director,director
also,also
top,top
australia,australia
air,air
dead,dead
holiday,holiday
full,full
early,early
story,story
affect,affect
yuan,yuan
illness,illness
hundred,hundred
head,head
good,good
woman,woman
cancel,cancel
nurse,nurse
department,department
xinhua,xinhua
region,region
shanghai,shanghai
jinping,jinping
since,since
lunar,lunar
person,person
plane,plane
princess,princess
miss,miss
increase,increase
human,human
aid,aid
inside,inside
diamond,diamond
receive,receive
base,base
fast,fast
airport,airport
fall,fall
urge,urge
group,group
place,place
way,way
shortage,shortage
reporter,reporter
general,general
special,special
six,six
apple,apple
confidence,confidence
order,order
police,police
social,social
study,study
leader,leader
university,university
watch,watch
east,east
asian,asian
california,california
turn,turn
asia,asia
nearly,nearly
diagnose,diagnose
macao,macao
read,read
fly,fly
transmission,transmission
among,among
scientist,scientist
protect,protect
flu,flu
record,record
model,model
hard,hard
hand,hand
child,child
medic,medic
wall,wall
respiratory,respiratory
panic,panic
tourist,tourist
investor,investor
talk,talk
issue,issue
would,would
baby,baby
last,last
extend,extend
cure,cure
thousand,thousand
newly,newly
solidarity,solidarity
infected,infected
threat,threat
race,race
temporarily,temporarily
store,store
data,data
strand,strand
low,low
phone,phone
best,best
contact,contact
factory,factory
thailand,thailand
facility,facility
avoid,avoid
anti,anti
trump,trump
statement,statement
slow,slow
together,together
malaysia,malaysia
contract,contract
globally,globally
join,join
wang,wang
wish,wish
jump,jump
provide,provide
sale,sale
board,board
meeting,meeting
care,care
release,release
exclusive,exclusive
already,already
near,near
restriction,restriction
transport,transport
party,party
mother,mother
great,great
operation,operation
isolation,isolation
information,information
ensure,ensure
question,question
trial,trial
charter,charter
severe,severe
tokyo,tokyo
recently,recently
suspected,suspected
fatality,fatality
shut,shut
move,move
robot,robot
deal,deal
school,school
news,news
open,open
possible,possible
secretary,secretary
australian,australian
result,result
dock,dock
brief,brief
run,run
industry,industry
border,border
several,several
must,must
germany,germany
suspect,suspect
appear,appear
away,away
medicine,medicine
consider,consider
traveler,traveler
third,third
reach,reach
office,office
hour,hour
pass,pass
ask,ask
short,short
today,today
allow,allow
protective,protective
condition,condition
sell,sell
situation,situation
change,change
pandemic,pandemic
infectious,infectious
research,research
fund,fund
key,key
even,even
animal,animal
scramble,scramble
sign,sign
wear,wear
dollar,dollar
much,much
potential,potential
system,system
almost,almost
post,post
overseas,overseas
write,write
screen,screen
aboard,aboard
dozen,dozen
capital,capital
critical,critical
confident,confident
employee,employee
former,former
four,four
front,front
viral,viral
related,related
discover,discover
dispatch,dispatch
within,within
station,station
alone,alone
negative,negative
provincial,provincial
mild,mild
well,well
advisory,advisory
county,county
experience,experience
advise,advise
surgical,surgical
implement,implement
yet,yet
warning,warning
small,small
wild,wild
snake,snake
