Id,Label
covid,covid
vaccine,vaccine
say,say
case,case
new,new
china,china
report,report
country,country
million,million
health,health
first,first
people,people
johnson,johnson
dos,dos
pandemic,pandemic
use,use
shot,shot
receive,receive
get,get
vaccination,vaccination
death,death
state,state
blood,blood
coronavirus,coronavirus
india,india
clot,clot
year,year
world,world
brazil,brazil
president,president
day,day
infection,infection
surge,surge
one,one
accord,accord
trial,trial
record,record
official,official
risk,risk
dose,dose
vaccinate,vaccinate
high,high
study,study
minister,minister
second,second
may,may
week,week
virus,virus
variant,variant
rise,rise
month,month
make,make
test,test
amid,amid
batch,batch
show,show
government,government
data,data
find,find
take,take
number,number
plan,plan
global,global
daily,daily
administer,administer
rare,rare
effective,effective
need,need
supply,supply
could,could
two,two
emergency,emergency
expert,expert
due,due
see,see
pause,pause
back,back
third,third
start,start
wave,wave
restriction,restriction
national,national
hit,hit
disease,disease
response,response
link,link
south,south
since,since
help,help
hospital,hospital
export,export
child,child
concern,concern
regulator,regulator
france,france
age,age
city,city
give,give
agency,agency
adult,adult
time,time
top,top
develop,develop
patient,patient
company,company
announce,announce
work,work
origin,origin
many,many
fauci,fauci
set,set
canada,canada
safe,safe
australia,australia
russia,russia
delay,delay
control,control
organization,organization
call,call
drug,drug
urge,urge
approve,approve
leader,leader
last,last
house,house
face,face
warn,warn
end,end
include,include
doctor,doctor
begin,begin
march,march
white,white
another,another
across,across
old,old
nation,nation
continue,continue
least,least
effect,effect
union,union
possible,possible
would,would
administration,administration
know,know
way,way
offer,offer
africa,africa
low,low
arrive,arrive
jab,jab
spread,spread
big,big
population,population
united,united
six,six
likely,likely
rate,rate
fight,fight
germany,germany
toll,toll
order,order
among,among
close,close
worker,worker
far,far
recommend,recommend
travel,travel
increase,increase
live,live
still,still
measure,measure
even,even
international,international
watch,watch
crisis,crisis
analysis,analysis
long,long
care,care
school,school
despite,despite
home,home
expect,expect
group,group
side,side
japan,japan
behind,behind
university,university
prevent,prevent
ministry,ministry
open,open
african,african
curb,curb
efficacy,efficacy
positive,positive
around,around
become,become
drive,drive
safety,safety
benefit,benefit
delivery,delivery
public,public
share,share
chile,chile
french,french
update,update
team,team
prime,prime
nearly,nearly
produce,produce
large,large
half,half
part,part
three,three
late,late
medicine,medicine
issue,issue
passport,passport
spike,spike
single,single
free,free
director,director
lead,lead
capital,capital
local,local
bring,bring
effort,effort
follow,follow
confirm,confirm
research,research
chief,chief
reach,reach
center,center
seek,seek
economy,economy
economic,economic
mask,mask
scientist,scientist
life,life
require,require
move,move
woman,woman
early,early
event,event
total,total
ask,ask
break,break
soon,soon
social,social
die,die
community,community
reopen,reopen
launch,launch
allow,allow
young,young
campaign,campaign
stop,stop
next,next
exclusive,exclusive
commission,commission
medium,medium
source,source
review,review
thousand,thousand
family,family
fear,fear
human,human
suspend,suspend
korea,korea
track,track
maker,maker
come,come
drop,drop
ban,ban
donate,donate
register,register
medical,medical
expand,expand
war,war
fall,fall
release,release
surpass,surpass
deal,deal
hold,hold
boost,boost
major,major
keep,keep
slow,slow
executive,executive
meet,meet
foreign,foreign
border,border
shipment,shipment
fund,fund
look,look
eligible,eligible
trump,trump
raise,raise
clinical,clinical
much,much
also,also
well,well
deliver,deliver
within,within
change,change
production,production
rule,rule
access,access
hour,hour
like,like
return,return
news,news
bad,bad
easter,easter
hope,hope
cause,cause
mark,mark
problem,problem
roll,roll
five,five
intensive,intensive
animal,animal
goal,goal
outbreak,outbreak
federal,federal
leave,leave
pass,pass
base,base
british,british
special,special
ease,ease
billion,billion
without,without
severe,severe
struggle,struggle
grow,grow
contract,contract
protect,protect
lose,lose
limit,limit
antibody,antibody
thailand,thailand
strong,strong
resident,resident
extend,extend
fully,fully
air,air
tell,tell
authority,authority
tokyo,tokyo
growth,growth
governor,governor
program,program
institute,institute
right,right
push,push
head,head
black,black
system,system
york,york
step,step
hong,hong
good,good
protection,protection
support,support
hospitalization,hospitalization
hop,hop
province,province
speak,speak
brain,brain
symptomatic,symptomatic
send,send
breaking,breaking
target,target
want,want
food,food
region,region
joint,joint
add,add
investigate,investigate
inoculation,inoculation
asian,asian
today,today
prevention,prevention
put,put
disorder,disorder
outweigh,outweigh
consider,consider
office,office
level,level
potential,potential
claim,claim
full,full
talk,talk
join,join
place,place
site,site
inoculate,inoculate
california,california
overseas,overseas
fourth,fourth
senior,senior
remain,remain
america,america
business,business
four,four
mass,mass
impact,impact
several,several
impose,impose
pressure,pressure
hard,hard
win,win
detect,detect
committee,committee
seven,seven
former,former
worry,worry
north,north
member,member
facebook,facebook
experience,experience
student,student
speed,speed
think,think
investigation,investigation
demand,demand
provide,provide
lift,lift
question,question
visit,visit
affect,affect
person,person
service,service
cite,cite
resume,resume
infectious,infectious
must,must
story,story
result,result
poor,poor
sign,sign
ahead,ahead
michigan,michigan
plant,plant
approval,approval
yet,yet
forecast,forecast
race,race
general,general
area,area
yunnan,yunnan
block,block
double,double
ship,ship
researcher,researcher
forward,forward
misinformation,misinformation
decide,decide
massive,massive
decision,decision
highly,highly
extra,extra
reason,reason
authorization,authorization
recover,recover
strain,strain
joe,joe
decline,decline
pay,pay
relief,relief
card,card
beach,beach
information,information
great,great
suffer,suffer
whether,whether
almost,almost
every,every
quarter,quarter
immunization,immunization
game,game
agree,agree
lack,lack
illness,illness
ever,ever
future,future
spring,spring
past,past
line,line
less,less
write,write
point,point
evidence,evidence
gathering,gathering
original,original
fresh,fresh
military,military
threaten,threaten
wait,wait
small,small
crowd,crowd
longer,longer
scale,scale
tracing,tracing
average,average
recent,recent
similar,similar
coverage,coverage
