Id,Label
covid,covid
vaccine,vaccine
say,say
new,new
case,case
johnson,johnson
shot,shot
million,million
report,report
use,use
people,people
get,get
country,country
india,india
health,health
first,first
dos,dos
blood,blood
vaccination,vaccination
clot,clot
pandemic,pandemic
death,death
coronavirus,coronavirus
state,state
year,year
brazil,brazil
surge,surge
president,president
world,world
risk,risk
infection,infection
day,day
record,record
trial,trial
china,china
may,may
receive,receive
official,official
rise,rise
month,month
variant,variant
vaccinate,vaccinate
high,high
study,study
plan,plan
one,one
rare,rare
test,test
virus,virus
need,need
week,week
make,make
could,could
amid,amid
find,find
supply,supply
accord,accord
pause,pause
take,take
minister,minister
back,back
effective,effective
second,second
data,data
daily,daily
wave,wave
response,response
dose,dose
due,due
hospital,hospital
show,show
restriction,restriction
child,child
hit,hit
regulator,regulator
disease,disease
export,export
two,two
fauci,fauci
expert,expert
global,global
france,france
third,third
government,government
number,number
concern,concern
australia,australia
see,see
emergency,emergency
patient,patient
time,time
link,link
canada,canada
help,help
adult,adult
south,south
delay,delay
top,top
doctor,doctor
leader,leader
many,many
urge,urge
house,house
white,white
work,work
since,since
safe,safe
give,give
set,set
offer,offer
agency,agency
age,age
way,way
face,face
union,union
drug,drug
know,know
russia,russia
start,start
warn,warn
six,six
big,big
administration,administration
another,another
old,old
administer,administer
rate,rate
analysis,analysis
nation,nation
begin,begin
would,would
among,among
call,call
end,end
germany,germany
effect,effect
announce,announce
even,even
least,least
united,united
japan,japan
spread,spread
order,order
delivery,delivery
likely,likely
population,population
recommend,recommend
still,still
last,last
continue,continue
close,close
include,include
crisis,crisis
university,university
low,low
travel,travel
far,far
curb,curb
prevent,prevent
possible,possible
benefit,benefit
expect,expect
care,care
long,long
control,control
despite,despite
side,side
update,update
company,company
worker,worker
home,home
live,live
increase,increase
behind,behind
french,french
mask,mask
free,free
develop,develop
ask,ask
fight,fight
half,half
seek,seek
soon,soon
school,school
march,march
passport,passport
woman,woman
scientist,scientist
stop,stop
toll,toll
break,break
exclusive,exclusive
across,across
share,share
around,around
approve,approve
source,source
track,track
korea,korea
spike,spike
become,become
open,open
medicine,medicine
young,young
drive,drive
large,large
war,war
public,public
raise,raise
city,city
next,next
african,african
issue,issue
drop,drop
family,family
efficacy,efficacy
chief,chief
human,human
international,international
require,require
research,research
suspend,suspend
safety,safety
measure,measure
group,group
fear,fear
national,national
single,single
economic,economic
come,come
team,team
three,three
die,die
fall,fall
lead,lead
event,event
reach,reach
ban,ban
trump,trump
meet,meet
allow,allow
maker,maker
major,major
problem,problem
social,social
executive,executive
review,review
access,access
origin,origin
leave,leave
without,without
cause,cause
slow,slow
community,community
fund,fund
deal,deal
special,special
tell,tell
outbreak,outbreak
early,early
boost,boost
follow,follow
much,much
nearly,nearly
part,part
positive,positive
expand,expand
hold,hold
protect,protect
move,move
intensive,intensive
effort,effort
thousand,thousand
bad,bad
contract,contract
economy,economy
federal,federal
want,want
deliver,deliver
look,look
keep,keep
protection,protection
organization,organization
produce,produce
tokyo,tokyo
step,step
air,air
black,black
hope,hope
british,british
fully,fully
breaking,breaking
change,change
within,within
brain,brain
ministry,ministry
lose,lose
life,life
well,well
batch,batch
severe,severe
roll,roll
outweigh,outweigh
medium,medium
ease,ease
director,director
return,return
rule,rule
target,target
surpass,surpass
speak,speak
grow,grow
campaign,campaign
north,north
easter,easter
hop,hop
extend,extend
send,send
growth,growth
launch,launch
reopen,reopen
symptomatic,symptomatic
disorder,disorder
hospitalization,hospitalization
africa,africa
right,right
struggle,struggle
thailand,thailand
five,five
hong,hong
medical,medical
billion,billion
italy,italy
border,border
probe,probe
animal,animal
capital,capital
strong,strong
worry,worry
eligible,eligible
also,also
investigation,investigation
shortage,shortage
like,like
demand,demand
win,win
antibody,antibody
put,put
prime,prime
governor,governor
poll,poll
german,german
summer,summer
bring,bring
battle,battle
late,late
limit,limit
goal,goal
tough,tough
person,person
must,must
remain,remain
picture,picture
turn,turn
speed,speed
potential,potential
fourth,fourth
push,push
production,production
investigate,investigate
system,system
several,several
halt,halt
full,full
decision,decision
forecast,forecast
york,york
race,race
committee,committee
infectious,infectious
jab,jab
mark,mark
former,former
chile,chile
impose,impose
whether,whether
yet,yet
good,good
add,add
poor,poor
california,california
resident,resident
support,support
booster,booster
question,question
site,site
program,program
ship,ship
eligibility,eligibility
pass,pass
join,join
total,total
pressure,pressure
pay,pay
business,business
approval,approval
resume,resume
suffer,suffer
discuss,discuss
consider,consider
researcher,researcher
michigan,michigan
write,write
level,level
affect,affect
story,story
extra,extra
think,think
misinformation,misinformation
relief,relief
opposition,opposition
massive,massive
claim,claim
post,post
decide,decide
jump,jump
student,student
card,card
serum,serum
institute,institute
election,election
america,america
facebook,facebook
reason,reason
result,result
seven,seven
import,import
block,block
weigh,weigh
common,common
inoculation,inoculation
lawmaker,lawmaker
service,service
center,center
june,june
decline,decline
member,member
mix,mix
survivor,survivor
bed,bed
information,information
head,head
lift,lift
curfew,curfew
illness,illness
game,game
ramp,ramp
buy,buy
gathering,gathering
place,place
shipment,shipment
run,run
local,local
cost,cost
small,small
alternative,alternative
wait,wait
clear,clear
ahead,ahead
today,today
macron,macron
cite,cite
lack,lack
almost,almost
highly,highly
food,food
detect,detect
policy,policy
alarm,alarm
talk,talk
double,double
prepare,prepare
senior,senior
experience,experience
success,success
foreign,foreign
monetary,monetary
impact,impact
panel,panel
quarter,quarter
great,great
beach,beach
visit,visit
line,line
every,every
serious,serious
past,past
strain,strain
base,base
situation,situation
less,less
future,future
attend,attend
release,release
treat,treat
plant,plant
coverage,coverage
doubt,doubt
private,private
hesitancy,hesitancy
threat,threat
threaten,threaten
secretary,secretary
sale,sale
neurological,neurological
authorization,authorization
clinical,clinical
commission,commission
technology,technology
dozen,dozen
body,body
street,street
challenge,challenge
hour,hour
joe,joe
promise,promise
fan,fan
religious,religious
hard,hard
loss,loss
point,point
mass,mass
celebrate,celebrate
four,four
milestone,milestone
class,class
fresh,fresh
evidence,evidence
office,office
ever,ever
accelerate,accelerate
mandate,mandate
pace,pace
forward,forward
sign,sign
rich,rich
region,region
critical,critical
emerge,emerge
news,news
peak,peak
longer,longer
pope,pope
overwhelm,overwhelm
sport,sport
impend,impend
doom,doom
average,average
homeless,homeless
compare,compare
fail,fail
watch,watch
agree,agree
confirm,confirm
parent,parent
type,type
party,party
short,short
immune,immune
mental,mental
stage,stage
address,address
away,away
stay,stay
theory,theory
spring,spring
asian,asian
staff,staff
thanks,thanks
area,area
everyone,everyone
rapid,rapid
condition,condition
blow,blow
wear,wear
aim,aim
authorize,authorize
per,per
bar,bar
factor,factor
setback,setback
gather,gather
symptom,symptom
heart,heart
aid,aid
crowd,crowd
already,already
treatment,treatment
enough,enough
contain,contain
friend,friend
provide,provide
capacity,capacity
additional,additional
recent,recent
adviser,adviser
recover,recover
authority,authority
quality,quality
temporarily,temporarily
guidance,guidance
related,related
complication,complication
serve,serve
island,island
learn,learn
surprise,surprise
guinea,guinea
avoid,avoid
doughnut,doughnut
discover,discover
lung,lung
identify,identify
exceed,exceed
outdated,outdated
survey,survey
analyst,analyst
force,force
quarantine,quarantine
hundred,hundred
deadly,deadly
scale,scale
rival,rival
real,real
term,term
confidence,confidence
inoculate,inoculate
available,available
prevention,prevention
chance,chance
prompt,prompt
closure,closure
arrive,arrive
priority,priority
charge,charge
warning,warning
location,location
recipient,recipient
general,general
advisory,advisory
department,department
criticize,criticize
tonight,tonight
incomplete,incomplete
shutdown,shutdown
facility,facility
military,military
mean,mean
power,power
combat,combat
similar,similar
account,account
wall,wall
silence,silence
pave,pave
unusual,unusual
never,never
rapidly,rapidly
passover,passover
flock,flock
psychological,psychological
worrying,worrying
sweet,sweet
glaze,glaze
avoidable,avoidable
headline,headline
k,k
reion,reion
ion,ion
coun,coun
to,to
retriction,retriction
tart,tart
ocial,ocial
ay,ay
governt,governt
