created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules
Fri Feb 21 09:11:09 +0000 2020,1230781996227493893,1230781996227493893,"Weeks after the novel coronavirus crisis began in December, there is still widespread confusion over the exact numb… https://t.co/smAcwopkhV","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': 'Weeks after the novel coronavirus crisis began in December, there is still widespread confusion over the exact number of cases reported in China and whether the epidemic is finally stabilizing. https://t.co/H3C5Gyj586', 'display_text_range': [0, 217], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/H3C5Gyj586', 'expanded_url': 'https://cnn.it/2SMkuih', 'display_url': 'cnn.it/2SMkuih', 'indices': [194, 217]}], 'user_mentions': [], 'symbols': []}}",5,23,51,115,"{'hashtags': [], 'urls': [{'url': 'https://t.co/smAcwopkhV', 'expanded_url': 'https://twitter.com/i/web/status/1230781996227493893', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Thu Feb 20 10:18:52 +0000 2020,1230436650645434368,1230436650645434368,"A vaccine for COVID-19 could take 12 to 18 months, according to the World Health Organization https://t.co/sFBELoZyey","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,,15,21,118,190,"{'hashtags': [], 'urls': [{'url': 'https://t.co/sFBELoZyey', 'expanded_url': 'https://cnn.it/2P4hrQr', 'display_url': 'cnn.it/2P4hrQr', 'indices': [94, 117]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Thu Feb 20 07:30:09 +0000 2020,1230394192356134912,1230394192356134912,"Weeks into the novel coronavirus crisis, the outbreak finally appears to be stabilizing in central China, where the… https://t.co/kmqws2mNuy","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': 'Weeks into the novel coronavirus crisis, the outbreak finally appears to be stabilizing in central China, where the virus was initially detected before it spread throughout the country and the world. https://t.co/umBJtj0i8s', 'display_text_range': [0, 223], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/umBJtj0i8s', 'expanded_url': 'https://cnn.it/2Pa4V1N', 'display_url': 'cnn.it/2Pa4V1N', 'indices': [200, 223]}], 'user_mentions': [], 'symbols': []}}",7,57,62,208,"{'hashtags': [], 'urls': [{'url': 'https://t.co/kmqws2mNuy', 'expanded_url': 'https://twitter.com/i/web/status/1230394192356134912', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Wed Feb 19 19:20:06 +0000 2020,1230210468754731008,1230210468754731008,A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.… https://t.co/2ZQb8YJGX4,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': 'A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.\n\nWhile Covid-19, is not as fatal on a case-by-case basis, its greater spread has already led to more deaths than its related coronaviruses. https://t.co/25nU2YqBqG', 'display_text_range': [0, 279], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/25nU2YqBqG', 'expanded_url': 'https://cnn.it/2vJDt4f', 'display_url': 'cnn.it/2vJDt4f', 'indices': [256, 279]}], 'user_mentions': [], 'symbols': []}}",16,30,186,300,"{'hashtags': [], 'urls': [{'url': 'https://t.co/2ZQb8YJGX4', 'expanded_url': 'https://twitter.com/i/web/status/1230210468754731008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Wed Feb 19 17:40:05 +0000 2020,1230185300141494272,1230185300141494272,A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.… https://t.co/xEvecCZfmV,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': 'A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.\n\nWhile Covid-19, is not as fatal on a case-by-case basis, its greater spread has already led to more deaths than its related coronaviruses. https://t.co/8SSvOzMtXf', 'display_text_range': [0, 279], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/8SSvOzMtXf', 'expanded_url': 'https://cnn.it/39Tp6cp', 'display_url': 'cnn.it/39Tp6cp', 'indices': [256, 279]}], 'user_mentions': [], 'symbols': []}}",10,26,127,217,"{'hashtags': [], 'urls': [{'url': 'https://t.co/xEvecCZfmV', 'expanded_url': 'https://twitter.com/i/web/status/1230185300141494272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Wed Feb 19 11:49:31 +0000 2020,1230097077172133891,1230097077172133891,A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.… https://t.co/kow2XbEjdq,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': 'A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.\n\nWhile Covid-19, is not as fatal on a case-by-case basis, its greater spread has already led to more deaths than its related coronaviruses. https://t.co/WLad0gBwld', 'display_text_range': [0, 279], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/WLad0gBwld', 'expanded_url': 'https://cnn.it/39LMSXx', 'display_url': 'cnn.it/39LMSXx', 'indices': [256, 279]}], 'user_mentions': [], 'symbols': []}}",9,24,185,256,"{'hashtags': [], 'urls': [{'url': 'https://t.co/kow2XbEjdq', 'expanded_url': 'https://twitter.com/i/web/status/1230097077172133891', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Wed Feb 19 11:17:42 +0000 2020,1230089069545377792,1230089069545377792,A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.… https://t.co/vbPPdJfzme,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': 'A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.\n\nWhile Covid-19, is not as fatal on a case-by-case basis, its greater spread has already led to more deaths than its related coronaviruses. https://t.co/06DS8uxTyw', 'display_text_range': [0, 279], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/06DS8uxTyw', 'expanded_url': 'https://cnn.it/2SZmZN8', 'display_url': 'cnn.it/2SZmZN8', 'indices': [256, 279]}], 'user_mentions': [], 'symbols': []}}",8,17,145,261,"{'hashtags': [], 'urls': [{'url': 'https://t.co/vbPPdJfzme', 'expanded_url': 'https://twitter.com/i/web/status/1230089069545377792', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Wed Feb 19 10:07:26 +0000 2020,1230071386053447680,1230071386053447680,"Outside of Hubei, the Chinese province at the center of the coronavirus outbreak, the number of new cases dropped f… https://t.co/HXTFQlC4IS","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': ""Outside of Hubei, the Chinese province at the center of the coronavirus outbreak, the number of new cases dropped for the 15th consecutive day, according to China's National Health Commission. https://t.co/jU2qVSfE8k"", 'display_text_range': [0, 216], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/jU2qVSfE8k', 'expanded_url': 'https://cnn.it/329YIIg', 'display_url': 'cnn.it/329YIIg', 'indices': [193, 216]}], 'user_mentions': [], 'symbols': []}}",2,16,37,138,"{'hashtags': [], 'urls': [{'url': 'https://t.co/HXTFQlC4IS', 'expanded_url': 'https://twitter.com/i/web/status/1230071386053447680', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Wed Feb 19 07:46:07 +0000 2020,1230035821304172549,1230035821304172549,A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.… https://t.co/sNtNDv2gFh,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': 'A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.\n\nWhile Covid-19, is not as fatal on a case-by-case basis, its greater spread has already led to more deaths than its related coronaviruses. https://t.co/nHIJxlF080', 'display_text_range': [0, 279], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/nHIJxlF080', 'expanded_url': 'https://cnn.it/2HEeQbU', 'display_url': 'cnn.it/2HEeQbU', 'indices': [256, 279]}], 'user_mentions': [], 'symbols': []}}",15,27,210,341,"{'hashtags': [], 'urls': [{'url': 'https://t.co/sNtNDv2gFh', 'expanded_url': 'https://twitter.com/i/web/status/1230035821304172549', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Wed Feb 19 06:22:01 +0000 2020,1230014657651449857,1230014657651449857,"Outside of Hubei, the Chinese province at the center of the coronavirus outbreak, the number of new cases dropped f… https://t.co/tSMTx67vmj","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 759251, 'id_str': '759251', 'name': 'CNN', 'screen_name': 'CNN', 'location': None, 'url': 'http://www.cnn.com', 'description': 'It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app http://cnn.com/apps', 'translator_type': 'regular', 'protected': False, 'verified': True, 'followers_count': 55542780, 'friends_count': 1101, 'listed_count': 150926, 'favourites_count': 1394, 'statuses_count': 359418, 'created_at': 'Fri Feb 09 00:35:02 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '323232', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '004287', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/759251/1630451250', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': ""Outside of Hubei, the Chinese province at the center of the coronavirus outbreak, the number of new cases dropped for the 15th consecutive day, according to China's National Health Commission. https://t.co/HoxwhQESt0"", 'display_text_range': [0, 216], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/HoxwhQESt0', 'expanded_url': 'https://cnn.it/2V5XjRE', 'display_url': 'cnn.it/2V5XjRE', 'indices': [193, 216]}], 'user_mentions': [], 'symbols': []}}",11,16,56,148,"{'hashtags': [], 'urls': [{'url': 'https://t.co/tSMTx67vmj', 'expanded_url': 'https://twitter.com/i/web/status/1230014657651449857', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
