Source,Target,Weight
talk,university,6
talk,challenge,4
talk,china,50
talk,face,4
talk,deal,4
talk,people,10
talk,medium,6
talk,watch,5
talk,live,4
talk,ambassador,5
talk,coronavirus,12
talk,interview,4
talk,post,3
talk,response,4
talk,country,6
talk,impact,1
talk,business,1
talk,expert,4
talk,director,3
talk,group,1
talk,win,3
talk,join,3
talk,russia,2
talk,market,2
talk,need,2
talk,next,3
talk,big,2
talk,rise,2
talk,doctor,7
talk,like,7
talk,year,4
talk,old,8
talk,death,2
talk,early,2
talk,novel,20
talk,three,1
talk,great,5
talk,effort,1
talk,contain,1
talk,epidemic,2
talk,prevention,3
talk,control,4
talk,international,8
talk,patient,15
talk,move,3
talk,another,4
talk,city,10
talk,leave,5
talk,east,3
talk,zhejiang,3
talk,province,3
talk,spring,3
talk,festival,3
talk,opinion,3
talk,around,3
talk,take,2
talk,hit,1
talk,spread,1
talk,right,3
talk,outbreak,13
talk,news,1
talk,fight,10
talk,offer,1
talk,firm,2
talk,support,1
talk,government,3
talk,phone,13
talk,president,8
talk,reporter,2
talk,nurse,6
talk,work,5
talk,risk,2
talk,daily,2
talk,one,5
talk,emergency,8
talk,hospital,12
talk,build,2
talk,complete,2
talk,put,2
talk,use,3
talk,construction,2
talk,site,3
talk,worker,3
talk,progress,2
talk,turn,1
talk,virus,3
talk,global,4
talk,health,8
talk,late,1
talk,make,2
talk,family,2
talk,inside,2
talk,local,4
talk,stay,4
talk,volunteer,1
talk,begin,1
talk,second,1
talk,day,2
talk,life,5
talk,student,3
talk,amid,2
talk,visit,2
talk,still,1
talk,many,2
talk,world,7
talk,extend,5
talk,help,2
talk,hand,2
talk,call,3
talk,study,2
talk,jinping,3
talk,trump,7
talk,also,2
talk,confidence,3
talk,ready,2
talk,security,3
talk,say,13
talk,keep,1
talk,close,1
talk,provide,1
talk,order,4
talk,include,2
talk,issue,3
talk,relate,2
talk,community,2
talk,battle,2
talk,open,2
talk,south,2
talk,update,2
talk,public,2
talk,concern,2
talk,night,1
talk,express,1
talk,full,2
talk,pneumonia,1
talk,new,2
talk,share,1
talk,first,3
talk,batch,2
talk,recover,2
talk,covid,12
talk,discharge,2
talk,makeshift,2
talk,recently,2
talk,xinhua,2
talk,receive,3
talk,hold,1
talk,level,1
talk,part,1
talk,mark,1
talk,poverty,2
talk,experience,1
talk,tackle,1
talk,show,1
talk,india,1
talk,view,1
talk,border,1
talk,situation,2
talk,end,2
talk,urge,1
talk,company,2
talk,general,1
talk,pandemic,3
talk,future,1
talk,grow,2
talk,leader,2
talk,economy,2
talk,recent,2
talk,report,4
talk,representative,1
talk,party,1
talk,week,1
talk,treat,1
talk,treatment,2
talk,vaccination,1
talk,river,1
talk,set,1
talk,million,2
talk,dos,2
talk,vaccine,4
talk,produce,1
talk,seven,1
talk,official,1
talk,foreign,2
talk,ministry,2
talk,since,1
talk,import,1
talk,united,1
talk,state,1
talk,change,2
talk,economic,1
talk,recovery,1
talk,top,1
talk,accord,2
talk,statement,1
talk,travel,1
talk,two,1
talk,base,1
talk,click,1
talk,look,1
talk,check,1
talk,number,1
university,challenge,3
university,china,42
university,face,4
university,deal,3
university,people,8
university,medium,3
university,watch,3
university,life,9
university,student,37
university,return,7
university,send,5
university,message,4
university,hope,4
university,fight,9
university,year,5
university,old,6
university,novel,10
university,patient,4
university,discharge,2
university,first,8
university,hospital,9
university,medicine,2
university,zhejiang,5
university,also,2
university,infect,3
university,virus,2
university,east,2
university,province,6
university,back,3
university,home,3
university,donate,2
university,mask,5
university,city,5
university,near,2
university,mother,2
university,child,2
university,say,5
university,director,4
university,third,2
university,press,2
university,conference,2
university,hold,3
university,national,3
university,health,2
university,commission,2
university,state,3
university,extend,1
university,new,7
university,holiday,1
university,three,4
university,day,5
university,effort,2
university,curb,1
university,school,4
university,across,2
university,country,3
university,start,3
university,spring,3
university,military,8
university,doctor,3
university,medical,12
university,experience,5
university,combat,3
university,hour,3
university,help,5
university,live,5
university,update,3
university,world,7
university,staff,2
university,treatment,5
university,tell,3
university,infection,7
university,coronavirus,6
university,center,3
university,beijing,5
university,base,1
university,capital,1
university,study,5
university,makeshift,1
university,case,15
university,nurse,4
university,work,2
university,recover,4
university,share,2
university,travel,1
university,high,4
university,amid,4
university,international,4
university,meet,1
university,make,1
university,impact,1
university,supply,1
university,like,4
university,visit,1
university,local,2
university,still,2
university,see,2
university,medic,1
university,south,1
university,check,1
university,test,7
university,positive,6
