Source,Target,Weight
carry,evacuee,18
carry,china,47
carry,coronavirus,51
carry,outbreak,19
carry,ship,9
carry,company,2
carry,good,2
carry,world,2
carry,say,10
carry,reduce,4
carry,number,4
carry,measure,2
carry,stop,4
carry,spread,13
carry,demand,2
carry,service,2
carry,global,10
carry,supply,2
carry,air,18
carry,flight,16
carry,passenger,14
carry,south,6
carry,korea,4
carry,three,2
carry,within,2
carry,past,2
carry,day,7
carry,accord,7
carry,citizen,8
carry,week,5
carry,likely,5
carry,last,5
carry,national,9
carry,outside,3
carry,morning,3
carry,remain,3
carry,head,2
carry,military,2
carry,base,10
carry,california,11
carry,leave,4
carry,epicenter,11
carry,deadly,2
carry,family,3
carry,state,11
carry,department,8
carry,evacuate,12
carry,city,10
carry,nine,6
carry,police,14
carry,one,6
carry,fear,12
carry,test,7
carry,negative,1
carry,novel,1
carry,begin,2
carry,diamond,1
carry,princess,1
carry,cruise,7
carry,despite,4
carry,infectious,1
carry,disease,1
carry,expert,1
carry,could,5
carry,virus,3
carry,two,12
carry,australian,4
carry,resident,14
carry,fly,2
carry,quarantine,9
carry,prime,2
carry,minister,2
carry,several,2
carry,country,5
carry,hong,8
carry,official,2
carry,large,2
carry,sell,4
carry,mask,2
carry,amid,2
carry,today,1
carry,march,1
carry,person,3
carry,experience,1
carry,central,12
carry,hubei,10
carry,province,10
carry,make,6
carry,protest,8
carry,break,2
carry,infect,6
carry,authority,4
carry,health,2
carry,work,3
carry,firm,2
carry,five,2
carry,dozen,2
carry,people,6
carry,rise,3
carry,case,6
carry,japan,2
carry,around,2
carry,another,2
carry,board,2
carry,also,4
carry,arrive,3
carry,force,10
carry,united,3
carry,step,3
carry,effort,3
carry,bring,3
carry,home,5
carry,fast,3
carry,hit,2
carry,risk,6
carry,find,3
carry,nearly,2
carry,show,6
carry,symptom,2
carry,medical,2
carry,staff,2
carry,cut,2
carry,treat,2
carry,patient,2
carry,open,2
carry,border,1
carry,get,1
carry,away,1
carry,covid,7
carry,decision,1
carry,india,2
carry,confirm,2
carry,new,4
carry,increase,2
carry,million,4
carry,among,2
carry,almost,2
carry,result,2
carry,receive,2
carry,positive,2
carry,president,6
carry,trump,9
carry,first,1
carry,lady,1
carry,white,6
carry,house,6
carry,expect,1
carry,continue,5
carry,without,3
carry,recover,1
carry,doctor,2
carry,contract,2
carry,hospital,1
