Source,Target,Weight
carry,evacuee,18
carry,china,39
carry,coronavirus,46
carry,outbreak,19
carry,ship,9
carry,company,2
carry,good,2
carry,world,2
carry,say,4
carry,reduce,4
carry,number,4
carry,measure,2
carry,stop,2
carry,spread,13
carry,demand,2
carry,service,2
carry,threaten,2
carry,disrupt,2
carry,global,10
carry,supply,2
carry,korean,6
carry,air,10
carry,flight,16
carry,passenger,12
carry,south,6
carry,korea,4
carry,three,2
carry,past,2
carry,day,5
carry,accord,7
carry,citizen,8
carry,week,5
carry,likely,5
carry,last,5
carry,national,9
carry,land,11
carry,outside,3
carry,remain,3
carry,isolation,3
carry,head,2
carry,military,2
carry,base,6
carry,california,11
carry,leave,4
carry,epicenter,11
carry,deadly,2
carry,plane,22
carry,family,3
carry,state,11
carry,department,8
carry,evacuate,12
carry,city,8
carry,nine,6
carry,police,14
carry,officer,6
carry,one,6
carry,fear,12
carry,test,3
carry,novel,1
carry,begin,1
carry,diamond,1
carry,princess,1
carry,cruise,7
carry,despite,3
carry,mount,1
carry,infectious,1
carry,disease,1
carry,expert,1
carry,could,5
carry,virus,3
carry,two,12
carry,evacuation,2
carry,australian,4
carry,resident,14
carry,fly,2
carry,quarantine,8
carry,minister,2
carry,several,2
carry,country,4
carry,hong,4
carry,official,2
carry,large,2
carry,store,2
carry,sell,4
carry,surgical,2
carry,mask,2
carry,amid,2
carry,today,1
carry,march,1
carry,person,3
carry,central,12
carry,hubei,10
carry,province,10
carry,make,6
carry,infect,6
carry,authority,4
carry,health,2
carry,scramble,2
carry,work,2
carry,meeting,2
carry,firm,2
carry,five,2
carry,dozen,2
carry,people,6
carry,rise,2
carry,case,2
carry,dock,2
carry,japan,2
carry,around,2
carry,another,2
carry,board,2
carry,also,4
carry,strand,2
carry,arrive,3
carry,force,3
carry,united,3
carry,step,3
carry,effort,3
carry,bring,3
carry,home,5
carry,fast,3
carry,hit,2
carry,cough,2
carry,sneeze,2
carry,infected,2
carry,risk,4
carry,find,2
carry,charter,2
carry,nearly,2
carry,stick,2
carry,show,2
carry,symptom,2
carry,medical,2
carry,staff,2
carry,cut,2
carry,treat,2
carry,patient,2
evacuee,china,64
evacuee,coronavirus,57
evacuee,outbreak,5
evacuee,japanese,15
evacuee,flight,11
evacuee,city,1
evacuee,cough,1
evacuee,take,1
evacuee,hospital,16
evacuee,official,10
evacuee,say,25
evacuee,australian,5
evacuee,stay,1
evacuee,new,9
evacuee,case,11
evacuee,novel,8
evacuee,confirm,11
evacuee,among,6
evacuee,san,18
evacuee,county,6
evacuee,california,17
evacuee,air,14
evacuee,base,23
evacuee,second,11
evacuee,quarantine,35
evacuee,test,25
evacuee,positive,17
evacuee,virus,17
evacuee,officer,3
evacuee,tell,3
evacuee,first,15
evacuee,know,15
evacuee,infect,22
evacuee,release,16
