Source,Target,Weight
covid,pandemic,147
covid,long,40
covid,way,47
covid,due,59
covid,address,11
covid,disease,71
covid,say,649
covid,world,93
covid,health,182
covid,organization,25
covid,bring,14
covid,control,38
covid,public,25
covid,measure,26
covid,vaccination,162
covid,report,223
covid,lack,12
covid,data,77
covid,information,15
covid,access,16
covid,white,59
covid,house,63
covid,origin,28
covid,picture,15
covid,country,196
covid,include,39
covid,japan,48
covid,raise,25
covid,concern,62
covid,china,114
covid,study,96
covid,virus,69
covid,human,26
covid,another,48
covid,animal,20
covid,likely,32
covid,south,48
covid,africa,20
covid,india,185
covid,turn,14
covid,ask,33
covid,vaccine,1459
covid,maker,27
covid,give,48
covid,right,23
covid,produce,19
covid,away,10
covid,speed,15
covid,urge,52
covid,end,48
covid,follow,22
covid,lead,27
covid,technology,12
covid,street,10
covid,old,43
covid,city,27
covid,month,98
covid,worker,32
covid,head,11
covid,back,68
covid,home,39
covid,curb,40
covid,change,18
covid,since,49
covid,restriction,71
covid,brazil,140
covid,variant,87
covid,make,82
covid,scientist,33
covid,line,12
covid,emergency,57
covid,know,45
covid,record,121
covid,daily,83
covid,rise,105
covid,infection,127
covid,global,35
covid,official,99
covid,dos,174
covid,international,18
covid,effort,17
covid,supply,65
covid,low,39
covid,accord,78
covid,much,25
covid,high,104
covid,risk,110
covid,brain,22
covid,blood,141
covid,clot,141
covid,researcher,20
covid,jab,17
covid,surpass,28
covid,one,89
covid,million,198
covid,death,195
covid,tokyo,26
covid,could,73
covid,still,32
covid,fear,28
covid,expert,64
covid,korea,21
covid,warn,49
covid,potential,16
covid,fourth,20
covid,wave,80
covid,case,354
covid,spread,44
covid,new,363
covid,first,192
covid,time,56
covid,push,17
covid,national,30
covid,highly,14
covid,effective,83
covid,prevent,40
covid,illness,17
covid,see,56
covid,patient,73
covid,mark,19
covid,day,113
covid,game,12
covid,remain,20
covid,major,27
covid,delay,43
covid,event,22
covid,former,15
covid,leader,62
covid,ramp,7
covid,canada,56
covid,third,65
covid,region,13
covid,strong,18
covid,help,40
covid,investigate,16
covid,become,26
covid,stop,28
covid,use,183
covid,travel,39
covid,step,21
covid,reach,27
covid,last,42
covid,ministry,20
covid,dozen,12
covid,vaccinate,90
covid,child,71
covid,critical,8
covid,face,48
covid,thousand,22
covid,people,165
covid,capital,22
covid,begin,46
covid,leave,20
covid,government,51
covid,hospital,84
covid,emerge,12
covid,toll,36
covid,show,60
covid,bad,27
covid,state,162
covid,struggle,23
covid,coronavirus,77
covid,fight,32
covid,many,54
covid,contract,23
covid,symptom,13
covid,without,22
covid,group,23
covid,year,134
covid,johnson,239
covid,single,30
covid,shot,193
covid,lose,24
covid,battle,17
covid,join,27
covid,live,37
covid,top,66
covid,president,98
covid,joe,7
covid,promise,12
covid,every,13
covid,adult,53
covid,eligible,12
covid,speak,32
covid,hit,70
covid,nearly,27
covid,impose,17
covid,week,81
covid,air,31
covid,ban,31
covid,surge,134
covid,next,28
covid,amid,84
covid,economic,27
covid,crisis,32
covid,large,30
covid,germany,40
covid,serious,10
covid,detect,16
covid,african,25
covid,break,40
covid,find,68
covid,may,79
covid,worry,17
covid,number,61
covid,increase,31
covid,despite,27
covid,michigan,16
covid,get,185
covid,exclusive,23
covid,part,22
covid,investigation,15
covid,gathering,14
covid,shortage,22
covid,two,74
covid,cause,32
covid,across,32
covid,hard,6
covid,economy,20
covid,population,37
covid,continue,39
covid,policy,15
covid,chief,30
covid,grow,20
covid,whether,13
covid,far,32
covid,yet,15
covid,issue,29
covid,order,43
covid,come,27
covid,pressure,16
covid,medicine,25
covid,regulator,48
covid,possible,33
covid,link,34
covid,minister,67
covid,start,36
covid,seek,40
covid,russia,38
covid,need,86
covid,election,16
covid,several,21
covid,test,103
covid,set,46
covid,trump,26
covid,even,34
covid,like,17
covid,federal,25
covid,demand,18
covid,campaign,16
covid,good,18
covid,team,32
covid,behind,33
covid,least,45
covid,three,30
covid,second,71
covid,north,12
covid,drop,28
covid,win,20
covid,antibody,22
covid,level,14
covid,system,13
covid,late,19
covid,march,37
covid,strain,11
covid,double,15
covid,affect,13
covid,spike,31
covid,university,46
covid,thailand,23
covid,would,36
covid,base,13
covid,rate,40
covid,halt,17
covid,easter,22
covid,write,11
covid,positive,30
covid,hong,17
covid,add,19
covid,passport,18
covid,six,57
covid,export,44
covid,effect,50
covid,doctor,75
covid,place,11
covid,hope,18
covid,response,77
covid,among,40
covid,slow,20
covid,receive,115
covid,open,22
covid,war,51
covid,batch,22
covid,australia,58
covid,lift,11
covid,france,65
covid,close,34
covid,school,27
covid,america,14
covid,work,54
covid,pay,13
covid,extra,14
covid,food,9
covid,black,24
covid,take,71
covid,less,9
covid,point,12
covid,around,31
covid,call,37
covid,full,13
covid,sport,8
covid,hop,14
covid,average,11
covid,big,34
covid,total,14
covid,facebook,19
covid,misinformation,16
covid,expand,25
covid,poor,15
covid,medical,13
covid,allow,25
covid,family,34
covid,die,27
covid,california,17
covid,put,19
covid,relief,15
covid,hold,28
covid,share,30
covid,experience,15
covid,research,30
covid,trial,118
covid,analysis,45
covid,spring,11
covid,severe,28
covid,want,23
covid,safe,49
covid,community,22
covid,result,15
covid,extend,15
covid,release,13
covid,woman,29
covid,offer,44
covid,free,33
covid,talk,7
covid,resident,18
covid,block,16
covid,meet,21
covid,support,12
covid,reason,17
covid,side,45
covid,fresh,13
covid,roll,16
covid,fund,9
covid,nation,45
covid,agency,45
covid,administer,46
covid,massive,15
covid,border,24
covid,young,29
covid,cost,16
covid,update,33
covid,coverage,10
covid,claim,15
covid,doubt,15
covid,tell,21
covid,administration,37
covid,drive,25
covid,outbreak,27
covid,recent,10
covid,breaking,22
covid,post,19
covid,ease,26
covid,send,18
covid,longer,12
covid,evidence,11
covid,decide,15
covid,rare,74
covid,fall,27
covid,governor,21
covid,early,24
covid,inoculation,11
covid,office,10
covid,recommend,40
covid,pause,76
covid,dose,61
covid,site,13
covid,well,23
covid,ever,13
covid,protect,26
covid,protection,26
covid,program,16
covid,ahead,11
covid,require,27
covid,service,17
covid,story,17
covid,keep,18
covid,united,41
covid,authority,10
covid,approve,31
covid,benefit,33
covid,senior,11
covid,hesitancy,10
covid,today,15
covid,prime,17
covid,age,52
covid,track,31
covid,problem,23
covid,growth,13
covid,monetary,1
covid,forecast,6
covid,reopen,21
covid,french,35
covid,wait,13
covid,watch,4
covid,york,16
covid,center,13
covid,fully,26
covid,within,16
covid,five,19
covid,race,16
covid,threat,9
covid,return,20
covid,soon,34
