Id,Label
covid,covid
coronavirus,coronavirus
say,say
trump,trump
new,new
vaccine,vaccine
china,china
case,case
president,president
test,test
pandemic,pandemic
report,report
positive,positive
house,house
day,day
people,people
state,state
death,death
health,health
first,first
million,million
white,white
world,world
infection,infection
month,month
trial,trial
week,week
country,country
rise,rise
one,one
virus,virus
take,take
year,year
get,get
make,make
record,record
global,global
may,may
could,could
time,time
study,study
restriction,restriction
two,two
second,second
johnson,johnson
high,high
surge,surge
hospital,hospital
plan,plan
see,see
government,government
spread,spread
accord,accord
city,city
back,back
minister,minister
amid,amid
hit,hit
mask,mask
show,show
official,official
work,work
outbreak,outbreak
election,election
daily,daily
late,late
help,help
india,india
use,use
face,face
risk,risk
follow,follow
since,since
top,top
campaign,campaign
home,home
public,public
australia,australia
debate,debate
return,return
die,die
last,last
deal,deal
need,need
still,still
close,close
york,york
would,would
set,set
data,data
due,due
presidential,presidential
curb,curb
know,know
tell,tell
rule,rule
end,end
joe,joe
south,south
call,call
big,big
start,start
result,result
relief,relief
billion,billion
recovery,recovery
chief,chief
aid,aid
expert,expert
exclusive,exclusive
wave,wave
hold,hold
talk,talk
three,three
number,number
emergency,emergency
come,come
force,force
treatment,treatment
patient,patient
around,around
long,long
news,news
worker,worker
economy,economy
source,source
drug,drug
next,next
increase,increase
candidate,candidate
concern,concern
doctor,doctor
travel,travel
medical,medical
sign,sign
analysis,analysis
early,early
warn,warn
russia,russia
negative,negative
head,head
move,move
large,large
disease,disease
look,look
fight,fight
response,response
leader,leader
announce,announce
economic,economic
lady,lady
national,national
symptom,symptom
continue,continue
fear,fear
expect,expect
include,include
brazil,brazil
measure,measure
bank,bank
clinical,clinical
safety,safety
hour,hour
prime,prime
give,give
democratic,democratic
seek,seek
business,business
administration,administration
low,low
job,job
begin,begin
change,change
quarantine,quarantine
many,many
find,find
without,without
hope,hope
leave,leave
military,military
company,company
united,united
taiwan,taiwan
keep,keep
bill,bill
experimental,experimental
diagnosis,diagnosis
staff,staff
join,join
former,former
antibody,antibody
remain,remain
nation,nation
france,france
nearly,nearly
market,market
supply,supply
order,order
confirm,confirm
control,control
mike,mike
school,school
volunteer,volunteer
become,become
food,food
adviser,adviser
claim,claim
group,group
thousand,thousand
ahead,ahead
five,five
level,level
third,third
vice,vice
part,part
put,put
republican,republican
even,even
lead,lead
live,live
university,university
pass,pass
infect,infect
turn,turn
british,british
right,right
safe,safe
demand,demand
raise,raise
student,student
cause,cause
rate,rate
spike,spike
open,open
lose,lose
issue,issue
pause,pause
try,try
stimulus,stimulus
child,child
fauci,fauci
appear,appear
toll,toll
despite,despite
nominee,nominee
contract,contract
bad,bad
flu,flu
social,social
court,court
urge,urge
center,center
far,far
sale,sale
coverage,coverage
secretary,secretary
stock,stock
potential,potential
wear,wear
french,french
office,office
old,old
race,race
update,update
also,also
small,small
korea,korea
watch,watch
place,place
family,family
catch,catch
fall,fall
develop,develop
event,event
ease,ease
offer,offer
win,win
member,member
across,across
well,well
treat,treat
question,question
several,several
japan,japan
reach,reach
four,four
push,push
crisis,crisis
share,share
authority,authority
germany,germany
mark,mark
like,like
stay,stay
life,life
italy,italy
battle,battle
post,post
bar,bar
hong,hong
scientist,scientist
effort,effort
cut,cut
illness,illness
senate,senate
air,air
review,review
canada,canada
system,system
impose,impose
governor,governor
speaker,speaker
stage,stage
way,way
plastic,plastic
penny,penny
aide,aide
stop,stop
care,care
team,team
slow,slow
seven,seven
ask,ask
want,want
employee,employee
single,single
struggle,struggle
receive,receive
less,less
person,person
approval,approval
tweet,tweet
surpass,surpass
general,general
war,war
africa,africa
federal,federal
region,region
among,among
boost,boost
protest,protest
support,support
effect,effect
winter,winter
vote,vote
outside,outside
financial,financial
package,package
condition,condition
breaking,breaking
rally,rally
contact,contact
shot,shot
international,international
likely,likely
season,season
game,game
party,party
restaurant,restaurant
strong,strong
facility,facility
past,past
handling,handling
organization,organization
challenge,challenge
research,research
north,north
poll,poll
good,good
immunity,immunity
shut,shut
soon,soon
base,base
trend,trend
allow,allow
kamala,kamala
contain,contain
supreme,supreme
another,another
recover,recover
avoid,avoid
future,future
industry,industry
almost,almost
fund,fund
grow,grow
player,player
mayor,mayor
firm,firm
boom,boom
loss,loss
available,available
think,think
video,video
local,local
investor,investor
experience,experience
capital,capital
kill,kill
survive,survive
flight,flight
release,release
launch,launch
climate,climate
researcher,researcher
add,add
director,director
young,young
delay,delay
senator,senator
six,six
much,much
trillion,trillion
least,least
america,america
pay,pay
ban,ban
approve,approve
must,must
milestone,milestone
half,half
real,real
cost,cost
oil,oil
price,price
access,access
provide,provide
reopen,reopen
august,august
participant,participant
physician,physician
bring,bring
term,term
sell,sell
service,service
happen,happen
point,point
clear,clear
maker,maker
treasury,treasury
tension,tension
meet,meet
near,near
free,free
impact,impact
ministry,ministry
deliver,deliver
diagnose,diagnose
resurgence,resurgence
trade,trade
send,send
promise,promise
extend,extend
protect,protect
effective,effective
attack,attack
worry,worry
relative,relative
authorization,authorization
security,security
behind,behind
walter,walter
reed,reed
roll,roll
reduce,reduce
foreign,foreign
democrat,democrat
quarter,quarter
target,target
adult,adult
congress,congress
play,play
possible,possible
serious,serious
break,break
unlikely,unlikely
hundred,hundred
major,major
activity,activity
town,town
washington,washington
beijing,beijing
message,message
full,full
woman,woman
resident,resident
today,today
morning,morning
nancy,nancy
senior,senior
statement,statement
prevent,prevent
tackle,tackle
feel,feel
nine,nine
lift,lift
halt,halt
ready,ready
enough,enough
supporter,supporter
produce,produce
schedule,schedule
benefit,benefit
compare,compare
human,human
ship,ship
police,police
prepare,prepare
wife,wife
might,might
within,within
vulnerable,vulnerable
approach,approach
hard,hard
debt,debt
program,program
capacity,capacity
problem,problem
chain,chain
fact,fact
institute,institute
thing,thing
step,step
political,political
fail,fail
run,run
agree,agree
nationwide,nationwide
resume,resume
anti,anti
decline,decline
trail,trail
whether,whether
remove,remove
tough,tough
dose,dose
side,side
street,street
hospitalize,hospitalize
sen,sen
night,night
drop,drop
expose,expose
consider,consider
severe,severe
medium,medium
charge,charge
majority,majority
march,march
already,already
threat,threat
grim,grim
tighten,tighten
jersey,jersey
immune,immune
protocol,protocol
little,little
age,age
singapore,singapore
asia,asia
self,self
border,border
build,build
declare,declare
dos,dos
twitter,twitter
turkey,turkey
transmission,transmission
really,really
criticize,criticize
great,great
production,production
qingdao,qingdao
pompeo,pompeo
defend,defend
tally,tally
affect,affect
suffer,suffer
recent,recent
standard,standard
growth,growth
korean,korean
holiday,holiday
cancel,cancel
republic,republic
final,final
key,key
spark,spark
dutch,dutch
discuss,discuss
export,export
australian,australian
handle,handle
deadly,deadly
rapid,rapid
track,track
story,story
action,action
drive,drive
meeting,meeting
ten,ten
wall,wall
hand,hand
jump,jump
digital,digital
isolation,isolation
hospitalization,hospitalization
task,task
bicycle,bicycle
panel,panel
iran,iran
critical,critical
eight,eight
northern,northern
average,average
postpone,postpone
hall,hall
total,total
cluster,cluster
hearing,hearing
amy,amy
hot,hot
bubble,bubble
central,central
fire,fire
department,department
population,population
body,body
voter,voter
focus,focus
write,write
previous,previous
gathering,gathering
per,per
spending,spending
yet,yet
later,later
alert,alert
commission,commission
executive,executive
phase,phase
inside,inside
board,board
teacher,teacher
confidence,confidence
soar,soar
difficult,difficult
cash,cash
cannot,cannot
anger,anger
common,common
believe,believe
press,press
japanese,japanese
improve,improve
mass,mass
fast,fast
novel,novel
size,size
regulator,regulator
corona,corona
misinformation,misinformation
picture,picture
factory,factory
aim,aim
sick,sick
space,space
mean,mean
poor,poor
learn,learn
strain,strain
community,community
son,son
cold,cold
link,link
read,read
expand,expand
criticism,criticism
closure,closure
additional,additional
guidance,guidance
committee,committee
hick,hick
spot,spot
sector,sector
swiss,swiss
unit,unit
rebound,rebound
prevention,prevention
cruise,cruise
insight,insight
different,different
asian,asian
huawei,huawei
strategy,strategy
miss,miss
wrong,wrong
football,football
decision,decision
similar,similar
visit,visit
trace,trace
fresh,fresh
wait,wait
german,german
judge,judge
initiative,initiative
spring,spring
west,west
ant,ant
california,california
process,process
consumer,consumer
never,never
confident,confident
bid,bid
optimistic,optimistic
involve,involve
pressure,pressure
emerge,emerge
policy,policy
mount,mount
gain,gain
gather,gather
science,science
mental,mental
waste,waste
partial,partial
accelerate,accelerate
curfew,curfew
weekend,weekend
tourist,tourist
eye,eye
network,network
love,love
mild,mild
passenger,passenger
patriot,patriot
luxury,luxury
park,park
history,history
project,project
main,main
blood,blood
heart,heart
rare,rare
deliberately,deliberately
line,line
dollar,dollar
payment,payment
every,every
name,name
deny,deny
chance,chance
loom,loom
suspend,suspend
store,store
comment,comment
seasonal,seasonal
seriously,seriously
wide,wide
guard,guard
legal,legal
car,car
development,development
cross,cross
familiar,familiar
survey,survey
lay,lay
loan,loan
law,law
suggest,suggest
xinjiang,xinjiang
ever,ever
speed,speed
register,register
agency,agency
away,away
fashion,fashion
wish,wish
reason,reason
worsen,worsen
act,act
strict,strict
detail,detail
pilgrim,pilgrim
reporter,reporter
though,though
type,type
tonight,tonight
black,black
sharply,sharply
fourth,fourth
pose,pose
best,best
agreement,agreement
period,period
distance,distance
brand,brand
profit,profit
kick,kick
recycle,recycle
reject,reject
able,able
lot,lot
giant,giant
remote,remote
limit,limit
host,host
labour,labour
weather,weather
evidence,evidence
crowd,crowd
virtual,virtual
double,double
speak,speak
russian,russian
june,june
grapple,grapple
labor,labor
file,file
fatality,fatality
nurse,nurse
attend,attend
pacific,pacific
oxygen,oxygen
unexplained,unexplained
potentially,potentially
perform,perform
range,range
product,product
infectious,infectious
