text;favorite_count;media;periode
 'In an unprecedented move, the editors of the New England Journal of Medicine has condemned the Trump administration for its response to the Covid-19 pandemic — and calling for the current US leadership to be voted out of office ;59287;CNN;SeptOct2020
" ""Joe Biden's campaign is pulling all negative ads today following President Trump's diagnosis with Covid-19, a campaign aide says ";19407;CNN;SeptOct2020
 'In an unprecedented move, the editors of the New England Journal of Medicine have condemned the Trump administration for its response to the Covid-19 pandemic — and calling for the current US leadership to be voted out of office ;18886;CNN;SeptOct2020
 'In an unprecedented move, the editors of the New England Journal of Medicine have condemned the Trump administration for its response to the Covid-19 pandemic — and calling for the current US leadership to be voted out of office ;17178;CNN;SeptOct2020
" 'Joe Biden gave his most direct criticism of Trump since the President\'s diagnosis: ""Anybody who contracts the virus by essentially saying, \'masks don\'t matter, social distancing doesn\'t matter,\' I think is responsible for what happens to them"" ";16361;CNN;SeptOct2020
 'In an unprecedented move, the editors of the New England Journal of Medicine have condemned the Trump administration for its response to the Covid-19 pandemic — and calling for the current US leadership to be voted out of office ;15225;CNN;SeptOct2020
 'Exclusive: A new study that analyzed the coronavirus outbreak in Brazil suggests exposure to dengue fever may provide some level of immunity against COVID-19 ;14848;Reuters;SeptOct2020
 'Exclusive: A new study that analyzed the coronavirus outbreak in Brazil suggests exposure to dengue fever may provide some level of immunity against COVID-19 ;14805;Reuters;SeptOct2020
 'JUST IN: President Trump tweets that he and first lady Melania Trump have tested positive for the coronavirus ;13782;CNN;SeptOct2020
" 'The four progressive Democratic congresswomen known as ""The Squad"" expressed surprise when Twitter posted about its policy against wishing harm or death to someone in light of President Trump\'s Covid-19 diagnosis. ";13763;CNN;SeptOct2020
" ""BREAKING: President Trump says he has instructed aides to stop negotiating on a coronavirus aid plan until after the election. Trump's announcement comes as Federal Reserve Chair Jerome Powell warns the recovery could falter without more federal stimulus. ";12886;AP;SeptOct2020
 'A third-grade teacher has died in North Carolina days after testing positive for Covid-19 and while her students were quarantined as a result of the exposure ;12370;CNN;SeptOct2020
 'Facebook has removed a post from President Trump in which he falsely claimed that Covid-19 is less deadly than the seasonal flu ;10731;CNN;SeptOct2020
" '""I don\'t know how many times I have to say this on TV with you. President Trump did not suspend all travel from China"" in response to the pandemic. CNN\'s Daniel Dale fact checks two of Vice President Mike Pence\'s claims during the #VPdebate. ";10669;CNN;SeptOct2020
 'CNN’s  remembers his mother, Fatma Zakaria, who passed away from Covid-related complications in India. She was 85. ;10580;CNN;MarchApril2021
 'Facebook has removed a post from President Trump in which he falsely claimed that Covid-19 is less deadly than the seasonal flu ;10510;CNN;SeptOct2020
" 'BREAKING: Democrat Joe Biden says ""we shouldn\'t have debate"" next week if President Trump is still infected with the coronavirus. The next presidential debate is scheduled for Oct. 15, with a third debate slated for Oct. 22.\n";10458;AP;SeptOct2020
Covid-19 has killed more people in eight months than the flu did in the last five flu seasons combined https://t.co/0g9BfNiRM0;10250;CNN;SeptOct2020
" 'Johnson &amp; Johnson is beginning a huge final-stage study to try to prove if a single-dose COVID-19 vaccine can protect against the virus. It will be one of the world’s largest coronavirus vaccine studies so far, testing in 60,000 people. ";10215;AP;SeptOct2020
 'The Minnesota Department of Health said it has so far traced 20 cases of Covid-19 back to a rally held by President Trump in Bemidji last month, or to related events ;8866;CNN;SeptOct2020
 '“You’ve misconstrued that, senator, and you’ve done that repeatedly in the past.”\n\nDr. Fauci pushes back against Sen. Rand Paul’s claims on the coronavirus.\n\n“You are not listening to what the director of the CDC said” about immunity rates in New York. ;8040;CNN;SeptOct2020
" 'The four progressive Democratic congresswomen known as ""The Squad"" expressed surprise when Twitter posted about its policy against wishing harm or death to someone in light of President Trump\'s Covid-19 diagnosis. ";7988;CNN;SeptOct2020
 'Two-thirds of Americans say the President handled the risk of coronavirus infection to others around him irresponsibly, a CNN poll shows\n;7735;CNN;SeptOct2020
Donald Trump and US First Lady test positive for coronavirus https://t.co/WaSYkv7ROJ;7684;BBCWorld;SeptOct2020
Covid-19 has killed more people in eight months than the flu did in the last five flu seasons combined https://t.co/F9hXSWcIR3;7621;CNN;SeptOct2020
" ""BREAKING: Hope Hicks, one of President Donald Trump's closest aides, has tested positive for the coronavirus. She traveled with Trump multiple times this week. ";7534;AP;SeptOct2020
" 'House Speaker Nancy Pelosi: “As sad as the diagnosis is that the President and first lady have, maybe it is the pivotal moment to take us to a different place as we fight this vicious virus based on science, not on politics."" ";7424;CNN;SeptOct2020
 'Two-thirds of Americans say the President handled the risk of coronavirus infection to others around him irresponsibly, a new CNN poll shows\n;7423;CNN;SeptOct2020
Biden hits the campaign trail after negative test for COVID-19 https://t.co/YPNI1DIrrd https://t.co/qzFcrqdOWB;7314;Reuters;SeptOct2020
