Source,Target,Weight
death,beloved,1
death,rapper,1
death,protest,1
death,killing,1
death,black,1
death,america,7
death,anguish,1
death,lose,5
death,lost,1
death,one,17
death,covid,251
death,even,6
death,historic,2
death,celebration,1
death,pick,1
death,photo,1
death,week,6
death,france,6
death,toll,67
death,surpass,19
death,mark,11
death,make,4
death,eighth,1
death,country,36
death,globally,3
death,third,16
death,reach,7
death,tally,8
death,health,36
death,authority,2
death,world,19
death,organization,4
death,express,1
death,concern,1
death,rise,19
death,rate,7
death,new,53
death,infection,9
death,wave,13
death,virus,22
death,sweep,1
death,across,7
death,brazil,113
death,second,21
death,many,6
death,acknowledge,1
death,control,3
death,number,23
death,report,63
death,coronavirus,30
death,related,9
death,close,3
death,continue,2
death,battle,1
death,director,6
death,general,5
death,warn,9
death,global,12
death,case,58
death,press,1
death,conference,1
death,emphasize,1
death,public,2
death,follow,1
death,guideline,1
death,contain,1
death,three,8
death,month,11
death,reopen,1
death,shop,1
death,hair,1
death,salon,1
death,outdoor,1
death,seating,1
death,pub,1
death,restaurant,2
death,record,54
death,low,12
death,daily,37
death,since,10
death,recent,4
death,study,6
death,find,14
death,unevenly,2
death,distribute,2
death,sao,5
death,high,37
death,poor,2
death,area,2
death,surge,16
death,people,14
death,rio,2
death,mourn,1
death,love,1
death,ministry,12
death,data,9
death,show,7
death,fatality,3
death,stand,1
death,five,3
death,take,6
death,grapple,1
death,currently,2
death,rank,1
death,excess,1
death,figure,2
death,difference,1
death,say,43
death,paolo,1
death,allow,1
death,order,1
death,bar,1
death,professional,1
death,sport,1
death,game,1
death,without,1
death,crowd,1
death,despite,1
death,million,41
death,also,1
death,level,1
death,india,9
death,expert,12
death,due,4
death,partly,1
death,first,21
death,south,5
death,african,4
death,variant,17
death,soar,4
death,keep,5
death,part,2
death,region,2
death,struggle,5
death,speed,1
death,effort,1
death,empty,1
death,old,3
death,room,1
death,city,2
death,register,8
death,burial,1
death,pandemic,27
death,far,7
death,year,21
death,full,2
death,episode,2
death,last,15
death,weekend,1
death,government,6
death,publish,1
death,revise,3
death,white,3
death,house,3
death,task,1
death,force,1
death,former,2
death,president,6
death,trump,5
death,believe,1
death,would,5
death,substantially,1
death,respond,1
death,effectively,1
death,pass,13
death,grim,5
death,milestone,3
death,confirm,7
death,behind,3
death,russia,10
death,die,4
death,strike,1
death,hard,1
death,hit,12
death,worst,4
death,planet,2
death,turkey,5
death,cumulative,1
death,top,21
death,start,1
death,ease,3
death,restriction,3
death,hour,11
death,onset,1
death,outbreak,5
death,bad,16
death,ever,9
death,nearly,9
death,intensive,1
death,care,2
death,unit,1
death,capacity,1
death,face,8
death,collapse,1
death,service,3
death,span,2
death,chile,4
death,another,7
death,fifth,3
death,consecutive,6
death,day,36
death,national,14
death,bring,11
death,accord,16
death,dashboard,1
death,regional,1
death,office,1
death,time,11
death,total,13
death,previous,4
death,africa,1
death,approach,1
death,noon,1
death,disease,12
death,detect,2
death,today,7
death,particularly,2
death,condemning,2
death,rich,2
death,directly,2
death,responsible,2
death,risk,13
death,middle,2
death,income,2
death,original,2
death,vaccinate,3
death,past,3
death,set,11
death,nationwide,3
death,increase,4
death,percent,4
death,half,2
death,march,4
death,compare,2
death,period,2
death,see,14
death,amass,1
death,seven,5
death,decline,2
death,active,1
death,well,1
death,worry,1
death,spread,6
death,quickly,1
death,lead,8
death,august,3
death,much,4
death,previously,1
death,big,1
death,genocide,1
death,history,1
death,put,2
death,pressure,4
death,read,2
death,single,9
death,anniversary,1
death,picture,1
death,afraid,1
death,win,1
death,end,2
death,italy,1
death,victim,1
death,fresh,1
death,measure,2
death,darken,1
death,mood,1
death,every,6
death,two,4
death,minute,2
death,canton,1
death,western,1
death,may,5
death,indirectly,1
death,contribute,2
death,around,2
death,additional,2
death,child,1
death,asia,1
death,vaccine,39
death,prevent,4
death,beat,1
death,back,1
death,drive,3
death,update,5
death,homeless,1
death,get,6
death,chance,1
death,shot,4
death,bangkok,1
death,thailand,1
death,stumble,1
death,coverage,3
death,reason,1
death,catholic,2
death,sister,2
death,whose,2
death,convent,2
death,devastate,1
death,search,1
death,answer,1
death,dark,2
death,four,3
death,story,2
death,family,3
death,closure,1
death,leave,1
death,loss,1
death,pain,1
death,nation,19
death,check,1
death,united,8
death,state,21
death,michigan,1
death,average,7
death,exceed,8
death,become,7
death,threshold,2
death,annual,7
death,include,4
death,leading,5
death,cause,8
death,heart,6
death,cancer,6
death,push,2
death,beyond,2
death,protect,4
death,young,6
death,governor,3
death,ignore,2
