Source,Target,Weight
talk,university,3
talk,challenge,2
talk,china,22
talk,face,3
talk,deal,2
talk,misconception,2
talk,people,7
talk,medium,4
talk,watch,3
talk,live,1
talk,ambassador,2
talk,ming,1
talk,relation,1
talk,coronavirus,7
talk,around,2
talk,take,2
talk,hit,1
talk,fear,1
talk,spread,1
talk,dan,1
talk,shop,1
talk,owner,1
talk,cop,1
talk,interview,2
talk,post,2
talk,embassy,1
talk,twitter,1
talk,page,1
talk,response,2
talk,country,4
talk,doctor,3
talk,suppose,1
talk,majority,1
talk,actually,1
talk,like,3
talk,fighter,1
talk,year,2
talk,old,4
talk,renowned,1
talk,respiratory,2
talk,scientist,1
talk,death,1
talk,sound,1
talk,early,1
talk,warning,1
talk,novel,12
talk,attack,1
talk,appropriate,1
talk,suffer,1
talk,author,1
talk,something,1
talk,right,2
talk,folk,1
talk,compare,1
talk,reaction,1
talk,outbreak,9
talk,fake,1
talk,news,1
talk,undermine,1
talk,fight,6
talk,king,1
talk,bin,2
talk,offer,1
talk,firm,2
talk,support,1
talk,great,1
talk,sympathy,1
talk,government,3
talk,phone,8
talk,president,6
talk,patient,5
talk,move,1
talk,another,2
talk,city,4
talk,leave,2
talk,east,1
talk,zhejiang,1
talk,province,1
talk,spring,1
talk,festival,1
talk,reporter,1
talk,dong,1
talk,nurse,4
talk,work,2
talk,risk,1
talk,hardship,1
talk,daily,1
talk,job,1
talk,one,3
talk,emergency,5
talk,hospital,5
talk,build,1
talk,complete,1
talk,put,1
talk,use,2
talk,construction,1
talk,site,2
talk,worker,2
talk,witness,1
talk,shockingly,1
talk,rapid,1
talk,progress,1
talk,exclusive,1
talk,expert,2
talk,turn,1
talk,point,2
talk,virus,2
talk,declare,1
talk,global,3
talk,health,4
talk,peter,1
talk,late,1
talk,heroic,1
talk,conquer,1
talk,difficulty,1
talk,professor,1
talk,make,1
talk,comment,1
talk,current,1
talk,family,1
talk,inside,1
talk,local,2
talk,opinion,1
talk,threat,2
talk,benefit,1
talk,many,1
talk,world,4
talk,extend,3
talk,help,1
talk,hand,1
talk,politician,1
talk,call,2
talk,jinping,2
talk,emir,1
talk,night,1
talk,express,1
talk,confidence,2
talk,full,2
talk,victory,1
talk,pneumonia,1
talk,epidemic,1
talk,student,1
talk,bande,1
talk,study,1
talk,life,2
talk,trump,5
talk,dedicate,1
talk,safeguard,2
talk,also,1
talk,ability,1
talk,win,1
talk,ready,1
talk,maintain,1
talk,communication,2
talk,australia,1
talk,jointly,1
talk,security,1
talk,say,8
talk,australian,1
talk,counterpart,3
talk,willing,1
talk,stay,1
talk,include,1
talk,order,2
talk,properly,1
talk,handle,1
talk,issue,2
talk,relate,1
talk,prevention,1
talk,control,1
talk,british,2
talk,enhance,1
talk,international,2
talk,community,1
talk,battle,1
talk,open,1
talk,transparent,1
talk,responsible,1
talk,manner,1
talk,south,1
talk,korean,1
talk,update,1
talk,whether,1
talk,public,1
talk,concern,1
talk,new,1
talk,share,1
talk,immediately,2
talk,action,1
talk,first,2
talk,batch,1
talk,recover,1
talk,covid,11
talk,discharge,1
talk,gymnasium,1
talk,convert,1
talk,makeshift,1
talk,director,1
talk,recently,1
talk,xinhua,1
talk,receive,2
talk,end,2
talk,relief,2
talk,election,2
talk,german,1
talk,urge,1
talk,agreement,1
talk,instruct,1
talk,representative,1
talk,halt,1
talk,democrat,1
talk,presidential,1
talk,draw,1
talk,criticism,1
talk,party,1
talk,grow,1
talk,advanced,1
talk,leader,1
talk,closet,1
talk,shut,1
talk,economy,1
talk,recent,1
talk,report,3
talk,week,1
talk,frame,1
talk,host,1
talk,mike,1
talk,walter,1
talk,eric,1
talk,zinc,1
talk,treat,1
talk,treatment,2
talk,angel,2
talk,joe,1
talk,visit,1
talk,vaccination,1
talk,toby,1
talk,muse,1
talk,sit,1
talk,digital,1
talk,producer,1
talk,river,1
talk,set,1
talk,purchase,1
talk,million,2
talk,dos,2
talk,vaccine,4
talk,produce,1
talk,march,2
talk,secure,1
talk,seven,1
talk,cite,1
talk,official,1
talk,foreign,2
talk,ministry,2
talk,since,1
talk,potentially,1
talk,import,1
talk,excess,1
talk,united,1
talk,state,1
talk,collaborate,1
talk,climate,1
talk,change,2
talk,pandemic,2
talk,economic,1
talk,recovery,1
talk,top,1
talk,urgent,1
talk,accord,2
talk,statement,1
