Source,Target,Weight
death,beloved,1
death,rapper,1
death,protest,1
death,killing,1
death,black,1
death,america,3
death,anguish,1
death,lose,1
death,lost,1
death,one,5
death,covid,58
death,even,1
death,historic,2
death,celebration,1
death,pick,1
death,photo,1
death,week,3
death,france,3
death,toll,27
death,surpass,6
death,mark,6
death,make,4
death,eighth,1
death,country,21
death,globally,2
death,third,5
death,reach,3
death,tally,1
death,health,10
death,authority,2
death,world,6
death,organization,3
death,express,1
death,concern,1
death,rise,4
death,rate,4
death,new,8
death,infection,1
death,wave,2
death,virus,6
death,sweep,1
death,across,5
death,brazil,33
death,second,8
death,many,1
death,acknowledge,1
death,control,1
death,number,12
death,report,26
death,coronavirus,3
death,related,1
death,close,2
death,continue,1
death,battle,1
death,director,3
death,general,3
death,warn,1
death,global,1
death,case,15
death,press,1
death,conference,1
death,emphasize,1
death,public,1
death,follow,1
death,guideline,1
death,contain,1
death,three,1
death,month,2
death,reopen,1
death,shop,1
death,hair,1
death,salon,1
death,outdoor,1
death,seating,1
death,pub,1
death,restaurant,2
death,record,16
death,low,4
death,daily,16
death,since,5
death,recent,3
death,study,2
death,find,2
death,unevenly,2
death,distribute,2
death,sao,4
death,high,12
death,poor,2
death,area,2
death,surge,4
death,people,8
death,rio,2
death,mourn,1
death,love,1
death,ministry,4
death,data,1
death,show,2
death,fatality,1
death,stand,1
death,five,2
death,take,3
death,grapple,1
death,currently,1
death,rank,1
death,excess,1
death,figure,2
death,difference,1
death,say,4
death,paolo,1
death,allow,1
death,order,1
death,bar,1
death,professional,1
death,sport,1
death,game,1
death,without,1
death,crowd,1
death,despite,1
death,million,11
death,also,1
death,level,1
death,india,4
death,expert,1
death,due,1
death,partly,1
death,first,6
death,south,1
death,african,1
death,variant,1
death,soar,1
death,keep,2
death,part,1
death,region,1
death,struggle,1
death,speed,1
death,effort,1
death,empty,1
death,old,1
death,room,1
death,city,1
death,register,5
death,burial,1
death,pandemic,6
death,far,2
death,year,6
death,full,2
death,episode,2
death,last,8
death,weekend,1
death,government,2
death,publish,1
death,revise,1
death,white,1
death,house,1
death,task,1
death,force,1
death,former,1
death,president,1
death,trump,1
death,believe,1
death,would,1
death,substantially,1
death,respond,1
death,effectively,1
death,pass,4
death,grim,1
death,milestone,1
death,confirm,2
death,behind,2
death,russia,1
death,die,2
death,strike,1
death,hard,1
death,hit,3
death,worst,2
death,planet,2
death,turkey,1
death,cumulative,1
death,top,4
death,start,1
death,ease,1
death,restriction,1
death,hour,8
death,onset,1
death,outbreak,1
death,bad,1
death,ever,1
death,nearly,1
death,intensive,1
death,care,1
death,unit,1
death,capacity,1
death,face,1
death,collapse,1
death,service,1
death,span,1
death,chile,4
death,another,4
death,fifth,3
death,consecutive,5
death,day,9
death,national,10
death,bring,10
death,accord,1
death,dashboard,1
death,regional,1
death,office,1
death,time,1
death,total,4
death,previous,2
death,africa,1
death,approach,1
death,noon,1
death,disease,2
death,detect,2
death,today,2
death,particularly,2
death,condemning,2
death,rich,2
death,directly,2
death,responsible,2
death,risk,2
death,middle,2
death,income,2
death,original,2
death,vaccinate,2
death,past,3
death,set,3
death,nationwide,3
death,increase,2
death,percent,2
death,half,2
death,march,2
death,compare,2
death,period,2
death,see,1
death,amass,1
death,seven,1
death,decline,1
death,active,1
death,well,1
beloved,rapper,1
beloved,protest,1
beloved,killing,1
beloved,black,1
beloved,america,2
beloved,anguish,1
beloved,lose,1
beloved,lost,1
beloved,one,1
beloved,covid,1
beloved,even,1
beloved,historic,1
beloved,celebration,1
beloved,pick,1
beloved,photo,1
beloved,week,1
rapper,protest,1
rapper,killing,1
rapper,black,1
rapper,america,2
rapper,anguish,1
rapper,lose,1
rapper,lost,1
rapper,one,1
rapper,covid,1
rapper,even,1
rapper,historic,1
rapper,celebration,1
rapper,pick,1
rapper,photo,1
rapper,week,1
protest,killing,1
protest,black,1
protest,america,2
protest,anguish,1
protest,lose,1
protest,lost,1
protest,one,1
protest,covid,1
protest,even,1
protest,historic,1
protest,celebration,1
protest,pick,1
protest,photo,1
protest,week,1
protest,thousand,1
protest,germany,1
protest,curb,1
protest,protester,1
protest,gather,1
protest,near,1
protest,park,1
protest,late,1
protest,measure,1
protest,amid,1
killing,black,1
killing,america,2
killing,anguish,1
killing,lose,1
killing,lost,1
killing,one,1
killing,covid,1
killing,even,1
killing,historic,1
killing,celebration,1
killing,pick,1
killing,photo,1
killing,week,1
black,america,2
black,anguish,1
black,lose,1
black,lost,1
black,one,1
black,covid,1
black,even,1
black,historic,1
