Source,Target,Weight
daily,case,32
daily,coronavirus,11
daily,infection,16
daily,high,13
daily,since,10
daily,mid,2
daily,summer,2
daily,see,4
daily,number,11
daily,expert,2
daily,express,2
daily,concern,2
daily,rapid,2
daily,acceleration,2
daily,covid,21
daily,new,21
daily,hit,2
daily,record,18
daily,italy,2
daily,prime,1
daily,minister,1
daily,conte,1
daily,allow,1
daily,mayor,1
daily,shut,2
daily,public,4
daily,square,1
daily,halt,1
daily,large,2
daily,gathering,1
daily,surpass,4
daily,mark,4
daily,one,3
daily,week,3
daily,report,22
daily,mean,2
daily,russia,4
daily,germany,2
daily,saw,1
daily,start,3
daily,outbreak,4
daily,confirm,7
daily,past,5
daily,hour,5
daily,positive,2
daily,test,2
daily,double,1
daily,june,3
daily,restriction,1
daily,ease,1
daily,across,1
daily,keep,2
daily,grow,2
daily,dutch,2
daily,national,5
daily,institute,3
daily,health,10
daily,environment,2
daily,world,3
daily,organization,2
daily,around,2
daily,first,2
daily,time,3
daily,compare,2
daily,yesterday,2
daily,begin,2
daily,canada,2
daily,province,1
daily,increase,3
daily,death,7
daily,take,1
daily,toll,2
daily,ministry,3
daily,say,4
daily,australia,2
daily,prim,2
daily,register,3
daily,low,2
daily,three,2
daily,month,2
daily,wake,2
daily,strict,2
daily,measure,4
daily,bring,2
daily,rate,2
daily,previous,2
daily,security,1
daily,council,1
daily,iran,1
daily,beat,1
daily,set,1
daily,push,2
daily,tally,2
daily,accord,3
daily,authority,2
daily,country,2
daily,steeply,1
daily,rise,2
daily,along,1
daily,prepare,1
daily,hold,1
daily,general,1
daily,election,1
daily,sniffer,1
daily,international,1
daily,airport,1
daily,train,1
daily,detect,1
daily,announce,1
daily,agency,1
daily,surge,2
daily,total,1
daily,people,1
daily,york,1
daily,early,1
daily,state,1
daily,communication,1
daily,underway,1
daily,regard,1
daily,possible,1
daily,additional,1
daily,gym,1
daily,movie,1
daily,theater,1
daily,indoor,1
daily,dining,1
daily,restaurant,1
daily,peel,1
daily,region,1
daily,next,1
daily,day,1
daily,malaysia,1
daily,middle,1
daily,spike,1
daily,may,1
daily,pandemic,3
daily,ever,1
daily,france,1
daily,local,1
daily,restrictive,1
daily,average,1
case,coronavirus,62
case,infection,26
case,high,19
case,since,29
case,mid,4
case,summer,4
case,see,15
case,number,54
case,expert,8
case,express,4
case,concern,5
case,rapid,5
case,acceleration,4
case,covid,141
case,surpass,13
case,million,54
case,week,13
case,pandemic,11
case,take,25
case,toll,8
case,labor,1
case,market,2
case,economy,2
case,confirm,50
case,one,31
case,many,2
case,health,75
case,worker,5
case,become,4
case,first,12
case,country,38
case,western,2
case,report,145
case,continent,7
case,grapple,1
case,resurgence,3
case,reach,9
case,accord,48
case,ministry,22
case,register,26
case,new,148
case,overseas,23
case,national,29
case,commission,15
case,announce,16
case,undergraduate,1
case,student,3
case,university,12
case,michigan,3
case,emergency,1
case,stay,2
case,place,1
case,order,1
case,issue,1
case,data,4
case,reveal,3
case,local,18
case,among,1
case,late,9
case,news,4
case,across,10
case,global,14
case,pass,10
case,urge,2
