Source,Target,Weight
coronavirus,bring,41
coronavirus,anti,9
coronavirus,sentiment,10
coronavirus,south,35
coronavirus,korea,36
coronavirus,issue,14
coronavirus,could,70
coronavirus,come,19
coronavirus,bad,12
coronavirus,time,26
coronavirus,start,30
coronavirus,line,21
coronavirus,muller,1
coronavirus,boston,3
coronavirus,university,14
coronavirus,shameful,1
coronavirus,attack,7
coronavirus,bus,6
coronavirus,carry,22
coronavirus,evacuee,25
coronavirus,china,1153
coronavirus,outbreak,561
coronavirus,confirm,165
coronavirus,case,486
coronavirus,rise,113
coronavirus,read,8
coronavirus,late,182
coronavirus,world,152
coronavirus,grip,5
coronavirus,epidemic,55
coronavirus,dangerous,5
coronavirus,racism,6
coronavirus,hubei,82
coronavirus,say,328
coronavirus,people,215
coronavirus,province,68
coronavirus,prison,1
coronavirus,system,10
coronavirus,also,10
coronavirus,infect,107
coronavirus,update,65
coronavirus,parent,3
coronavirus,student,20
coronavirus,stick,9
coronavirus,demand,36
coronavirus,child,3
coronavirus,evacuate,69
coronavirus,foreign,12
coronavirus,journalist,5
coronavirus,death,262
coronavirus,climb,19
coronavirus,two,102
coronavirus,die,50
coronavirus,iran,10
coronavirus,first,162
coronavirus,fatality,16
coronavirus,middle,4
coronavirus,east,3
coronavirus,aid,8
coronavirus,agency,10
coronavirus,warn,44
coronavirus,patient,80
coronavirus,run,16
coronavirus,drug,37
coronavirus,amid,89
coronavirus,report,166
coronavirus,revoke,1
coronavirus,press,5
coronavirus,credential,1
coronavirus,three,46
coronavirus,wall,21
coronavirus,street,29
coronavirus,journal,3
coronavirus,opinion,1
coronavirus,piece,2
coronavirus,deem,2
coronavirus,racist,9
coronavirus,least,60
coronavirus,recover,11
coronavirus,survivor,2
coronavirus,recall,2
coronavirus,ordeal,3
coronavirus,concern,57
coronavirus,mass,5
coronavirus,surveillance,4
coronavirus,use,36
coronavirus,combat,12
coronavirus,spread,343
coronavirus,cheat,2
coronavirus,worried,7
coronavirus,business,47
coronavirus,family,18
coronavirus,home,36
coronavirus,love,1
coronavirus,place,17
coronavirus,entire,1
coronavirus,livelihood,1
coronavirus,subject,3
coronavirus,diamond,31
coronavirus,princess,33
coronavirus,cruise,186
coronavirus,ship,181
coronavirus,test,152
coronavirus,positive,79
coronavirus,total,68
coronavirus,number,96
coronavirus,infection,56
coronavirus,slow,28
coronavirus,since,22
coronavirus,hospital,60
coronavirus,director,13
coronavirus,new,340
coronavirus,toll,120
coronavirus,hit,108
coronavirus,follow,41
coronavirus,ill,2
coronavirus,prepare,10
coronavirus,grapple,8
coronavirus,threat,23
coronavirus,alarm,10
coronavirus,grow,33
coronavirus,keep,38
coronavirus,cripple,1
coronavirus,economy,59
coronavirus,knock,7
coronavirus,effect,14
coronavirus,globally,29
coronavirus,anyone,13
coronavirus,quarantine,132
coronavirus,government,69
coronavirus,citizen,49
coronavirus,protest,12
coronavirus,fear,142
coronavirus,tourist,18
coronavirus,france,30
coronavirus,put,12
coronavirus,freedom,1
coronavirus,health,241
coronavirus,innocent,2
coronavirus,risk,50
coronavirus,million,60
coronavirus,already,21
coronavirus,imprison,1
coronavirus,torture,1
coronavirus,kill,56
coronavirus,virus,103
coronavirus,exceed,5
coronavirus,protect,20
coronavirus,breaking,7
coronavirus,africa,4
coronavirus,waste,2
coronavirus,away,14
coronavirus,internment,1
coronavirus,camp,3
coronavirus,receive,8
coronavirus,level,11
coronavirus,support,12
coronavirus,along,7
coronavirus,ask,7
coronavirus,global,135
coronavirus,television,1
coronavirus,network,2
coronavirus,news,15
coronavirus,anchor,2
coronavirus,wang,1
coronavirus,second,39
coronavirus,disappear,3
coronavirus,activist,1
coronavirus,stand,16
coronavirus,way,15
coronavirus,early,34
coronavirus,try,30
coronavirus,predict,2
coronavirus,beginning,3
coronavirus,end,26
coronavirus,right,4
coronavirus,record,32
coronavirus,jump,25
coronavirus,exile,1
coronavirus,xinjiang,1
coronavirus,japanese,27
coronavirus,large,25
coronavirus,outside,55
coronavirus,southeast,3
coronavirus,asian,25
coronavirus,law,3
coronavirus,maker,9
coronavirus,call,13
coronavirus,stop,28
coronavirus,fake,8
coronavirus,accuse,7
coronavirus,misinformation,10
coronavirus,japan,139
coronavirus,singapore,41
coronavirus,expect,18
coronavirus,percent,5
coronavirus,drop,29
coronavirus,visitor,5
coronavirus,due,120
coronavirus,happen,2
coronavirus,get,22
coronavirus,breach,1
coronavirus,lunar,26
coronavirus,year,68
coronavirus,holiday,18
coronavirus,workplace,1
coronavirus,school,13
coronavirus,remain,22
coronavirus,deserted,1
coronavirus,several,17
coronavirus,city,121
coronavirus,work,47
coronavirus,contain,66
coronavirus,british,18
coronavirus,victim,9
coronavirus,super,3
coronavirus,spreader,2
coronavirus,must,10
coronavirus,confidence,7
coronavirus,eventually,2
coronavirus,win,5
coronavirus,battle,20
coronavirus,president,19
coronavirus,jinping,10
coronavirus,dead,18
coronavirus,need,19
coronavirus,fact,2
coronavirus,via,5
coronavirus,hong,101
coronavirus,triple,3
coronavirus,trade,20
coronavirus,war,5
coronavirus,art,4
coronavirus,cancel,32
coronavirus,fair,7
coronavirus,hurt,16
coronavirus,tourism,12
coronavirus,doctor,51
coronavirus,sound,4
coronavirus,threaten,13
coronavirus,hold,19
coronavirus,power,6
coronavirus,see,46
coronavirus,worker,29
coronavirus,strike,1
coronavirus,deadly,69
coronavirus,face,45
coronavirus,mask,49
coronavirus,help,60
coronavirus,vaccine,35
coronavirus,answer,8
coronavirus,big,41
coronavirus,question,24
coronavirus,admit,1
coronavirus,shortcoming,2
coronavirus,thread,3
coronavirus,arrest,6
coronavirus,post,11
coronavirus,like,24
coronavirus,prayer,1
coronavirus,fury,1
coronavirus,stress,1
coronavirus,denounce,1
coronavirus,xenophobia,3
coronavirus,tie,1
