Source,Target,Weight
decoration,fill,3
decoration,street,3
decoration,old,2
decoration,city,2
decoration,welcome,2
decoration,holy,3
decoration,month,3
decoration,freer,3
decoration,covid,3
decoration,restriction,2
decoration,height,2
decoration,pandemic,2
decoration,colorful,1
decoration,lantern,1
decoration,ornate,1
decoration,prepare,1
fill,street,3
fill,old,2
fill,city,2
fill,welcome,2
fill,holy,3
fill,month,3
fill,freer,3
fill,covid,14
fill,restriction,2
fill,height,2
fill,pandemic,2
fill,say,5
fill,test,1
fill,positive,1
fill,well,1
fill,alo,1
fill,project,1
fill,win,1
fill,special,1
fill,election,1
fill,seat,1
fill,late,1
fill,husband,1
fill,luke,1
fill,die,1
fill,diagnose,1
fill,first,1
fill,woman,1
fill,represent,1
fill,state,1
fill,hospital,2
fill,may,2
fill,withhold,2
fill,care,2
fill,colorful,1
fill,lantern,1
fill,ornate,1
fill,prepare,1
fill,get,4
fill,nod,4
fill,dos,5
fill,per,4
fill,vial,4
fill,vaccine,7
fill,pull,1
fill,emergency,1
fill,brake,1
fill,third,1
fill,case,1
fill,rise,1
fill,bed,1
fill,johnson,4
fill,find,2
fill,problem,2
fill,batch,4
fill,drug,2
fill,substance,2
fill,produce,2
fill,emergent,2
fill,advance,2
fill,final,2
fill,finish,2
fill,stage,2
fill,million,1
street,old,3
street,city,2
street,welcome,2
street,holy,3
street,month,4
street,freer,3
street,covid,10
street,restriction,2
street,height,2
street,pandemic,4
street,beach,2
street,official,2
street,extend,2
street,curfew,2
street,least,1
street,another,1
street,week,1
street,decision,1
street,follow,1
street,arrest,1
street,unruly,1
street,spring,2
street,breaker,2
street,gather,2
street,thousand,2
street,fight,1
street,destroy,1
street,restaurant,2
street,property,1
street,refuse,1
street,wear,1
street,mask,2
street,breaking,1
street,set,1
street,announce,1
street,hard,1
street,party,1
street,trash,1
street,brawl,1
street,without,1
street,social,1
street,johnson,8
street,seek,4
street,help,4
street,three,4
street,rival,4
street,vaccine,4
street,maker,4
street,look,4
street,report,8
street,blood,4
street,clot,4
street,decline,4
street,wall,6
street,journal,4
street,cite,4
street,source,4
street,agree,4
street,accord,4
street,federal,1
street,regulator,1
street,say,1
street,win,1
street,relief,1
street,provision,1
street,grant,1
street,big,1
street,bank,1
street,dash,1
street,hop,1
street,extension,1
street,colorful,1
street,lantern,1
street,ornate,1
street,prepare,1
street,patient,1
street,know,1
street,clown,1
street,doctor,1
street,treat,1
street,grow,1
street,number,1
street,drive,1
street,onto,1
street,devastate,1
street,country,1
street,economy,1
street,medical,1
street,staff,1
street,barcelona,1
street,roll,1
street,year,2
street,man,2
street,across,1
street,hospital,1
street,bed,1
street,bask,1
street,sunlit,1
street,seashore,1
street,first,1
street,outing,1
street,almost,1
street,four,1
street,intensive,1
street,care,1
street,due,1
street,end,1
street,sharply,1
street,low,1
street,hit,1
street,rise,1
street,treasury,1
street,yield,1
street,fresh,1
street,worry,1
street,coronavirus,1
street,one,1
street,see,1
street,empty,1
street,socially,1
street,people,1
street,sit,1
street,alone,1
street,outside,1
street,pub,1
old,city,3
old,welcome,2
old,holy,2
old,month,9
old,freer,2
old,covid,43
old,restriction,2
old,height,1
old,pandemic,2
old,vaccinate,8
old,year,36
old,single,3
old,shot,6
old,johnson,6
old,vaccine,38
old,say,19
old,effective,4
old,child,6
old,attend,1
old,palm,1
old,procession,1
old,mount,1
old,olive,1
old,amid,1
old,picture,1
old,age,7
old,receive,11
old,least,4
old,one,6
old,dose,6
old,rate,1
old,new,5
old,vaccination,5
old,among,2
old,group,5
old,slow,1
old,expert,1
old,worry,1
old,similar,2
old,trend,1
old,could,1
old,occur,1
old,broad,1
old,population,1
old,elderly,1
old,elbow,1
old,aside,3
old,watch,1
old,disbelief,1
old,young,4
old,professional,1
old,get,7
old,three,2
old,drive,2
old,many,5
old,number,2
old,encourage,2
old,seventy,2
old,percent,2
old,death,2
old,dip,2
old,day,3
old,average,2
old,homeless,2
old,leave,2
old,priority,2
old,list,3
old,coronavirus,9
old,even,3
old,bump,2
old,state,11
old,shift,2
old,eligibility,4
old,finally,2
old,supply,7
old,increase,2
old,figure,1
old,statistic,1
old,agency,1
old,show,2
old,people,12
old,black,1
old,african,1
old,background,1
old,far,1
old,less,1
old,way,3
old,rid,1
old,virus,1
old,great,1
old,grandmother,1
old,urge,1
old,fell,1
old,nursing,2
old,home,4
old,near,2
old,resident,3
old,second,5
old,jab,2
old,surprise,2
old,visit,2
old,wife,2
old,italy,4
old,nurse,2
old,official,2
old,call,2
old,push,2
old,success,2
old,woman,4
old,stand,2
old,ovation,1
old,hospital,7
old,staff,2
old,recover,3
old,time,5
old,doctor,2
old,suffer,2
old,complication,2
old,expect,2
old,ditch,2
old,belief,2
old,adult,2
old,exist,2
old,condition,2
old,risk,2
old,severe,2
old,appeal,1
old,voluntarily,1
old,take,1
old,two,3
old,week,3
old,pause,1
old,indoor,1
old,dining,1
old,gathering,1
old,sobering,1
old,message,1
old,return,1
old,pastime,1
old,analysis,3
old,nearly,1
old,since,1
old,worker,3
old,peter,1
old,walk,2
old,contract,3
old,last,2
old,march,3
old,lose,1
old,ability,1
old,spend,1
old,fighting,1
old,life,1
old,york,2
old,yet,2
old,announce,2
old,open,2
old,anyone,2
old,rest,2
old,later,3
old,may,2
old,accord,3
old,hundred,1
old,family,2
old,limbo,1
old,delay,1
old,adoption,1
old,ready,1
old,adopt,1
old,spring,1
old,still,3
old,wait,2
old,report,1
old,eligible,2
old,allow,4
old,aged,2
old,start,2
old,variability,2
old,offer,2
old,everyone,2
old,difference,2
old,demand,2
old,relatively,1
old,rare,3
old,common,3
old,infect,1
old,study,5
old,first,8
old,phase,2
old,pediatric,2
old,trial,5
old,company,4
old,clinical,2
old,enroll,2
old,approximately,2
old,canada,2
old,lot,1
old,felt,2
old,control,1
old,part,1
old,process,1
old,advance,1
old,science,1
old,make,4
old,accessible,1
old,friend,1
old,super,1
old,exciting,1
old,directly,1
old,compare,1
old,immune,1
old,reaction,1
old,find,3
old,strong,1
old,broadly,1
old,antibody,5
old,response,5
old,either,1
old,scientist,1
old,discharge,2
old,test,2
old,positive,2
old,sao,2
old,exhume,2
old,space,2
old,surge,2
old,burial,2
old,safe,4
old,produce,4
old,robust,4
old,pave,2
old,seek,2
old,approval,2
old,need,1
old,intensive,2
old,care,2
old,small,1
old,town,1
old,treat,1
old,basic,1
old,medical,2
old,lack,1
old,join,1
old,grow,1
old,bed,3
old,die,1
old,barcelona,1
old,roll,1
old,man,3
old,across,1
old,bask,1
old,sunlit,1
old,seashore,1
old,outing,1
old,almost,1
old,four,1
old,due,1
old,patient,1
old,soler,1
old,well,1
old,deserve,1
old,dance,2
old,joy,2
old,look,2
old,forward,2
old,back,2
old,club,2
old,dancing,2
old,semi,2
old,retire,2
old,social,2
old,long,2
old,hauler,2
old,experience,1
old,fatigue,2
old,symptom,2
old,ago,1
old,like,2
old,tiredness,1
old,ever,1
old,hit,1
old,truck,1
old,continue,1
old,face,1
old,thousand,1
old,know,1
old,majority,1
old,protect,1
old,six,1
old,prone,1
old,reinfection,3
old,pay,2
old,high,2
old,price,2
old,regional,2
old,lottery,2
old,limit,2
old,become,1
old,person,1
old,wale,1
city,welcome,2
city,holy,4
city,month,2
city,freer,2
city,covid,26
city,restriction,3
city,height,1
city,pandemic,6
city,health,3
city,expert,2
city,south,1
city,korea,1
city,warn,2
city,potential,1
city,fourth,1
city,wave,3
city,case,7
city,cluster,1
city,spread,4
city,dozen,1
city,region,1
city,image,2
city,body,3
city,victim,3
city,leave,2
city,outside,2
city,government,4
city,hospital,2
city,emerge,2
city,india,3
city,country,7
city,report,4
city,world,1
city,high,2
city,daily,1
city,tally,1
city,coronavirus,4
city,infection,2
city,new,4
city,australia,1
city,third,1
city,big,1
city,head,1
city,snap,1
city,three,1
city,day,3
city,attend,1
city,palm,1
city,procession,1
city,mount,1
city,olive,1
city,amid,1
city,picture,2
city,human,2
city,scavenger,1
city,help,3
city,keep,1
city,clean,1
city,plea,1
city,get,2
city,virus,4
city,update,1
city,surpass,1
city,million,1
city,death,1
city,homeless,1
city,chance,1
city,shot,2
city,close,1
city,hit,2
city,bangkok,1
city,thailand,1
city,stumble,1
city,coverage,1
city,dead,1
city,without,2
city,name,2
city,many,3
city,secretly,1
city,bury,2
city,field,1
city,authority,1
city,approve,1
city,burial,1
city,never,1
city,tell,2
city,family,2
city,least,1
city,people,4
city,west,1
city,ground,1
city,zero,1
city,epidemic,1
city,fight,1
city,hard,1
city,become,1
city,national,1
city,model,1
city,undid,1
city,much,1
city,progress,1
city,horrible,1
city,experiment,2
city,say,6
city,nurse,1
city,front,1
city,line,1
city,border,4
city,fresh,1
city,outbreak,3
city,begin,2
city,five,1
city,drive,1
city,vaccinate,1
city,entire,1
city,population,2
city,blow,1
city,tourism,1
city,industry,1
city,employ,1
city,one,5
city,seven,2
city,worker,1
city,pope,1
city,order,1
city,pay,1
city,cut,1
city,cardinal,1
city,priest,1
city,nun,1
city,bid,1
city,save,1
city,see,2
city,employee,1
city,job,1
city,emergency,1
city,negatively,1
city,impact,1
city,source,1
city,revenue,1
city,state,4
city,german,1
city,join,1
city,berlin,1
city,suspend,2
city,use,3
city,hong,2
city,vaccination,2
city,distributor,1
city,inform,1
city,batch,1
city,defective,1
city,bottle,1
city,lid,1
city,style,1
city,vaccine,6
city,hundred,1
city,test,2
city,positive,1
city,mela,1
city,australian,1
city,shut,1
city,food,3
city,delivery,1
city,service,1
city,take,1
city,kit,1
city,home,1
city,protest,1
city,break,1
city,night,1
city,late,1
city,curfew,2
city,effect,1
city,due,1
city,spike,2
city,private,1
city,sale,1
city,large,3
city,remain,2
city,inaccessible,1
city,resident,1
city,rural,1
city,area,1
city,price,1
city,beyond,1
city,undercover,1
city,show,2
city,member,1
city,elite,1
city,enjoy,1
city,secret,1
city,dinner,1
city,party,3
city,luxury,1
city,restaurant,1
city,flout,1
city,spark,1
city,fury,1
city,france,1
city,prompt,1
city,prosecutor,1
city,launch,2
city,investigation,2
city,massive,1
city,crowd,3
city,arrive,1
city,northern,1
city,religious,1
city,pilgrimage,1
city,earth,1
city,even,1
city,could,1
city,cause,1
city,surge,1
city,grapple,1
city,second,1
city,attorney,1
city,make,1
city,announcement,1
city,follow,1
city,office,1
city,year,2
city,prosecute,1
city,minor,1
city,offense,1
city,decrease,1
city,behind,1
city,bar,1
city,york,1
city,mayor,3
city,bill,1
city,racial,1
city,justice,1
city,commission,1
city,task,1
city,dismantle,1
city,structural,1
city,racism,1
city,address,1
city,disparity,1
city,lay,1
city,bare,1
city,beach,4
city,iconic,2
city,hotel,2
city,announce,4
city,temporarily,2
city,halt,2
city,beverage,2
city,operation,2
city,concern,2
city,throng,2
city,visit,2
city,struggle,1
city,cope,1
city,rapidly,1
city,worsen,1
city,prime,1
city,minister,1
city,communist,2
city,chief,2
city,dismiss,2
city,wrestler,1
city,site,1
city,support,1
city,elderly,1
city,whilst,1
city,receive,3
city,thousand,2
city,flock,2
city,shop,2
city,mall,2
city,center,2
city,across,2
city,ministry,2
city,half,2
city,two,2
city,dos,2
city,western,1
city,impose,1
city,nighttime,1
city,capital,1
city,single,1
city,since,1
city,march,1
city,last,1
city,initial,1
city,obvious,1
city,systemic,1
city,factor,1
city,neighboring,1
city,week,1
welcome,holy,2
welcome,month,3
welcome,freer,2
welcome,covid,4
welcome,restriction,1
welcome,height,1
welcome,pandemic,1
welcome,ranger,1
welcome,crowd,1
welcome,least,1
welcome,fan,1
welcome,globe,1
welcome,life,1
welcome,field,1
welcome,team,1
welcome,home,1
welcome,opener,1
welcome,blue,1
welcome,jay,1
welcome,game,1
welcome,mark,1
welcome,one,1
welcome,first,1
welcome,full,1
welcome,capacity,1
welcome,sport,1
welcome,event,1
welcome,since,1
welcome,shut,1
welcome,gathering,1
welcome,facebook,1
welcome,hundred,1
welcome,local,2
welcome,resident,1
welcome,park,1
welcome,headquarters,1
welcome,opening,1
welcome,day,1
welcome,new,1
welcome,pop,1
welcome,vaccination,1
welcome,site,1
welcome,run,1
welcome,community,1
welcome,health,1
welcome,group,1
welcome,case,1
welcome,rise,1
welcome,across,1
welcome,country,1
welcome,president,2
welcome,strong,1
welcome,job,2
welcome,report,1
welcome,march,2
welcome,also,2
welcome,warn,2
welcome,progress,2
welcome,work,2
welcome,hard,2
welcome,achieve,2
welcome,reverse,2
welcome,data,1
welcome,show,1
welcome,economy,1
welcome,create,1
welcome,seven,1
holy,month,3
holy,freer,3
holy,covid,5
holy,restriction,2
holy,height,2
holy,pandemic,5
holy,pope,2
holy,order,2
holy,pay,2
holy,cut,2
holy,cardinal,2
holy,priest,2
holy,nun,2
holy,bid,2
holy,save,2
holy,see,4
holy,employee,2
holy,job,2
holy,say,2
holy,emergency,2
holy,negatively,2
holy,impact,2
holy,source,2
holy,revenue,2
holy,state,2
holy,ancient,1
holy,coin,1
holy,may,1
holy,solve,1
holy,mystery,1
holy,murderous,1
holy,pirate,1
holy,brutal,1
holy,attack,1
holy,renew,1
holy,asian,1
holy,volunteer,1
holy,effort,1
holy,vital,1
holy,clean,1
holy,world,1
holy,scavenger,1
holy,leave,1
holy,plead,1
holy,vaccine,1
holy,day,1
holy,arrive,1
holy,faithful,1
holy,colorful,1
holy,lantern,1
holy,ornate,1
holy,prepare,1
holy,seek,2
holy,post,2
holy,renewal,2
holy,land,2
holy,archbishop,2
holy,urge,2
holy,easter,2
month,freer,3
month,covid,97
month,restriction,4
month,height,2
month,pandemic,10
month,third,6
month,vaccine,46
month,dose,8
month,likely,8
month,need,4
month,within,7
month,say,28
month,many,5
month,contract,2
month,still,6
month,linger,1
month,symptom,1
month,include,3
month,deep,1
month,fatigue,1
month,brain,2
month,fog,1
month,dry,1
month,eye,1
month,heart,1
month,palpitation,1
month,inability,1
month,walk,3
month,uphill,1
month,without,1
month,become,1
month,extremely,1
month,asthmatic,1
month,human,2
month,right,2
month,group,2
month,warn,3
month,refugee,2
month,migrant,2
month,worker,4
month,leave,2
month,india,18
month,new,18
month,daily,18
month,infection,16
month,high,20
month,six,32
month,report,21
month,rise,8
month,case,15
month,three,14
month,fight,2
month,every,2
month,day,5
month,like,2
month,get,5
month,two,14
month,devil,2
month,one,5
month,shoulder,2
month,angel,2
month,brutal,2
month,people,19
month,suffer,2
month,addiction,2
month,die,4
month,ever,2
month,protect,7
month,least,12
month,accord,8
month,journal,2
month,medicine,2
month,similar,2
month,protection,10
month,little,3
month,four,2
month,showdown,1
month,cal,1
month,effective,6
month,later,2
month,symptomatic,2
month,disease,6
month,even,2
month,protective,2
month,prevent,5
month,severe,2
month,surpass,1
month,million,11
month,confirmed,1
month,university,1
month,nearly,4
month,country,2
month,hit,4
month,related,2
month,death,9
month,total,1
month,vaccination,5
month,drive,2
month,number,2
month,encourage,2
month,seventy,2
month,percent,2
month,receive,6
month,dip,2
month,average,2
month,shape,1
month,brazil,3
month,dark,1
month,yet,1
month,hospital,7
month,face,3
month,crush,1
month,patient,6
month,track,2
month,record,6
month,short,1
month,supply,4
month,expert,1
month,blame,1
month,president,6
month,refuse,1
month,enact,1
month,strict,1
month,measure,1
month,coronavirus,6
month,shot,7
month,widespread,1
month,clear,1
month,goal,1
month,inject,1
month,target,1
month,date,1
month,office,1
month,prepare,4
month,set,3
month,sight,1
month,higher,1
month,nationwide,1
month,effort,1
month,delay,2
month,development,1
month,could,3
month,reverberate,1
month,across,3
month,half,2
month,treat,5
month,intensive,6
month,care,8
month,last,13
month,research,1
month,stop,4
month,first,13
month,study,14
month,begin,4
month,ease,2
month,next,6
month,northern,1
month,ahead,2
month,republic,2
month,significant,1
month,reduction,1
month,weekly,1
month,week,2
month,mar,1
month,deliver,3
month,promise,1
month,survivor,7
month,diagnosis,4
month,neurological,5
month,psychological,4
month,condition,4
month,health,5
month,perish,1
month,year,9
month,lose,2
month,investigation,1
month,guardian,1
month,eight,2
month,ford,2
month,mask,2
month,risk,3
month,community,2
month,auto,2
month,company,9
month,announce,2
month,ongoing,4
month,trial,12
month,confirm,4
month,second,4
month,also,7
month,worrying,4
month,variant,6
month,probably,3
month,come,3
month,animal,3
month,start,4
month,spread,6
month,notice,3
month,world,2
month,organization,2
month,draft,3
month,find,7
month,since,1
month,peter,1
month,march,2
month,ability,1
month,stand,1
month,spend,1
month,fighting,1
month,life,1
month,fully,4
month,recover,4
month,five,9
month,discharge,4
month,san,2
month,launch,1
month,pilot,1
month,program,1
month,guarantee,2
month,monthly,2
month,income,1
month,artist,2
month,affect,1
month,would,1
month,payment,1
month,around,3
month,may,3
month,castle,1
month,magical,1
month,dream,1
month,complete,1
month,reopen,1
month,hong,1
month,loosen,1
month,nod,1
month,wide,1
month,variety,1
month,female,1
month,character,1
month,feature,1
month,movie,1
month,affordable,1
month,act,1
month,special,1
month,enrollment,1
month,period,1
month,extend,1
month,august,2
month,allow,1
month,time,3
month,take,2
month,advantage,1
month,benefit,1
month,grant,1
month,relief,1
month,law,1
month,expect,3
month,ballot,1
month,ago,1
month,husband,1
month,win,1
month,election,1
month,district,1
month,early,1
month,runoff,1
month,never,1
month,make,2
month,congress,1
month,complication,1
month,kill,1
month,past,1
month,war,1
month,personally,1
month,child,6
month,vaccinate,5
month,phase,4
month,pediatric,2
month,clinical,2
month,enroll,2
month,approximately,2
month,canada,2
month,age,3
month,screen,1
month,chance,1
month,available,1
month,school,3
month,middle,1
month,fall,2
month,young,2
month,away,1
month,upcoming,1
month,united,1
month,state,1
month,possibility,2
month,booster,2
month,nine,2
month,initially,2
month,white,2
month,house,2
month,official,2
month,strong,4
month,colorful,1
month,lantern,1
month,ornate,1
month,economy,2
month,inflection,1
month,point,1
month,expectation,1
month,growth,1
month,pick,1
month,speed,1
month,remain,1
month,particularly,1
month,resurgence,1
month,federal,1
month,reserve,1
month,chair,1
