Source,Target,Weight
global,covid,129
global,case,20
global,surpass,7
global,million,45
global,coronavirus,57
global,news,10
global,follow,6
global,coverage,7
global,report,10
global,strong,4
global,international,4
global,vaccine,83
global,could,11
global,world,26
global,economic,3
global,recovery,6
global,add,2
global,trillion,5
global,death,48
global,top,3
global,toll,25
global,pass,7
global,one,30
global,die,6
global,health,25
global,organization,9
global,delay,7
global,reduce,1
global,travel,4
global,restriction,5
global,industry,4
global,say,15
global,test,11
global,would,5
global,good,1
global,quarantine,2
global,secretary,1
global,general,3
global,call,1
global,face,4
global,challenge,1
global,catch,1
global,high,8
global,rate,3
global,disease,5
global,look,2
global,impact,1
global,director,1
global,take,3
global,care,1
global,pandemic,41
global,china,28
global,join,16
global,back,9
global,facility,9
global,big,7
global,economy,15
global,far,4
global,russia,6
global,sign,3
global,people,12
global,around,6
global,amid,6
global,effort,14
global,develop,10
global,produce,2
global,effective,12
global,italy,1
global,resident,1
global,doctor,1
global,service,1
global,first,9
global,wave,2
global,use,18
global,tell,1
global,five,1
global,plan,13
global,record,12
global,bad,8
global,day,11
global,since,4
global,start,1
global,early,3
global,virus,6
global,outbreak,7
global,resurgence,3
global,child,4
global,work,9
global,ten,5
global,thousand,6
global,india,7
global,america,2
global,make,2
global,breaking,1
global,daily,3
global,yet,1
global,new,13
global,infection,3
global,nine,2
global,month,5
global,crisis,2
global,force,2
global,change,5
global,way,5
global,live,5
global,nearly,3
global,accord,9
global,data,7
global,university,2
global,effect,1
global,also,2
global,ahead,1
global,show,4
global,year,2
global,sale,3
global,event,1
global,struggle,11
global,president,9
global,among,1
global,many,2
global,leader,3
global,response,1
global,gathering,1
global,even,3
global,become,6
global,issue,5
global,food,2
global,chief,2
global,warn,4
global,war,1
global,south,2
global,africa,1
global,ask,1
global,right,1
global,morning,3
global,trump,10
global,trail,2
global,debate,2
global,watch,14
global,race,13
global,push,4
global,get,2
global,brazil,2
global,government,2
global,little,2
global,update,2
global,several,7
global,country,8
global,experience,1
global,may,3
global,hit,10
global,two,7
global,protest,1
global,expert,3
global,concern,2
global,number,1
global,spread,3
global,flu,1
global,milestone,12
global,provide,6
global,help,10
global,student,2
global,safety,2
global,market,8
global,stock,7
global,future,2
global,lady,2
global,positive,5
global,announce,1
global,come,4
global,campaign,1
global,cause,2
global,job,2
global,research,4
global,air,1
global,united,6
global,state,4
global,enough,1
global,risk,2
global,leave,1
global,vulnerable,1
global,emergency,3
global,like,2
global,message,1
global,study,9
global,continue,1
global,public,1
global,potential,3
global,put,11
global,hope,1
global,stimulus,1
global,deal,1
global,battle,1
global,fear,4
global,spike,4
global,surge,6
global,pause,6
global,candidate,11
global,clinical,6
global,trial,23
global,due,7
global,illness,6
global,participant,12
global,contain,6
global,johnson,6
global,hold,3
global,large,11
global,keep,16
global,boom,9
global,demand,20
global,worker,4
global,researcher,3
global,maker,10
global,order,10
global,know,3
global,support,3
global,shot,7
global,fight,5
global,late,10
global,group,4
global,nation,1
global,offer,1
global,protect,1
global,long,1
global,term,1
global,lead,1
global,business,1
global,center,4
global,well,3
global,talk,4
global,shut,2
global,curb,5
global,investor,2
global,seek,2
global,safe,2
global,treasury,2
global,exclusive,10
global,major,3
global,set,2
global,allow,2
global,scientist,2
global,compare,14
global,head,18
global,raise,5
global,billion,5
global,british,2
global,second,3
global,prevent,3
global,stage,8
global,rise,18
global,past,6
global,system,4
global,small,2
global,share,3
global,result,5
global,base,3
global,six,3
global,week,3
global,already,3
global,end,3
global,reach,2
global,still,2
global,infect,2
global,meet,1
global,post,1
global,immunity,3
global,kill,2
global,company,2
global,possible,2
global,soon,2
global,bank,8
global,level,2
global,boost,1
global,flight,2
global,time,2
global,increase,2
global,much,2
global,korea,1
global,firm,1
global,contract,1
global,across,1
global,see,1
global,third,1
global,open,2
global,promise,1
global,send,1
global,financial,1
global,city,1
global,worry,1
global,bring,1
global,lose,1
global,stay,1
global,home,1
global,loss,2
global,close,1
global,germany,1
global,begin,1
covid,case,650
covid,surpass,31
covid,million,152
covid,coronavirus,200
covid,news,82
covid,follow,107
covid,coverage,62
covid,since,101
covid,start,65
covid,pandemic,236
covid,look,40
covid,stop,23
covid,spread,117
