Id,Label
covid,covid
vaccine,vaccine
china,china
say,say
case,case
country,country
receive,receive
health,health
report,report
first,first
million,million
new,new
dos,dos
people,people
pandemic,pandemic
batch,batch
world,world
president,president
dose,dose
use,use
accord,accord
national,national
day,day
one,one
brazil,brazil
vaccination,vaccination
year,year
death,death
second,second
administer,administer
arrive,arrive
state,state
minister,minister
city,city
government,government
johnson,johnson
start,start
number,number
jab,jab
show,show
watch,watch
week,week
develop,develop
official,official
coronavirus,coronavirus
blood,blood
infection,infection
get,get
vaccinate,vaccinate
company,company
africa,africa
trial,trial
data,data
make,make
high,high
record,record
emergency,emergency
approve,approve
donate,donate
virus,virus
organization,organization
see,see
amid,amid
test,test
confirm,confirm
control,control
since,since
clot,clot
shot,shot
daily,daily
study,study
two,two
global,global
local,local
register,register
chile,chile
third,third
across,across
march,march
variant,variant
announce,announce
expert,expert
center,center
age,age
south,south
origin,origin
take,take
commission,commission
prime,prime
late,late
risk,risk
due,due
agency,agency
last,last
find,find
help,help
province,province
effective,effective
total,total
give,give
ministry,ministry
bring,bring
measure,measure
toll,toll
capital,capital
news,news
overseas,overseas
link,link
hour,hour
surge,surge
clinical,clinical
international,international
authority,authority
fight,fight
month,month
shipment,shipment
yunnan,yunnan
include,include
continue,continue
group,group
disease,disease
prevention,prevention
foreign,foreign
purchase,purchase
produce,produce
may,may
beijing,beijing
restriction,restriction
rise,rise
hit,hit
positive,positive
inoculate,inoculate
nearly,nearly
phase,phase
life,life
worker,worker
end,end
low,low
supply,supply
possible,possible
call,call
release,release
asian,asian
base,base
director,director
economy,economy
reopen,reopen
russia,russia
launch,launch
african,african
percent,percent
safety,safety
campaign,campaign
pharmaceutical,pharmaceutical
least,least
set,set
top,top
school,school
increase,increase
adult,adult
part,part
immunization,immunization
population,population
live,live
effort,effort
wave,wave
begin,begin
three,three
medical,medical
original,original
effect,effect
move,move
safe,safe
drug,drug
open,open
follow,follow
become,become
work,work
drive,drive
eligible,eligible
region,region
medium,medium
single,single
joint,joint
efficacy,efficacy
export,export
close,close
around,around
head,head
public,public
many,many
france,france
travel,travel
four,four
concern,concern
border,border
mass,mass
pass,pass
hand,hand
firm,firm
spread,spread
hard,hard
institute,institute
anti,anti
also,also
home,home
lead,lead
time,time
production,production
shanghai,shanghai
another,another
back,back
khan,khan
surpass,surpass
mark,mark
reach,reach
talk,talk
office,office
could,could
warn,warn
large,large
community,community
india,india
thousand,thousand
economic,economic
despite,despite
general,general
face,face
distribute,distribute
old,old
child,child
united,united
resident,resident
aid,aid
senior,senior
cambodia,cambodia
provide,provide
goal,goal
far,far
would,would
like,like
care,care
nation,nation
inoculation,inoculation
early,early
impact,impact
place,place
long,long
ambassador,ambassador
today,today
area,area
recommend,recommend
program,program
order,order
share,share
hospital,hospital
recover,recover
behind,behind
airport,airport
medicine,medicine
certificate,certificate
animal,animal
military,military
issue,issue
donation,donation
regulator,regulator
plan,plan
response,response
chief,chief
patient,patient
sign,sign
night,night
side,side
spike,spike
need,need
limit,limit
five,five
appointment,appointment
allow,allow
experience,experience
recovery,recovery
keep,keep
crisis,crisis
rare,rare
still,still
easter,easter
resurgence,resurgence
southwest,southwest
well,well
nationwide,nationwide
within,within
expand,expand
change,change
locally,locally
transmit,transmit
pause,pause
america,america
claim,claim
team,team
system,system
globally,globally
die,die
russian,russian
return,return
hate,hate
trust,trust
import,import
food,food
administration,administration
figure,figure
event,event
hold,hold
central,central
antibody,antibody
donated,donated
currently,currently
billion,billion
expect,expect
detect,detect
look,look
require,require
york,york
seven,seven
deadline,deadline
struggle,struggle
plant,plant
trade,trade
trace,trace
urge,urge
spring,spring
assistance,assistance
likely,likely
forward,forward
fifth,fifth
prevent,prevent
foreigner,foreigner
period,period
passport,passport
lift,lift
support,support
sao,sao
join,join
ongoing,ongoing
festival,festival
deal,deal
roll,roll
half,half
press,press
governor,governor
facebook,facebook
social,social
turkey,turkey
welcome,welcome
boost,boost
visit,visit
delay,delay
thailand,thailand
push,push
agree,agree
strong,strong
market,market
joe,joe
industry,industry
hope,hope
curb,curb
canada,canada
french,french
ingredient,ingredient
similar,similar
politicize,politicize
army,army
deliver,deliver
tracing,tracing
cite,cite
grow,grow
good,good
injection,injection
nationalism,nationalism
headline,headline
among,among
ban,ban
challenge,challenge
host,host
site,site
introduction,introduction
house,house
ahead,ahead
bad,bad
park,park
california,california
ten,ten
hubei,hubei
transmission,transmission
tourism,tourism
ease,ease
crowd,crowd
much,much
major,major
fund,fund
big,big
know,know
authorization,authorization
secretary,secretary
strain,strain
level,level
university,university
student,student
benefit,benefit
publish,publish
italy,italy
ruin,ruin
facility,facility
town,town
violence,violence
ever,ever
volunteer,volunteer
service,service
carry,carry
vice,vice
twitter,twitter
union,union
science,science
executive,executive
morning,morning
healthy,healthy
consecutive,consecutive
protein,protein
malaysia,malaysia
pick,pick
toward,toward
leader,leader
middle,middle
row,row
scale,scale
crime,crime
every,every
recent,recent
theme,theme
normal,normal
double,double
essential,essential
advisory,advisory
east,east
eight,eight
unit,unit
xinhua,xinhua
think,think
along,along
maker,maker
six,six
former,former
line,line
beach,beach
free,free
great,great
overall,overall
tourist,tourist
meet,meet
western,western
quarter,quarter
restaurant,restaurant
michigan,michigan
broadway,broadway
outside,outside
intensive,intensive
association,association
incident,incident
believe,believe
promote,promote
globe,globe
propose,propose
price,price
fuel,fuel
member,member
fully,fully
statement,statement
power,power
holy,holy
cure,cure
subunit,subunit
tap,tap
