Id,Label
covid,covid
vaccine,vaccine
say,say
new,new
case,case
china,china
million,million
report,report
country,country
first,first
health,health
people,people
johnson,johnson
dos,dos
use,use
pandemic,pandemic
shot,shot
receive,receive
get,get
vaccination,vaccination
death,death
state,state
blood,blood
coronavirus,coronavirus
india,india
clot,clot
year,year
brazil,brazil
president,president
world,world
day,day
infection,infection
surge,surge
one,one
trial,trial
record,record
accord,accord
official,official
risk,risk
dose,dose
vaccinate,vaccinate
minister,minister
high,high
second,second
may,may
week,week
variant,variant
study,study
rise,rise
test,test
month,month
make,make
amid,amid
batch,batch
virus,virus
government,government
show,show
find,find
take,take
number,number
plan,plan
daily,daily
data,data
effective,effective
supply,supply
administer,administer
need,need
rare,rare
could,could
two,two
due,due
pause,pause
see,see
global,global
emergency,emergency
back,back
third,third
expert,expert
start,start
restriction,restriction
wave,wave
national,national
hit,hit
response,response
since,since
south,south
link,link
disease,disease
help,help
hospital,hospital
export,export
child,child
age,age
regulator,regulator
france,france
city,city
concern,concern
adult,adult
agency,agency
time,time
develop,develop
top,top
patient,patient
company,company
give,give
announce,announce
fauci,fauci
many,many
work,work
safe,safe
set,set
canada,canada
australia,australia
russia,russia
drug,drug
control,control
delay,delay
last,last
approve,approve
face,face
house,house
call,call
doctor,doctor
begin,begin
leader,leader
end,end
urge,urge
march,march
warn,warn
white,white
old,old
another,another
least,least
across,across
union,union
nation,nation
administration,administration
effect,effect
offer,offer
continue,continue
arrive,arrive
know,know
include,include
jab,jab
big,big
population,population
united,united
way,way
six,six
would,would
low,low
germany,germany
spread,spread
possible,possible
toll,toll
africa,africa
fight,fight
order,order
among,among
organization,organization
rate,rate
close,close
worker,worker
travel,travel
increase,increase
recommend,recommend
still,still
even,even
far,far
crisis,crisis
live,live
measure,measure
analysis,analysis
care,care
school,school
despite,despite
watch,watch
home,home
likely,likely
expect,expect
behind,behind
university,university
prevent,prevent
group,group
african,african
curb,curb
around,around
open,open
long,long
become,become
side,side
drive,drive
japan,japan
international,international
safety,safety
origin,origin
delivery,delivery
ministry,ministry
chile,chile
benefit,benefit
french,french
prime,prime
efficacy,efficacy
large,large
positive,positive
half,half
three,three
nearly,nearly
medicine,medicine
passport,passport
public,public
spike,spike
late,late
share,share
update,update
free,free
capital,capital
local,local
produce,produce
single,single
issue,issue
center,center
seek,seek
economy,economy
part,part
economic,economic
bring,bring
mask,mask
confirm,confirm
life,life
reach,reach
lead,lead
move,move
woman,woman
total,total
chief,chief
require,require
effort,effort
break,break
scientist,scientist
team,team
die,die
follow,follow
community,community
reopen,reopen
ask,ask
launch,launch
allow,allow
young,young
campaign,campaign
stop,stop
next,next
soon,soon
early,early
director,director
event,event
commission,commission
thousand,thousand
social,social
research,research
family,family
medium,medium
exclusive,exclusive
track,track
drop,drop
ban,ban
donate,donate
register,register
review,review
fear,fear
expand,expand
source,source
korea,korea
war,war
fall,fall
hold,hold
boost,boost
major,major
medical,medical
keep,keep
slow,slow
human,human
executive,executive
suspend,suspend
meet,meet
shipment,shipment
fund,fund
eligible,eligible
come,come
trump,trump
surpass,surpass
border,border
deal,deal
clinical,clinical
much,much
look,look
also,also
well,well
deliver,deliver
raise,raise
within,within
change,change
hour,hour
return,return
news,news
bad,bad
foreign,foreign
easter,easter
hope,hope
roll,roll
five,five
intensive,intensive
production,production
maker,maker
goal,goal
outbreak,outbreak
federal,federal
cause,cause
leave,leave
pass,pass
british,british
rule,rule
special,special
ease,ease
billion,billion
without,without
struggle,struggle
grow,grow
contract,contract
protect,protect
problem,problem
lose,lose
like,like
mark,mark
limit,limit
antibody,antibody
resident,resident
severe,severe
release,release
extend,extend
fully,fully
air,air
tell,tell
authority,authority
tokyo,tokyo
base,base
growth,growth
governor,governor
program,program
thailand,thailand
strong,strong
animal,animal
black,black
system,system
institute,institute
right,right
york,york
step,step
hong,hong
protection,protection
head,head
hospitalization,hospitalization
hop,hop
province,province
speak,speak
push,push
brain,brain
symptomatic,symptomatic
access,access
send,send
breaking,breaking
target,target
want,want
inoculation,inoculation
asian,asian
prevention,prevention
good,good
put,put
support,support
full,full
talk,talk
join,join
place,place
site,site
inoculate,inoculate
today,today
california,california
overseas,overseas
fourth,fourth
senior,senior
add,add
disorder,disorder
outweigh,outweigh
america,america
business,business
four,four
mass,mass
impact,impact
several,several
impose,impose
pressure,pressure
hard,hard
win,win
seven,seven
region,region
former,former
worry,worry
claim,claim
office,office
facebook,facebook
anti,anti
experience,experience
level,level
committee,committee
student,student
investigate,investigate
demand,demand
lift,lift
question,question
consider,consider
affect,affect
person,person
think,think
remain,remain
service,service
potential,potential
cite,cite
resume,resume
must,must
result,result
sign,sign
ahead,ahead
michigan,michigan
visit,visit
detect,detect
plant,plant
approval,approval
yet,yet
forecast,forecast
race,race
investigation,investigation
food,food
area,area
yunnan,yunnan
block,block
ship,ship
provide,provide
story,story
forward,forward
misinformation,misinformation
member,member
decide,decide
massive,massive
infectious,infectious
decision,decision
extra,extra
reason,reason
authorization,authorization
recover,recover
double,double
strain,strain
joe,joe
decline,decline
pay,pay
relief,relief
card,card
beach,beach
great,great
suffer,suffer
challenge,challenge
every,every
quarter,quarter
immunization,immunization
game,game
agree,agree
illness,illness
ever,ever
spring,spring
line,line
researcher,researcher
whether,whether
general,general
information,information
write,write
gathering,gathering
almost,almost
fresh,fresh
military,military
threaten,threaten
less,less
wait,wait
crowd,crowd
original,original
longer,longer
small,small
average,average
recent,recent
symptom,symptom
street,street
similar,similar
coverage,coverage
tap,tap
