Id,Label
coronavirus,coronavirus
china,china
outbreak,outbreak
case,case
say,say
new,new
spread,spread
death,death
health,health
people,people
late,late
cruise,cruise
ship,ship
first,first
report,report
confirm,confirm
world,world
quarantine,quarantine
virus,virus
test,test
japan,japan
country,country
fear,fear
toll,toll
global,global
state,state
travel,travel
rise,rise
city,city
two,two
day,day
official,official
due,due
hong,hong
flight,flight
infect,infect
beyond,beyond
number,number
hit,hit
passenger,passenger
amid,amid
novel,novel
update,update
government,government
evacuate,evacuate
patient,patient
hubei,hubei
could,could
deadly,deadly
year,year
impact,impact
public,public
positive,positive
take,take
infection,infection
authority,authority
hospital,hospital
close,close
accord,accord
contain,contain
least,least
total,total
emergency,emergency
continue,continue
week,week
province,province
know,know
national,national
help,help
disease,disease
follow,follow
economy,economy
organization,organization
outside,outside
around,around
risk,risk
million,million
kill,kill
citizen,citizen
epidemic,epidemic
mask,mask
center,center
control,control
market,market
spreading,spreading
face,face
doctor,doctor
one,one
die,die
suspend,suspend
concern,concern
three,three
stock,stock
work,work
may,may
medium,medium
see,see
business,business
fight,fight
medical,medical
confirmed,confirmed
epicenter,epicenter
singapore,singapore
show,show
find,find
united,united
big,big
symptom,symptom
include,include
warn,warn
announce,announce
vaccine,vaccine
live,live
bring,bring
declare,declare
home,home
princess,princess
beijing,beijing
keep,keep
become,become
demand,demand
diamond,diamond
second,second
across,across
company,company
effort,effort
like,like
man,man
leave,leave
measure,measure
back,back
south,south
use,use
worker,worker
expert,expert
investor,investor
korea,korea
drug,drug
month,month
covid,covid
make,make
billion,billion
high,high
commission,commission
international,international
treatment,treatment
resident,resident
illness,illness
apple,apple
supply,supply
treat,treat
hundred,hundred
street,street
ban,ban
australia,australia
grow,grow
major,major
central,central
share,share
early,early
record,record
human,human
despite,despite
need,need
cancel,cancel
ministry,ministry
france,france
try,try
oil,oil
time,time
start,start
rate,rate
person,person
affect,affect
study,study
dock,dock
drop,drop
japanese,japanese
get,get
economic,economic
begin,begin
five,five
fall,fall
prevention,prevention
california,california
sale,sale
globally,globally
raise,raise
airport,airport
return,return
still,still
statement,statement
cut,cut
carry,carry
evacuee,evacuee
end,end
growth,growth
stop,stop
minister,minister
set,set
chief,chief
contract,contract
department,department
jump,jump
large,large
lunar,lunar
bank,bank
another,another
protect,protect
wall,wall
slow,slow
plan,plan
far,far
remain,remain
president,president
part,part
step,step
fly,fly
air,air
asia,asia
firm,firm
long,long
family,family
force,force
asian,asian
shortage,shortage
increase,increase
fast,fast
flu,flu
question,question
response,response
diagnose,diagnose
food,food
board,board
line,line
foreign,foreign
nearly,nearly
threat,threat
already,already
holiday,holiday
avoid,avoid
prevent,prevent
hold,hold
thailand,thailand
cause,cause
contact,contact
restriction,restriction
tokyo,tokyo
lead,lead
student,student
arrive,arrive
come,come
place,place
since,since
factory,factory
likely,likely
battle,battle
dead,dead
thousand,thousand
respiratory,respiratory
scientist,scientist
last,last
limit,limit
resort,resort
quarter,quarter
away,away
old,old
trade,trade
base,base
source,source
pull,pull
low,low
service,service
police,police
related,related
malaysia,malaysia
aboard,aboard
panic,panic
move,move
many,many
almost,almost
worry,worry
staff,staff
trump,trump
sell,sell
cambodia,cambodia
potential,potential
full,full
dozen,dozen
development,development
fatality,fatality
local,local
expect,expect
several,several
order,order
six,six
build,build
monitor,monitor
temporarily,temporarily
plane,plane
among,among
revenue,revenue
tell,tell
result,result
liner,liner
climb,climb
level,level
hurt,hurt
news,news
hand,hand
stand,stand
way,way
british,british
transmission,transmission
production,production
shut,shut
price,price
appear,appear
store,store
pandemic,pandemic
shanghai,shanghai
area,area
event,event
today,today
would,would
top,top
facebook,facebook
infectious,infectious
surgical,surgical
run,run
put,put
curb,curb
port,port
call,call
stay,stay
data,data
give,give
urge,urge
trial,trial
australian,australian
traveler,traveler
industry,industry
wear,wear
seek,seek
ease,ease
issue,issue
also,also
near,near
must,must
consider,consider
anger,anger
pass,pass
turn,turn
video,video
look,look
scramble,scramble
woman,woman
allow,allow
social,social
congress,congress
effect,effect
mount,mount
head,head
crew,crew
race,race
possible,possible
germany,germany
great,great
screen,screen
meet,meet
financial,financial
sector,sector
daily,daily
mobile,mobile
disrupt,disrupt
university,university
discover,discover
stick,stick
director,director
group,group
reach,reach
much,much
infected,infected
point,point
even,even
weigh,weigh
office,office
whether,whether
charter,charter
san,san
employee,employee
chain,chain
recently,recently
washington,washington
life,life
combat,combat
yet,yet
protest,protest
nine,nine
jinping,jinping
serious,serious
meeting,meeting
foundation,foundation
border,border
visit,visit
change,change
warning,warning
entry,entry
pose,pose
dow,dow
crisis,crisis
finally,finally
officer,officer
release,release
administration,administration
implement,implement
cough,cough
blow,blow
bad,bad
anyone,anyone
provide,provide
animal,animal
restrict,restrict
identify,identify
wash,wash
check,check
good,good
form,form
additional,additional
advisory,advisory
advise,advise
newly,newly
fell,fell
isolation,isolation
military,military
spike,spike
fatal,fatal
often,often
dollar,dollar
contagious,contagious
county,county
add,add
bill,bill
robot,robot
policy,policy
prepare,prepare
delta,delta
ten,ten
disembark,disembark
negative,negative
reduce,reduce
basis,basis
sneeze,sneeze
snake,snake
receive,receive
researcher,researcher
well,well
reveal,reveal
nose,nose
care,care
cover,cover
mouth,mouth
sicken,sicken
trading,trading
cook,cook
thoroughly,thoroughly
wild,wild
