Source,Target,Weight
daily,case,170
daily,coronavirus,113
daily,infection,40
daily,high,46
daily,since,25
daily,mid,2
daily,summer,2
daily,see,9
daily,number,23
daily,expert,6
daily,express,2
daily,concern,2
daily,rapid,2
daily,acceleration,2
daily,covid,96
daily,new,102
daily,hit,16
daily,record,84
daily,italy,16
daily,prime,1
daily,minister,1
daily,conte,1
daily,allow,1
daily,mayor,1
daily,shut,3
daily,public,5
daily,square,1
daily,halt,1
daily,large,2
daily,gathering,3
daily,surpass,5
daily,mark,11
daily,one,8
daily,week,17
daily,report,101
daily,mean,2
daily,russia,10
daily,germany,5
daily,saw,1
daily,start,5
daily,outbreak,5
daily,confirm,10
daily,past,7
daily,hour,7
daily,positive,2
daily,test,16
daily,double,2
daily,june,7
daily,restriction,7
daily,ease,1
daily,across,2
daily,keep,2
daily,grow,2
daily,dutch,10
daily,national,5
daily,institute,3
daily,health,23
daily,environment,2
daily,world,7
daily,organization,4
daily,around,12
daily,first,16
daily,time,27
daily,compare,2
daily,yesterday,2
daily,begin,4
daily,canada,2
daily,province,1
daily,increase,15
daily,death,28
daily,take,5
daily,toll,10
daily,ministry,10
daily,say,20
daily,australia,6
daily,prim,2
daily,register,3
daily,low,5
daily,three,8
daily,month,11
daily,wake,2
daily,strict,2
daily,measure,6
daily,bring,3
daily,rate,2
daily,previous,2
daily,security,1
daily,council,1
daily,iran,3
daily,beat,1
daily,accord,4
daily,tally,3
daily,set,8
daily,push,2
daily,authority,9
daily,country,18
daily,steeply,1
daily,rise,14
daily,along,1
daily,prepare,1
daily,hold,1
daily,general,1
daily,election,1
daily,sniffer,1
daily,international,1
daily,airport,1
daily,train,1
daily,detect,1
daily,announce,5
daily,agency,1
daily,surge,10
daily,total,3
daily,people,6
daily,york,1
daily,early,1
daily,state,3
daily,communication,1
daily,underway,1
daily,regard,1
daily,possible,1
daily,additional,1
daily,gym,1
daily,movie,1
daily,theater,1
daily,indoor,1
daily,dining,1
daily,restaurant,1
daily,peel,1
daily,region,1
daily,next,1
daily,day,5
daily,malaysia,5
daily,middle,1
daily,spike,9
daily,may,5
daily,pandemic,9
daily,ever,1
daily,france,12
daily,local,1
daily,restrictive,3
daily,average,3
daily,routine,1
daily,widespread,2
daily,testing,2
daily,breaking,1
daily,global,3
daily,yet,1
daily,fatality,4
daily,late,5
daily,asia,1
daily,today,1
daily,india,4
daily,another,1
daily,continue,1
daily,decline,1
daily,trend,3
daily,recovery,1
daily,exceed,2
daily,million,5
daily,track,3
daily,pass,1
daily,struggle,1
daily,third,3
daily,wave,2
daily,trump,9
daily,understand,1
daily,virus,5
daily,get,18
daily,ill,1
daily,nearly,7
daily,miss,1
daily,figure,2
daily,bar,1
daily,alert,1
daily,sign,17
daily,fact,15
daily,deliver,15
daily,warn,2
daily,could,3
daily,reach,4
daily,five,2
daily,peak,2
daily,winter,4
daily,near,4
daily,tough,2
daily,beginning,1
daily,show,4
daily,two,10
daily,several,4
daily,offer,2
daily,grim,2
daily,outlook,2
daily,right,2
daily,precaution,2
daily,white,4
daily,house,4
daily,official,10
daily,president,9
daily,regularly,4
daily,united,1
daily,kingdom,1
daily,grip,2
daily,second,4
daily,come,2
daily,johnson,2
daily,series,2
daily,slow,6
daily,spread,6
daily,whole,2
daily,without,2
daily,stop,2
daily,lie,2
daily,rest,2
daily,absolutely,2
daily,exhaust,2
daily,everyday,2
daily,simple,2
daily,task,2
daily,long,4
daily,hauler,2
daily,heather,2
daily,brown,2
daily,detail,2
daily,challenge,3
daily,expand,2
daily,level,4
daily,give,1
daily,throne,1
daily,speech,1
daily,unlike,1
daily,last,1
daily,need,2
daily,convince,1
daily,government,3
daily,guide,1
daily,analysis,1
daily,newton,1
daily,eye,2
daily,still,2
daily,republic,11
daily,top,11
daily,likely,2
daily,curb,3
daily,french,5
daily,almost,7
daily,collect,4
daily,data,8
daily,territory,2
daily,focus,2
daily,within,2
daily,technical,2
daily,system,2
daily,fix,2
daily,cause,2
daily,jump,5
daily,big,6
daily,force,1
daily,nestle,1
daily,senior,1
daily,management,1
daily,become,1
daily,operation,1
daily,executive,1
daily,deal,1
daily,safety,1
daily,business,1
daily,continuity,1
daily,issue,1
daily,schneider,1
daily,small,3
daily,cross,8
daily,ward,2
daily,warning,2
daily,dwindle,2
daily,hospital,4
daily,capacity,2
daily,fear,2
daily,enough,2
daily,relieve,2
daily,approach,2
daily,far,2
daily,nation,3
daily,soar,4
daily,thousand,1
daily,street,1
daily,anger,1
daily,year,1
daily,pose,1
daily,major,1
daily,amid,1
daily,economic,1
daily,slump,1
daily,make,1
daily,bad,1
daily,post,5
daily,paper,2
daily,close,1
daily,fresh,2
daily,school,1
daily,stay,1
daily,open,1
daily,face,2
daily,fifth,2
daily,consecutive,2
daily,march,1
daily,relate,1
daily,count,3
daily,corona,2
daily,hasten,1
daily,easing,1
daily,drop,1
daily,look,1
daily,hard,1
case,coronavirus,429
case,infection,84
case,high,73
case,since,75
case,mid,13
case,summer,12
case,see,84
case,number,110
case,expert,32
