Id,Label
covid,covid
vaccine,vaccine
say,say
new,new
case,case
china,china
report,report
million,million
country,country
first,first
health,health
people,people
johnson,johnson
dos,dos
pandemic,pandemic
use,use
receive,receive
shot,shot
get,get
vaccination,vaccination
death,death
state,state
blood,blood
clot,clot
coronavirus,coronavirus
india,india
year,year
brazil,brazil
president,president
world,world
day,day
infection,infection
surge,surge
one,one
trial,trial
record,record
accord,accord
official,official
risk,risk
dose,dose
vaccinate,vaccinate
second,second
week,week
minister,minister
high,high
variant,variant
may,may
study,study
rise,rise
test,test
month,month
make,make
virus,virus
amid,amid
batch,batch
government,government
show,show
take,take
find,find
number,number
rare,rare
plan,plan
data,data
daily,daily
effective,effective
supply,supply
administer,administer
could,could
need,need
due,due
two,two
pause,pause
expert,expert
back,back
see,see
global,global
emergency,emergency
restriction,restriction
third,third
start,start
wave,wave
national,national
hit,hit
link,link
response,response
since,since
help,help
south,south
hospital,hospital
disease,disease
export,export
child,child
regulator,regulator
age,age
france,france
city,city
agency,agency
concern,concern
top,top
adult,adult
give,give
time,time
develop,develop
patient,patient
company,company
announce,announce
many,many
fauci,fauci
canada,canada
work,work
safe,safe
set,set
australia,australia
russia,russia
last,last
drug,drug
control,control
delay,delay
call,call
face,face
approve,approve
effect,effect
warn,warn
house,house
begin,begin
end,end
urge,urge
doctor,doctor
leader,leader
march,march
white,white
old,old
another,another
continue,continue
least,least
across,across
administration,administration
union,union
would,would
nation,nation
population,population
possible,possible
six,six
offer,offer
arrive,arrive
know,know
united,united
include,include
jab,jab
organization,organization
spread,spread
low,low
big,big
way,way
germany,germany
fight,fight
toll,toll
africa,africa
order,order
among,among
close,close
rate,rate
worker,worker
increase,increase
still,still
travel,travel
recommend,recommend
live,live
far,far
side,side
even,even
school,school
university,university
crisis,crisis
measure,measure
likely,likely
analysis,analysis
care,care
despite,despite
watch,watch
prevent,prevent
home,home
around,around
group,group
expect,expect
behind,behind
open,open
japan,japan
benefit,benefit
african,african
curb,curb
french,french
long,long
become,become
drive,drive
international,international
safety,safety
origin,origin
delivery,delivery
ministry,ministry
chile,chile
prime,prime
medicine,medicine
efficacy,efficacy
public,public
large,large
positive,positive
half,half
spike,spike
three,three
woman,woman
nearly,nearly
passport,passport
late,late
share,share
single,single
update,update
issue,issue
free,free
capital,capital
local,local
part,part
economic,economic
produce,produce
center,center
seek,seek
economy,economy
bring,bring
lead,lead
mask,mask
total,total
confirm,confirm
life,life
effort,effort
reach,reach
director,director
require,require
move,move
follow,follow
early,early
chief,chief
stop,stop
allow,allow
break,break
scientist,scientist
team,team
die,die
community,community
reopen,reopen
ask,ask
launch,launch
young,young
campaign,campaign
next,next
soon,soon
event,event
commission,commission
thousand,thousand
register,register
social,social
research,research
family,family
medium,medium
fear,fear
exclusive,exclusive
source,source
track,track
drop,drop
ban,ban
donate,donate
review,review
come,come
trump,trump
expand,expand
korea,korea
war,war
fall,fall
hour,hour
news,news
hold,hold
shipment,shipment
boost,boost
major,major
medical,medical
keep,keep
slow,slow
human,human
executive,executive
suspend,suspend
meet,meet
deliver,deliver
fund,fund
eligible,eligible
surpass,surpass
border,border
deal,deal
grow,grow
bad,bad
clinical,clinical
much,much
federal,federal
look,look
also,also
well,well
raise,raise
within,within
change,change
return,return
british,british
foreign,foreign
easter,easter
hope,hope
goal,goal
cause,cause
roll,roll
five,five
ease,ease
contract,contract
release,release
intensive,intensive
production,production
maker,maker
outbreak,outbreak
leave,leave
pass,pass
rule,rule
special,special
program,program
billion,billion
without,without
resident,resident
struggle,struggle
tell,tell
protect,protect
problem,problem
lose,lose
like,like
mark,mark
governor,governor
limit,limit
antibody,antibody
severe,severe
extend,extend
fully,fully
air,air
authority,authority
tokyo,tokyo
base,base
growth,growth
thailand,thailand
strong,strong
brain,brain
animal,animal
black,black
asian,asian
system,system
hop,hop
institute,institute
right,right
york,york
step,step
hong,hong
protection,protection
head,head
hospitalization,hospitalization
province,province
outweigh,outweigh
speak,speak
push,push
student,student
symptomatic,symptomatic
access,access
send,send
breaking,breaking
target,target
want,want
inoculation,inoculation
prevention,prevention
former,former
good,good
put,put
business,business
support,support
full,full
talk,talk
join,join
place,place
site,site
inoculate,inoculate
today,today
battle,battle
california,california
hard,hard
overseas,overseas
experience,experience
fourth,fourth
senior,senior
add,add
disorder,disorder
america,america
four,four
mass,mass
impact,impact
michigan,michigan
several,several
impose,impose
win,win
committee,committee
seven,seven
region,region
remain,remain
worry,worry
claim,claim
office,office
question,question
facebook,facebook
anti,anti
level,level
affect,affect
investigate,investigate
demand,demand
lift,lift
ahead,ahead
ship,ship
consider,consider
person,person
think,think
service,service
potential,potential
cite,cite
resume,resume
beijing,beijing
must,must
result,result
sign,sign
visit,visit
detect,detect
secretary,secretary
approval,approval
yet,yet
forecast,forecast
race,race
investigation,investigation
food,food
area,area
yunnan,yunnan
block,block
reason,reason
provide,provide
story,story
forward,forward
misinformation,misinformation
member,member
decide,decide
massive,massive
infectious,infectious
decision,decision
extra,extra
general,general
immunization,immunization
authorization,authorization
recover,recover
double,double
strain,strain
joe,joe
decline,decline
pay,pay
past,past
relief,relief
beach,beach
great,great
suffer,suffer
challenge,challenge
every,every
quarter,quarter
game,game
less,less
illness,illness
ever,ever
spring,spring
line,line
researcher,researcher
information,information
whether,whether
threat,threat
write,write
gathering,gathering
fresh,fresh
military,military
threaten,threaten
recent,recent
crowd,crowd
original,original
longer,longer
small,small
average,average
symptom,symptom
street,street
similar,similar
coverage,coverage
tap,tap
