Id,Label
china,china
covid,covid
case,case
vaccine,vaccine
coronavirus,coronavirus
novel,novel
new,new
say,say
report,report
outbreak,outbreak
hospital,hospital
health,health
people,people
country,country
patient,patient
fight,fight
confirm,confirm
first,first
death,death
president,president
million,million
day,day
world,world
test,test
pandemic,pandemic
city,city
year,year
infection,infection
amid,amid
one,one
epidemic,epidemic
medical,medical
control,control
live,live
number,number
receive,receive
hubei,hubei
province,province
official,official
national,national
take,take
virus,virus
late,late
watch,watch
battle,battle
accord,accord
support,support
total,total
see,see
expert,expert
show,show
state,state
help,help
two,two
positive,positive
use,use
second,second
global,global
dos,dos
work,work
trump,trump
spread,spread
effort,effort
discharge,discharge
batch,batch
minister,minister
measure,measure
time,time
infect,infect
bring,bring
government,government
week,week
high,high
make,make
old,old
get,get
emergency,emergency
start,start
include,include
across,across
daily,daily
disease,disease
update,update
pneumonia,pneumonia
prevention,prevention
beijing,beijing
due,due
center,center
since,since
worker,worker
confirmed,confirmed
find,find
call,call
commission,commission
announce,announce
local,local
supply,supply
treatment,treatment
central,central
public,public
international,international
arrive,arrive
contain,contain
authority,authority
brazil,brazil
hour,hour
organization,organization
record,record
may,may
ministry,ministry
medium,medium
hit,hit
month,month
company,company
economy,economy
trial,trial
doctor,doctor
africa,africa
foreign,foreign
recover,recover
donate,donate
develop,develop
face,face
dose,dose
community,community
recovery,recovery
chief,chief
development,development
send,send
press,press
hold,hold
johnson,johnson
home,home
travel,travel
register,register
vaccination,vaccination
life,life
house,house
mask,mask
risk,risk
give,give
quarantine,quarantine
makeshift,makeshift
follow,follow
rise,rise
top,top
epicenter,epicenter
three,three
director,director
cause,cause
data,data
around,around
close,close
need,need
response,response
could,could
last,last
combat,combat
administer,administer
many,many
build,build
xinhua,xinhua
south,south
clinical,clinical
continue,continue
treat,treat
study,study
team,team
staff,staff
express,express
conference,conference
white,white
resident,resident
also,also
impact,impact
general,general
toll,toll
return,return
region,region
end,end
news,news
back,back
expect,expect
prime,prime
begin,begin
look,look
university,university
economic,economic
construction,construction
curb,curb
restriction,restriction
ship,ship
overseas,overseas
effective,effective
stay,stay
like,like
good,good
another,another
offer,offer
large,large
taiwan,taiwan
win,win
set,set
approve,approve
surge,surge
long,long
far,far
aid,aid
russia,russia
check,check
blood,blood
remain,remain
united,united
outside,outside
video,video
child,child
cruise,cruise
hong,hong
group,group
die,die
leishenshan,leishenshan
business,business
share,share
jinping,jinping
past,past
nation,nation
join,join
symptom,symptom
production,production
talk,talk
student,student
become,become
leave,leave
solidarity,solidarity
despite,despite
transmission,transmission
third,third
still,still
increase,increase
reach,reach
military,military
school,school
vaccinate,vaccinate
jab,jab
hard,hard
capital,capital
visit,visit
release,release
concern,concern
leader,leader
medicine,medicine
japan,japan
prevent,prevent
meet,meet
head,head
strong,strong
negative,negative
nurse,nurse
lead,lead
woman,woman
level,level
anti,anti
east,east
model,model
miss,miss
age,age
part,part
cure,cure
wave,wave
care,care
hand,hand
order,order
four,four
macao,macao
provide,provide
african,african
pass,pass
headline,headline
area,area
put,put
bed,bed
york,york
five,five
least,least
way,way
come,come
family,family
stand,stand
urge,urge
opinion,opinion
march,march
special,special
drug,drug
social,social
possible,possible
surpass,surpass
together,together
festival,festival
confidence,confidence
flight,flight
line,line
wish,wish
issue,issue
tell,tell
nearly,nearly
base,base
condition,condition
post,post
six,six
research,research
drop,drop
keep,keep
full,full
severe,severe
asian,asian
warn,warn
holiday,holiday
shot,shot
member,member
brief,brief
system,system
service,service
spring,spring
hope,hope
inside,inside
france,france
rate,rate
open,open
agency,agency
fear,fear
import,import
plan,plan
medic,medic
launch,launch
produce,produce
percent,percent
facility,facility
next,next
seven,seven
reopen,reopen
clot,clot
italy,italy
germany,germany
well,well
researcher,researcher
volunteer,volunteer
protect,protect
vice,vice
suspend,suspend
baby,baby
force,force
billion,billion
early,early
low,low
challenge,challenge
detect,detect
among,among
wang,wang
resume,resume
campaign,campaign
food,food
figure,figure
mark,mark
today,today
joint,joint
night,night
market,market
extend,extend
trade,trade
transmit,transmit
origin,origin
chile,chile
add,add
contact,contact
passenger,passenger
suspected,suspected
secretary,secretary
variant,variant
stop,stop
donation,donation
experience,experience
link,link
reporter,reporter
office,office
critical,critical
ambassador,ambassador
know,know
free,free
ensure,ensure
human,human
within,within
shanghai,shanghai
place,place
effect,effect
big,big
step,step
move,move
read,read
self,self
india,india
information,information
police,police
front,front
story,story
ban,ban
senior,senior
safety,safety
qingdao,qingdao
deal,deal
great,great
suspect,suspect
key,key
phone,phone
fund,fund
allow,allow
situation,situation
side,side
tourist,tourist
train,train
complete,complete
border,border
man,man
grow,grow
meeting,meeting
period,period
try,try
plasma,plasma
protective,protective
industry,industry
deliver,deliver
result,result
institute,institute
mother,mother
drive,drive
contract,contract
potential,potential
turn,turn
currently,currently
much,much
diagnosis,diagnosis
consecutive,consecutive
behind,behind
dollar,dollar
russian,russian
sign,sign
population,population
safe,safe
young,young
acid,acid
party,party
capacity,capacity
newly,newly
kill,kill
strain,strain
claim,claim
love,love
statement,statement
wife,wife
would,would
race,race
tourism,tourism
governor,governor
mild,mild
eight,eight
event,event
ongoing,ongoing
yunnan,yunnan
carry,carry
non,non
cite,cite
executive,executive
source,source
confident,confident
boost,boost
half,half
via,via
twitter,twitter
single,single
sar,sar
essential,essential
fully,fully
recent,recent
yuan,yuan
