Id,Label
china,china
novel,novel
coronavirus,coronavirus
case,case
outbreak,outbreak
hospital,hospital
patient,patient
new,new
fight,fight
say,say
confirm,confirm
people,people
hubei,hubei
epidemic,epidemic
report,report
medical,medical
live,live
health,health
province,province
battle,battle
death,death
control,control
support,support
amid,amid
day,day
discharge,discharge
virus,virus
infection,infection
take,take
official,official
covid,covid
first,first
city,city
country,country
effort,effort
one,one
infect,infect
late,late
pneumonia,pneumonia
work,work
expert,expert
total,total
help,help
number,number
spread,spread
year,year
world,world
two,two
old,old
see,see
bring,bring
show,show
measure,measure
confirmed,confirmed
time,time
central,central
contain,contain
beijing,beijing
prevention,prevention
test,test
treatment,treatment
national,national
president,president
supply,supply
makeshift,makeshift
emergency,emergency
send,send
include,include
recover,recover
epicenter,epicenter
disease,disease
community,community
worker,worker
doctor,doctor
build,build
update,update
treat,treat
combat,combat
use,use
mask,mask
call,call
express,express
staff,staff
make,make
construction,construction
across,across
home,home
press,press
quarantine,quarantine
leishenshan,leishenshan
conference,conference
win,win
international,international
public,public
hold,hold
ship,ship
get,get
chief,chief
taiwan,taiwan
commission,commission
cruise,cruise
foreign,foreign
check,check
global,global
cause,cause
team,team
need,need
medium,medium
response,response
curb,curb
xinhua,xinhua
state,state
start,start
stay,stay
macao,macao
authority,authority
solidarity,solidarity
japan,japan
resident,resident
donate,donate
development,development
like,like
outside,outside
government,government
second,second
travel,travel
nurse,nurse
million,million
face,face
vaccine,vaccine
center,center
offer,offer
life,life
hit,hit
find,find
month,month
video,video
cure,cure
aid,aid
local,local
three,three
give,give
daily,daily
bed,bed
week,week
due,due
strong,strong
leave,leave
confidence,confidence
around,around
miss,miss
minister,minister
back,back
impact,impact
many,many
hong,hong
brief,brief
receive,receive
opinion,opinion
also,also
share,share
visit,visit
prevent,prevent
director,director
baby,baby
talk,talk
flight,flight
ministry,ministry
special,special
recovery,recovery
together,together
economy,economy
inside,inside
model,model
woman,woman
medic,medic
symptom,symptom
region,region
look,look
follow,follow
production,production
expect,expect
good,good
child,child
another,another
line,line
student,student
close,close
put,put
meet,meet
medicine,medicine
organization,organization
return,return
die,die
transmission,transmission
family,family
drop,drop
premier,premier
high,high
company,company
suspected,suspected
stand,stand
may,may
fear,fear
suspect,suspect
jinping,jinping
reporter,reporter
wish,wish
clinical,clinical
phone,phone
could,could
condition,condition
far,far
remain,remain
leader,leader
mother,mother
military,military
university,university
arrive,arrive
accord,accord
critical,critical
care,care
hand,hand
tell,tell
stress,stress
join,join
research,research
long,long
story,story
wang,wang
level,level
read,read
way,way
positive,positive
come,come
social,social
concern,concern
resume,resume
head,head
business,business
passenger,passenger
temporary,temporary
step,step
east,east
explain,explain
economic,economic
protect,protect
area,area
ensure,ensure
plasma,plasma
general,general
large,large
end,end
full,full
severe,severe
infected,infected
isolation,isolation
man,man
couple,couple
group,group
hard,hard
effective,effective
become,become
protective,protective
suspend,suspend
service,service
still,still
spring,spring
love,love
rate,rate
watch,watch
lead,lead
information,information
key,key
drug,drug
situation,situation
develop,develop
facility,facility
festival,festival
turn,turn
panic,panic
police,police
front,front
researcher,researcher
risk,risk
citizen,citizen
best,best
dead,dead
exclusive,exclusive
girl,girl
five,five
robot,robot
stop,stop
meeting,meeting
south,south
since,since
volunteer,volunteer
order,order
system,system
continue,continue
begin,begin
negative,negative
keep,keep
anti,anti
yuan,yuan
message,message
provide,provide
data,data
confident,confident
traditional,traditional
announce,announce
korea,korea
headline,headline
create,create
know,know
batch,batch
mild,mild
acid,acid
urge,urge
newly,newly
click,click
member,member
encourage,encourage
operation,operation
issue,issue
friendship,friendship
ambassador,ambassador
shanghai,shanghai
female,female
flu,flu
alone,alone
food,food
increase,increase
lam,lam
via,via
holiday,holiday
scientist,scientist
train,train
launch,launch
despite,despite
rush,rush
extend,extend
six,six
race,race
dispatch,dispatch
top,top
fast,fast
respiratory,respiratory
speak,speak
release,release
four,four
within,within
deliver,deliver
hour,hour
reach,reach
set,set
term,term
ready,ready
joint,joint
tibet,tibet
provincial,provincial
station,station
market,market
capacity,capacity
boy,boy
trade,trade
demand,demand
great,great
among,among
carry,carry
admit,admit
contact,contact
avoid,avoid
behind,behind
dollar,dollar
part,part
interview,interview
name,name
stable,stable
zhejiang,zhejiang
today,today
young,young
night,night
party,party
strand,strand
tackle,tackle
voice,voice
deal,deal
currently,currently
free,free
trump,trump
fund,fund
vice,vice
action,action
possible,possible
ask,ask
japanese,japanese
force,force
result,result
viral,viral
executive,executive
figure,figure
strain,strain
tourist,tourist
person,person
board,board
short,short
speed,speed
rise,rise
border,border
war,war
overseas,overseas
body,body
capital,capital
well,well
nation,nation
plan,plan
screen,screen
try,try
human,human
break,break
save,save
kill,kill
asian,asian
site,site
recently,recently
fever,fever
transport,transport
source,source
discrimination,discrimination
ongoing,ongoing
early,early
birth,birth
dedicate,dedicate
victory,victory
light,light
complete,complete
thank,thank
fully,fully
air,air
committee,committee
political,political
department,department
door,door
base,base
last,last
suit,suit
place,place
billion,billion
write,write
village,village
letter,letter
observation,observation
necessity,necessity
singapore,singapore
various,various
add,add
district,district
age,age
third,third
temperature,temperature
manage,manage
non,non
ill,ill
friend,friend
cancel,cancel
nit,nit
