Id,Label
covid,covid
coronavirus,coronavirus
vaccine,vaccine
say,say
china,china
case,case
new,new
test,test
report,report
trump,trump
president,president
health,health
outbreak,outbreak
people,people
death,death
first,first
country,country
pandemic,pandemic
novel,novel
million,million
day,day
world,world
hospital,hospital
state,state
positive,positive
infection,infection
spread,spread
virus,virus
year,year
one,one
patient,patient
get,get
confirm,confirm
official,official
rise,rise
take,take
late,late
week,week
house,house
johnson,johnson
amid,amid
use,use
two,two
global,global
city,city
trial,trial
fight,fight
month,month
accord,accord
number,number
see,see
record,record
may,may
make,make
white,white
government,government
could,could
second,second
high,high
hit,hit
time,time
help,help
due,due
show,show
minister,minister
work,work
study,study
risk,risk
surge,surge
india,india
receive,receive
expert,expert
medical,medical
daily,daily
control,control
dos,dos
restriction,restriction
plan,plan
back,back
live,live
national,national
mask,mask
emergency,emergency
face,face
public,public
travel,travel
shot,shot
brazil,brazil
disease,disease
since,since
need,need
quarantine,quarantine
find,find
infect,infect
ship,ship
toll,toll
close,close
doctor,doctor
follow,follow
update,update
fear,fear
start,start
top,top
home,home
supply,supply
vaccination,vaccination
cruise,cruise
measure,measure
japan,japan
total,total
epidemic,epidemic
data,data
announce,announce
hubei,hubei
know,know
blood,blood
worker,worker
south,south
include,include
battle,battle
around,around
province,province
die,die
economy,economy
watch,watch
concern,concern
call,call
response,response
continue,continue
set,set
three,three
effort,effort
last,last
end,end
old,old
australia,australia
still,still
chief,chief
wave,wave
across,across
support,support
center,center
treatment,treatment
drug,drug
curb,curb
clot,clot
return,return
big,big
many,many
company,company
bring,bring
authority,authority
organization,organization
begin,begin
give,give
france,france
hold,hold
united,united
contain,contain
long,long
warn,warn
would,would
hong,hong
flight,flight
increase,increase
large,large
campaign,campaign
election,election
least,least
leave,leave
symptom,symptom
york,york
child,child
economic,economic
become,become
business,business
international,international
impact,impact
hour,hour
develop,develop
expect,expect
come,come
russia,russia
third,third
early,early
leader,leader
dose,dose
tell,tell
rate,rate
look,look
far,far
university,university
news,news
keep,keep
aid,aid
effective,effective
pause,pause
offer,offer
despite,despite
order,order
result,result
cause,cause
recovery,recovery
billion,billion
medium,medium
remain,remain
school,school
low,low
another,another
nation,nation
ministry,ministry
treat,treat
outside,outside
share,share
like,like
vaccinate,vaccinate
staff,staff
exclusive,exclusive
urge,urge
deal,deal
administration,administration
prime,prime
head,head
commission,commission
lead,lead
way,way
life,life
nearly,nearly
five,five
local,local
rule,rule
clinical,clinical
next,next
team,team
prevention,prevention
fauci,fauci
talk,talk
korea,korea
analysis,analysis
also,also
canada,canada
passenger,passenger
part,part
africa,africa
germany,germany
family,family
source,source
safe,safe
negative,negative
hope,hope
student,student
joe,joe
issue,issue
french,french
six,six
move,move
among,among
beijing,beijing
social,social
even,even
put,put
contract,contract
market,market
relief,relief
resident,resident
level,level
force,force
group,group
batch,batch
safety,safety
raise,raise
thousand,thousand
care,care
effect,effect
open,open
debate,debate
confirmed,confirmed
recover,recover
director,director
reach,reach
seek,seek
presidential,presidential
scientist,scientist
stop,stop
kill,kill
sign,sign
crisis,crisis
demand,demand
spike,spike
variant,variant
foreign,foreign
discharge,discharge
change,change
fall,fall
central,central
pass,pass
prevent,prevent
send,send
suspend,suspend
stay,stay
british,british
join,join
event,event
delay,delay
potential,potential
turn,turn
bad,bad
food,food
possible,possible
rare,rare
place,place
without,without
italy,italy
woman,woman
community,community
well,well
deadly,deadly
person,person
age,age
try,try
likely,likely
win,win
good,good
candidate,candidate
link,link
protect,protect
former,former
major,major
adult,adult
question,question
bank,bank
drop,drop
antibody,antibody
research,research
slow,slow
illness,illness
race,race
ease,ease
volunteer,volunteer
surpass,surpass
ban,ban
arrive,arrive
four,four
system,system
military,military
approve,approve
agency,agency
lady,lady
meet,meet
post,post
several,several
stock,stock
administer,administer
capital,capital
development,development
job,job
office,office
epicenter,epicenter
claim,claim
single,single
air,air
member,member
human,human
allow,allow
general,general
ahead,ahead
past,past
flu,flu
lose,lose
diagnosis,diagnosis
ask,ask
vice,vice
full,full
march,march
bill,bill
soon,soon
service,service
mark,mark
half,half
grow,grow
much,much
strong,strong
press,press
production,production
young,young
secretary,secretary
seven,seven
governor,governor
contact,contact
wear,wear
region,region
fund,fund
export,export
release,release
step,step
base,base
push,push
affect,affect
add,add
behind,behind
federal,federal
regulator,regulator
free,free
citizen,citizen
population,population
pneumonia,pneumonia
struggle,struggle
democratic,democratic
hard,hard
condition,condition
extend,extend
avoid,avoid
build,build
reopen,reopen
challenge,challenge
break,break
combat,combat
evacuate,evacuate
side,side
medicine,medicine
researcher,researcher
donate,donate
provide,provide
today,today
statement,statement
experience,experience
video,video
sale,sale
war,war
street,street
adviser,adviser
breaking,breaking
track,track
transmission,transmission
industry,industry
declare,declare
boost,boost
launch,launch
employee,employee
line,line
deliver,deliver
severe,severe
growth,growth
produce,produce
court,court
almost,almost
right,right
small,small
party,party
worry,worry
north,north
within,within
cancel,cancel
man,man
maker,maker
holiday,holiday
want,want
drive,drive
catch,catch
benefit,benefit
republican,republican
stage,stage
hand,hand
america,america
facility,facility
story,story
appear,appear
poll,poll
special,special
diagnose,diagnose
california,california
problem,problem
hundred,hundred
area,area
asian,asian
senior,senior
game,game
visit,visit
think,think
loss,loss
shut,shut
restaurant,restaurant
less,less
limit,limit
mike,mike
financial,financial
great,great
express,express
institute,institute
nominee,nominee
whether,whether
confidence,confidence
experimental,experimental
read,read
season,season
term,term
yet,yet
night,night
rally,rally
infectious,infectious
already,already
stand,stand
department,department
vote,vote
decline,decline
critical,critical
committee,committee
penny,penny
recent,recent
