Id,Label
covid,covid
coronavirus,coronavirus
vaccine,vaccine
say,say
case,case
new,new
china,china
trump,trump
test,test
president,president
report,report
death,death
people,people
health,health
outbreak,outbreak
pandemic,pandemic
first,first
state,state
positive,positive
country,country
million,million
day,day
world,world
spread,spread
infection,infection
rise,rise
virus,virus
house,house
johnson,johnson
get,get
week,week
trial,trial
year,year
month,month
one,one
use,use
global,global
late,late
white,white
take,take
two,two
could,could
official,official
record,record
may,may
india,india
hospital,hospital
make,make
surge,surge
hit,hit
study,study
accord,accord
government,government
amid,amid
high,high
risk,risk
second,second
due,due
plan,plan
city,city
see,see
restriction,restriction
time,time
minister,minister
shot,shot
back,back
number,number
help,help
work,work
mask,mask
show,show
confirm,confirm
daily,daily
face,face
travel,travel
fear,fear
patient,patient
ship,ship
need,need
public,public
quarantine,quarantine
toll,toll
brazil,brazil
emergency,emergency
know,know
close,close
japan,japan
cruise,cruise
dos,dos
australia,australia
follow,follow
since,since
disease,disease
top,top
expert,expert
blood,blood
doctor,doctor
find,find
die,die
home,home
vaccination,vaccination
concern,concern
data,data
south,south
around,around
set,set
clot,clot
wave,wave
still,still
update,update
drug,drug
big,big
supply,supply
continue,continue
response,response
start,start
infect,infect
end,end
three,three
announce,announce
last,last
economy,economy
would,would
france,france
curb,curb
worker,worker
election,election
receive,receive
fight,fight
warn,warn
return,return
campaign,campaign
flight,flight
include,include
chief,chief
medical,medical
call,call
begin,begin
control,control
united,united
national,national
pause,pause
least,least
many,many
increase,increase
long,long
hong,hong
measure,measure
york,york
early,early
leave,leave
large,large
come,come
rate,rate
give,give
symptom,symptom
tell,tell
result,result
analysis,analysis
live,live
treatment,treatment
become,become
child,child
business,business
keep,keep
hold,hold
administration,administration
fauci,fauci
third,third
company,company
exclusive,exclusive
billion,billion
leader,leader
low,low
center,center
economic,economic
rule,rule
old,old
across,across
russia,russia
deal,deal
organization,organization
order,order
expect,expect
authority,authority
canada,canada
far,far
impact,impact
korea,korea
beyond,beyond
despite,despite
debate,debate
even,even
relief,relief
source,source
university,university
aid,aid
look,look
school,school
contain,contain
safe,safe
urge,urge
joe,joe
news,news
french,french
seek,seek
effective,effective
offer,offer
nearly,nearly
next,next
passenger,passenger
remain,remain
nation,nation
way,way
vaccinate,vaccinate
effort,effort
contract,contract
raise,raise
move,move
novel,novel
germany,germany
five,five
fall,fall
share,share
head,head
another,another
outside,outside
lead,lead
presidential,presidential
thousand,thousand
hope,hope
among,among
demand,demand
safety,safety
market,market
family,family
kill,kill
like,like
scientist,scientist
spike,spike
issue,issue
total,total
effect,effect
force,force
six,six
rare,rare
sign,sign
without,without
deadly,deadly
british,british
develop,develop
part,part
change,change
crisis,crisis
social,social
delay,delay
cause,cause
dose,dose
stop,stop
talk,talk
stock,stock
put,put
likely,likely
open,open
treat,treat
negative,negative
prime,prime
illness,illness
event,event
variant,variant
slow,slow
staff,staff
bad,bad
student,student
international,international
hour,hour
level,level
potential,potential
question,question
turn,turn
care,care
ease,ease
person,person
suspend,suspend
former,former
bring,bring
recovery,recovery
bank,bank
job,job
antibody,antibody
adult,adult
battle,battle
candidate,candidate
place,place
try,try
group,group
several,several
reach,reach
food,food
team,team
clinical,clinical
also,also
major,major
pass,pass
race,race
lady,lady
bill,bill
medium,medium
italy,italy
well,well
lose,lose
life,life
soon,soon
link,link
single,single
prevent,prevent
wear,wear
possible,possible
ahead,ahead
claim,claim
protect,protect
ban,ban
air,air
flu,flu
coverage,coverage
ministry,ministry
watch,watch
resident,resident
regulator,regulator
ask,ask
federal,federal
join,join
drop,drop
volunteer,volunteer
review,review
breaking,breaking
research,research
office,office
democratic,democratic
export,export
evacuate,evacuate
woman,woman
allow,allow
half,half
age,age
system,system
agency,agency
human,human
diagnosis,diagnosis
adviser,adviser
push,push
stay,stay
surpass,surpass
cut,cut
governor,governor
much,much
post,post
young,young
struggle,struggle
sale,sale
north,north
grow,grow
hubei,hubei
director,director
member,member
impose,impose
worry,worry
four,four
poll,poll
africa,africa
fund,fund
republican,republican
province,province
declare,declare
avoid,avoid
break,break
appear,appear
behind,behind
court,court
want,want
mark,mark
secretary,secretary
vice,vice
street,street
affect,affect
population,population
contact,contact
employee,employee
small,small
catch,catch
war,war
step,step
almost,almost
meet,meet
commission,commission
citizen,citizen
seven,seven
military,military
full,full
service,service
benefit,benefit
support,support
maker,maker
singapore,singapore
win,win
union,union
stimulus,stimulus
right,right
local,local
good,good
free,free
add,add
hundred,hundred
epidemic,epidemic
protest,protest
problem,problem
bar,bar
california,california
statement,statement
game,game
march,march
boost,boost
side,side
track,track
experimental,experimental
growth,growth
shut,shut
extend,extend
investor,investor
recover,recover
oil,oil
base,base
jump,jump
cost,cost
loss,loss
industry,industry
challenge,challenge
send,send
mike,mike
experience,experience
stage,stage
nominee,nominee
halt,halt
cancel,cancel
researcher,researcher
point,point
senate,senate
today,today
diagnose,diagnose
past,past
strong,strong
deliver,deliver
future,future
firm,firm
party,party
financial,financial
whether,whether
condition,condition
consider,consider
think,think
america,america
must,must
already,already
serious,serious
man,man
limit,limit
prevention,prevention
release,release
drive,drive
run,run
pay,pay
recommend,recommend
tweet,tweet
less,less
clear,clear
within,within
rally,rally
vote,vote
season,season
produce,produce
restaurant,restaurant
yet,yet
story,story
speaker,speaker
available,available
provide,provide
hard,hard
general,general
severe,severe
line,line
community,community
plastic,plastic
congress,congress
package,package
aide,aide
wall,wall
asia,asia
department,department
senior,senior
quarter,quarter
threat,threat
confirmed,confirmed
reduce,reduce
handling,handling
epicenter,epicenter
term,term
infectious,infectious
decline,decline
authorization,authorization
hospitalization,hospitalization
penny,penny
institute,institute
write,write
decision,decision
program,program
require,require
supreme,supreme
related,related
committee,committee
gathering,gathering
participant,participant
morning,morning
