Source,Target,Weight
talk,university,3
talk,challenge,2
talk,china,15
talk,face,2
talk,deal,2
talk,people,6
talk,medium,3
talk,watch,3
talk,live,1
talk,ambassador,2
talk,coronavirus,7
talk,around,2
talk,take,2
talk,hit,1
talk,fear,1
talk,spread,1
talk,interview,2
talk,response,2
talk,country,2
talk,doctor,3
talk,like,3
talk,year,2
talk,old,4
talk,respiratory,2
talk,scientist,1
talk,death,1
talk,early,1
talk,novel,12
talk,outbreak,9
talk,news,1
talk,fight,6
talk,offer,1
talk,support,1
talk,great,1
talk,government,1
talk,phone,8
talk,president,4
talk,patient,5
talk,another,1
talk,city,4
talk,leave,2
talk,east,1
talk,zhejiang,1
talk,province,1
talk,spring,1
talk,festival,1
talk,reporter,1
talk,nurse,2
talk,work,2
talk,risk,1
talk,daily,1
talk,one,2
talk,emergency,5
talk,hospital,5
talk,build,1
talk,complete,1
talk,put,1
talk,use,1
talk,construction,1
talk,site,1
talk,worker,1
talk,progress,1
talk,exclusive,1
talk,expert,2
talk,turn,1
talk,virus,2
talk,declare,1
talk,global,2
talk,health,4
talk,late,1
talk,make,1
talk,family,1
talk,inside,1
talk,local,1
talk,opinion,1
talk,many,1
talk,world,2
talk,extend,3
talk,help,1
talk,hand,1
talk,call,1
talk,jinping,2
talk,night,1
talk,express,1
talk,confidence,2
talk,full,1
talk,victory,1
talk,pneumonia,1
talk,epidemic,1
talk,student,1
talk,study,1
talk,life,2
talk,trump,3
talk,dedicate,1
talk,also,1
talk,win,1
talk,ready,1
talk,say,4
talk,stay,1
talk,include,1
talk,order,1
talk,issue,1
talk,prevention,1
talk,control,1
talk,international,2
talk,community,1
talk,battle,1
talk,south,1
talk,update,1
talk,public,1
talk,concern,1
talk,new,1
talk,share,1
talk,action,1
talk,first,1
talk,batch,1
talk,recover,1
talk,covid,1
talk,discharge,1
talk,makeshift,1
talk,director,1
talk,recently,1
talk,xinhua,1
talk,receive,1
university,challenge,2
university,china,11
university,face,2
university,deal,2
university,people,4
university,medium,2
university,watch,2
university,world,1
university,medical,5
university,hospital,5
university,song,1
university,staff,1
university,treatment,2
university,tell,2
university,infection,2
university,novel,6
university,coronavirus,4
university,director,2
university,center,1
university,beijing,2
university,base,1
university,capital,1
university,student,9
university,infect,2
university,study,2
university,makeshift,1
university,life,3
university,return,3
university,college,3
university,send,2
university,message,2
university,hope,2
university,fight,4
university,year,2
university,old,3
university,patient,2
university,discharge,1
university,first,1
university,medicine,1
university,zhejiang,2
university,also,1
university,virus,1
university,east,1
university,province,1
university,case,1
university,speak,1
university,nurse,2
university,work,1
university,recover,2
university,share,1
university,day,1
university,travel,1
university,ban,1
university,affect,1
university,pet,1
university,explain,1
university,evidence,1
university,mother,1
university,child,1
university,say,1
university,department,1
university,press,1
university,conference,1
university,hold,1
university,national,1
university,health,1
university,commission,1
university,high,1
university,school,1
university,start,1
university,spring,1
university,term,1
university,amid,1
university,military,3
university,doctor,1
university,three,1
university,combat,1
university,rush,1
university,hour,1
university,help,1
university,live,1
university,update,1
university,test,2
university,positive,1
university,within,1
university,develop,3
university,outbreak,1
university,carry,1
university,mask,1
university,city,1
university,like,1
university,clinical,1
university,top,1
university,vaccine,1
university,young,1
university,female,1
challenge,china,9
challenge,face,3
challenge,deal,3
challenge,people,2
challenge,medium,3
challenge,watch,2
challenge,opinion,3
challenge,outbreak,4
challenge,social,1
challenge,progress,1
challenge,make,1
challenge,fight,3
challenge,novel,4
challenge,coronavirus,2
challenge,hubei,1
challenge,province,1
challenge,large,3
challenge,still,2
challenge,remain,2
challenge,say,3
challenge,official,1
challenge,way,1
challenge,government,1
challenge,rise,1
challenge,world,3
challenge,include,1
challenge,read,1
challenge,expert,2
challenge,epidemic,4
challenge,share,1
challenge,key,1
challenge,time,2
challenge,fear,1
challenge,control,1
challenge,respiratory,1
challenge,economy,1
challenge,meet,1
challenge,one,2
challenge,week,1
challenge,center,1
challenge,put,1
challenge,race,1
challenge,battle,1
challenge,check,1
challenge,city,1
challenge,tackle,1
challenge,united,1
challenge,state,1
challenge,high,1
challenge,level,1
challenge,travel,1
challenge,due,1
challenge,wang,1
challenge,urge,1
challenge,create,1
challenge,condition,1
china,face,14
china,deal,9
china,people,102
china,medium,17
china,watch,9
china,world,64
china,make,35
china,great,8
china,disease,21
china,take,48
china,turn,4
