Source,Target,Weight
talk,university,3
talk,challenge,2
talk,china,15
talk,face,3
talk,deal,2
talk,people,6
talk,medium,3
talk,watch,3
talk,live,1
talk,ambassador,2
talk,coronavirus,11
talk,around,2
talk,take,2
talk,hit,2
talk,fear,1
talk,spread,1
talk,shop,1
talk,cop,1
talk,interview,2
talk,post,1
talk,embassy,1
talk,twitter,1
talk,response,2
talk,country,2
talk,doctor,3
talk,like,4
talk,year,2
talk,old,4
talk,respiratory,2
talk,scientist,1
talk,death,1
talk,early,1
talk,warning,1
talk,novel,12
talk,something,1
talk,right,2
talk,compare,1
talk,outbreak,11
talk,fake,1
talk,news,1
talk,fight,6
talk,offer,1
talk,firm,1
talk,support,1
talk,great,1
talk,government,1
talk,phone,8
talk,president,4
talk,patient,5
talk,move,1
talk,another,1
talk,city,4
talk,leave,2
talk,east,1
talk,zhejiang,1
talk,province,1
talk,spring,1
talk,festival,1
talk,reporter,1
talk,nurse,2
talk,work,2
talk,risk,1
talk,daily,1
talk,job,1
talk,one,3
talk,emergency,5
talk,hospital,5
talk,build,1
talk,complete,1
talk,put,1
talk,use,1
talk,construction,1
talk,site,1
talk,worker,1
talk,progress,1
talk,exclusive,1
talk,expert,2
talk,turn,1
talk,point,2
talk,virus,2
talk,declare,1
talk,global,2
talk,health,4
talk,late,1
talk,professor,1
talk,make,1
talk,comment,1
talk,current,1
talk,family,1
talk,inside,1
talk,local,1
talk,opinion,1
talk,threat,2
talk,many,1
talk,world,3
talk,extend,3
talk,help,1
talk,hand,1
talk,call,1
talk,jinping,2
talk,night,1
talk,express,1
talk,confidence,2
talk,full,1
talk,victory,1
talk,pneumonia,1
talk,epidemic,1
talk,student,1
talk,study,1
talk,life,2
talk,trump,3
talk,dedicate,1
talk,also,1
talk,win,1
talk,ready,1
talk,australia,1
talk,security,1
talk,say,4
talk,australian,1
talk,stay,1
talk,include,1
talk,order,1
talk,handle,1
talk,issue,1
talk,relate,1
talk,prevention,1
talk,control,1
talk,british,1
talk,international,3
talk,community,1
talk,battle,1
talk,open,1
talk,south,1
talk,update,1
talk,whether,1
talk,public,1
talk,concern,1
talk,new,1
talk,share,1
talk,action,1
talk,first,1
talk,batch,1
talk,recover,1
talk,covid,1
talk,discharge,1
talk,makeshift,1
talk,director,1
talk,recently,1
talk,xinhua,1
talk,receive,1
talk,change,1
talk,travel,1
talk,plan,1
talk,might,1
talk,federal,1
talk,reserve,1
talk,impact,1
talk,economy,2
talk,second,1
talk,day,1
talk,two,1
talk,quarter,1
talk,advise,1
talk,market,1
talk,spokesman,1
university,challenge,2
university,china,12
university,face,2
university,deal,2
university,people,4
university,medium,2
university,watch,2
university,fall,1
university,world,1
university,medical,11
university,personnel,2
university,hospital,8
university,song,1
university,staff,1
university,treatment,2
university,tell,2
university,infection,2
university,novel,6
university,coronavirus,18
university,director,2
university,diagnosis,1
university,center,7
university,beijing,2
university,base,1
university,capital,1
university,answer,1
university,question,1
university,student,13
university,infect,6
university,study,2
university,makeshift,1
university,life,3
university,return,3
university,college,3
university,institute,2
university,send,2
university,message,2
university,hope,2
university,fight,4
university,year,2
university,old,3
university,patient,5
university,discharge,1
university,first,1
university,medicine,3
university,zhejiang,2
university,also,1
university,virus,4
university,east,1
university,province,1
university,case,1
university,speak,1
university,nurse,2
university,work,1
university,recover,2
university,share,1
university,experience,2
university,day,1
university,travel,1
university,ban,1
university,affect,1
university,catch,1
university,pet,1
university,professor,2
university,explain,1
university,science,1
university,evidence,1
university,transmit,1
university,mother,1
university,child,1
university,say,7
university,department,1
university,third,1
university,press,1
university,conference,1
university,hold,2
university,national,1
university,health,1
university,commission,1
university,high,1
university,school,2
university,postpone,1
university,start,6
university,spring,1
university,term,1
university,amid,1
university,military,3
university,doctor,3
university,three,1
university,combat,1
university,rush,1
university,hour,1
university,help,1
university,live,1
university,update,1
university,test,6
university,kit,1
university,identify,1
university,positive,5
university,within,1
university,develop,3
university,north,1
university,outbreak,1
university,carry,1
university,mask,1
university,city,1
university,like,1
university,right,1
university,clinical,1
university,top,1
university,vaccine,1
university,young,1
university,female,1
university,assist,1
university,issue,1
university,could,1
university,come,1
university,bad,1
university,time,1
university,line,3
university,monitor,3
university,evacuate,3
university,cruise,3
university,ship,3
university,japan,3
university,give,2
university,anti,2
university,fever,2
university,person,1
