Source,Target,Weight
coronavirus,bring,41
coronavirus,anti,9
coronavirus,sentiment,10
coronavirus,south,35
coronavirus,korea,36
coronavirus,issue,14
coronavirus,could,70
coronavirus,come,19
coronavirus,bad,12
coronavirus,time,26
coronavirus,start,30
coronavirus,line,21
coronavirus,university,14
coronavirus,carry,22
coronavirus,evacuee,25
coronavirus,china,1153
coronavirus,outbreak,561
coronavirus,confirm,165
coronavirus,case,486
coronavirus,rise,113
coronavirus,read,8
coronavirus,late,182
coronavirus,world,152
coronavirus,epidemic,55
coronavirus,racism,6
coronavirus,hubei,82
coronavirus,say,328
coronavirus,people,215
coronavirus,province,68
coronavirus,system,10
coronavirus,also,10
coronavirus,infect,107
coronavirus,update,65
coronavirus,student,20
coronavirus,stick,9
coronavirus,demand,36
coronavirus,evacuate,69
coronavirus,foreign,12
coronavirus,death,262
coronavirus,climb,19
coronavirus,two,102
coronavirus,die,50
coronavirus,iran,10
coronavirus,first,162
coronavirus,fatality,16
coronavirus,agency,10
coronavirus,warn,44
coronavirus,patient,80
coronavirus,run,16
coronavirus,drug,37
coronavirus,amid,89
coronavirus,report,166
coronavirus,three,46
coronavirus,wall,21
coronavirus,street,29
coronavirus,least,60
coronavirus,recover,11
coronavirus,concern,57
coronavirus,use,36
coronavirus,combat,12
coronavirus,spread,343
coronavirus,business,47
coronavirus,family,18
coronavirus,home,36
coronavirus,place,17
coronavirus,diamond,31
coronavirus,princess,33
coronavirus,cruise,186
coronavirus,ship,181
coronavirus,test,152
coronavirus,positive,79
coronavirus,total,68
coronavirus,number,96
coronavirus,infection,56
coronavirus,slow,28
coronavirus,since,22
coronavirus,hospital,60
coronavirus,director,13
coronavirus,new,340
coronavirus,toll,120
coronavirus,hit,108
coronavirus,follow,41
coronavirus,prepare,10
coronavirus,threat,23
coronavirus,alarm,10
coronavirus,grow,33
coronavirus,keep,38
coronavirus,economy,59
coronavirus,effect,14
coronavirus,globally,29
coronavirus,anyone,13
coronavirus,quarantine,132
coronavirus,government,69
coronavirus,citizen,49
coronavirus,protest,12
coronavirus,fear,142
coronavirus,tourist,18
coronavirus,france,30
coronavirus,put,12
coronavirus,health,241
coronavirus,risk,50
coronavirus,million,60
coronavirus,already,21
coronavirus,kill,56
coronavirus,virus,103
coronavirus,protect,20
coronavirus,breaking,7
coronavirus,away,14
coronavirus,receive,8
coronavirus,level,11
coronavirus,support,12
coronavirus,ask,7
coronavirus,global,135
coronavirus,news,15
coronavirus,second,39
coronavirus,stand,16
coronavirus,way,15
coronavirus,early,34
coronavirus,try,30
coronavirus,end,26
coronavirus,record,32
coronavirus,jump,25
coronavirus,japanese,27
coronavirus,large,25
coronavirus,outside,55
coronavirus,asian,25
coronavirus,call,13
coronavirus,stop,28
coronavirus,fake,8
coronavirus,misinformation,10
coronavirus,japan,139
coronavirus,singapore,41
coronavirus,expect,18
coronavirus,drop,29
coronavirus,due,120
coronavirus,get,22
coronavirus,lunar,26
coronavirus,year,68
coronavirus,holiday,18
coronavirus,school,13
coronavirus,remain,22
coronavirus,several,17
coronavirus,city,121
coronavirus,work,47
coronavirus,contain,66
coronavirus,british,18
coronavirus,must,10
coronavirus,battle,20
coronavirus,president,19
coronavirus,jinping,10
coronavirus,dead,18
coronavirus,need,19
coronavirus,hong,101
coronavirus,trade,20
coronavirus,cancel,32
coronavirus,hurt,16
coronavirus,tourism,12
coronavirus,doctor,51
coronavirus,threaten,13
coronavirus,hold,19
coronavirus,see,46
coronavirus,worker,29
coronavirus,deadly,69
coronavirus,face,45
coronavirus,mask,49
coronavirus,help,60
coronavirus,vaccine,35
coronavirus,big,41
coronavirus,question,24
coronavirus,post,11
coronavirus,like,24
coronavirus,reach,10
coronavirus,public,67
coronavirus,beijing,35
coronavirus,declare,38
coronavirus,emergency,63
coronavirus,canada,22
coronavirus,novel,103
coronavirus,scientist,19
coronavirus,develop,13
coronavirus,germany,16
coronavirus,become,36
coronavirus,country,124
coronavirus,visit,12
coronavirus,treat,36
coronavirus,authority,64
coronavirus,infected,13
coronavirus,extend,10
coronavirus,around,50
coronavirus,far,25
coronavirus,nearly,20
coronavirus,travel,114
coronavirus,restriction,20
coronavirus,expert,37
coronavirus,may,45
coronavirus,restrict,12
coronavirus,know,43
coronavirus,fast,19
coronavirus,track,13
coronavirus,official,107
coronavirus,live,20
coronavirus,organization,52
coronavirus,give,15
coronavirus,resident,28
coronavirus,step,23
coronavirus,effort,32
coronavirus,halt,13
coronavirus,symptom,40
coronavirus,nine,13
coronavirus,illness,34
coronavirus,respiratory,20
coronavirus,change,13
coronavirus,week,53
coronavirus,french,24
coronavirus,minister,25
coronavirus,person,26
coronavirus,fly,24
coronavirus,military,12
coronavirus,base,17
coronavirus,serious,11
coronavirus,warning,11
coronavirus,plan,24
coronavirus,many,19
coronavirus,delta,11
coronavirus,air,23
coronavirus,suspend,59
coronavirus,flight,103
coronavirus,passenger,87
coronavirus,make,33
coronavirus,stock,55
coronavirus,sell,16
coronavirus,dow,13
coronavirus,point,14
coronavirus,company,39
coronavirus,ten,10
coronavirus,order,15
coronavirus,stay,9
coronavirus,avoid,19
coronavirus,take,64
coronavirus,one,44
coronavirus,five,29
coronavirus,national,62
coronavirus,commission,36
coronavirus,last,15
coronavirus,month,30
coronavirus,among,19
coronavirus,day,92
coronavirus,trial,21
coronavirus,close,63
coronavirus,measure,35
coronavirus,prevent,21
coronavirus,epicenter,48
coronavirus,trump,17
coronavirus,spike,12
coronavirus,group,11
coronavirus,identify,12
coronavirus,confirmed,43
coronavirus,medium,54
coronavirus,fatal,12
coronavirus,cambodia,20
coronavirus,disembark,9
coronavirus,apple,32
coronavirus,disruption,9
coronavirus,revenue,18
coronavirus,fall,30
coronavirus,short,9
coronavirus,forecast,9
coronavirus,study,30
coronavirus,australian,12
