Id,Label
covid,covid
vaccine,vaccine
china,china
say,say
case,case
country,country
receive,receive
health,health
report,report
first,first
million,million
new,new
dos,dos
people,people
pandemic,pandemic
batch,batch
world,world
president,president
dose,dose
use,use
accord,accord
national,national
day,day
one,one
brazil,brazil
vaccination,vaccination
year,year
death,death
second,second
administer,administer
arrive,arrive
state,state
minister,minister
city,city
government,government
johnson,johnson
start,start
number,number
jab,jab
show,show
watch,watch
week,week
develop,develop
official,official
coronavirus,coronavirus
blood,blood
infection,infection
get,get
vaccinate,vaccinate
company,company
africa,africa
trial,trial
data,data
make,make
high,high
record,record
emergency,emergency
approve,approve
donate,donate
virus,virus
organization,organization
see,see
amid,amid
test,test
confirm,confirm
control,control
since,since
clot,clot
shot,shot
daily,daily
study,study
two,two
global,global
local,local
register,register
chile,chile
third,third
across,across
march,march
variant,variant
announce,announce
expert,expert
center,center
age,age
south,south
origin,origin
take,take
commission,commission
prime,prime
late,late
risk,risk
due,due
agency,agency
last,last
find,find
help,help
province,province
effective,effective
total,total
give,give
ministry,ministry
bring,bring
measure,measure
toll,toll
capital,capital
news,news
overseas,overseas
link,link
hour,hour
surge,surge
clinical,clinical
international,international
authority,authority
fight,fight
month,month
shipment,shipment
yunnan,yunnan
include,include
continue,continue
group,group
disease,disease
prevention,prevention
foreign,foreign
purchase,purchase
produce,produce
may,may
beijing,beijing
restriction,restriction
rise,rise
hit,hit
positive,positive
inoculate,inoculate
nearly,nearly
phase,phase
life,life
worker,worker
end,end
low,low
supply,supply
possible,possible
call,call
release,release
asian,asian
base,base
director,director
economy,economy
reopen,reopen
russia,russia
launch,launch
african,african
percent,percent
safety,safety
campaign,campaign
pharmaceutical,pharmaceutical
least,least
set,set
top,top
school,school
increase,increase
adult,adult
part,part
immunization,immunization
population,population
live,live
effort,effort
wave,wave
begin,begin
three,three
medical,medical
original,original
effect,effect
move,move
safe,safe
drug,drug
open,open
follow,follow
become,become
work,work
drive,drive
eligible,eligible
region,region
medium,medium
single,single
joint,joint
efficacy,efficacy
export,export
close,close
around,around
head,head
public,public
many,many
france,france
travel,travel
four,four
concern,concern
border,border
mass,mass
pass,pass
hand,hand
firm,firm
spread,spread
hard,hard
institute,institute
anti,anti
also,also
home,home
lead,lead
time,time
production,production
shanghai,shanghai
another,another
back,back
khan,khan
surpass,surpass
mark,mark
reach,reach
talk,talk
office,office
could,could
warn,warn
large,large
community,community
india,india
thousand,thousand
economic,economic
despite,despite
general,general
face,face
distribute,distribute
old,old
child,child
united,united
resident,resident
aid,aid
senior,senior
cambodia,cambodia
provide,provide
goal,goal
far,far
would,would
like,like
care,care
nation,nation
inoculation,inoculation
early,early
impact,impact
place,place
long,long
ambassador,ambassador
today,today
area,area
recommend,recommend
program,program
order,order
share,share
hospital,hospital
recover,recover
behind,behind
airport,airport
medicine,medicine
certificate,certificate
animal,animal
military,military
issue,issue
donation,donation
regulator,regulator
