Id,Label
coronavirus,coronavirus
china,china
outbreak,outbreak
case,case
novel,novel
new,new
say,say
hospital,hospital
people,people
spread,spread
death,death
health,health
confirm,confirm
patient,patient
report,report
fight,fight
late,late
first,first
virus,virus
world,world
hubei,hubei
cruise,cruise
day,day
ship,ship
country,country
epidemic,epidemic
amid,amid
city,city
official,official
province,province
test,test
medical,medical
infect,infect
two,two
live,live
control,control
number,number
quarantine,quarantine
japan,japan
infection,infection
take,take
global,global
state,state
battle,battle
year,year
fear,fear
travel,travel
total,total
help,help
one,one
due,due
support,support
hong,hong
toll,toll
update,update
work,work
flight,flight
hit,hit
covid,covid
contain,contain
effort,effort
rise,rise
expert,expert
national,national
emergency,emergency
see,see
passenger,passenger
government,government
public,public
show,show
disease,disease
confirmed,confirmed
bring,bring
beyond,beyond
discharge,discharge
measure,measure
impact,impact
authority,authority
mask,mask
doctor,doctor
beijing,beijing
could,could
old,old
epicenter,epicenter
include,include
week,week
time,time
outside,outside
central,central
close,close
pneumonia,pneumonia
positive,positive
treatment,treatment
million,million
around,around
accord,accord
supply,supply
center,center
evacuate,evacuate
economy,economy
prevention,prevention
follow,follow
face,face
organization,organization
worker,worker
medium,medium
use,use
home,home
deadly,deadly
across,across
president,president
three,three
continue,continue
treat,treat
know,know
make,make
risk,risk
least,least
die,die
find,find
citizen,citizen
international,international
vaccine,vaccine
may,may
commission,commission
concern,concern
second,second
like,like
suspend,suspend
kill,kill
symptom,symptom
get,get
leave,leave
market,market
resident,resident
business,business
need,need
build,build
back,back
chief,chief
month,month
staff,staff
start,start
recover,recover
send,send
hold,hold
conference,conference
company,company
call,call
spreading,spreading
foreign,foreign
combat,combat
cause,cause
share,share
become,become
high,high
response,response
announce,announce
ministry,ministry
man,man
makeshift,makeshift
minister,minister
keep,keep
community,community
taiwan,taiwan
united,united
singapore,singapore
south,south
drug,drug
drop,drop
development,development
big,big
warn,warn
demand,demand
stock,stock
return,return
curb,curb
princess,princess
team,team
another,another
korea,korea
stay,stay
declare,declare
check,check
prevent,prevent
express,express
local,local
diamond,diamond
economic,economic
family,family
many,many
rate,rate
line,line
give,give
press,press
win,win
video,video
far,far
remain,remain
student,student
end,end
still,still
long,long
daily,daily
large,large
step,step
despite,despite
five,five
protect,protect
life,life
construction,construction
begin,begin
billion,billion
offer,offer
expect,expect
stop,stop
also,also
arrive,arrive
ban,ban
production,production
leishenshan,leishenshan
human,human
early,early
major,major
grow,grow
woman,woman
transmission,transmission
come,come
director,director
try,try
put,put
bed,bed
look,look
stand,stand
france,france
person,person
lead,lead
visit,visit
street,street
japanese,japanese
set,set
carry,carry
affect,affect
tell,tell
donate,donate
meet,meet
study,study
cure,cure
aid,aid
cancel,cancel
hand,hand
cut,cut
australia,australia
service,service
level,level
full,full
way,way
receive,receive
raise,raise
flu,flu
food,food
increase,increase
macao,macao
part,part
dead,dead
good,good
investor,investor
police,police
since,since
fast,fast
department,department
area,area
holiday,holiday
solidarity,solidarity
illness,illness
xinhua,xinhua
confidence,confidence
apple,apple
dock,dock
panic,panic
brief,brief
plan,plan
social,social
region,region
force,force
growth,growth
nurse,nurse
read,read
air,air
hundred,hundred
university,university
jinping,jinping
fall,fall
contact,contact
head,head
baby,baby
avoid,avoid
diagnose,diagnose
asian,asian
inside,inside
scientist,scientist
board,board
airport,airport
miss,miss
respiratory,respiratory
order,order
record,record
story,story
strong,strong
sale,sale
watch,watch
special,special
shortage,shortage
infected,infected
military,military
trade,trade
group,group
turn,turn
firm,firm
six,six
contract,contract
data,data
recovery,recovery
shanghai,shanghai
develop,develop
child,child
threat,threat
urge,urge
california,california
lunar,lunar
oil,oil
talk,talk
medicine,medicine
hard,hard
among,among
asia,asia
suspect,suspect
top,top
question,question
trump,trump
bank,bank
last,last
place,place
wall,wall
source,source
isolation,isolation
statement,statement
care,care
issue,issue
phone,phone
base,base
result,result
suspected,suspected
tourist,tourist
today,today
opinion,opinion
globally,globally
evacuee,evacuee
meeting,meeting
reporter,reporter
trial,trial
medic,medic
research,research
together,together
news,news
best,best
french,french
race,race
anti,anti
slow,slow
leader,leader
mother,mother
provide,provide
several,several
plane,plane
low,low
potential,potential
robot,robot
jump,jump
thailand,thailand
great,great
information,information
nearly,nearly
already,already
reach,reach
fatality,fatality
strand,strand
restriction,restriction
newly,newly
model,model
fly,fly
body,body
researcher,researcher
away,away
join,join
release,release
protective,protective
condition,condition
possible,possible
negative,negative
tokyo,tokyo
exclusive,exclusive
malaysia,malaysia
pandemic,pandemic
thousand,thousand
couple,couple
screen,screen
system,system
aboard,aboard
premier,premier
resume,resume
canada,canada
general,general
quarter,quarter
yuan,yuan
factory,factory
school,school
extend,extend
move,move
limit,limit
infectious,infectious
explain,explain
ensure,ensure
temporarily,temporarily
industry,industry
severe,severe
recently,recently
name,name
east,east
would,would
cambodia,cambodia
related,related
border,border
must,must
germany,germany
effective,effective
wish,wish
critical,critical
pass,pass
headline,headline
run,run
four,four
allow,allow
wang,wang
near,near
dollar,dollar
charter,charter
likely,likely
currently,currently
office,office
clinical,clinical
much,much
stress,stress
fund,fund
plasma,plasma
situation,situation
hope,hope
british,british
store,store
short,short
surgical,surgical
officer,officer
key,key
nine,nine
third,third
wear,wear
whether,whether
financial,financial
via,via
sell,sell
ready,ready
pull,pull
facility,facility
party,party
appear,appear
vietnam,vietnam
australian,australian
dozen,dozen
traveler,traveler
resort,resort
track,track
past,past
animal,animal
change,change
revenue,revenue
almost,almost
bad,bad
temporary,temporary
ask,ask
effect,effect
hour,hour
event,event
point,point
price,price
term,term
sector,sector
capacity,capacity
worry,worry
deal,deal
italy,italy
member,member
well,well
front,front
add,add
operation,operation
racism,racism
create,create
break,break
entry,entry
job,job
additional,additional
strain,strain
love,love
joint,joint
rush,rush
hurt,hurt
tackle,tackle
monitor,monitor
shut,shut
volunteer,volunteer
mild,mild
stick,stick
finally,finally
climb,climb
serious,serious
discuss,discuss
spring,spring
fever,fever
post,post
delivery,delivery
discrimination,discrimination
train,train
policy,policy
peak,peak
crew,crew
port,port
even,even
scramble,scramble
consider,consider
liner,liner
traditional,traditional
capital,capital
speak,speak
ambassador,ambassador
within,within
action,action
view,view
yet,yet
alone,alone
lam,lam
write,write
sign,sign
message,message
identify,identify
girl,girl
form,form
secretary,secretary
festival,festival
prepare,prepare
anger,anger
confident,confident
crisis,crisis
employee,employee
seek,seek
ease,ease
facebook,facebook
answer,answer
encourage,encourage
soon,soon
wash,wash
zero,zero
figure,figure
implement,implement
misinformation,misinformation
transport,transport
ongoing,ongoing
launch,launch
threaten,threaten
mount,mount
mobile,mobile
cross,cross
san,san
cost,cost
war,war
future,future
detection,detection
challenge,challenge
detect,detect
advisory,advisory
consecutive,consecutive
eight,eight
foundation,foundation
deliver,deliver
loss,loss
advice,advice
young,young
station,station
catch,catch
protest,protest
north,north
manufacturer,manufacturer
discover,discover
reduce,reduce
congress,congress
barcelona,barcelona
land,land
half,half
overseas,overseas
experience,experience
nation,nation
postpone,postpone
batch,batch
kit,kit
behind,behind
delay,delay
empty,empty
happen,happen
german,german
embassy,embassy
direct,direct
twitter,twitter
county,county
former,former
night,night
provincial,provincial
acid,acid
seven,seven
current,current
chain,chain
tourism,tourism
ten,ten
believe,believe
transmit,transmit
administration,administration
pose,pose
click,click
march,march
tech,tech
problem,problem
profit,profit
washington,washington
disrupt,disrupt
committee,committee
technology,technology
disembark,disembark
dispatch,dispatch
friendship,friendship
prime,prime
period,period
walk,walk
elderly,elderly
female,female
executive,executive
cover,cover
russian,russian
site,site
halt,halt
cough,cough
mark,mark
claim,claim
york,york
warning,warning
tibet,tibet
lab,lab
emerge,emerge
bus,bus
host,host
speed,speed
open,open
mayor,mayor
alarm,alarm
racist,racist
output,output
decision,decision
earnings,earnings
surge,surge
advise,advise
weigh,weigh
important,important
chartered,chartered
admit,admit
free,free
detail,detail
previous,previous
vice,vice
red,red
viral,viral
feel,feel
sentiment,sentiment
interview,interview
history,history
stable,stable
healthy,healthy
fake,fake
village,village
percent,percent
single,single
boy,boy
scare,scare
ever,ever
light,light
fell,fell
bill,bill
india,india
dow,dow
ski,ski
blow,blow
poll,poll
russia,russia
though,though
political,political
investigate,investigate
ward,ward
handle,handle
protection,protection
every,every
reveal,reveal
enter,enter
building,building
temperature,temperature
nit,nit
ramp,ramp
island,island
manage,manage
senior,senior
alert,alert
progress,progress
resource,resource
zhejiang,zhejiang
dance,dance
rally,rally
false,false
traffic,traffic
small,small
victim,victim
along,along
complete,complete
voice,voice
agency,agency
contagious,contagious
fully,fully
evacuation,evacuation
wild,wild
airway,airway
iran,iran
pledge,pledge
boost,boost
often,often
lose,lose
anyone,anyone
coverage,coverage
restrict,restrict
link,link
export,export
diagnosis,diagnosis
evidence,evidence
thing,thing
professional,professional
maker,maker
advance,advance
save,save
edition,edition
decline,decline
surpass,surpass
impose,impose
ago,ago
union,union
america,america
customer,customer
power,power
shop,shop
spend,spend
transportation,transportation
mean,mean
pet,pet
spokesman,spokesman
wife,wife
relate,relate
african,african
observation,observation
underway,underway
foreigner,foreigner
right,right
zone,zone
birth,birth
dedicate,dedicate
equipment,equipment
game,game
push,push
professor,professor
contagion,contagion
suggest,suggest
delta,delta
throughout,throughout
house,house
scale,scale
ahead,ahead
arrival,arrival
improve,improve
prompt,prompt
procedure,procedure
bat,bat
spike,spike
fatal,fatal
forecast,forecast
might,might
donation,donation
council,council
decide,decide
think,think
science,science
insurance,insurance
non,non
door,door
housing,housing
material,material
suit,suit
compare,compare
trend,trend
learn,learn
let,let
neighbor,neighbor
college,college
allocate,allocate
sharp,sharp
worried,worried
struggle,struggle
hospitalize,hospitalize
diplomat,diplomat
institute,institute
square,square
role,role
fair,fair
rural,rural
safe,safe
eighth,eighth
weak,weak
next,next
especially,especially
picture,picture
victory,victory
spark,spark
abroad,abroad
paper,paper
expand,expand
activity,activity
thank,thank
reserve,reserve
caution,caution
fuel,fuel
sample,sample
plant,plant
feed,feed
really,really
screening,screening
play,play
sicken,sicken
crucial,crucial
edge,edge
loan,loan
nose,nose
breaking,breaking
basis,basis
weekend,weekend
sneeze,sneeze
federal,federal
snake,snake
wedding,wedding
mostly,mostly
import,import
security,security
district,district
lot,lot
personnel,personnel
song,song
weather,weather
restaurant,restaurant
assist,assist
