Id,Label
covid,covid
vaccine,vaccine
say,say
new,new
case,case
china,china
million,million
report,report
country,country
first,first
health,health
people,people
johnson,johnson
dos,dos
use,use
pandemic,pandemic
shot,shot
receive,receive
get,get
vaccination,vaccination
death,death
state,state
blood,blood
coronavirus,coronavirus
india,india
clot,clot
year,year
brazil,brazil
president,president
world,world
day,day
infection,infection
surge,surge
one,one
trial,trial
record,record
accord,accord
official,official
risk,risk
dose,dose
vaccinate,vaccinate
minister,minister
high,high
second,second
may,may
week,week
variant,variant
study,study
rise,rise
test,test
month,month
make,make
amid,amid
batch,batch
virus,virus
government,government
show,show
find,find
take,take
number,number
plan,plan
daily,daily
data,data
effective,effective
supply,supply
administer,administer
need,need
rare,rare
could,could
two,two
due,due
pause,pause
see,see
global,global
emergency,emergency
back,back
third,third
expert,expert
start,start
restriction,restriction
wave,wave
national,national
hit,hit
response,response
since,since
south,south
link,link
disease,disease
help,help
hospital,hospital
export,export
child,child
age,age
regulator,regulator
france,france
city,city
concern,concern
adult,adult
agency,agency
time,time
develop,develop
top,top
patient,patient
company,company
give,give
announce,announce
fauci,fauci
many,many
work,work
safe,safe
set,set
canada,canada
australia,australia
russia,russia
drug,drug
control,control
delay,delay
last,last
approve,approve
face,face
house,house
call,call
doctor,doctor
begin,begin
leader,leader
end,end
urge,urge
march,march
warn,warn
white,white
old,old
another,another
least,least
across,across
union,union
nation,nation
administration,administration
effect,effect
offer,offer
continue,continue
arrive,arrive
know,know
include,include
jab,jab
big,big
population,population
united,united
way,way
six,six
would,would
low,low
germany,germany
spread,spread
possible,possible
toll,toll
africa,africa
fight,fight
order,order
among,among
organization,organization
rate,rate
close,close
worker,worker
travel,travel
increase,increase
recommend,recommend
still,still
even,even
far,far
crisis,crisis
live,live
measure,measure
analysis,analysis
care,care
school,school
despite,despite
watch,watch
home,home
likely,likely
expect,expect
behind,behind
university,university
prevent,prevent
group,group
african,african
curb,curb
around,around
open,open
long,long
become,become
side,side
drive,drive
japan,japan
international,international
safety,safety
origin,origin
delivery,delivery
ministry,ministry
chile,chile
benefit,benefit
french,french
prime,prime
efficacy,efficacy
large,large
positive,positive
half,half
three,three
nearly,nearly
medicine,medicine
passport,passport
public,public
spike,spike
late,late
share,share
update,update
free,free
capital,capital
local,local
produce,produce
single,single
issue,issue
center,center
seek,seek
economy,economy
part,part
economic,economic
bring,bring
mask,mask
confirm,confirm
life,life
reach,reach
lead,lead
move,move
woman,woman
total,total
chief,chief
require,require
effort,effort
break,break
scientist,scientist
team,team
die,die
follow,follow
community,community
reopen,reopen
ask,ask
launch,launch
allow,allow
young,young
campaign,campaign
stop,stop
next,next
soon,soon
early,early
director,director
event,event
commission,commission
thousand,thousand
social,social
research,research
family,family
medium,medium
exclusive,exclusive
track,track
drop,drop
ban,ban
donate,donate
register,register
review,review
fear,fear
expand,expand
source,source
korea,korea
war,war
fall,fall
hold,hold
boost,boost
major,major
medical,medical
keep,keep
slow,slow
human,human
executive,executive
suspend,suspend
meet,meet
shipment,shipment
fund,fund
eligible,eligible
come,come
trump,trump
surpass,surpass
border,border
deal,deal
clinical,clinical
much,much
look,look
also,also
well,well
deliver,deliver
raise,raise
within,within
change,change
hour,hour
return,return
news,news
bad,bad
foreign,foreign
easter,easter
hope,hope
roll,roll
five,five
intensive,intensive
production,production
maker,maker
goal,goal
outbreak,outbreak
federal,federal
cause,cause
leave,leave
pass,pass
british,british
rule,rule
special,special
ease,ease
billion,billion
without,without
struggle,struggle
grow,grow
contract,contract
protect,protect
problem,problem
lose,lose
like,like
mark,mark
limit,limit
antibody,antibody
resident,resident
severe,severe
release,release
extend,extend
fully,fully
air,air
tell,tell
authority,authority
tokyo,tokyo
base,base
growth,growth
governor,governor
program,program
thailand,thailand
strong,strong
italy,italy
animal,animal
black,black
system,system
institute,institute
right,right
york,york
probe,probe
step,step
hong,hong
protection,protection
head,head
hospitalization,hospitalization
hop,hop
province,province
speak,speak
push,push
brain,brain
symptomatic,symptomatic
access,access
send,send
breaking,breaking
target,target
want,want
german,german
inoculation,inoculation
asian,asian
prevention,prevention
good,good
put,put
support,support
full,full
talk,talk
join,join
place,place
site,site
inoculate,inoculate
today,today
california,california
overseas,overseas
fourth,fourth
senior,senior
add,add
summer,summer
disorder,disorder
outweigh,outweigh
america,america
business,business
four,four
mass,mass
impact,impact
import,import
several,several
impose,impose
pressure,pressure
battle,battle
hard,hard
poll,poll
win,win
seven,seven
region,region
former,former
worry,worry
claim,claim
office,office
shortage,shortage
facebook,facebook
purchase,purchase
anti,anti
experience,experience
level,level
committee,committee
student,student
phase,phase
investigate,investigate
demand,demand
north,north
lift,lift
question,question
post,post
consider,consider
affect,affect
person,person
speed,speed
think,think
remain,remain
service,service
potential,potential
cite,cite
resume,resume
must,must
result,result
sign,sign
ahead,ahead
michigan,michigan
turkey,turkey
visit,visit
detect,detect
plant,plant
approval,approval
yet,yet
discuss,discuss
forecast,forecast
halt,halt
race,race
investigation,investigation
tough,tough
hand,hand
poor,poor
curfew,curfew
food,food
area,area
yunnan,yunnan
block,block
ship,ship
aid,aid
provide,provide
story,story
pharmaceutical,pharmaceutical
forward,forward
misinformation,misinformation
member,member
decide,decide
beijing,beijing
massive,massive
picture,picture
infectious,infectious
decision,decision
extra,extra
reason,reason
authorization,authorization
recover,recover
double,double
secretary,secretary
strain,strain
joe,joe
jump,jump
decline,decline
pay,pay
relief,relief
card,card
beach,beach
great,great
suffer,suffer
turn,turn
booster,booster
eligibility,eligibility
challenge,challenge
every,every
quarter,quarter
immunization,immunization
game,game
agree,agree
monetary,monetary
party,party
alternative,alternative
illness,illness
ramp,ramp
ever,ever
spring,spring
line,line
researcher,researcher
opposition,opposition
whether,whether
loss,loss
russian,russian
general,general
recovery,recovery
attend,attend
run,run
macron,macron
election,election
past,past
information,information
bed,bed
mix,mix
write,write
gathering,gathering
night,night
almost,almost
fresh,fresh
threat,threat
celebrate,celebrate
panel,panel
military,military
threaten,threaten
policy,policy
less,less
milestone,milestone
wait,wait
success,success
highly,highly
serum,serum
weigh,weigh
lawmaker,lawmaker
june,june
survivor,survivor
compare,compare
treat,treat
related,related
press,press
distribute,distribute
crowd,crowd
percent,percent
original,original
lack,lack
situation,situation
certificate,certificate
emerge,emerge
longer,longer
joint,joint
khan,khan
dog,dog
small,small
prepare,prepare
buy,buy
common,common
cost,cost
clear,clear
island,island
row,row
treatment,treatment
trust,trust
firm,firm
average,average
recent,recent
stage,stage
symptom,symptom
religious,religious
nationwide,nationwide
nod,nod
future,future
price,price
thanks,thanks
accelerate,accelerate
sale,sale
fail,fail
capacity,capacity
point,point
serious,serious
private,private
street,street
rich,rich
hesitancy,hesitancy
alarm,alarm
flight,flight
contain,contain
scale,scale
kill,kill
elderly,elderly
gather,gather
stay,stay
parent,parent
mental,mental
resurgence,resurgence
volunteer,volunteer
similar,similar
cambodia,cambodia
class,class
rapid,rapid
asymptomatic,asymptomatic
mandate,mandate
twitter,twitter
political,political
short,short
promise,promise
evidence,evidence
doubt,doubt
technology,technology
neurological,neurological
protest,protest
overwhelm,overwhelm
ongoing,ongoing
homeless,homeless
festival,festival
currently,currently
bar,bar
sport,sport
learn,learn
normal,normal
force,force
adolescent,adolescent
publish,publish
industry,industry
facility,facility
heart,heart
tighten,tighten
donation,donation
analyst,analyst
outdated,outdated
locally,locally
aim,aim
immune,immune
friend,friend
western,western
impend,impend
doom,doom
fill,fill
fan,fan
coverage,coverage
pace,pace
pick,pick
court,court
tally,tally
real,real
park,park
ten,ten
figure,figure
vote,vote
market,market
mount,mount
deadly,deadly
advisory,advisory
deadline,deadline
surprise,surprise
trade,trade
shanghai,shanghai
assistance,assistance
wear,wear
factor,factor
available,available
renew,renew
statement,statement
development,development
additional,additional
overall,overall
authorize,authorize
condition,condition
temporarily,temporarily
staff,staff
non,non
headline,headline
address,address
dozen,dozen
critical,critical
body,body
peak,peak
pope,pope
type,type
closure,closure
host,host
shut,shut
welcome,welcome
tourism,tourism
bank,bank
focus,focus
combat,combat
away,away
airport,airport
instead,instead
model,model
mayor,mayor
discover,discover
role,role
suspension,suspension
progress,progress
vice,vice
law,law
adviser,adviser
enough,enough
power,power
already,already
victim,victim
avoid,avoid
quality,quality
guinea,guinea
corruption,corruption
theory,theory
everyone,everyone
blow,blow
per,per
setback,setback
middle,middle
nurse,nurse
hate,hate
restaurant,restaurant
restrict,restrict
hail,hail
stand,stand
majority,majority
manufacture,manufacture
protective,protective
charge,charge
ruin,ruin
outside,outside
unit,unit
wall,wall
ingredient,ingredient
identify,identify
unacceptably,unacceptably
explain,explain
refuse,refuse
check,check
bloc,bloc
believe,believe
ensure,ensure
try,try
transmit,transmit
tourist,tourist
might,might
nationalism,nationalism
package,package
exceed,exceed
holy,holy
priority,priority
survey,survey
term,term
recipient,recipient
annual,annual
train,train
read,read
spending,spending
star,star
guidance,guidance
complication,complication
serve,serve
doughnut,doughnut
output,output
create,create
sao,sao
weekend,weekend
front,front
department,department
shop,shop
enter,enter
appointment,appointment
certain,certain
encourage,encourage
near,near
play,play
file,file
living,living
candidate,candidate
previous,previous
beyond,beyond
immunity,immunity
confusion,confusion
thing,thing
mean,mean
financial,financial
science,science
multiple,multiple
finance,finance
republic,republic
reaction,reaction
foreigner,foreigner
citizen,citizen
participate,participate
criticize,criticize
location,location
relax,relax
lung,lung
barcelona,barcelona
quarantine,quarantine
felt,felt
employee,employee
blame,blame
hundred,hundred
rival,rival
tonight,tonight
confidence,confidence
action,action
express,express
cut,cut
form,form
ambassador,ambassador
soar,soar
rio,rio
best,best
central,central
transmission,transmission
activity,activity
contagious,contagious
nine,nine
key,key
domestic,domestic
digital,digital
migrant,migrant
globe,globe
account,account
await,await
profit,profit
fuel,fuel
taiwan,taiwan
household,household
congress,congress
reverse,reverse
paper,paper
reduce,reduce
briefing,briefing
effectiveness,effectiveness
advice,advice
australian,australian
holiday,holiday
protein,protein
plunge,plunge
hamper,hamper
spark,spark
scramble,scramble
finding,finding
watchdog,watchdog
corner,corner
club,club
arm,arm
rain,rain
woe,woe
partner,partner
prompt,prompt
opening,opening
standard,standard
shift,shift
bill,bill
pregnant,pregnant
climb,climb
vial,vial
