Id,Label
coronavirus,coronavirus
china,china
outbreak,outbreak
case,case
say,say
new,new
spread,spread
death,death
health,health
people,people
late,late
cruise,cruise
ship,ship
first,first
report,report
confirm,confirm
world,world
quarantine,quarantine
virus,virus
test,test
japan,japan
country,country
fear,fear
toll,toll
global,global
state,state
travel,travel
rise,rise
city,city
two,two
day,day
official,official
due,due
hong,hong
flight,flight
infect,infect
beyond,beyond
number,number
hit,hit
passenger,passenger
amid,amid
novel,novel
update,update
government,government
evacuate,evacuate
patient,patient
hubei,hubei
could,could
deadly,deadly
year,year
impact,impact
public,public
positive,positive
take,take
infection,infection
authority,authority
hospital,hospital
close,close
accord,accord
contain,contain
least,least
total,total
emergency,emergency
continue,continue
week,week
province,province
know,know
national,national
help,help
disease,disease
follow,follow
economy,economy
organization,organization
outside,outside
around,around
risk,risk
million,million
kill,kill
citizen,citizen
epidemic,epidemic
mask,mask
center,center
control,control
market,market
spreading,spreading
face,face
doctor,doctor
one,one
die,die
suspend,suspend
concern,concern
three,three
stock,stock
work,work
may,may
medium,medium
see,see
business,business
fight,fight
medical,medical
confirmed,confirmed
epicenter,epicenter
singapore,singapore
show,show
find,find
united,united
big,big
symptom,symptom
include,include
warn,warn
announce,announce
vaccine,vaccine
live,live
bring,bring
declare,declare
home,home
princess,princess
beijing,beijing
keep,keep
become,become
demand,demand
diamond,diamond
second,second
across,across
company,company
effort,effort
like,like
man,man
leave,leave
measure,measure
back,back
south,south
use,use
worker,worker
expert,expert
investor,investor
korea,korea
drug,drug
month,month
covid,covid
make,make
billion,billion
high,high
commission,commission
international,international
treatment,treatment
resident,resident
illness,illness
apple,apple
supply,supply
treat,treat
hundred,hundred
street,street
ban,ban
australia,australia
grow,grow
major,major
central,central
share,share
early,early
record,record
human,human
despite,despite
need,need
cancel,cancel
ministry,ministry
france,france
try,try
oil,oil
time,time
start,start
rate,rate
person,person
affect,affect
study,study
dock,dock
drop,drop
japanese,japanese
get,get
economic,economic
begin,begin
five,five
fall,fall
prevention,prevention
california,california
sale,sale
globally,globally
raise,raise
airport,airport
return,return
still,still
statement,statement
cut,cut
carry,carry
evacuee,evacuee
end,end
growth,growth
stop,stop
minister,minister
set,set
chief,chief
contract,contract
department,department
jump,jump
large,large
lunar,lunar
bank,bank
another,another
protect,protect
wall,wall
slow,slow
plan,plan
far,far
remain,remain
president,president
part,part
step,step
fly,fly
air,air
asia,asia
firm,firm
long,long
family,family
force,force
asian,asian
shortage,shortage
increase,increase
fast,fast
flu,flu
question,question
response,response
diagnose,diagnose
food,food
board,board
line,line
foreign,foreign
nearly,nearly
threat,threat
already,already
holiday,holiday
avoid,avoid
prevent,prevent
hold,hold
thailand,thailand
cause,cause
contact,contact
restriction,restriction
tokyo,tokyo
lead,lead
student,student
french,french
conference,conference
arrive,arrive
come,come
place,place
since,since
factory,factory
likely,likely
battle,battle
dead,dead
thousand,thousand
respiratory,respiratory
scientist,scientist
last,last
limit,limit
resort,resort
quarter,quarter
away,away
old,old
trade,trade
canada,canada
base,base
source,source
pull,pull
low,low
service,service
police,police
related,related
malaysia,malaysia
aboard,aboard
panic,panic
move,move
many,many
almost,almost
worry,worry
staff,staff
trump,trump
sell,sell
cambodia,cambodia
potential,potential
full,full
dozen,dozen
development,development
fatality,fatality
tourist,tourist
local,local
expect,expect
several,several
order,order
six,six
vietnam,vietnam
build,build
monitor,monitor
temporarily,temporarily
plane,plane
among,among
revenue,revenue
tell,tell
result,result
liner,liner
climb,climb
level,level
hurt,hurt
news,news
hand,hand
stand,stand
way,way
british,british
transmission,transmission
production,production
shut,shut
price,price
appear,appear
store,store
pandemic,pandemic
shanghai,shanghai
area,area
event,event
today,today
would,would
top,top
facebook,facebook
infectious,infectious
surgical,surgical
run,run
put,put
curb,curb
port,port
call,call
stay,stay
data,data
give,give
urge,urge
trial,trial
australian,australian
traveler,traveler
industry,industry
wear,wear
seek,seek
ease,ease
issue,issue
also,also
near,near
watch,watch
must,must
consider,consider
body,body
anger,anger
pass,pass
turn,turn
video,video
look,look
scramble,scramble
woman,woman
allow,allow
social,social
congress,congress
barcelona,barcelona
read,read
effect,effect
mount,mount
head,head
crew,crew
threaten,threaten
taiwan,taiwan
race,race
possible,possible
germany,germany
great,great
screen,screen
meet,meet
financial,financial
sector,sector
daily,daily
mobile,mobile
disrupt,disrupt
strand,strand
university,university
discover,discover
stick,stick
director,director
group,group
school,school
reach,reach
much,much
develop,develop
infected,infected
point,point
even,even
weigh,weigh
office,office
whether,whether
profit,profit
charter,charter
san,san
team,team
employee,employee
chain,chain
recently,recently
washington,washington
life,life
italy,italy
combat,combat
yet,yet
track,track
third,third
protest,protest
nine,nine
jinping,jinping
serious,serious
halt,halt
meeting,meeting
cost,cost
foundation,foundation
border,border
visit,visit
change,change
warning,warning
entry,entry
pose,pose
dow,dow
crisis,crisis
story,story
finally,finally
officer,officer
release,release
past,past
administration,administration
implement,implement
peak,peak
ski,ski
cough,cough
blow,blow
zero,zero
earnings,earnings
poll,poll
anti,anti
bad,bad
catch,catch
north,north
alarm,alarm
anyone,anyone
name,name
provide,provide
animal,animal
job,job
best,best
coverage,coverage
hard,hard
restrict,restrict
identify,identify
wash,wash
check,check
good,good
land,land
form,form
additional,additional
advisory,advisory
advise,advise
tech,tech
newly,newly
scare,scare
offer,offer
march,march
fell,fell
output,output
iran,iran
racism,racism
recover,recover
support,support
misinformation,misinformation
tourism,tourism
problem,problem
fund,fund
isolation,isolation
post,post
airway,airway
short,short
india,india
hope,hope
extend,extend
military,military
spike,spike
fatal,fatal
forecast,forecast
often,often
empty,empty
dollar,dollar
loss,loss
contagious,contagious
currently,currently
county,county
add,add
bill,bill
robot,robot
future,future
policy,policy
claim,claim
prepare,prepare
breaking,breaking
fake,fake
bed,bed
evacuation,evacuation
delta,delta
ten,ten
disembark,disembark
bat,bat
arrival,arrival
region,region
ever,ever
negative,negative
half,half
reduce,reduce
delay,delay
basis,basis
lose,lose
weekend,weekend
sign,sign
four,four
contagion,contagion
sneeze,sneeze
federal,federal
snake,snake
surge,surge
delivery,delivery
export,export
sentiment,sentiment
system,system
agency,agency
single,single
party,party
really,really
receive,receive
ask,ask
break,break
soon,soon
researcher,researcher
ramp,ramp
disruption,disruption
information,information
procedure,procedure
twitter,twitter
yuan,yuan
believe,believe
send,send
island,island
target,target
ahead,ahead
edge,edge
well,well
reveal,reveal
confusion,confusion
throughout,throughout
game,game
nose,nose
secretary,secretary
screening,screening
fuel,fuel
eighth,eighth
reserve,reserve
diplomat,diplomat
church,church
manufacturer,manufacturer
exclusive,exclusive
loan,loan
inch,inch
