Id,Label
covid,covid
vaccine,vaccine
say,say
new,new
case,case
johnson,johnson
shot,shot
million,million
use,use
report,report
people,people
get,get
india,india
country,country
first,first
health,health
dos,dos
blood,blood
vaccination,vaccination
clot,clot
death,death
coronavirus,coronavirus
pandemic,pandemic
state,state
year,year
brazil,brazil
surge,surge
president,president
world,world
infection,infection
day,day
risk,risk
record,record
trial,trial
may,may
china,china
receive,receive
official,official
rise,rise
month,month
variant,variant
vaccinate,vaccinate
high,high
study,study
plan,plan
one,one
test,test
need,need
rare,rare
week,week
make,make
could,could
amid,amid
supply,supply
accord,accord
find,find
pause,pause
virus,virus
take,take
minister,minister
back,back
effective,effective
second,second
daily,daily
wave,wave
response,response
dose,dose
restriction,restriction
hospital,hospital
due,due
show,show
data,data
child,child
export,export
hit,hit
regulator,regulator
fauci,fauci
government,government
two,two
third,third
expert,expert
number,number
global,global
australia,australia
france,france
disease,disease
see,see
patient,patient
concern,concern
time,time
link,link
emergency,emergency
canada,canada
adult,adult
help,help
top,top
doctor,doctor
south,south
delay,delay
many,many
work,work
house,house
since,since
leader,leader
white,white
safe,safe
set,set
offer,offer
age,age
urge,urge
face,face
union,union
drug,drug
russia,russia
agency,agency
way,way
know,know
six,six
big,big
start,start
give,give
administration,administration
old,old
warn,warn
administer,administer
another,another
rate,rate
analysis,analysis
nation,nation
begin,begin
among,among
call,call
germany,germany
would,would
announce,announce
united,united
even,even
least,least
effect,effect
end,end
order,order
spread,spread
delivery,delivery
japan,japan
population,population
still,still
last,last
recommend,recommend
likely,likely
crisis,crisis
university,university
close,close
low,low
travel,travel
far,far
continue,continue
curb,curb
prevent,prevent
include,include
possible,possible
expect,expect
care,care
despite,despite
benefit,benefit
company,company
home,home
control,control
increase,increase
behind,behind
update,update
french,french
mask,mask
worker,worker
free,free
side,side
develop,develop
long,long
fight,fight
live,live
half,half
seek,seek
soon,soon
school,school
ask,ask
march,march
passport,passport
woman,woman
scientist,scientist
stop,stop
toll,toll
break,break
exclusive,exclusive
across,across
around,around
track,track
spike,spike
become,become
open,open
medicine,medicine
young,young
drive,drive
approve,approve
korea,korea
large,large
share,share
war,war
source,source
next,next
african,african
issue,issue
drop,drop
family,family
efficacy,efficacy
city,city
public,public
require,require
raise,raise
research,research
safety,safety
economic,economic
chief,chief
team,team
three,three
die,die
fall,fall
fear,fear
national,national
event,event
reach,reach
measure,measure
single,single
human,human
group,group
ban,ban
come,come
trump,trump
meet,meet
allow,allow
suspend,suspend
social,social
major,major
lead,lead
problem,problem
executive,executive
review,review
leave,leave
without,without
slow,slow
community,community
fund,fund
special,special
tell,tell
outbreak,outbreak
early,early
boost,boost
international,international
much,much
nearly,nearly
part,part
cause,cause
positive,positive
expand,expand
hold,hold
protect,protect
move,move
intensive,intensive
maker,maker
thousand,thousand
bad,bad
contract,contract
follow,follow
economy,economy
federal,federal
want,want
deliver,deliver
deal,deal
keep,keep
protection,protection
effort,effort
tokyo,tokyo
step,step
air,air
black,black
hope,hope
british,british
look,look
fully,fully
breaking,breaking
change,change
within,within
brain,brain
ministry,ministry
organization,organization
lose,lose
produce,produce
life,life
well,well
batch,batch
roll,roll
medium,medium
ease,ease
return,return
target,target
speak,speak
access,access
grow,grow
campaign,campaign
easter,easter
hop,hop
severe,severe
extend,extend
send,send
growth,growth
outweigh,outweigh
launch,launch
reopen,reopen
symptomatic,symptomatic
rule,rule
hospitalization,hospitalization
surpass,surpass
struggle,struggle
north,north
five,five
hong,hong
billion,billion
italy,italy
probe,probe
director,director
disorder,disorder
capital,capital
strong,strong
worry,worry
right,right
eligible,eligible
also,also
shortage,shortage
demand,demand
win,win
antibody,antibody
thailand,thailand
africa,africa
origin,origin
medical,medical
put,put
prime,prime
border,border
governor,governor
poll,poll
german,german
summer,summer
battle,battle
investigation,investigation
limit,limit
goal,goal
tough,tough
person,person
must,must
potential,potential
fourth,fourth
push,push
production,production
bring,bring
system,system
several,several
like,like
late,late
halt,halt
full,full
decision,decision
forecast,forecast
york,york
race,race
jab,jab
speed,speed
mark,mark
remain,remain
former,former
investigate,investigate
chile,chile
impose,impose
picture,picture
yet,yet
good,good
turn,turn
add,add
animal,animal
california,california
resident,resident
booster,booster
question,question
site,site
program,program
ship,ship
eligibility,eligibility
committee,committee
pass,pass
join,join
total,total
whether,whether
pressure,pressure
pay,pay
extra,extra
poor,poor
block,block
support,support
business,business
approval,approval
resume,resume
suffer,suffer
discuss,discuss
infectious,infectious
consider,consider
michigan,michigan
write,write
level,level
affect,affect
story,story
think,think
misinformation,misinformation
relief,relief
opposition,opposition
massive,massive
post,post
decide,decide
jump,jump
student,student
card,card
serum,serum
institute,institute
election,election
america,america
facebook,facebook
reason,reason
result,result
seven,seven
import,import
weigh,weigh
inoculation,inoculation
lawmaker,lawmaker
service,service
center,center
june,june
decline,decline
member,member
mix,mix
survivor,survivor
bed,bed
head,head
lift,lift
researcher,researcher
curfew,curfew
illness,illness
game,game
ramp,ramp
buy,buy
gathering,gathering
place,place
shipment,shipment
run,run
local,local
common,common
cost,cost
alternative,alternative
wait,wait
clear,clear
claim,claim
ahead,ahead
today,today
macron,macron
cite,cite
highly,highly
turkey,turkey
policy,policy
alarm,alarm
talk,talk
double,double
dog,dog
prepare,prepare
senior,senior
experience,experience
success,success
small,small
foreign,foreign
monetary,monetary
impact,impact
panel,panel
quarter,quarter
great,great
beach,beach
visit,visit
line,line
every,every
detect,detect
almost,almost
past,past
strain,strain
base,base
situation,situation
less,less
information,information
attend,attend
release,release
treat,treat
plant,plant
private,private
hesitancy,hesitancy
threat,threat
threaten,threaten
secretary,secretary
neurological,neurological
authorization,authorization
clinical,clinical
nod,nod
commission,commission
fill,fill
street,street
challenge,challenge
hour,hour
joe,joe
promise,promise
food,food
serious,serious
fan,fan
religious,religious
hard,hard
loss,loss
point,point
mass,mass
celebrate,celebrate
four,four
milestone,milestone
technology,technology
class,class
fresh,fresh
coverage,coverage
evidence,evidence
office,office
ever,ever
doubt,doubt
accelerate,accelerate
mandate,mandate
pace,pace
forward,forward
sign,sign
rich,rich
region,region
dozen,dozen
critical,critical
body,body
news,news
lack,lack
peak,peak
longer,longer
pope,pope
future,future
sport,sport
impend,impend
doom,doom
average,average
anti,anti
compare,compare
kill,kill
fail,fail
watch,watch
agree,agree
confirm,confirm
parent,parent
type,type
party,party
short,short
immune,immune
sale,sale
mental,mental
stage,stage
emerge,emerge
corruption,corruption
price,price
stay,stay
theory,theory
overwhelm,overwhelm
spring,spring
asian,asian
staff,staff
homeless,homeless
thanks,thanks
area,area
everyone,everyone
rapid,rapid
adolescent,adolescent
blow,blow
wear,wear
aim,aim
authorize,authorize
per,per
flight,flight
bar,bar
setback,setback
gather,gather
train,train
victim,victim
symptom,symptom
heart,heart
aid,aid
crowd,crowd
already,already
read,read
protest,protest
asymptomatic,asymptomatic
treatment,treatment
spending,spending
enough,enough
contain,contain
away,away
friend,friend
provide,provide
court,court
star,star
capacity,capacity
additional,additional
non,non
recent,recent
adviser,adviser
recover,recover
authority,authority
condition,condition
quality,quality
temporarily,temporarily
guidance,guidance
related,related
law,law
complication,complication
serve,serve
island,island
learn,learn
row,row
surprise,surprise
guinea,guinea
factor,factor
avoid,avoid
doughnut,doughnut
russian,russian
output,output
address,address
discover,discover
lung,lung
register,register
explain,explain
hand,hand
refuse,refuse
identify,identify
recovery,recovery
exceed,exceed
mount,mount
barcelona,barcelona
press,press
outdated,outdated
survey,survey
analyst,analyst
force,force
elderly,elderly
quarantine,quarantine
felt,felt
employee,employee
blame,blame
hundred,hundred
deadly,deadly
scale,scale
rival,rival
real,real
term,term
tonight,tonight
confidence,confidence
hail,hail
inoculate,inoculate
stand,stand
available,available
corner,corner
vote,vote
restrict,restrict
club,club
prevention,prevention
volunteer,volunteer
night,night
arm,arm
rain,rain
woe,woe
unacceptably,unacceptably
focus,focus
protective,protective
renew,renew
beyond,beyond
western,western
partner,partner
prompt,prompt
progress,progress
majority,majority
closure,closure
opening,opening
arrive,arrive
standard,standard
annual,annual
political,political
shift,shift
bill,bill
priority,priority
charge,charge
location,location
pregnant,pregnant
participate,participate
recipient,recipient
statement,statement
department,department
normal,normal
criticize,criticize
twitter,twitter
climb,climb
finance,finance
vial,vial
