Id,Label
covid,covid
coronavirus,coronavirus
say,say
trump,trump
vaccine,vaccine
new,new
case,case
test,test
president,president
pandemic,pandemic
positive,positive
report,report
house,house
people,people
death,death
day,day
health,health
white,white
first,first
state,state
million,million
infection,infection
trial,trial
week,week
month,month
world,world
one,one
rise,rise
country,country
virus,virus
take,take
record,record
china,china
get,get
make,make
could,could
may,may
study,study
johnson,johnson
time,time
hospital,hospital
restriction,restriction
year,year
second,second
two,two
global,global
surge,surge
see,see
high,high
spread,spread
plan,plan
government,government
accord,accord
mask,mask
minister,minister
daily,daily
hit,hit
work,work
outbreak,outbreak
back,back
election,election
city,city
late,late
official,official
amid,amid
show,show
help,help
face,face
since,since
campaign,campaign
risk,risk
top,top
use,use
india,india
follow,follow
public,public
home,home
die,die
york,york
debate,debate
australia,australia
due,due
still,still
curb,curb
last,last
close,close
need,need
return,return
know,know
presidential,presidential
data,data
joe,joe
set,set
would,would
result,result
aid,aid
end,end
relief,relief
wave,wave
expert,expert
chief,chief
rule,rule
south,south
start,start
number,number
emergency,emergency
patient,patient
three,three
deal,deal
drug,drug
around,around
treatment,treatment
tell,tell
worker,worker
doctor,doctor
come,come
news,news
call,call
exclusive,exclusive
negative,negative
increase,increase
long,long
medical,medical
big,big
hold,hold
lady,lady
symptom,symptom
candidate,candidate
talk,talk
early,early
announce,announce
sign,sign
large,large
disease,disease
head,head
analysis,analysis
recovery,recovery
concern,concern
economy,economy
look,look
next,next
travel,travel
measure,measure
hour,hour
fight,fight
response,response
quarantine,quarantine
clinical,clinical
prime,prime
democratic,democratic
leave,leave
job,job
safety,safety
begin,begin
fear,fear
billion,billion
without,without
brazil,brazil
hope,hope
continue,continue
force,force
include,include
diagnosis,diagnosis
many,many
antibody,antibody
russia,russia
find,find
remain,remain
economic,economic
give,give
administration,administration
france,france
former,former
bill,bill
low,low
leader,leader
school,school
staff,staff
volunteer,volunteer
business,business
change,change
keep,keep
source,source
confirm,confirm
republican,republican
move,move
warn,warn
nearly,nearly
expect,expect
seek,seek
university,university
infect,infect
put,put
vice,vice
experimental,experimental
thousand,thousand
british,british
level,level
spike,spike
become,become
order,order
bank,bank
pause,pause
even,even
turn,turn
fauci,fauci
toll,toll
five,five
adviser,adviser
rate,rate
open,open
contract,contract
united,united
nation,nation
bad,bad
flu,flu
ahead,ahead
nominee,nominee
lead,lead
student,student
social,social
supply,supply
stimulus,stimulus
coverage,coverage
potential,potential
child,child
wear,wear
issue,issue
mike,mike
claim,claim
national,national
far,far
join,join
live,live
french,french
court,court
old,old
safe,safe
control,control
ease,ease
center,center
update,update
pass,pass
place,place
food,food
watch,watch
race,race
company,company
cause,cause
develop,develop
event,event
across,across
well,well
treat,treat
question,question
korea,korea
also,also
fall,fall
lose,lose
raise,raise
try,try
office,office
part,part
several,several
italy,italy
despite,despite
scientist,scientist
catch,catch
third,third
battle,battle
illness,illness
senate,senate
member,member
crisis,crisis
germany,germany
family,family
speaker,speaker
review,review
effort,effort
military,military
life,life
four,four
governor,governor
aide,aide
offer,offer
like,like
stay,stay
plastic,plastic
stock,stock
system,system
bar,bar
care,care
reach,reach
appear,appear
group,group
secretary,secretary
impose,impose
small,small
demand,demand
urge,urge
push,push
employee,employee
single,single
share,share
post,post
penny,penny
team,team
market,market
slow,slow
stage,stage
surpass,surpass
struggle,struggle
effect,effect
vote,vote
seven,seven
africa,africa
person,person
federal,federal
condition,condition
breaking,breaking
way,way
tweet,tweet
among,among
mark,mark
authority,authority
shot,shot
protest,protest
rally,rally
winter,winter
season,season
canada,canada
restaurant,restaurant
challenge,challenge
cut,cut
immunity,immunity
contact,contact
want,want
outside,outside
receive,receive
package,package
trend,trend
stop,stop
research,research
supreme,supreme
soon,soon
less,less
recover,recover
game,game
approval,approval
kamala,kamala
right,right
win,win
north,north
likely,likely
contain,contain
organization,organization
experience,experience
mayor,mayor
handling,handling
survive,survive
avoid,avoid
support,support
available,available
industry,industry
general,general
poll,poll
shut,shut
financial,financial
player,player
capital,capital
international,international
director,director
loss,loss
young,young
facility,facility
party,party
add,add
future,future
almost,almost
flight,flight
ask,ask
good,good
least,least
milestone,milestone
america,america
six,six
think,think
another,another
kill,kill
participant,participant
japan,japan
physician,physician
delay,delay
real,real
sale,sale
much,much
researcher,researcher
strong,strong
trillion,trillion
reopen,reopen
bring,bring
pay,pay
allow,allow
air,air
boom,boom
past,past
impact,impact
fund,fund
diagnose,diagnose
happen,happen
local,local
point,point
cost,cost
maker,maker
protect,protect
service,service
half,half
resurgence,resurgence
worry,worry
clear,clear
treasury,treasury
authorization,authorization
walter,walter
reed,reed
reduce,reduce
term,term
democrat,democrat
adult,adult
possible,possible
serious,serious
war,war
deliver,deliver
firm,firm
full,full
behind,behind
senator,senator
release,release
effective,effective
resident,resident
provide,provide
nancy,nancy
statement,statement
congress,congress
boost,boost
tackle,tackle
promise,promise
extend,extend
supporter,supporter
major,major
message,message
town,town
base,base
senior,senior
benefit,benefit
compare,compare
august,august
wife,wife
roll,roll
send,send
woman,woman
ministry,ministry
ready,ready
feel,feel
enough,enough
vulnerable,vulnerable
capacity,capacity
launch,launch
schedule,schedule
relative,relative
oil,oil
play,play
morning,morning
climate,climate
halt,halt
nationwide,nationwide
free,free
resume,resume
near,near
break,break
trail,trail
whether,whether
hard,hard
dose,dose
side,side
today,today
hospitalize,hospitalize
sen,sen
might,might
approve,approve
approach,approach
video,video
produce,produce
tough,tough
night,night
fact,fact
jersey,jersey
problem,problem
expose,expose
grim,grim
immune,immune
ship,ship
protocol,protocol
meet,meet
decline,decline
within,within
tighten,tighten
activity,activity
institute,institute
region,region
unlikely,unlikely
access,access
twitter,twitter
turkey,turkey
transmission,transmission
street,street
nine,nine
consider,consider
thing,thing
affect,affect
declare,declare
political,political
already,already
run,run
hundred,hundred
age,age
really,really
fail,fail
cancel,cancel
final,final
dutch,dutch
self,self
prevent,prevent
severe,severe
tally,tally
price,price
story,story
remove,remove
investor,investor
republic,republic
isolation,isolation
discuss,discuss
hospitalization,hospitalization
bicycle,bicycle
panel,panel
dos,dos
suffer,suffer
recent,recent
rapid,rapid
anti,anti
little,little
average,average
postpone,postpone
standard,standard
prepare,prepare
ten,ten
ban,ban
lift,lift
hearing,hearing
amy,amy
washington,washington
task,task
majority,majority
police,police
critical,critical
voter,voter
handle,handle
northern,northern
must,must
per,per
hall,hall
agree,agree
total,total
yet,yet
key,key
commission,commission
bubble,bubble
common,common
body,body
foreign,foreign
eight,eight
action,action
press,press
program,program
write,write
deadly,deadly
meeting,meeting
singapore,singapore
gathering,gathering
previous,previous
criticize,criticize
novel,novel
hot,hot
phase,phase
target,target
drop,drop
size,size
board,board
confidence,confidence
corona,corona
mean,mean
population,population
poor,poor
step,step
learn,learn
soar,soar
son,son
debt,debt
drive,drive
japanese,japanese
improve,improve
grow,grow
closure,closure
spending,spending
additional,additional
later,later
cluster,cluster
guidance,guidance
alert,alert
hick,hick
swiss,swiss
inside,inside
teacher,teacher
prevention,prevention
cruise,cruise
production,production
misinformation,misinformation
iran,iran
march,march
football,football
similar,similar
difficult,difficult
jump,jump
asia,asia
spring,spring
holiday,holiday
committee,committee
spot,spot
california,california
confident,confident
optimistic,optimistic
mental,mental
believe,believe
community,community
human,human
partial,partial
curfew,curfew
defend,defend
wrong,wrong
trace,trace
cannot,cannot
read,read
wall,wall
chain,chain
mild,mild
west,west
patriot,patriot
build,build
korean,korean
german,german
park,park
deliberately,deliberately
track,track
weekend,weekend
every,every
border,border
tourist,tourist
decision,decision
chance,chance
fresh,fresh
wait,wait
seriously,seriously
hand,hand
fast,fast
great,great
guard,guard
legal,legal
sector,sector
executive,executive
passenger,passenger
never,never
insight,insight
loan,loan
register,register
sick,sick
agency,agency
away,away
wish,wish
project,project
strain,strain
strict,strict
pilgrim,pilgrim
fire,fire
reporter,reporter
tonight,tonight
different,different
love,love
process,process
development,development
bid,bid
familiar,familiar
cash,cash
kick,kick
speed,speed
science,science
remote,remote
department,department
limit,limit
strategy,strategy
picture,picture
heart,heart
blood,blood
security,security
line,line
weather,weather
medium,medium
detail,detail
focus,focus
quarter,quarter
link,link
grapple,grapple
loom,loom
comment,comment
file,file
black,black
fatality,fatality
nurse,nurse
digital,digital
sharply,sharply
oxygen,oxygen
pose,pose
spark,spark
australian,australian
type,type
best,best
unexplained,unexplained
range,range
cross,cross
manufacture,manufacture
distance,distance
recycle,recycle
lot,lot
space,space
waste,waste
figure,figure
main,main
hong,hong
virtual,virtual
tax,tax
double,double
negotiation,negotiation
cold,cold
speak,speak
russian,russian
ever,ever
june,june
wide,wide
attend,attend
fourth,fourth
anger,anger
exposure,exposure
suspend,suspend
sell,sell
perform,perform
normal,normal
agreement,agreement
couple,couple
paper,paper
survey,survey
lay,lay
furlough,furlough
combat,combat
threat,threat
blessing,blessing
suggest,suggest
course,course
accelerate,accelerate
miss,miss
widely,widely
crowd,crowd
mount,mount
men,men
gather,gather
growth,growth
information,information
able,able
reject,reject
marine,marine
fuel,fuel
though,though
circle,circle
minute,minute
unemployment,unemployment
combine,combine
central,central
warning,warning
infectious,infectious
period,period
physical,physical
theater,theater
ill,ill
viral,viral
reason,reason
host,host
airport,airport
related,related
spend,spend
entire,entire
probably,probably
qingdao,qingdao
failure,failure
ensure,ensure
facebook,facebook
class,class
mass,mass
league,league
someone,someone
difference,difference
mandate,mandate
network,network
transmit,transmit
coach,coach
trip,trip
foot,foot
spokesman,spokesman
area,area
confirmation,confirmation
college,college
danger,danger
contagious,contagious
role,role
relate,relate
bout,bout
authorize,authorize
