text;favorite_count;media;periode
" ""Construction began on the night of January 23 for a new specialized hospital for #coronavirus patients in central China's #Wuhan City. \n\nThe hospital is designed to have an area of 25,000 square meters with 1,000 beds and will be put into use by February 3 ";16035;CGTNOfficial;JanFeb2020
"Heartwarming: Residents chant ""Wuhan, Jiayou"" for their city to hold on despite adversity. #coronavirus #pneumonia https://t.co/YI5aosIyEx";4466;XHNews;JanFeb2020
Wuhan will follow Beijing's SARS treatment model to build a special hospital planned to accommodate 1,000 beds. It… https://t.co/zEJxDXKisL;4453;XHNews;JanFeb2020
" ""#BREAKING Construction work of Huoshenshan Hospital, #Wuhan's makeshift hospital built for treating pneumonia patients infected with the novel #coronavirus completed Sunday morning; the hospital will officially start services from Monday ";3794;CGTNOfficial;JanFeb2020
" 'A Chinese nurse in a coronavirus-hit hospital in Henan Province gives her sobbing daughter an ""air hug."" #coronavirus ";3429;XHNews;JanFeb2020
" ""A female doctor aiding the #coronavirus control in Wuhan, China couldn't help bursting into tears while video-chatting with her baby. Find out why. #heartwarming ";2900;XHNews;JanFeb2020
A female doctor aiding the #coronavirus control in Wuhan, China couldn't help bursting into tears while video-chatt… https://t.co/EmpkCBPKum;2900;XHNews;JanFeb2020
" ""The video footage of a man's unexpected visit to a police station in east China's Anhui Province on January 27, 2020 has warmed many people's hearts amid #CoronavirusOutbreak ";2593;CGTNOfficial;JanFeb2020
" '""I also offer my profound respect and thanks to the thousands of brave health professionals and all frontline responders, who in the midst of the Spring Festival are working 24/7 to treat the sick, save lives, and bring this outbreak under control""  says #coronavirus ";2529;CGTNOfficial;JanFeb2020
" ""Doctor's got talent!\n\nA doctor from NW China's Xinjiang at a makeshift hospital in #Wuhan was asked by patients with mild #coronavirus symptoms to teach them a traditional Uygur dance, bringing optimism and fun to the hospital #COVID19 ";2492;CGTNOfficial;JanFeb2020
" ""A mother with #coronavirus gave birth to a healthy baby in NE China's Harbin Sixth People's Hospital. The newborn tested negative for the virus. \n\nThe mother and her baby girl are in stable condition.❤️ ";2487;CGTNOfficial;JanFeb2020
" 'Pictures of nurses\' hands shriveled and scarred after days of fighting the #coronavirus on the front lines are going viral on social media.\n\n#WeGotYourBack""💪 was launched on Weibo by Chinese netizens and involves many celebrities showing respect to these medical workers. ";2163;CGTNOfficial;JanFeb2020
Heartwarming moments in China's #coronavirus battle: We stand alone together https://t.co/ZJ4vZN5m6v;2153;XHNews;JanFeb2020
" ""A batch of 150,000 doses of Sinovac #COVID19 vaccine donated by China will arrive in El Salvador on Tuesday night, the country's President Nayib Bukele  announced on Twitter. ";2140;CGTNOfficial;MarchApril2021
" 'Racism is the most dangerous virus.\n\n""When H1N1 virus broke out in the U.S. in 2009, no one called it ""American virus\', When this coronavirus broke out in China, you call it \'China virus\'"", Chinese blogger calls for #coronavirus related racism and bullying to stop. ";1986;CGTNOfficial;JanFeb2020
" 'Racism is the most dangerous virus.\n\n""When H1N1 virus broke out in the U.S. in 2009, no one called it ""American virus\', When this coronavirus broke out in China, you call it \'China virus\'"", Chinese blogger calls for #coronavirus related racism and bullying to stop. ";1985;CGTNOfficial;JanFeb2020
Stunning flexibility: A man from China's Lianyungang shows impressive dancing skills. (Do not imitate) https://t.co/5rzT3gOqfa;1630;XHNews;JanFeb2020
" ""The youngest #coronavirus patient in S #China's Hainan Province has recovered and been discharged from hospital.\n\nMeet this 4-month-old baby girl 👶 #COVID19 ";1579;CGTNOfficial;JanFeb2020
 '#CoronavirusOutbreak in China: \n\n-\xa0881 confirmed cases\n-\xa026 deaths \n- 34 cured \n-\xa01,073 suspected cases\n\nmore: ;1566;CGTNOfficial;JanFeb2020
" ""A touching moment was captured when Chen Ying, a nurse working in a quarantined hospital ward in eastern China's Zhejiang Province, kissed her boyfriend through a glass wall after the couple had been separated for 11 days. \n\nThey plan to get married after the epidemic passes. ";1510;CGTNOfficial;JanFeb2020
