id_str,text
1319031560276901889,"#Coronavirus Watch in Mideast, Oct. 21: https://t.co/NrZPBPIgT5
--Iran's total COVID-19 cases hit 545,286;
--Iraq's… https://t.co/b6i2rxMAQB"
1318876040463224832,"Headlines watch: https://t.co/7CgRHGBDnD
South China Morning Post: Cooperation not competition is key to developing… https://t.co/BteA8q8WTM"
1318733562779062273,COVID-19 vaccine development not affected by virus mutation: Chinese official https://t.co/Pux7pPDBTf https://t.co/utYAwEeEo0
1318569828450365441,China's #COVID19 vaccine capacity will reach 610 mln doses by end of 2020 https://t.co/wKWiQC5akL https://t.co/B3rB15QW1P
1318545405861351425,"The world is facing the darkest hour: it takes just 31 days to go from 30 to 40 mln global #COVID19 cases.
World le… https://t.co/ICjpp1DG1V"
1318483239732801536,"The global COVID-19 caseload surpassed the milestone of 40 million on Monday, as the world is struggling to contain… https://t.co/oKKMn2GQMZ"
1317932334826496000,U.S. National Governors Association sends a list of questions to federal government seeking clarification on effect… https://t.co/Xnqag30xpU
1317333721192648706,"Preliminary results show Chinese #COVID19 vaccine candidate safe, elicits antibody response in all recipients: The… https://t.co/ueAHD3vj2f"
1317300145520717827,"Philippine President Duterte says he is confident with the Chinese and Russian vaccine &amp; he'd be ""glad to open up s… https://t.co/j0b45r2mTl"
1317293455513513984,China willing to help more countries access to #COVID19 vaccine: FM https://t.co/s97UwkiM6f https://t.co/yjtMwB7L5q
1317275453124616192,COVID-19 vaccine may take longer for children https://t.co/MDEUGPJnQd
1316689436793434112,"Janssen-Cilag company, the pharmaceutical division of U.S. multinational Johnson &amp; Johnson, suspends #COVID19 vacci… https://t.co/gkbYmULYSu"
1316618940504629250,Only by strengthening coordination and realizing mass immunization through vaccination at the earliest possible dat… https://t.co/gAK9Ev2Lqf
1316439233012195329,"The Novosibirsk-based Vector research center has registered the second Russian coronavirus vaccine, Putin said… https://t.co/k3wYFysxhV"
1316197981733806081,"#Coronavirus watch updates: https://t.co/AKULNGuPM4
- Johnson &amp; Johnson suspends vaccine trials in Brazil
- U.S. dr… https://t.co/y6t0beNVFx"
1315994324593590273,"Coronavirus watch updates: https://t.co/EXvQGI5VR8
- Johnson &amp; Johnson pauses vaccine trial over patient illness
-… https://t.co/VDzOWVhxfD"
1315139694078771200,"The latest: #COVID19 watch: https://t.co/nOiXV3G4dS
- Mexico pays 159.8 mln USD to guarantee purchase of vaccine
-… https://t.co/XQffeTovLk"
1314791698615083008,"Headlines watch:
Ex-pandemic preparedness chief on Trump's responses to pandemic: https://t.co/byJdSjAGRZ
-Trump's… https://t.co/ur3SZinJAq"
1314426380940005376,"China signs agreement with Gavi, the Vaccine Alliance, officially joining COVAX https://t.co/B8z6fAiUyS https://t.co/yP2W2EcMrA"
1313730115210158080,"#Coronavirus watch updates, Oct. 7: https://t.co/uMpkZx4gNG 
- Trump's top aide Stephen Miller tests positive for… https://t.co/i3GkOvRaat"
1312822052269637632,Britain to involve armed forces in distributing coronavirus vaccine: senior official https://t.co/V5Jb79TK5V https://t.co/wrME53dNRs
1312095937964064768,German authorities approve third clinical trial of #COVID19 vaccine https://t.co/eV9fg3lW8a https://t.co/50VchzG5Iq
1311438812627656706,"Study shows investigational #COVID19 vaccine well-tolerated, generates immune response in U.S. older adults… https://t.co/h6MxZShyTI"
1311429578707988480,"Bill Gates calls for greater vaccine efforts to eliminate #COVID19 globally.
--""The only way to eliminate the threa… https://t.co/ttxJVo0Lph"
1311323084704546816,"500,000 sharks could be killed to create a #covid19 vaccine https://t.co/MPwFeeujsZ"
1311112740778307585,"The world needs to stand together to accelerate the development of a vaccine, reestablish social order and revitali… https://t.co/hmtme3qmy5"
1310729476200775680,"UN deputy chief calls for 35 billion USD more to meet global goals of #COVID19 vaccine production, treatments, test… https://t.co/KLHZYK4oZd"
1310721874825863168,"UN Deputy Secretary-General Amina Mohammed on Sept. 28, 2020 calls on countries to help fill the gap of 35 billion… https://t.co/kk9hX8sQ3o"
1310453522178043904,"#COVID19 watch, Sept. 28: https://t.co/J8vyTPT13c
- Chile conducts record number of #COVID19 tests
- Turkey's vacci… https://t.co/1OqEXABYlx"
1310326817044094976,"#Coronavirus Watch in Mideast, Sept. 27: https://t.co/4x1PGblaSl
--Iran's cases hit 446,448 with 25,589 deaths;
--I… https://t.co/uVf5VczUQg"
1309605894766776320,Canadian PM Justin Trudeau pledges over 300 million USD for #COVID19 vaccine global access program COVAX Facility… https://t.co/JtUXnvKDp1
1309460223338266624,"Opinion: Safety, a top priority in #COVID19 vaccine research and development https://t.co/WdJyzxVMiN https://t.co/eWkuscwzdz"
1309083895963541507,China's candidate #coronavirus vaccine caused no side effects among recruits in Moscow as part of large-scale clini… https://t.co/B8BdIHnbYs
1308912311151857664,Fourth large-scale #COVID19 vaccine clinical trial starts in U.S. https://t.co/C9ALRF4Geu https://t.co/r1ZaNMsmCl
1308901143863611403,Johnson&amp;Johnson begins late-stage coronavirus vaccine trial https://t.co/dkP0MCnWmJ
1308801515327426560,Chinese President Xi Jinping said China will contribute to COVID-19 vaccine accessibility and affordability in deve… https://t.co/KKrzR5S95j
1308710583215087616,"As a grassroots medical staff, Tohtirozi from Kashgar, Xinjiang is mainly responsible for community immunization, v… https://t.co/npx4dM4kb7"
1308390920811737089,"UAE grants urgent use of China-developed #coronavirus vaccine, according to media reports https://t.co/Rkd9DPOY5D
""… https://t.co/JGf41Kd1eT"
1308366330370744321,"Your latest #AsiaPacific #COVID19 news by one click: https://t.co/sBbjVUm3T4
-- Malaysia reports 82 new cases, new… https://t.co/pk5OsDCs07"
1308008152487526406,"Your latest #AsiaPacific #COVID19 news in one pack: https://t.co/mSTBw6EuI8
-- Indonesia reports 4,176 new cases, 1… https://t.co/Ux8LVRA5BM"
1230964318633701376,Coronavirus brings out anti-Chinese sentiment in South Korea https://t.co/W1bvPBzJcM
1230949076843278337,"""The coronavirus issue could not have come at a worse time to start a 
cruise line."" - Christopher Muller, Boston U… https://t.co/kNpi5Cbwkz"
1230933959619436544,#Coronavirus claims two more lives in Iran https://t.co/0C37OT8UUA https://t.co/Rz87UHGlyv
1230922886442930177,What happens if you catch the new #coronavirus? https://t.co/NgljjqTfBb | #COVID2019 https://t.co/4xb6rjMKDz
1230903761012436993,When will a #coronavirus vaccine be available? https://t.co/dE0EVaOFU0 https://t.co/YMmEI0FJSH
1230892496907051008,First case of #coronavirus confirmed in Lebanon https://t.co/jcJtyTCVp7 https://t.co/QSn9XKYdN0
1230868528288292864,"6 #coronavirus cases discovered in north Italy, hundreds to be tested https://t.co/qJq4tqOVjW https://t.co/vaqcQN6F18"
1230806996087169024,"'Shameful'

Ukrainians attack a bus carrying 70 evacuees from China over the coronavirus outbreak… https://t.co/MCEYaCXT9c"
1230779220890210308,"South Korea's confirmed coronavirus cases rise to 204.

Read the latest on #COVID19: https://t.co/NOnloisORZ https://t.co/jszVNibMed"
1230768416237031427,The world is in the grips of an epidemic more dangerous than coronavirus - racism https://t.co/UaLq9S3UIs —… https://t.co/ZQizMUlI4a
1230735700745539590,RT @AJENews: China's Hubei says 220 people from the province's prison system are also infected with coronavirus https://t.co/hPHVE96Bmc htt…
1230647176990253061,China coronavirus outbreak: All the latest updates https://t.co/MBfhIxP4a8
1230435676040171520,Parents of Pakistani students stuck in Wuhan are demanding their children be evacuated from the epicentre of the co… https://t.co/6iXcZZfSQZ
1230375401874169866,China expels foreign journalists as coronavirus deaths climb https://t.co/HXvN75BwhQ
1230292370027163649,China coronavirus outbreak: All the latest updates https://t.co/CDeMn5xL4M
1230239530579644418,"Two die of coronavirus in Iran, first fatalities in Middle East https://t.co/n4T21KAU9d"
