Source,Target,Weight
talk,university,3
talk,challenge,2
talk,china,22
talk,face,3
talk,deal,2
talk,people,7
talk,medium,4
talk,watch,3
talk,live,1
talk,ambassador,2
talk,coronavirus,7
talk,around,2
talk,take,2
talk,hit,1
talk,fear,1
talk,spread,1
talk,post,2
talk,twitter,1
talk,response,2
talk,country,4
talk,doctor,3
talk,like,3
talk,year,2
talk,old,4
talk,death,1
talk,early,1
talk,novel,12
talk,outbreak,9
talk,news,1
talk,fight,6
talk,offer,1
talk,support,1
talk,great,1
talk,government,3
talk,phone,8
talk,president,6
talk,patient,5
talk,move,1
talk,another,2
talk,city,4
talk,leave,2
talk,east,1
talk,province,1
talk,spring,1
talk,festival,1
talk,reporter,1
talk,nurse,4
talk,work,2
talk,risk,1
talk,daily,1
talk,one,3
talk,emergency,5
talk,hospital,5
talk,build,1
talk,complete,1
talk,put,1
talk,use,2
talk,construction,1
talk,worker,2
talk,expert,2
talk,turn,1
talk,virus,2
talk,global,3
talk,health,4
talk,late,1
talk,make,1
talk,family,1
talk,inside,1
talk,local,2
talk,opinion,1
talk,many,1
talk,world,4
talk,extend,3
talk,help,1
talk,hand,1
talk,call,2
talk,jinping,2
talk,night,1
talk,express,1
talk,confidence,2
talk,full,2
talk,pneumonia,1
talk,epidemic,1
talk,student,1
talk,study,1
talk,life,2
talk,trump,5
talk,also,1
talk,win,1
talk,say,8
talk,stay,1
talk,include,1
talk,order,2
talk,issue,2
talk,relate,1
talk,prevention,1
talk,control,1
talk,international,2
talk,community,1
talk,battle,1
talk,open,1
talk,south,1
talk,update,1
talk,public,1
talk,concern,1
talk,new,1
talk,share,1
talk,first,2
talk,batch,1
talk,recover,1
talk,covid,11
talk,discharge,1
talk,makeshift,1
talk,director,1
talk,xinhua,1
talk,receive,2
talk,end,2
talk,urge,1
talk,party,1
talk,grow,1
talk,leader,1
talk,economy,1
talk,recent,1
talk,report,3
talk,week,1
talk,treat,1
talk,treatment,2
talk,visit,1
talk,vaccination,1
talk,set,1
talk,million,2
talk,dos,2
talk,vaccine,4
talk,produce,1
talk,march,2
talk,seven,1
talk,cite,1
talk,official,1
talk,foreign,2
talk,ministry,2
talk,since,1
talk,import,1
talk,united,1
talk,state,1
talk,pandemic,2
talk,economic,1
talk,recovery,1
talk,top,1
talk,accord,2
talk,statement,1
talk,travel,1
talk,two,1
talk,base,1
talk,situation,1
talk,look,1
talk,check,1
talk,number,1
university,challenge,2
university,china,12
university,face,3
university,deal,2
university,people,4
university,medium,2
university,watch,2
university,world,6
university,medical,5
university,hospital,6
university,staff,1
university,treatment,2
university,tell,3
university,infection,7
university,novel,6
university,coronavirus,5
university,director,3
university,diagnosis,1
university,center,2
university,beijing,5
university,base,1
university,capital,1
university,student,18
university,infect,2
university,study,2
university,makeshift,1
university,life,5
university,return,3
university,institute,2
university,send,2
university,hope,2
university,fight,4
university,year,2
university,old,3
university,patient,2
university,discharge,1
university,first,7
university,medicine,1
university,also,1
university,virus,1
university,east,1
university,province,2
university,case,15
university,nurse,2
university,work,1
university,recover,2
university,share,1
university,experience,2
university,day,3
university,travel,1
university,ban,1
university,affect,1
university,transmit,1
university,child,1
university,say,4
university,third,1
university,press,1
university,conference,1
university,hold,1
university,national,2
university,health,1
university,commission,1
university,high,3
university,school,1
university,start,2
university,spring,1
university,amid,2
university,military,3
university,doctor,1
university,three,1
university,combat,1
university,hour,2
university,help,1
university,live,2
university,update,1
university,test,5
university,positive,5
university,within,1
university,develop,3
university,outbreak,2
university,carry,1
university,mask,2
university,city,2
university,like,2
university,clinical,1
university,top,7
university,vaccine,5
university,young,1
university,emergency,1
university,stay,3
university,place,1
university,order,1
university,issue,1
university,data,4
university,local,1
university,covid,23
university,among,1
university,global,2
university,million,7
university,number,8
university,death,10
university,accord,10
university,head,1
university,back,1
university,time,1
university,month,2
university,protective,1
university,far,1
university,register,1
university,self,1
university,home,1
university,president,1
university,white,1
university,house,1
university,india,1
university,around,3
university,new,5
university,show,4
university,seven,3
university,late,3
university,pandemic,3
university,claim,2
university,toll,2
university,see,1
university,france,1
university,reopen,1
university,rise,1
university,total,2
university,reach,1
university,record,1
university,confirm,2
university,trial,1
university,despite,1
university,volunteer,1
university,announce,1
university,surpass,1
university,government,1
university,way,1
university,still,1
university,may,1
university,look,1
university,woman,2
university,receive,4
