Source,Target,Weight
talk,university,3
talk,challenge,2
talk,china,26
talk,face,6
talk,deal,19
talk,people,9
talk,medium,5
talk,watch,5
talk,live,1
talk,coronavirus,43
talk,around,2
talk,take,3
talk,hit,3
talk,fear,1
talk,spread,1
talk,post,3
talk,response,2
talk,country,8
talk,doctor,4
talk,like,4
talk,year,5
talk,old,5
talk,scientist,1
talk,death,2
talk,early,1
talk,novel,12
talk,right,2
talk,outbreak,11
talk,news,1
talk,fight,6
talk,offer,1
talk,support,3
talk,great,1
talk,government,5
talk,president,17
talk,patient,5
talk,move,4
talk,another,2
talk,city,7
talk,leave,2
talk,province,1
talk,work,2
talk,risk,1
talk,daily,1
talk,job,1
talk,one,5
talk,emergency,5
talk,hospital,6
talk,build,1
talk,put,3
talk,use,6
talk,worker,5
talk,exclusive,2
talk,expert,2
talk,turn,3
talk,virus,5
talk,declare,1
talk,global,12
talk,health,9
talk,late,1
talk,make,1
talk,family,1
talk,local,2
talk,benefit,1
talk,many,1
talk,world,8
talk,extend,5
talk,help,1
talk,hand,1
talk,call,5
talk,express,1
talk,confidence,2
talk,full,2
talk,pneumonia,1
talk,epidemic,1
talk,student,1
talk,study,1
talk,life,2
talk,trump,27
talk,also,1
talk,win,1
talk,australia,6
talk,say,35
talk,stay,1
talk,include,1
talk,order,2
talk,issue,4
talk,prevention,1
talk,control,2
talk,british,2
talk,international,3
talk,community,1
talk,battle,2
talk,open,1
talk,south,9
talk,update,3
talk,whether,1
talk,public,1
talk,concern,2
talk,new,8
talk,share,2
talk,first,2
talk,batch,1
talk,recover,1
talk,covid,72
talk,discharge,1
talk,director,2
talk,receive,2
talk,end,9
talk,relief,29
talk,election,7
talk,urge,2
talk,presidential,2
talk,party,1
talk,grow,1
talk,leader,4
talk,shut,1
talk,economy,5
talk,recent,1
talk,report,3
talk,week,2
talk,mike,2
talk,treat,4
talk,treatment,5
talk,joe,1
talk,visit,1
talk,vaccination,2
talk,set,2
talk,million,3
talk,dos,3
talk,vaccine,27
talk,produce,1
talk,march,4
talk,seven,1
talk,official,4
talk,foreign,5
talk,ministry,8
talk,since,2
talk,united,3
talk,state,4
talk,change,3
talk,pandemic,6
talk,economic,6
talk,recovery,1
talk,top,6
talk,accord,2
talk,statement,1
talk,travel,7
talk,two,2
talk,base,1
talk,look,3
talk,number,1
talk,plan,3
talk,federal,5
talk,impact,1
talk,second,3
talk,day,3
talk,market,2
talk,rise,1
talk,republican,7
talk,behind,1
talk,white,9
talk,house,28
talk,try,3
talk,lose,1
talk,raise,1
talk,aid,32
talk,expect,3
talk,still,4
talk,problem,1
talk,delay,1
talk,test,1
talk,pass,1
talk,bill,10
talk,come,3
talk,level,1
talk,small,1
talk,measure,2
talk,wear,1
talk,mask,2
talk,wave,1
talk,stop,1
talk,approve,1
talk,even,1
talk,secretary,11
talk,continue,11
talk,effort,1
talk,reach,13
talk,vice,1
talk,know,3
talk,see,2
talk,administration,4
talk,game,7
talk,show,2
talk,die,1
talk,long,1
talk,toll,1
talk,age,1
talk,africa,4
talk,amid,4
talk,hold,5
talk,seek,4
talk,potential,2
talk,chief,2
talk,staff,2
talk,mark,2
talk,financial,2
talk,back,3
talk,remain,2
talk,hour,7
talk,stand,2
talk,democratic,3
talk,think,4
talk,office,4
talk,close,3
talk,supply,3
talk,source,4
talk,asian,3
talk,trial,3
talk,push,2
talk,vote,2
talk,region,1
talk,japan,4
talk,korea,8
talk,case,4
talk,ease,4
talk,air,1
talk,shot,3
talk,provide,1
talk,billion,3
talk,thousand,3
talk,fund,4
talk,announce,1
talk,would,2
talk,major,1
talk,least,1
talk,stock,1
talk,street,1
talk,fall,1
talk,five,4
talk,adviser,1
talk,diagnosis,1
talk,hard,1
talk,month,1
talk,could,5
talk,far,2
talk,brazil,3
talk,north,4
talk,due,4
talk,crisis,3
talk,join,1
talk,bad,1
talk,war,1
talk,keep,1
talk,step,1
talk,term,1
talk,way,1
talk,deliver,1
talk,service,1
talk,system,1
talk,story,2
talk,canada,1
talk,variant,1
talk,germany,1
talk,start,2
talk,minister,1
talk,russia,2
university,challenge,2
university,china,13
university,face,5
university,deal,2
university,people,25
university,medium,2
university,watch,2
university,fall,17
university,world,14
university,medical,13
university,hospital,10
university,staff,1
university,treatment,2
university,tell,5
university,infection,10
university,novel,6
university,coronavirus,41
