Source,Target,Weight
talk,university,3
talk,china,15
talk,face,3
talk,deal,2
talk,people,6
talk,medium,3
talk,watch,3
talk,live,1
talk,coronavirus,11
talk,around,2
talk,take,2
talk,hit,2
talk,fear,1
talk,spread,1
talk,response,2
talk,country,2
talk,doctor,3
talk,like,4
talk,year,2
talk,old,4
talk,respiratory,2
talk,scientist,1
talk,death,1
talk,early,1
talk,novel,12
talk,outbreak,11
talk,news,1
talk,fight,6
talk,offer,1
talk,firm,1
talk,support,1
talk,great,1
talk,government,1
talk,phone,8
talk,president,4
talk,patient,5
talk,move,1
talk,another,1
talk,city,4
talk,leave,2
talk,east,1
talk,province,1
talk,reporter,1
talk,nurse,2
talk,work,2
talk,risk,1
talk,daily,1
talk,one,3
talk,emergency,5
talk,hospital,5
talk,build,1
talk,put,1
talk,use,1
talk,construction,1
talk,worker,1
talk,expert,2
talk,turn,1
talk,virus,2
talk,declare,1
talk,global,2
talk,health,4
talk,late,1
talk,make,1
talk,family,1
talk,inside,1
talk,local,1
talk,threat,2
talk,many,1
talk,world,3
talk,extend,3
talk,help,1
talk,hand,1
talk,call,1
talk,jinping,2
talk,express,1
talk,confidence,2
talk,full,1
talk,pneumonia,1
talk,epidemic,1
talk,student,1
talk,study,1
talk,life,2
talk,trump,3
talk,also,1
talk,win,1
talk,australia,1
talk,say,4
talk,australian,1
talk,stay,1
talk,include,1
talk,order,1
talk,issue,1
talk,prevention,1
talk,control,1
talk,international,3
talk,community,1
talk,battle,1
talk,south,1
talk,update,1
talk,whether,1
talk,public,1
talk,concern,1
talk,new,1
talk,share,1
talk,first,1
talk,recover,1
talk,covid,1
talk,discharge,1
talk,makeshift,1
talk,director,1
talk,recently,1
talk,xinhua,1
talk,receive,1
talk,travel,1
talk,plan,1
talk,impact,1
talk,economy,2
talk,second,1
talk,day,1
talk,two,1
talk,quarter,1
talk,market,1
university,china,12
university,face,2
university,deal,2
university,people,4
university,medium,2
university,watch,2
university,fall,1
university,world,1
university,medical,11
university,hospital,8
university,staff,1
university,treatment,2
university,tell,2
university,infection,2
university,novel,6
university,coronavirus,18
university,director,2
university,center,7
university,beijing,2
university,base,1
university,question,1
university,student,13
university,infect,6
university,study,2
university,makeshift,1
university,life,3
university,return,3
university,send,2
university,fight,4
university,year,2
university,old,3
university,patient,5
university,discharge,1
university,first,1
university,medicine,3
university,also,1
university,virus,4
university,east,1
university,province,1
university,case,1
university,nurse,2
university,work,1
university,recover,2
university,share,1
university,day,1
university,travel,1
university,ban,1
university,affect,1
university,mother,1
university,child,1
university,say,7
university,department,1
university,press,1
university,conference,1
university,hold,2
university,national,1
university,health,1
university,commission,1
university,high,1
university,start,6
university,amid,1
university,military,3
university,doctor,3
university,three,1
university,combat,1
university,help,1
university,live,1
university,update,1
university,test,6
university,positive,5
university,develop,3
university,outbreak,1
university,carry,1
university,mask,1
university,city,1
university,like,1
university,clinical,1
university,top,1
university,vaccine,1
university,issue,1
university,could,1
university,come,1
university,time,1
university,line,3
university,evacuate,3
university,cruise,3
university,ship,3
university,japan,3
university,give,2
university,anti,2
university,person,1
university,arrive,1
university,last,1
university,week,1
university,flight,1
university,california,2
university,state,4
university,cancel,4
university,confirm,4
university,south,1
university,set,2
university,front,2
university,keep,2
china,face,34
china,deal,16
china,people,256
china,medium,43
china,watch,11
china,world,129
china,make,50
china,great,15
china,infectious,10
china,disease,47
china,take,66
china,turn,8
china,hard,15
china,health,219
china,organization,53
china,announce,39
china,lead,23
china,team,42
china,international,53
china,expert,64
china,currently,9
china,outside,90
china,confirm,221
china,case,482
china,novel,537
china,covid,52
china,cruise,21
china,ship,24
china,dock,4
china,japan,34
china,among,16
china,country,169
china,asia,12
china,live,72
china,state,102
china,information,15
china,office,12
china,brief,19
china,prevention,42
china,medical,87
china,worker,32
china,across,80
china,front,8
china,line,18
china,central,92
china,epicenter,77
china,coronavirus,1445
china,outbreak,652
china,since,22
china,late,227
china,medic,11
china,arrive,25
china,hubei,183
china,province,156
china,support,151
china,local,13
china,hospital,153
china,help,98
china,fight,248
china,student,25
china,cut,13
china,firm,14
china,express,60
china,contain,108
china,epidemic,161
china,nearly,20
china,risk,15
china,run,9
china,drug,18
china,ensure,11
china,medicine,11
china,supply,48
china,chief,31
china,give,21
china,research,10
china,trump,18
china,say,343
china,try,17
china,share,24
china,effort,125
china,send,50
china,amid,115
china,number,121
china,drop,25
china,day,122
china,allow,5
china,virus,144
china,offer,24
china,system,12
china,foreign,58
china,minister,35
china,wang,19
china,include,58
china,mask,38
china,protective,9
china,donate,28
china,wear,5
china,show,69
china,australia,16
china,critical,14
china,condition,10
china,official,98
china,hold,23
china,daily,23
china,control,103
china,week,39
china,almost,9
china,total,80
china,begin,30
china,back,32
china,work,71
china,service,19
china,one,66
china,industry,12
china,combat,46
china,get,32
china,business,37
china,national,117
china,commission,74
china,issue,18
china,treatment,46
china,plan,13
china,transmission,16
china,possible,14
china,high,32
china,update,84
china,around,49
china,raise,25
china,woman,19
china,development,27
china,use,27
china,new,348
china,start,33
china,end,31
china,finally,8
china,near,10
china,three,25
china,die,41
china,measure,73
china,south,18
china,leave,21
china,home,34
china,city,120
china,food,16
china,come,19
china,increase,23
china,fund,14
china,battle,140
china,billion,26
china,dollar,12
china,win,40
china,meet,22
china,second,36
china,quarter,9
china,due,76
china,miss,11
china,big,20
china,authority,55
china,beijing,28
china,pneumonia,66
china,global,91
china,economy,46
china,fast,18
china,accord,47
china,death,325
china,part,24
china,slow,18
china,many,32
china,find,30
china,aid,23
china,may,28
china,stand,45
china,severe,7
china,confirmed,62
china,infect,100
china,infected,15
china,family,19
china,see,54
china,patient,108
china,spread,242
china,inside,14
china,response,39
china,dead,26
china,diagnose,18
china,protect,10
china,much,13
china,already,9
china,yuan,20
china,company,40
china,production,24
china,president,55
china,solidarity,38
china,join,14
china,leader,27
china,recently,28
china,year,64
china,old,44
china,discharge,48
china,first,99
china,also,13
china,east,22
china,press,20
china,conference,20
china,million,60
china,bank,8
china,affect,17
china,growth,15
china,far,31
china,report,201
china,clinical,6
china,suspected,19
china,evacuate,34
china,put,19
china,isolation,14
china,test,52
china,phone,18
china,call,35
china,toll,123
china,key,9
china,another,21
china,macao,23
china,taiwan,24
china,despite,17
china,scientist,16
china,via,6
china,respiratory,12
china,need,29
china,infection,80
china,become,29
china,full,27
china,recover,19
china,together,21
china,keep,39
china,citizen,40
china,ask,11
china,reporter,12
china,head,18
china,nurse,11
china,doctor,28
china,makeshift,21
china,symptom,17
china,bring,40
china,ministry,18
china,concern,27
china,close,49
china,rate,31
china,long,15
china,last,18
china,could,26
china,stop,26
china,impact,35
china,receive,9
china,government,49
china,quarantine,44
china,air,23
china,well,7
china,statement,10
china,group,23
china,question,8
china,hong,44
china,flu,13
china,top,23
china,economic,22
china,situation,17
china,suspect,8
china,month,23
china,baby,21
china,recovery,10
china,two,54
china,public,43
china,emergency,67
china,major,23
china,cure,17
china,cause,32
china,holiday,19
china,video,19
china,grow,23
china,united,31
china,general,14
china,curb,41
china,warn,32
china,follow,29
china,stay,31
china,strong,44
china,mother,12
china,look,10
china,time,48
china,director,26
china,member,5
china,rise,102
china,today,6
china,set,12
china,man,24
china,early,12
china,charter,6
china,plane,11
china,strand,11
china,build,32
china,leishenshan,8
china,tell,21
china,ban,34
china,flight,111
china,suspend,55
china,confidence,43
china,panic,10
china,develop,11
china,vaccine,22
china,contact,5
china,low,14
china,travel,148
china,urge,17
china,good,17
china,social,12
china,provide,5
china,even,8
china,beyond,122
china,large,32
china,least,72
china,related,4
china,positive,13
china,would,11
china,prevent,25
china,trade,24
china,restriction,19
china,threat,14
china,still,17
china,way,23
china,border,17
china,bed,12
china,person,5
china,nine,10
china,return,23
china,special,12
china,region,30
china,base,20
china,data,8
china,newly,18
china,facility,9
china,read,28
china,news,12
china,place,18
china,negative,3
china,several,10
china,add,7
china,resident,36
china,center,33
china,shortage,16
china,know,23
china,shanghai,13
china,study,9
china,anti,11
china,story,13
china,child,19
china,department,24
china,five,20
china,deadly,43
china,france,9
china,declare,19
china,australian,6
china,party,14
china,level,35
china,appear,6
china,race,14
china,continue,57
china,order,20
china,staff,33
china,source,16
china,must,13
china,demand,21
china,screen,8
china,military,15
china,six,17
china,hit,52
china,area,18
china,korea,10
china,dozen,7
china,treat,19
china,expect,19
china,construction,9
china,release,10
china,cancel,11
china,four,4
china,human,24
china,illness,16
china,hundred,15
china,visit,16
china,sale,12
china,life,30
china,thailand,7
china,passenger,19
china,spreading,62
china,animal,12
china,sell,12
china,market,24
china,meeting,11
china,extend,22
china,hand,12
china,model,12
china,xinhua,18
china,like,32
china,wish,30
china,jinping,27
china,care,5
china,best,27
china,step,34
china,community,21
china,headline,8
china,check,23
china,carry,19
china,asian,8
china,apple,15
china,potential,7
china,kill,53
china,robot,13
china,force,14
china,thousand,13
china,contract,6
china,police,9
china,officer,3
china,remain,30
china,airport,8
china,result,8
china,fear,35
china,japanese,17
china,couple,5
