Source,Target,Weight
coronavirus,bring,62
coronavirus,south,84
coronavirus,korea,67
coronavirus,issue,25
coronavirus,could,152
coronavirus,come,54
coronavirus,bad,38
coronavirus,time,86
coronavirus,start,71
coronavirus,line,29
coronavirus,university,36
coronavirus,china,1221
coronavirus,outbreak,648
coronavirus,confirm,227
coronavirus,case,869
coronavirus,rise,225
coronavirus,late,239
coronavirus,world,268
coronavirus,epidemic,59
coronavirus,hubei,82
coronavirus,say,872
coronavirus,people,370
coronavirus,province,71
coronavirus,system,22
coronavirus,also,47
coronavirus,infect,149
coronavirus,update,83
coronavirus,student,36
coronavirus,demand,50
coronavirus,child,56
coronavirus,evacuate,70
coronavirus,death,478
coronavirus,two,185
coronavirus,die,97
coronavirus,first,323
coronavirus,aid,38
coronavirus,agency,14
coronavirus,warn,63
coronavirus,patient,115
coronavirus,run,22
coronavirus,drug,61
coronavirus,amid,145
coronavirus,report,393
coronavirus,three,95
coronavirus,wall,29
coronavirus,street,45
coronavirus,least,82
coronavirus,recover,29
coronavirus,concern,84
coronavirus,use,101
coronavirus,spread,466
coronavirus,business,78
coronavirus,family,46
coronavirus,home,65
coronavirus,place,41
coronavirus,cruise,186
coronavirus,ship,184
coronavirus,test,481
coronavirus,positive,281
coronavirus,total,90
coronavirus,number,144
coronavirus,infection,219
coronavirus,slow,47
coronavirus,since,84
coronavirus,hospital,103
coronavirus,director,44
coronavirus,new,734
coronavirus,toll,162
coronavirus,hit,176
coronavirus,follow,89
coronavirus,threat,35
coronavirus,grow,42
coronavirus,keep,55
coronavirus,economy,102
coronavirus,effect,36
coronavirus,quarantine,155
coronavirus,government,136
coronavirus,citizen,53
coronavirus,protest,29
coronavirus,fear,165
coronavirus,france,56
coronavirus,put,39
coronavirus,health,383
coronavirus,risk,109
coronavirus,million,222
coronavirus,already,41
coronavirus,kill,79
coronavirus,virus,182
coronavirus,protect,43
coronavirus,breaking,34
coronavirus,africa,21
coronavirus,receive,36
coronavirus,level,40
coronavirus,support,23
coronavirus,ask,26
coronavirus,global,202
coronavirus,news,42
coronavirus,second,121
coronavirus,way,38
coronavirus,early,77
coronavirus,try,58
coronavirus,end,68
coronavirus,right,27
coronavirus,record,152
coronavirus,jump,38
coronavirus,large,54
coronavirus,outside,65
coronavirus,maker,16
coronavirus,call,48
coronavirus,stop,57
coronavirus,japan,155
coronavirus,singapore,46
coronavirus,expect,43
coronavirus,drop,37
coronavirus,due,156
coronavirus,get,123
coronavirus,year,152
coronavirus,school,42
coronavirus,remain,44
coronavirus,several,42
coronavirus,city,184
coronavirus,work,90
coronavirus,contain,85
coronavirus,british,36
coronavirus,must,15
coronavirus,win,20
coronavirus,battle,42
coronavirus,president,396
coronavirus,need,62
coronavirus,hong,107
coronavirus,war,26
coronavirus,cancel,39
coronavirus,doctor,89
coronavirus,hold,54
coronavirus,see,101
coronavirus,worker,53
coronavirus,deadly,81
coronavirus,face,95
coronavirus,mask,118
coronavirus,help,106
coronavirus,vaccine,417
coronavirus,big,75
coronavirus,question,54
coronavirus,post,39
coronavirus,like,43
coronavirus,behind,27
coronavirus,reach,33
coronavirus,public,135
coronavirus,declare,56
coronavirus,emergency,97
coronavirus,canada,38
coronavirus,novel,131
coronavirus,scientist,45
coronavirus,develop,35
coronavirus,germany,59
coronavirus,become,68
coronavirus,country,225
coronavirus,treat,44
coronavirus,authority,87
coronavirus,extend,26
coronavirus,around,88
coronavirus,far,55
coronavirus,nearly,51
coronavirus,travel,148
coronavirus,restriction,104
coronavirus,expert,77
coronavirus,may,104
coronavirus,know,90
coronavirus,track,23
coronavirus,official,180
coronavirus,live,51
coronavirus,organization,67
coronavirus,give,26
coronavirus,resident,42
coronavirus,step,29
coronavirus,effort,63
coronavirus,halt,20
coronavirus,symptom,74
coronavirus,illness,46
coronavirus,change,29
coronavirus,week,154
coronavirus,french,45
coronavirus,minister,73
coronavirus,person,47
coronavirus,military,31
coronavirus,base,26
coronavirus,serious,20
coronavirus,plan,103
coronavirus,talk,36
coronavirus,many,56
coronavirus,air,49
coronavirus,suspend,70
coronavirus,flight,112
coronavirus,passenger,97
coronavirus,make,121
coronavirus,stock,78
coronavirus,point,29
coronavirus,company,59
coronavirus,order,45
coronavirus,stay,19
coronavirus,avoid,37
coronavirus,take,153
coronavirus,one,168
coronavirus,season,16
coronavirus,five,54
coronavirus,national,81
coronavirus,commission,39
coronavirus,last,52
coronavirus,month,144
coronavirus,among,46
coronavirus,house,193
coronavirus,day,202
coronavirus,trial,100
coronavirus,close,110
coronavirus,court,35
coronavirus,measure,74
coronavirus,prevent,36
coronavirus,senate,33
coronavirus,rule,33
coronavirus,trump,490
coronavirus,open,21
coronavirus,york,44
coronavirus,spike,39
coronavirus,group,34
coronavirus,confirmed,46
coronavirus,medium,63
coronavirus,fall,61
coronavirus,study,108
coronavirus,hundred,51
coronavirus,third,37
coronavirus,return,62
coronavirus,medical,72
coronavirus,staff,44
coronavirus,hour,45
coronavirus,woman,32
coronavirus,back,78
coronavirus,force,60
coronavirus,ban,39
coronavirus,man,40
coronavirus,potential,42
coronavirus,urge,33
coronavirus,volunteer,39
coronavirus,pass,47
coronavirus,human,41
coronavirus,today,40
coronavirus,full,26
coronavirus,bank,42
coronavirus,covid,301
coronavirus,rare,14
coronavirus,chief,53
coronavirus,claim,48
coronavirus,life,30
coronavirus,thousand,73
coronavirus,allow,23
coronavirus,another,52
coronavirus,catch,24
coronavirus,impose,21
coronavirus,limit,34
coronavirus,meet,24
coronavirus,young,37
coronavirus,diagnose,32
coronavirus,ahead,29
coronavirus,result,59
coronavirus,australia,64
coronavirus,yet,20
coronavirus,pandemic,288
coronavirus,show,134
coronavirus,deal,38
coronavirus,low,53
coronavirus,investor,48
coronavirus,impact,97
coronavirus,cause,48
coronavirus,set,57
coronavirus,contract,55
coronavirus,surpass,35
coronavirus,department,32
coronavirus,continue,111
coronavirus,italy,41
coronavirus,office,18
coronavirus,service,26
coronavirus,much,33
coronavirus,almost,43
coronavirus,old,47
coronavirus,leave,68
coronavirus,disease,93
coronavirus,food,52
coronavirus,affect,43
coronavirus,event,44
coronavirus,story,17
coronavirus,find,86
coronavirus,shut,27
coronavirus,social,37
coronavirus,worry,35
coronavirus,want,28
coronavirus,accord,153
coronavirus,center,82
coronavirus,control,87
coronavirus,prevention,40
coronavirus,include,89
coronavirus,well,47
coronavirus,lead,49
coronavirus,look,44
coronavirus,financial,26
coronavirus,crisis,38
coronavirus,begin,65
coronavirus,still,62
coronavirus,whether,24
coronavirus,across,77
coronavirus,negative,40
coronavirus,likely,33
coronavirus,cost,15
coronavirus,half,25
coronavirus,international,44
coronavirus,reduce,23
coronavirus,billion,68
coronavirus,loss,29
coronavirus,problem,15
coronavirus,even,52
coronavirus,delay,26
coronavirus,release,30
coronavirus,provide,28
coronavirus,boost,9
coronavirus,good,21
coronavirus,nation,36
coronavirus,appear,35
coronavirus,past,22
coronavirus,single,22
coronavirus,related,33
coronavirus,term,21
coronavirus,long,40
coronavirus,india,84
coronavirus,produce,23
coronavirus,supply,48
coronavirus,link,23
coronavirus,ministry,60
coronavirus,six,30
coronavirus,despite,58
coronavirus,infectious,24
coronavirus,diagnosis,26
coronavirus,statement,35
coronavirus,local,33
coronavirus,announce,68
coronavirus,raise,45
coronavirus,strong,20
coronavirus,population,24
coronavirus,administration,61
coronavirus,researcher,29
coronavirus,contact,35
coronavirus,next,28
coronavirus,united,83
coronavirus,state,252
coronavirus,increase,58
coronavirus,push,27
coronavirus,send,17
coronavirus,care,37
coronavirus,free,12
coronavirus,former,46
coronavirus,lose,33
coronavirus,asia,45
coronavirus,consider,23
coronavirus,fight,86
coronavirus,california,37
coronavirus,high,97
coronavirus,growth,37
coronavirus,seven,12
coronavirus,share,52
coronavirus,daily,120
coronavirus,major,47
coronavirus,handling,32
coronavirus,america,18
coronavirus,market,80
coronavirus,game,20
coronavirus,sign,47
coronavirus,team,38
coronavirus,part,60
coronavirus,safety,37
coronavirus,member,41
coronavirus,four,21
coronavirus,congress,41
coronavirus,industry,24
coronavirus,tell,47
coronavirus,mike,36
coronavirus,program,14
coronavirus,employee,31
coronavirus,top,90
coronavirus,turn,35
coronavirus,flu,33
coronavirus,safe,25
coronavirus,general,23
coronavirus,add,30
coronavirus,head,21
coronavirus,within,23
coronavirus,possible,26
coronavirus,morning,17
coronavirus,mark,37
coronavirus,cut,37
coronavirus,data,74
coronavirus,lady,47
coronavirus,would,48
coronavirus,gathering,14
coronavirus,wear,32
coronavirus,bill,47
coronavirus,treatment,61
coronavirus,soon,14
coronavirus,deliver,34
coronavirus,experience,26
coronavirus,drive,14
coronavirus,race,33
coronavirus,job,33
coronavirus,condition,8
coronavirus,move,32
coronavirus,senior,21
coronavirus,restaurant,17
coronavirus,recovery,33
coronavirus,fund,21
coronavirus,offer,27
coronavirus,response,66
coronavirus,decline,17
coronavirus,severe,20
coronavirus,march,27
coronavirus,think,26
coronavirus,analysis,27
coronavirus,clear,31
coronavirus,beyond,114
coronavirus,authorization,10
coronavirus,union,9
coronavirus,federal,29
coronavirus,rate,58
coronavirus,experimental,36
coronavirus,recommend,5
coronavirus,adviser,26
