Id,Label
covid,covid
coronavirus,coronavirus
vaccine,vaccine
say,say
china,china
case,case
new,new
test,test
report,report
trump,trump
president,president
health,health
people,people
outbreak,outbreak
death,death
first,first
country,country
pandemic,pandemic
novel,novel
million,million
day,day
world,world
hospital,hospital
state,state
positive,positive
infection,infection
spread,spread
virus,virus
year,year
one,one
patient,patient
get,get
confirm,confirm
official,official
take,take
rise,rise
week,week
late,late
house,house
johnson,johnson
amid,amid
use,use
two,two
global,global
city,city
trial,trial
fight,fight
accord,accord
month,month
number,number
see,see
record,record
may,may
make,make
white,white
government,government
second,second
could,could
high,high
hit,hit
time,time
help,help
minister,minister
due,due
show,show
study,study
work,work
risk,risk
surge,surge
india,india
receive,receive
expert,expert
medical,medical
daily,daily
control,control
restriction,restriction
dos,dos
live,live
plan,plan
back,back
emergency,emergency
national,national
mask,mask
face,face
public,public
travel,travel
shot,shot
brazil,brazil
disease,disease
since,since
quarantine,quarantine
need,need
find,find
ship,ship
infect,infect
close,close
toll,toll
doctor,doctor
follow,follow
update,update
fear,fear
start,start
top,top
home,home
vaccination,vaccination
cruise,cruise
supply,supply
japan,japan
measure,measure
total,total
blood,blood
announce,announce
data,data
epidemic,epidemic
hubei,hubei
know,know
around,around
south,south
worker,worker
battle,battle
include,include
province,province
die,die
economy,economy
concern,concern
watch,watch
call,call
continue,continue
response,response
set,set
three,three
last,last
effort,effort
old,old
end,end
still,still
australia,australia
chief,chief
support,support
wave,wave
clot,clot
across,across
center,center
treatment,treatment
drug,drug
curb,curb
return,return
many,many
big,big
organization,organization
bring,bring
company,company
give,give
begin,begin
authority,authority
france,france
hold,hold
united,united
contain,contain
warn,warn
long,long
would,would
hong,hong
flight,flight
increase,increase
large,large
campaign,campaign
election,election
least,least
leave,leave
symptom,symptom
york,york
child,child
economic,economic
business,business
international,international
become,become
hour,hour
impact,impact
come,come
develop,develop
expect,expect
early,early
dose,dose
russia,russia
third,third
university,university
tell,tell
news,news
leader,leader
far,far
rate,rate
look,look
keep,keep
aid,aid
pause,pause
effective,effective
offer,offer
despite,despite
cause,cause
recovery,recovery
order,order
result,result
remain,remain
medium,medium
billion,billion
school,school
low,low
another,another
vaccinate,vaccinate
nation,nation
ministry,ministry
treat,treat
share,share
outside,outside
like,like
urge,urge
staff,staff
exclusive,exclusive
administration,administration
deal,deal
prime,prime
five,five
head,head
lead,lead
commission,commission
way,way
life,life
nearly,nearly
rule,rule
local,local
clinical,clinical
next,next
team,team
korea,korea
prevention,prevention
fauci,fauci
talk,talk
analysis,analysis
student,student
canada,canada
part,part
also,also
passenger,passenger
source,source
africa,africa
germany,germany
family,family
safe,safe
six,six
issue,issue
beijing,beijing
negative,negative
hope,hope
french,french
move,move
joe,joe
director,director
effect,effect
market,market
among,among
social,social
contract,contract
even,even
put,put
resident,resident
relief,relief
group,group
level,level
force,force
batch,batch
safety,safety
raise,raise
open,open
thousand,thousand
care,care
presidential,presidential
debate,debate
confirmed,confirmed
recover,recover
reach,reach
seek,seek
scientist,scientist
stop,stop
spike,spike
variant,variant
kill,kill
sign,sign
crisis,crisis
demand,demand
foreign,foreign
discharge,discharge
prevent,prevent
change,change
central,central
fall,fall
suspend,suspend
british,british
pass,pass
join,join
send,send
stay,stay
event,event
rare,rare
possible,possible
delay,delay
potential,potential
woman,woman
bad,bad
turn,turn
age,age
food,food
former,former
well,well
place,place
without,without
italy,italy
link,link
community,community
deadly,deadly
person,person
candidate,candidate
likely,likely
question,question
try,try
win,win
good,good
protect,protect
major,major
adult,adult
bank,bank
drop,drop
antibody,antibody
illness,illness
race,race
ease,ease
research,research
slow,slow
surpass,surpass
agency,agency
volunteer,volunteer
ban,ban
post,post
arrive,arrive
four,four
system,system
military,military
approve,approve
lady,lady
meet,meet
press,press
claim,claim
several,several
stock,stock
administer,administer
member,member
capital,capital
development,development
job,job
office,office
epicenter,epicenter
human,human
general,general
single,single
air,air
allow,allow
past,past
ahead,ahead
flu,flu
lose,lose
grow,grow
diagnosis,diagnosis
ask,ask
bill,bill
vice,vice
full,full
secretary,secretary
march,march
soon,soon
service,service
mark,mark
seven,seven
governor,governor
half,half
much,much
strong,strong
production,production
young,young
contact,contact
release,release
wear,wear
region,region
fund,fund
export,export
affect,affect
base,base
step,step
federal,federal
regulator,regulator
side,side
population,population
push,push
add,add
condition,condition
behind,behind
free,free
citizen,citizen
hard,hard
pneumonia,pneumonia
struggle,struggle
democratic,democratic
conference,conference
extend,extend
medicine,medicine
evacuate,evacuate
avoid,avoid
build,build
reopen,reopen
challenge,challenge
break,break
combat,combat
experience,experience
researcher,researcher
provide,provide
statement,statement
donate,donate
today,today
video,video
sale,sale
war,war
transmission,transmission
street,street
adviser,adviser
breaking,breaking
track,track
industry,industry
declare,declare
boost,boost
deliver,deliver
launch,launch
employee,employee
court,court
line,line
severe,severe
growth,growth
produce,produce
right,right
almost,almost
small,small
party,party
worry,worry
north,north
benefit,benefit
stage,stage
within,within
cancel,cancel
republican,republican
man,man
special,special
maker,maker
holiday,holiday
want,want
drive,drive
catch,catch
hand,hand
america,america
facility,facility
story,story
appear,appear
poll,poll
diagnose,diagnose
asian,asian
hundred,hundred
california,california
problem,problem
think,think
area,area
senior,senior
game,game
shut,shut
visit,visit
loss,loss
less,less
restaurant,restaurant
limit,limit
mike,mike
financial,financial
great,great
express,express
whether,whether
institute,institute
experimental,experimental
nominee,nominee
confidence,confidence
read,read
tweet,tweet
season,season
yet,yet
term,term
information,information
stand,stand
infectious,infectious
critical,critical
already,already
vote,vote
department,department
committee,committee
decline,decline
recent,recent
